,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,135969005,"£475,000",Reduced on 26/07/2023,"Stapleton Hall Road, N4 3QQ","Chain free sale | Two double bedrooms | Share of Freehold | Large reception room | Separate kitchen | Three-piece bathroom suite | Gated, allocated off-street parking | Set in an attractive period property with landscaped grounds | 593 SQ FT/ 55.1 SQ M | Convenient location for public transport a...","['26/07/2023', '10/06/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']",Flat,1,2,593 sq. ft.(55 sq. m.),Share of Freehold,"['Chain free sale', 'Two double bedrooms ', 'Share of Freehold ', 'Large reception room ', 'Separate kitchen ', 'Three-piece bathroom suite ', 'Gated, allocated off-street parking', 'Set in an attractive period property with landscaped grounds', '593 SQ FT/ 55.1 SQ M', 'Convenient location for public transport and local amenities ']","[['Crouch Hill ', '0.1 miles'], ['Harringay ', '0.6 miles'], ['Finsbury Park ', '0.6 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
1,132912674,"£550,000",Reduced on 08/11/2022,"Crayford Road, London, N7",A gorgeous bright and airy one bedroom garden property situated within the heart of Tufnell Park ,['24/03/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,"['One bedroom', 'Bright and airy', 'Garden', 'Good decoration']","[['Tufnell Park ', '0.5 miles'], ['Upper Holloway ', '0.6 miles'], ['Holloway Road ', '0.6 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,104 years left,Band: D
2,132068513,"£550,000",Reduced on 23/05/2023,"Highgate Hill, London, N19",A two bedroom recently refurbished first floor period conversion with a roof terrace situated at the top of Highgate Hill within close walking distance to Highgate Village.,"['23/05/2023', '28/02/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,551 sq. ft.(51 sq. m.),Share of Freehold,"['First Floor Period Conversion', 'Roof Terrace', 'Double Glazed Windows & Wooden Floors Throughout', 'Recently Refurbished', 'Close To Highgate Village', 'Chain Free']","[['Archway ', '0.3 miles'], ['Upper Holloway ', '0.6 miles'], ['Highgate ', '0.7 miles']]","['underground', 'overground', 'underground']",Ask agent,£1200,992 years left,Band: C
3,129355403,"£550,000",Added on 22/11/2022,"Bickerton Road, Archway, N19",A spacious garden apartment with private entrance arranged over the entire ground floor of this period conversion situated within the desirable the St Johns Grove Conservation Area.,['22/11/2022'],"['Initial entry found: £550,000']",Apartment,1,1,,Share of Freehold,"['Double Bedroom', 'Bathroom', 'Reception Room', 'Kitchen/Breakfast Room', 'Private Entrance', ""36' Rear Garden"", 'Residents Parking']","[['Archway ', '0.2 miles'], ['Upper Holloway ', '0.3 miles'], ['Tufnell Park ', '0.4 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,105 years left,Band: D
4,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",['08/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
5,133941209,"£550,000",Added on 21/04/2023,"Weymouth Villas, Finsbury Park","Elegantly designed with a vintage style, this Victorian maisonette is enveloped in light and comfort. Original lime washed floorboards, lofty ceilings and multiple skylights make this lovely two double bedroom home something truly special. Calming linen white walls are punctuated by four...",['21/04/2023'],"['Initial entry found: £550,000']",Maisonette,2,2,,Leasehold,"['2 double bedrooms', '2 bathrooms inc. ensuite', 'Original cast-iron fireplace', 'Offered chain free', 'Deep storage within eaves', '0.4 miles from Finsbury Park Station']","[['Finsbury Park ', '0.4 miles'], ['Crouch Hill ', '0.4 miles'], ['Arsenal ', '0.6 miles']]","['nationalrail', 'overground', 'underground']",Ask agent,£720,102 years left,Band: C
6,138800537,"£550,000",Added on 18/08/2023,"Empire Square, London, N7","We are delighted to offer for sale a super two bedroom (both with en-suites) flat, set on the second floor of a building in gated development off Holloway Road in N7.",['18/08/2023'],"['Initial entry found: £550,000']",Apartment,2,2,,Leasehold,[],"[['Upper Holloway ', '0.4 miles'], ['Holloway Road ', '0.6 miles'], ['Archway ', '0.7 miles']]","['overground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC
7,134517302,"£550,000",Reduced on 26/05/2023,"Tollington Way, Upper Holloway","A beautiful apartment located on the ground floor of this impressive building comprising large reception room, two double bedrooms and direct access to a private rear garden","['26/05/2023', '05/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,2,2,,Leasehold,"['Two double bedrooms ', 'Reception room ', 'Fitted kitchen ', 'Bathroom ', 'Private garden ', 'Ground floor ', 'Good transport links']","[['Upper Holloway ', '0.4 miles'], ['Finsbury Park ', '0.6 miles'], ['Crouch Hill ', '0.6 miles']]","['overground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
8,137620529,"£550,000",Added on 20/07/2023,"Huddleston Road, London, N7","A spacious one bedroom chain-free flat, set on the lower ground of a substantial period building, with its own entrance and direct access to a private rear garden.",['20/07/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,Ask agent,Band: TBC
9,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",['02/08/2023'],"['Initial entry found: £550,000']",Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
