,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,125542247,"£425,000",Reduced today,"Cambridge Avenue, London, NW6",Well presented one bedroom apartment with front and rear patios situated within this smart modern development located adjacent Kilburn Park station.,"['29/08/2023', '15/11/2022', '30/07/2022', '29/08/2023', '15/11/2022', '30/07/2022']","['Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000', 'Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']",Flat,1,1,607 sq. ft.(56 sq. m.),Leasehold,"['Leasehold Term 999 years from 13/07/2012', 'Entrance Hall', 'Reception Room', 'Contemporary Open Plan Kitchen', 'Double Bedroom', 'Bathroom', 'Front Patio', 'Rear Patio with access to Communal Garden', 'Attractive Wooden Flooring', 'Entryphone & Lift']","[['Kilburn Park ', '0.0 miles'], ['Kilburn High Road ', '0.2 miles'], ['Maida Vale ', '0.5 miles']]","['underground', 'overground', 'underground']",£350 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3323,988 years left,Band: B
1,134039927,"£550,000",Reduced on 12/06/2023,"Belgrave Gardens, St Johns Wood, NW8",An Ideal First Time buyer or Investor Fully Furnished Turnkey opportunity! A fantastic 2 double bedroom flat set within an attractive period conversion located on a sought-after street in St John's Wood. This stylish flat with a contemporary interior and wood flooring throughout comprising ...,"['12/06/2023', '24/04/2023', '12/06/2023', '24/04/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Leasehold,"['Top Floor Flat', 'Bright Reception Room', '2 Double Bedrooms', 'Fitted Kitchen', 'Bathroom', 'Great Location', 'Close to Transport Links', 'Chain Free']","[['Kilburn High Road ', '0.3 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
2,137316347,"£550,000",Reduced on 09/08/2023,"Blenheim Terrace, St Johns Wood","A beautifully decorated, one bedroom apartment with patio doors opening on to a private rear garden, further benefits include wooden flooring, a newly fitted bathroom and kitchen.","['09/08/2023', '13/07/2023', '09/08/2023', '13/07/2023']","['Price changed from £565,000 to £550,000', 'Initial entry found: £565,000', 'Price changed from £565,000 to £550,000', 'Initial entry found: £565,000']",Flat,1,1,,Share of Freehold,"['Secluded garden', 'Natural wood flooring', 'Double glazing', 'Peaceful setting', 'Close to transport links', ""Close to Regent's Park"", 'Lease exp 2987', 'EPC rating C']","[[""St. John's Wood "", '0.3 miles'], ['Maida Vale ', '0.4 miles'], ['South Hampstead ', '0.5 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
3,130529525,"£550,000",Added on 09/01/2023,"Rowley Way, London","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of London’s famous Abbey ...","['10/01/2023', '09/01/2023', '10/01/2023', '09/01/2023']","['Price changed from £500,000 to £550,000', 'Initial entry found: £500,000', 'Price changed from £500,000 to £550,000', 'Initial entry found: £500,000']",Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent
4,127014968,"£550,000",Reduced on 26/10/2022,"Belgrave Gardens, St John's Wood","We are pleased to present this delightful, two-double bedroom, second floor apartment, with fantastic natural light throughout and recently renovated bathroom.","['26/10/2022', '13/09/2022', '26/10/2022', '13/09/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Leasehold,"['Chain-free', 'Good condition', 'Bright aspects', 'Peaceful setting', 'Close to amenities', 'Reasonable outgoings', 'EPC rating C', 'Lease exp 2132']","[['Kilburn High Road ', '0.3 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
5,85753578,"£550,000",Reduced on 07/11/2022,"Garden Flat, Greville Road, London, NW6","Share of Freehold.  Beautifully presented two double bedroom ground floor garden Maisonette in a very convenient location. The flat features a 22' Sitting Room with a superb fitted Kitchen, Master Bedroom with double doors leading to patio and raised garden with side access, fur...","['07/11/2022', '11/07/2022', '07/11/2022', '11/07/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Leasehold,"['Stunning Ground Floor Garden Flat', 'Beautiful New Wooden Flooring', 'New Fitted Kitchen', 'Separate Utility Room/Area', 'Spacious Double Bedroom with French Doors to Garden', 'Spare Double Bedroom', 'Fantastic Location just off The High Road', '5 Min walk to Tube Station', 'Share of Freehold', 'NO CHAIN']","[['Kilburn High Road ', '0.1 miles'], ['Kilburn Park ', '0.2 miles'], ['Maida Vale ', '0.5 miles']]","['overground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: D
6,138259586,"£550,000",Added on 03/08/2023,"Bracknell Gardens, Hampstead, NW3","This stunning one bedroom apartment is located within a beautiful property on Bracknell Gardens. A highly desirable opportunity to own a share of freehold, one bedroom flat which also comes with a host of smart features and offers comfortable living in a sought-after location. A side ent...","['03/08/2023', '03/08/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,1,1,442 sq. ft.(41 sq. m.),Share of Freehold,"['Share of freehold', 'Superb one double bedroom apartment', 'Private front door', 'Garden views', 'Desirable Hampstead location']","[['Finchley Road & Frognal ', '0.4 miles'], ['West Hampstead Thameslink ', '0.5 miles'], ['Hampstead ', '0.5 miles']]","['overground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D
7,136876178,"£550,000",Added on 03/07/2023,"Belgrave Gardens, St John's Wood, NW8","Arranged on the 3rd floor ( Top Floor ) of a very well-presented period house in the ever-popular Belgrave Gardens, Just off Abbey Road, we are delighted to offer this bright, well-proportioned apartment. The property of circa 495 sq ft, offers a bright reception with solid wood parquet...","['03/07/2023', '03/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Apartment,1,2,,Leasehold,"['Bright Apartment', 'Top Floor', 'Parquet Floor', '2 Double Bedrooms', 'Separate Kitchen', 'Chain Free', '98 Years remain on Lease', 'Excellent Location']","[['Kilburn High Road ', '0.3 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['overground', 'underground', 'overground']",£2600 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,Ask agent,98 years left,Ask agent
8,133295279,"£550,000",Added on 05/04/2023,"Priory Park Road, NW6","Are you searching for a large, fashionable apartment in a desirable area? There is no need to look any further than this gorgeous two-bedroom period conversion with a decked garden. You are welcomed by a spacious open-plan reception room as you enter the building, which is ideal for ente...","['05/04/2023', '05/04/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['Two double bedrooms', 'Spacious decked garden', 'Open-planned kitchen and reception ', 'Period conversion', 'Fully fitted modern kitchen', 'Great location', 'Transport links close by', 'Local amenities close by ', 'Potential to extend ']","[['Kilburn High Road ', '0.3 miles'], ['Brondesbury ', '0.4 miles'], ['Kilburn Park ', '0.4 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Band: TBC
9,134182640,"£549,950",Reduced on 11/08/2023,"Compayne Gardens, South Hampstead",This two bedroom period conversion is located on this prestigious road within the South Hampstead Conservation Area. The property is bright and airy with high ceilings and will be sold with no onward chain.,"['11/08/2023', '30/05/2023', '27/04/2023', '11/08/2023', '30/05/2023', '27/04/2023']","['Price changed from £575,000 to £549,950', 'Price changed from £625,000 to £575,000', 'Initial entry found: £625,000', 'Price changed from £575,000 to £549,950', 'Price changed from £625,000 to £575,000', 'Initial entry found: £625,000']",Flat,1,2,,Ask agent,"['Period Conversion', 'Two Double Bedrooms', 'Share Of Freehold', 'First Floor', 'High Ceilings', 'No Onward Chain']","[['West Hampstead ', '0.2 miles'], ['West Hampstead Thameslink ', '0.3 miles'], ['Finchley Road ', '0.4 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
