,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,135969005,"£475,000",Reduced on 26/07/2023,"Stapleton Hall Road, N4 3QQ","Chain free sale | Two double bedrooms | Share of Freehold | Large reception room | Separate kitchen | Three-piece bathroom suite | Gated, allocated off-street parking | Set in an attractive period property with landscaped grounds | 593 SQ FT/ 55.1 SQ M | Convenient location for public transport a...","['26/07/2023', '10/06/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']",Flat,1,2,593 sq. ft.(55 sq. m.),Share of Freehold,"['Chain free sale', 'Two double bedrooms ', 'Share of Freehold ', 'Large reception room ', 'Separate kitchen ', 'Three-piece bathroom suite ', 'Gated, allocated off-street parking', 'Set in an attractive period property with landscaped grounds', '593 SQ FT/ 55.1 SQ M', 'Convenient location for public transport and local amenities ']","[['Crouch Hill ', '0.1 miles'], ['Harringay ', '0.6 miles'], ['Finsbury Park ', '0.6 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
1,135151136,"£550,000",Added on 23/05/2023,"Shepherds Hill, Highgate","Situated in a sought after purpose built block and positioned to the rear of the building, is this well-presented, 716 sq ft ground floor apartment boasting a balcony, garage and residents' parking. The accommodation comprises an entrance hallway, larger than average reception room opening to a b...","['16/06/2023', '23/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Apartment,1,1,,Leasehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Ground Floor', 'Terrace', 'Resident Parking', 'Garage', 'Leasehold with approximately 90 year(s) remaining']","[['Highgate ', '0.6 miles'], ['Crouch Hill ', '0.9 miles'], ['Archway ', '1.0 miles']]","['underground', 'overground', 'underground']",£200 per year,£2716,90 years left,Band: D
2,137869634,"£550,000",Reduced on 14/08/2023,"Highcroft Road, London, N19","A two double bedroom, ground floor, period conversion with direct access to a private 56ft garden. The property is offered in very good decorative condition and planning permission to be extended into a three bedroom flat.","['14/08/2023', '25/07/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']",Apartment,,2,,Share of Freehold,"['2 Bedrooms', '1 Reception', '1 Kitchen', '1 Bathroom', 'Ground floor', 'Period Conversion', '56ft private garden', 'Potential to extend', 'Crouch End Broadway & Stroud Green Highstreet', 'Great variety of transport links']","[['Crouch Hill ', '0.2 miles'], ['Upper Holloway ', '0.7 miles'], ['Archway ', '0.7 miles']]","['overground', 'overground', 'underground']",£0 per year,£500,998 years left,Band: D
3,134630996,"£550,000",Added on 10/05/2023,"Tabley Road, London",CHAIN FREE! A well presented and spacious (approximately 722 Sq Ft / 67 Sq M) split level raised ground and lower ground floor garden apartment forming part of a converted Victorian house situated in a popular and sought after Tufnell Park enclave that is within close proximity to multiple s (cont.),['10/05/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['CHAIN FREE! A well presented and spacious (approximately 722 Sq Ft / 67 Sq M) split level raised ground and lower ground floor garden apartment forming part of a converted Victorian house', 'Situated in a sought after Tufnell Park enclave close  to multiple shopping and transport facilities including Tufnell Park, Holloway Road and Caledonian Road underground stations', 'Two bedrooms', 'Bay fronted open plan reception/kitchen/dining room', 'Bathroom', 'Direct access to private own section of rear garden which enjoys a sunny south westerly aspect', 'No Onward Chain', 'SOLE AGENT']","[['Upper Holloway ', '0.6 miles'], ['Holloway Road ', '0.5 miles'], ['Tufnell Park ', '0.6 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
4,132251912,"£550,000",Added on 05/03/2023,"Mortimer Terrace, London, NW5",A very spacious second and third floor maisonette conveniently located moments from Hampstead Heath. ,['05/03/2023'],"['Initial entry found: £550,000']",Maisonette,1,2,826 sq. ft.(77 sq. m.),Leasehold,"['Two Double Bedrooms', 'Reception Room', 'Kitchen', 'Bathroom', 'Requires Moderisation', 'Moments from Hampstead Heath', 'Close to Shops & Transport Connections', ""Residents' Permit Parking Zone""]","[['Gospel Oak ', '0.2 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town ', '0.4 miles']]","['overground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
5,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",['08/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
6,135414338,"£550,000",Reduced on 22/06/2023,"Lady Somerset Road, London, NW5","This beautifully presented two-bedroom flat is situated on one of the most desirable roads near Tufnell Park underground station. The apartment has been completely refurbished to a high standard by its current owners, ensuring a modern and stylish living space that is ready to move into chain-fre...","['22/06/2023', '29/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Share of Freehold,"['2 Bedroom', 'Sought After Location', 'Excellent Transport Links', 'Close To Local Amenities', 'Amazing School Catchment Area', 'Recently Renovated', 'Large Communal Garden']","[['Tufnell Park ', '0.2 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.4 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
7,138800537,"£550,000",Added on 18/08/2023,"Empire Square, London, N7","We are delighted to offer for sale a super two bedroom (both with en-suites) flat, set on the second floor of a building in gated development off Holloway Road in N7.",['18/08/2023'],"['Initial entry found: £550,000']",Apartment,2,2,,Leasehold,[],"[['Upper Holloway ', '0.4 miles'], ['Holloway Road ', '0.6 miles'], ['Archway ', '0.7 miles']]","['overground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC
8,133941209,"£550,000",Added on 21/04/2023,"Weymouth Villas, Finsbury Park","Elegantly designed with a vintage style, this Victorian maisonette is enveloped in light and comfort. Original lime washed floorboards, lofty ceilings and multiple skylights make this lovely two double bedroom home something truly special. Calming linen white walls are punctuated by four...",['21/04/2023'],"['Initial entry found: £550,000']",Maisonette,2,2,,Leasehold,"['2 double bedrooms', '2 bathrooms inc. ensuite', 'Original cast-iron fireplace', 'Offered chain free', 'Deep storage within eaves', '0.4 miles from Finsbury Park Station']","[['Finsbury Park ', '0.4 miles'], ['Crouch Hill ', '0.4 miles'], ['Arsenal ', '0.6 miles']]","['nationalrail', 'overground', 'underground']",Ask agent,£720,102 years left,Band: C
9,137620529,"£550,000",Added on 20/07/2023,"Huddleston Road, London, N7","A spacious one bedroom chain-free flat, set on the lower ground of a substantial period building, with its own entrance and direct access to a private rear garden.",['20/07/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,Ask agent,Band: TBC
