,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,138391784,"£365,000",Added on 08/08/2023,"Chessing Court, Fortis Green, London, N2",This one bedroom penthouse apartment benefits from a South facing balcony with the most incredible panoramic views which seriously needs to be viewed to be fully appreciated!,['08/08/2023'],"['Initial entry found: £365,000']",Apartment,1,1,,Leasehold,"['One Bedroom', 'Top Floor', 'Balcony', 'East Finchley Tube Station 0.3 Miles Away', 'Open plan kitchen/lounge', 'Panoramic Views', 'Leasehold with 117 years remaining', 'Lift']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.0 miles'], ['Finchley Central ', '1.6 miles']]",£0 per year,£1440,116 years left,Band: C
1,135361100,"£550,000",Reduced on 28/06/2023,"Northwood Road, Highgate","Located on this popular tree lined road in Highgate is this well presented period conversion with an open plan reception and kitchen, providing two bedrooms and a separate study.","['28/06/2023', '26/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Share of Freehold,"['Two Bedrooms', 'Birght Reception Room', 'Fitted Kitchen', 'Bathroom', 'Separate Study', 'Great Transport Links', 'Shared Freehold', 'EPC Rating C']","[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '0.9 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
2,133272386,"£550,000",Reduced on 01/08/2023,"The Copse, Fortis Green, London, N2","We are delighted to offer this well-proportioned three double bedroom first and second floor apartment set within this small but popular purpose built block which is set back off Fortis Green. The apartment benefits from a 22’11 x 11’6 reception room with door to balcony, 11’1 ...","['01/08/2023', '07/04/2023']","['Price changed from £580,000 to £550,000', 'Initial entry found: £580,000']",Apartment,1,3,,Leasehold,"['RECEPTION ROOM', 'KITCHEN', '3 BEDROOMS', 'BATHROOM/WC', 'SEPARATE WC', 'GAS CH', 'BALCONY', 'COMMUNAL GARDENS', 'LEASEHOLD', 'SOLE AGENTS']","[['East Finchley ', '0.5 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.6 miles']]",£0 per year,£0,92 years left,Band: TBC
3,138336368,"£550,000",Added on 05/08/2023,"Muswell Hill Broadway, Muswell Hill","A spacious 2 bedroom Edwardian mansion flat situated at the heart of Muswell Hill, providing a generous reception room, kitchen /diner and small study space.",['05/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['2 Double bedrooms ', 'Spacious reception ', 'Kitch/Diner ', 'Family bathroom', 'Study space', 'Great transport links', 'Schools close by', 'EPC - D']","[['Highgate ', '1.0 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
4,133278977,"£550,000",Reduced on 06/07/2023,"Muswell Hill Road, Muswell Hill","An exceptional split level, two double bedroom, period conversion featuring a recently refurbished kitchen and bathroom, large reception room and a spacious landing and hallway.",[],[],Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Large reception room', 'Refurbished kitchen', 'New contemporary bathroom', 'Walking distance to tube', 'Split level', 'Close to Muswell Hill', 'EPC - D']","[['Highgate ', '0.5 miles'], ['East Finchley ', '0.8 miles'], ['Archway ', '1.4 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
5,129242114,"£550,000",Reduced on 20/03/2023,"Fortis Green Road, London","Offered with no onward chain and situated on the ground floor of Muswell Hill's most popular mansion block is this three bedroom flat in need of cosmetic work with an eat-in kitchen diner, original floor boards and delightful views out onto a landscaped communal garden area..","['31/07/2023', '20/03/2023', '04/01/2023', '21/11/2022', '18/11/2022']","['Price changed from £560,000 to £550,000', 'Price changed from £575,000 to £560,000', 'Price changed from £600,000 to £575,000', 'Price changed from £620,000 to £600,000', 'Initial entry found: £620,000']",Flat,1,3,,Leasehold,"['Three Bedrooms', 'Ground Floor', 'Kitchen Diner', 'Chain Free', 'Cosmetic Work Needed', 'Communal Gardens']","[['East Finchley ', '0.7 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.4 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
6,123836303,"£525,000",Reduced on 21/06/2022,"Whittington Court, Aylmer Road, London, N2","An impressive large (1043 sq ft) 2 double bedroom (originally 3) 2 bathroom apartment situated on the top floor of this popular lift serviced purpose-built block, conveniently situated equidistant from both Highgate and East Finchley tube stations. ","['21/06/2022', '03/06/2022']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']",Apartment,2,2,,Leasehold,"['Two Double Bedrooms', 'Two Bathrooms', 'Two Balconies', 'Off Street Parking', '1043 sq ft', 'Communal Gardens', 'Lift', 'Ample Storage', 'Close to both East Finchley and Highgate Tube', 'Views over Highgate Golf Course']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]",£50 per year,£3000,90 years left,Band: E
7,134034254,"£522,500",Reduced on 02/08/2023,"Hillfield Park, Muswell Hill, London, N10","A stylish and beautifully presented two bedroom flat on the top floor of an attractive period property, moments from Muswell Hill Broadway. Chain Free","['02/08/2023', '24/04/2023']","['Price changed from £550,000 to £522,500', 'Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['2 bedroooms', 'Central Muswell Hill location', 'Period features', '703 sq ft', 'Close to shops and transport links', 'EPC:D', 'Chain Free']","[['Highgate ', '0.9 miles'], ['East Finchley ', '0.9 miles'], ['Alexandra Palace ', '1.2 miles']]",£0 per year,£0,Ask agent,Band: TBC
8,133693271,"£500,000",Added on 17/04/2023,"Cholmeley Park, Highgate, N6","A split level one bedroom apartment occupying the top floor of a period conversion on a sought after road within close walking distance to Highgate Village. The accommodation comprises a large reception room, kitchen with space for dining, double bedroom, shower room and a guest WC.",[],[],Apartment,1,1,793 sq. ft.(74 sq. m.),Leasehold,"['Top Floor Period Conversion', 'Large Reception Room With Vaulted Ceiling', 'Communal Garden', 'Separate Kitchen With Space For Dining', 'Sought After Road In Highgate', 'Close To Public Transport']","[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '0.9 miles']]",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1200,112 years left,Band: C
9,137922818,"£500,000",Reduced on 15/08/2023,"Archway Road, Highgate","A well presented two double bedroom first floor ( top) purpose built apartment comes complete with a stylish fully bespoke separate kitchen, 14' reception room, modern bathroom and allocated off- street parking.","['15/08/2023', '26/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']",Flat,1,2,,Leasehold,"['1st Floor (Top)', 'Two Double Bedrooms', 'Modern Kitchen', 'Reception Room', 'Modern Bathroom', 'Allocated Parking']","[['Highgate ', '0.1 miles'], ['East Finchley ', '0.9 miles'], ['Archway ', '1.1 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
