,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,137800499,"£460,000",Added on 05/08/2023,"Fairbridge Road, N19 3HS","This delightful, purpose-built flat is located on a popular residential street. The property is presented in great condition with an integrated open-plan kitchen / reception and North-East facing balcony, family bathroom, built-in storage and two double bedrooms. Additional benefits include bike ...",['05/08/2023'],"['Initial entry found: £460,000']",Apartment,1,2,,Leasehold,"['613 sqft / 57 sqm', '2 bedrooms', 'Chain free', 'Leasehold', 'Balcony', 'Lift access', 'Bike storage', 'EPC rating B']","[['Crouch Hill ', '0.4 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
1,134479841,"£550,000",Reduced on 27/07/2023,"Pemberton Gardens, St John's Grove Conservation Area","A well-presented two double bedroom flat situated on the first floor in a Victorian conversion. This property offers a large open plan kitchen and reception room, and a large family bathroom.","['27/07/2023', '05/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Leasehold,"['Leasehold', 'Victorian', 'Two Double Bedrooms', 'Great Transport links', 'Open Plan Living', 'First Floor']","[['Upper Holloway ', '0.2 miles'], ['Archway ', '0.2 miles'], ['Tufnell Park ', '0.4 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
2,132251912,"£550,000",Added on 05/03/2023,"Mortimer Terrace, London, NW5",A very spacious second and third floor maisonette conveniently located moments from Hampstead Heath. ,['05/03/2023'],"['Initial entry found: £550,000']",Maisonette,1,2,826 sq. ft.(77 sq. m.),Leasehold,"['Two Double Bedrooms', 'Reception Room', 'Kitchen', 'Bathroom', 'Requires Moderisation', 'Moments from Hampstead Heath', 'Close to Shops & Transport Connections', ""Residents' Permit Parking Zone""]","[['Gospel Oak ', '0.2 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town ', '0.4 miles']]","['overground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
3,132912674,"£550,000",Reduced on 08/11/2022,"Crayford Road, London, N7",A gorgeous bright and airy one bedroom garden property situated within the heart of Tufnell Park ,['24/03/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,"['One bedroom', 'Bright and airy', 'Garden', 'Good decoration']","[['Tufnell Park ', '0.5 miles'], ['Upper Holloway ', '0.6 miles'], ['Holloway Road ', '0.6 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,104 years left,Band: D
4,128567018,"£550,000",Added on 31/10/2022,"Milton Avenue, Highgate, N6",A two double bedroom split level apartment occupying the top floor of this Edwardian conversion located in the popular Milton`s area of Highgate and within close walking distance to both Highgate and Archway Underground Stations.,"['13/04/2023', '31/10/2022']","['Price changed from £560,000 to £550,000', 'Initial entry found: £560,000']",Flat,1,2,677 sq. ft.(63 sq. m.),Share of Freehold,"['Top Floor Period Conversion', 'Two Double Bedrooms', 'Large Reception Room', 'Separate Kitchen', 'Close To Public Transport', 'Share of Freehold']","[['Highgate ', '0.4 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.8 miles']]","['underground', 'underground', 'overground']",Ask agent,£840,984 years left,Band: D
5,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",['06/07/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
6,132683510,"£550,000",Added on 17/03/2023,"Langbourne Avenue, Highgate, N6","We are pleased to offer for sale this very well presented 1 bedroom top floor flat (3rd floor/no lift) within the sought after private, gated, Holly Lodge Estate in an enviable position close to Parliament Hill and Hampstead Heath. This stylish flat has its own private balcony with superb views a...",['17/03/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,"['1930s purpose built block', 'Private, gated estate', 'Topr floor (3rd - walk up)', 'Entrance area', 'Open plan reception-kitchen (new Bosch appliances)', 'Working feature fireplace', 'Balcony with stunning London views', 'Built-in storage', 'Family bathroom', 'Double bedroom']","[['Archway ', '0.5 miles'], ['Gospel Oak ', '0.6 miles'], ['Tufnell Park ', '0.6 miles']]","['underground', 'overground', 'underground']",£10 per year (5% increase reviewed every 20 years)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1790,88 years left,Band: C
7,132813536,"£550,000",Reduced on 05/04/2023,"Gresham Place, London, N19","*cash buyers eligible for better deal * Strike is pleased to present this stunning and well-maintained, aesthetically pleasing two-bedroom, two bathroom property with fabulous interior features. Found within an amazing location, with easy transport links and an abundance of local amenitie...","['05/04/2023', '22/03/2023']","['Price changed from £570,000 to £550,000', 'Initial entry found: £570,000']",Flat,2,2,,Leasehold,"['Balcony', 'gated entrance', 'local amenities', 'Long Lease']","[['Upper Holloway ', '0.1 miles'], ['Archway ', '0.1 miles'], ['Tufnell Park ', '0.6 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
8,135650507,"£550,000",Reduced on 14/08/2023,"Highcroft Road, London","A two double bedroom garden flat, in a converted Victorian house. Presented in very good decorative order throughout, the property offers a bright reception, separate kitchen and a large private rear garden.","['14/08/2023', '12/06/2023', '02/06/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £650,000 to £600,000', 'Initial entry found: £650,000']",Flat,1,2,,Share of Freehold,"['Two Double Bedroom', 'Large Private Garden', 'Victorian Conversion', 'Separate Kitchen', 'Quiet Residential Road', 'Bright Reception']","[['Crouch Hill ', '0.2 miles'], ['Upper Holloway ', '0.7 miles'], ['Archway ', '0.7 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
9,136559990,"£550,000",Added on 26/06/2023,"Shaftesbury Road, N19","Rare to the market is this exceptionally well-proportioned and immaculately presented, top-floor, split-level (over three floors), two-double bedroom apartment set within an imposing, terraced, period residence. The property offers light and space in abundance and further comprises kitchen, m...",['26/06/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['Top-floor, split-level, (over three floors) two-double bedroom apartment', 'Sold on a chain free basis', 'Set within a terraced, period residence ', 'Exceptionally well-proportioned and immaculately presented', 'Kitchen, modern fresh family bathroom, additional guest cloakroom ', 'Host of period features incl: sash windows, high ceilings, fireplace and stained glass window', 'Amenities on Stroud Green Road and Crouch End Broadway nearby ', 'Short walk of the green open space of Parkland Walk ', 'Host of transport links close by: Finsbury Park and Archway Tube Stations ']","[['Crouch Hill ', '0.3 miles'], ['Upper Holloway ', '0.5 miles'], ['Archway ', '0.6 miles']]","['overground', 'overground', 'underground']",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£694.65,103 years left,Band: D
