,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,138925229,"£400,000",Added on 19/08/2023,"Queens Lane, London, N10",Prickett and Ellis are proud to present this fantastically located one bedroom chain free flat that has been recently refurbished to a high standard throughout. EPC Rating - D ,['22/08/2023'],"['Initial entry found: £400,000']",Apartment,1,1,,Leasehold,"['CHAIN FREE', 'ONE BEDROOM FLAT WITH POTENTIAL TO TURN INTO TWO BEDROOMS', 'LOCATED ON MUSWELL HILL BROADWAY', 'RECENTLY REFERBISHED', '113 YEAR LEASE', '584 SQUARE FEET']","[['East Finchley ', '1.0 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC
1,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",['06/07/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
2,133278977,"£550,000",Reduced on 06/07/2023,"Muswell Hill Road, Muswell Hill","An exceptional split level, two double bedroom, period conversion featuring a recently refurbished kitchen and bathroom, large reception room and a spacious landing and hallway.",[],[],Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Large reception room', 'Refurbished kitchen', 'New contemporary bathroom', 'Walking distance to tube', 'Split level', 'Close to Muswell Hill', 'EPC - D']","[['Highgate ', '0.5 miles'], ['East Finchley ', '0.8 miles'], ['Archway ', '1.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
3,132069758,"£550,000",Added on 28/02/2023,"Kings Avenue, Muswell Hill","A bright & airy second floor two bedroom, garden facing, Edwardian conversion in this prime location of Muswell Hill. Providing spacious accommodation & good decor throughout.",[],[],Flat,1,2,,Leasehold,"['Period conversion ', 'Two bedrooms', 'Open plan kitchen ', 'Double glazed windows', 'Outstanding schools', 'Prime location ', 'Leasehold']","[['East Finchley ', '0.8 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.3 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
4,136348346,"£550,000",Added on 21/06/2023,"Kitchener Road, London, N2","We offer this well presented 2 double bedroom (originally a 3 bed) first floor purpose built maisonette with direct access to own rear garden. The property is located in a highly popular residential Road, minutes from shops and amenities and within 0.5 miles from East Finchley tube (...",['21/06/2023'],"['Initial entry found: £550,000']",Maisonette,1,2,,Freehold,"['Spacious lounge/ diner', '2 double bedrooms', 'Own private garden', 'Loft storage space', '120 year lease plus freehold', 'Within 0.5 miles of East Finchley tube', 'Gas central heating', 'Chain free']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
5,133272386,"£550,000",Reduced on 01/08/2023,"The Copse, Fortis Green, London, N2","We are delighted to offer this well-proportioned three double bedroom first and second floor apartment set within this small but popular purpose built block which is set back off Fortis Green. The apartment benefits from a 22’11 x 11’6 reception room with door to balcony, 11’1 ...","['01/08/2023', '07/04/2023']","['Price changed from £580,000 to £550,000', 'Initial entry found: £580,000']",Apartment,1,3,,Leasehold,"['RECEPTION ROOM', 'KITCHEN', '3 BEDROOMS', 'BATHROOM/WC', 'SEPARATE WC', 'GAS CH', 'BALCONY', 'COMMUNAL GARDENS', 'LEASEHOLD', 'SOLE AGENTS']","[['East Finchley ', '0.5 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.6 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,92 years left,Band: TBC
6,138336368,"£550,000",Added on 05/08/2023,"Muswell Hill Broadway, Muswell Hill","A spacious 2 bedroom Edwardian mansion flat situated at the heart of Muswell Hill, providing a generous reception room, kitchen /diner and small study space.",['05/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['2 Double bedrooms ', 'Spacious reception ', 'Kitch/Diner ', 'Family bathroom', 'Study space', 'Great transport links', 'Schools close by', 'EPC - D']","[['Highgate ', '1.0 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
7,129242114,"£550,000",Reduced on 20/03/2023,"Fortis Green Road, London","Offered with no onward chain and situated on the ground floor of Muswell Hill's most popular mansion block is this three bedroom flat in need of cosmetic work with an eat-in kitchen diner, original floor boards and delightful views out onto a landscaped communal garden area..","['31/07/2023', '20/03/2023', '04/01/2023', '21/11/2022', '18/11/2022']","['Price changed from £560,000 to £550,000', 'Price changed from £575,000 to £560,000', 'Price changed from £600,000 to £575,000', 'Price changed from £620,000 to £600,000', 'Initial entry found: £620,000']",Flat,1,3,,Leasehold,"['Three Bedrooms', 'Ground Floor', 'Kitchen Diner', 'Chain Free', 'Cosmetic Work Needed', 'Communal Gardens']","[['East Finchley ', '0.7 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
8,135361100,"£550,000",Reduced on 28/06/2023,"Northwood Road, Highgate","Located on this popular tree lined road in Highgate is this well presented period conversion with an open plan reception and kitchen, providing two bedrooms and a separate study.","['28/06/2023', '26/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Share of Freehold,"['Two Bedrooms', 'Birght Reception Room', 'Fitted Kitchen', 'Bathroom', 'Separate Study', 'Great Transport Links', 'Shared Freehold', 'EPC Rating C']","[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
9,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",['08/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
