,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,136995071,"£535,000",Reduced on 21/07/2023,"Adamson Road, Belsize Park, NW3","For the attention of cash buyers and investors! A charming one bedroom apartment measuring 605 sq ft, situated on the raised ground floor of a Victorian conversion moments from vibrant Belsize Village and England's Lane. The apartment benefits from wonderful character including ...","['14/07/2023', '06/07/2023']","['Price changed from £495,000 to £535,000', 'Initial entry found: £495,000']",Flat,1,1,605 sq. ft.(56 sq. m.),Leasehold,"['Raised Ground Floor', 'High Ceilings', 'Close To Transport', 'Characterful Apartment']","[['Swiss Cottage ', '0.2 miles'], ['Finchley Road ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,49 years left,Ask agent
1,136187942,"£550,000",Added on 16/06/2023,"ETON HALL, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill.",['16/06/2023'],"['Initial entry found: £550,000']",Flat,1,1,,Leasehold,"['One Bedroom', 'One Bathroom', 'Communal Gardens', 'Porter', 'Heating and hot water included in Service charge', 'Separate Kitchen', 'Lift Access']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",£26 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£4100,84 years left,Band: C
2,134710331,"£550,000",Reduced on 06/07/2023,"Arlington Road, Camden, London, NW1","Set on the ground floor of a gorgeous mid-terrace building, this wonderful 1 bedroom flat boasts a stunning high-specification finish, open-plan kitchen/living space, en suite bathroom and a fantastic location.","['06/07/2023', '11/05/2023']","['Price changed from £595,000 to £550,000', 'Initial entry found: £595,000']",Flat,1,1,561 sq. ft.(52 sq. m.),Leasehold,"['Fabulous 1 bedroom flat', 'Set on the ground floor of a gorgeous property', 'Beautiful open-plan kitchen/living space', 'Great bedroom with fitted wardrobes', 'En-suite bathroom with seperate bath and shower', 'Amazing location in the heart of Camden', 'Transport and local amenities close by', 'Great space throughout the property']","[['Camden Town ', '0.1 miles'], ['Mornington Crescent ', '0.3 miles'], ['Camden Road ', '0.3 miles']]","['underground', 'underground', 'overground']",£230 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2366.24,980 years left,Ask agent
3,137160785,"£550,000",Added on 17/12/2022,"Townshend Estate, St Johns Wood","A spacious two double bedroom apartment, with its own entrance, located just moments away from Regents Park and St John's Wood High Street.",['10/07/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['Chain free', 'Own entrance', 'Double glazed', 'Separate kitchen', 'Close to amenities', 'c640 sq ft GIA', 'Lease exp 2117', 'EPC rating D']","[[""St. John's Wood "", '0.3 miles'], ['Swiss Cottage ', '0.7 miles'], ['South Hampstead ', '0.7 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
4,135089531,"£550,000",Added on 22/05/2023,"Ferdinand Street, London, NW1","A three bedroom purpose built sixth floor apartment, with a balcony and lift, located close to Camden Town and Chalk Farm.",['22/05/2023'],"['Initial entry found: £550,000']",Apartment,1,3,,Leasehold,"['3 Bedrooms', '1 Reception', 'Bathroom & seperate WC', 'Balcony with West facing views', 'Arranged over 793 SQFT', 'Lift', 'Double glazing', 'Wooden floors', 'Period features', 'Lease 101 years remaining']","[['Kentish Town West ', '0.2 miles'], ['Chalk Farm ', '0.2 miles'], ['Camden Town ', '0.4 miles']]","['overground', 'underground', 'underground']",£10 per year,£1520,100 years left,Band: C
5,135927671,"£550,000",Added on 09/06/2023,"Eton College Road, Belsize Park NW3","A spacious and bright one bedroom apartment - Fantastic roof top views across London - Top floor, 571 sq ft approx - Porterage, lift and communal gardens - Good decorative order - Popular 1930`s purpose built block - 18ft reception - 15ft bedroom with built in wardrobes - Separat...",['09/06/2023'],"['Initial entry found: £550,000']",Apartment,1,1,571 sq. ft.(53 sq. m.),Leasehold,"['A spacious and bright one bedroom apartment', 'Fantastic roof top views across London', 'Top floor- 571 sq ft approx', 'Porterage, lift and communal gardens', 'Good decorative order', 'Popular 1930`s purpose built block', '18ft reception', '15ft bedroom with built in wardrobes', 'First come first served parking', 'Ideal for Chalk Farm station,Primrose Hill and Belsize Park']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",Ask agent,£4000,958 years left,Band: C
6,134337602,"£550,000",Reduced on 06/07/2023,"Gloucester Avenue, Primrose Hill, London, NW1","A super one bedroom flat on the raised ground floor of an elegant Victorian terrace on Gloucester Avenue in Primrose Hill, a short walk to Camden, Regents Park and Primrose itself. The property has a very nice open plan reception room with kitchen and dining area, double bedroom, good sized bathr...","['06/07/2023', '01/06/2023', '02/05/2023']","['Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']",Flat,1,1,,Share of Freehold,[],"[['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles'], ['Camden Road ', '0.5 miles']]","['underground', 'underground', 'overground']",£0 per year,£1956,172 years left,Band: TBC
7,135657584,"£550,000",Added on 03/06/2023,"Finchley Road, Hampstead, London, NW3",This two bedroom apartment (755 sq. ft.) situated on the second floor of a small block positioned above commercial premises. The property is located on Finchley Road directly opposite Finchley Road Underground station and an abundance of shopping facilities and transport links.,['03/06/2023'],"['Initial entry found: £550,000']",Apartment,1,2,,Leasehold,"['2 Bedrooms', 'Separate Kitchen', '2nd Floor', 'Dual Aspect Lounge', 'Wood Flooring Throughout', 'Close to O2 Centre', 'Close to tube station', 'No Upper Chain']","[['Finchley Road ', '0.0 miles'], ['Swiss Cottage ', '0.3 miles'], ['Finchley Road & Frognal ', '0.3 miles']]","['underground', 'underground', 'overground']",£10 per year,£0,84 years left,Band: TBC
8,137663291,"£550,000",Added on 14/07/2023,"Netherhall Gardens, Hampstead, London, NW3","This exceptionally spacious 1 bedroom flat is arranged on the top floor of a wonderful period conversion and boasts a generous double bedroom, good-sized reception room open-plan kitchen and smart shower room.",['21/07/2023'],"['Initial entry found: £550,000']",Flat,1,1,844 sq. ft.(78 sq. m.),Share of Freehold,"['Exceptionally spacious 1 bedroom flat', 'Arranged on the 3rd floor (with 2nd floor entrance)', 'Reception room with open-plan kitchen', 'Generous double bedroom with storage', 'Shower room with roof window providing ample natural light', 'Imposing period conversion', 'Superb potential for light refurbishment (although well-presented as is)']","[['Finchley Road & Frognal ', '0.2 miles'], ['Finchley Road ', '0.3 miles'], ['Hampstead ', '0.4 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
9,130529525,"£550,000",Added on 09/01/2023,"Rowley Way, London","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of London’s famous Abbey ...","['10/01/2023', '09/01/2023']","['Price changed from £500,000 to £550,000', 'Initial entry found: £500,000']",Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent
