,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,125542247,"£425,000",Reduced on 29/08/2023,"Cambridge Avenue, London, NW6",Well presented one bedroom apartment with front and rear patios situated within this smart modern development located adjacent Kilburn Park station.,[],[],Flat,1,1,607 sq. ft.(56 sq. m.),Leasehold,"['Leasehold Term 999 years from 13/07/2012', 'Entrance Hall', 'Reception Room', 'Contemporary Open Plan Kitchen', 'Double Bedroom', 'Bathroom', 'Front Patio', 'Rear Patio with access to Communal Garden', 'Attractive Wooden Flooring', 'Entryphone & Lift']","[['Kilburn Park ', '0.0 miles'], ['Kilburn High Road ', '0.2 miles'], ['Maida Vale ', '0.5 miles']]","['underground', 'overground', 'underground']",£350 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3323,988 years left,Band: B
1,135878240,"£550,000",Reduced on 11/07/2023,"Heritage Lane, West Hampstead","A luxurious double bedroom apartment with a balcony enjoy stunning views in a desirable modern development with concierge, residents gym, wet room and sauna.","['11/07/2023', '08/06/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']",Flat,1,1,,Leasehold,"['Concierge', 'High Specification Finish', 'Balcony', 'Gym', 'Sauna', 'Jubilee Line', 'Thameslink', 'Overground']","[['West Hampstead ', '0.0 miles'], ['West Hampstead Thameslink ', '0.1 miles'], ['Brondesbury ', '0.4 miles']]","['nationalrail', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
2,137852846,"£550,000",Added on 25/07/2023,"Goldsmith Place, Kilburn Park","Introducing this newly refurbished three-bedroom, one-bathroom split-level flat offers over 900 square feet of contemporary living space in a purpose-built complex. With its stylish finish, modern amenities, and convenient location, this property presents an excellent opportunity for homeownershi...",['25/07/2023'],"['Initial entry found: £550,000']",Flat,1,3,,Leasehold,"['Three Double Bedrooms', 'Newly Refurbished', 'Private Balcony', 'Split-Level', 'Separate Kitchen', 'Chain Free']","[['Kilburn High Road ', '0.1 miles'], ['Kilburn Park ', '0.2 miles'], ['Maida Vale ', '0.6 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
3,138873920,"£550,000",Added on 16/07/2023,"Cavendish Road, NW6","Property reference number: MA0672
Step into the elegance of this bright and spacious two-bedroom apartment, situated on the raised ground floor of a stunning detached period building. Impeccably presented, this property showcases a harmonious blend of classic charm and modern comfort, e...",['21/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,679 sq. ft.(63 sq. m.),Leasehold,"['Property reference number: MA0672', 'Spacious two-bedroom apartment', 'Raised Ground Floor', 'Detached Period Building', 'High Ceilings', 'Wooden Floors', 'Excellent Transport Links']","[['Brondesbury ', '0.1 miles'], ['Kilburn ', '0.1 miles'], ['Brondesbury Park ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,118 years left,Ask agent
4,133125212,"£550,000",Reduced on 02/06/2023,"Iverson Road, London, NW6","A well proportioned, two bedroom flat set within an attractive detached period building with terrace and off street parking.","['02/06/2023', '31/03/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,2,,Share of Freehold,"['Two bedroom top floor flat', 'Fitted Galley-Style Kitchen', 'Private Roof Terrace', 'Close To Kilburn Underground & Brondesbury Station', 'Easy Access To All Amenities', 'Spacious Dual Aspect Reception Room', 'Tiled Bathroom', 'No Onward Chain', 'Off Street Parking']","[['Brondesbury ', '0.2 miles'], ['Kilburn ', '0.3 miles'], ['West Hampstead Thameslink ', '0.3 miles']]","['overground', 'underground', 'nationalrail']",£0 per year,Ask agent,170 years left,Band: C
5,130529525,"£550,000",Added on 09/01/2023,"Rowley Way, London","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of London’s famous Abbey ...",[],[],Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent
6,86244888,"£550,000",Reduced on 05/07/2023,"Gascony Avenue, West Hampstead",A charming two bedroom flat set over the first and second floors of this period building with a private south facing terrace. The property will be sold with no onward chain,['05/07/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['Period Conversion', 'Two Bedrooms', 'Split Level', 'Private Terrace', 'Separate Kitchen', 'No Onward Chain']","[['Brondesbury ', '0.3 miles'], ['Kilburn High Road ', '0.4 miles'], ['West Hampstead ', '0.4 miles']]","['overground', 'overground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
7,139080347,"£550,000",Added on 24/08/2023,"Birchington Road, West Hampstead","A superb two bedroom second floor flat for sale, finished to a high standard and forming part of an attractive period building, moments from local amenities.",['24/08/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Share of Freehold,"['Two bedrooms', 'Top floor ', 'Share of Freehold', 'Herringbone wooden floors', 'New kitchen & bathroom', 'Quiet tree lined street', 'Excellent transport links']","[['Kilburn High Road ', '0.1 miles'], ['Kilburn Park ', '0.3 miles'], ['Brondesbury ', '0.5 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
8,135657584,"£550,000",Added on 03/06/2023,"Finchley Road, Hampstead, London, NW3",This two bedroom apartment (755 sq. ft.) situated on the second floor of a small block positioned above commercial premises. The property is located on Finchley Road directly opposite Finchley Road Underground station and an abundance of shopping facilities and transport links.,[],[],Apartment,1,2,,Leasehold,"['2 Bedrooms', 'Separate Kitchen', '2nd Floor', 'Dual Aspect Lounge', 'Wood Flooring Throughout', 'Close to O2 Centre', 'Close to tube station', 'No Upper Chain']","[['Finchley Road ', '0.0 miles'], ['Swiss Cottage ', '0.3 miles'], ['Finchley Road & Frognal ', '0.3 miles']]","['underground', 'underground', 'overground']",£10 per year,£0,84 years left,Band: TBC
9,86139069,"£550,000",Added on 17/05/2023,"Broadhurst Gardens, West Hampstead",This two bedroom split-level apartment has recently been refurbished by the current owner to a high standard. The property benefits from communal gardens and no onward chain.,['17/05/2023'],"['Initial entry found: £550,000']",Flat,1,2,,Leasehold,"['Two Bedrooms', 'Recently Refurbished', 'Duplex Apartment', 'Close To Transport', 'Communal Gardens', 'No Onward Chain']","[['Finchley Road ', '0.2 miles'], ['Finchley Road & Frognal ', '0.3 miles'], ['West Hampstead ', '0.3 miles']]","['underground', 'overground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
