,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,141107348,"£1,300,000",Reduced on 07/11/2023,"One Park Drive, Canary Wharf, London, E14","Spectacular two bedroom apartment, part of the stunning One Park Drive development in Canary Wharf, E14. ",Apartment,2,2,,Leasehold,"['Two bedrooms', 'Two bathrooms', 'Over 1,000 sq ft internal space', 'Premium specification', 'Private balcony', ""Residents' health and fitness club"", 'Communal Sky terrace', 'Excellent tansport links']","[['South Quay ', '0.2 miles'], ['Canary Wharf ', '0.2 miles'], ['Heron Quays ', '0.3 miles']]","['dlr', 'underground', 'dlr']",£750 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£11236,238 years left,Band: F,False
1,141999434,"£300,000",Added today,Beadnell Road London SE23,Stylish One Bedroom Purpose Built Apartment in Honor Oak,Flat,1,1,,Leasehold,"['Chain Free', 'Spacious Apartment ', 'Stylish Kitchen', 'Communal Garden', 'Natural Light Throughout ', 'Close To Transportation']","[['Forest Hill ', '0.4 miles'], ['Honor Oak Park ', '0.5 miles'], ['Crofton Park ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: B,False
2,141970163,"£250,000",Reduced today,"Varcoe Road, London, SE16","This one bedroom first floor flat is in excellent condition and boasts a long lease with no chain. The well presented property is set within a private development with an allocated parking space close to Bermondsey Station. The flat is well lit, spacious and features a dual aspect separate kitche...",Flat,1,1,,Leasehold,"['CHAIN FREE ', 'Long Lease', 'Close To South Bermondsey Station And Bus Routes ', 'Light And Spacious Reception With Feature Bay ', 'Separate Well Equipped Dual Aspect Kitchen ', 'Modern Bathroom With White Suite ', 'Small Private Modern Development  ', 'Double Glazing And Electric Heating ', 'Ample Inbuilt Storage ', 'Close To Shops And Amenities On The Old Kent Road ']","[['South Bermondsey ', '0.2 miles'], ['Surrey Quays ', '0.7 miles'], ['Queens Road Peckham ', '0.8 miles']]","['nationalrail', 'overground', 'nationalrail']",£0 per year,£1900,91 years left,Band: C,False
3,141996788,"£325,000",Added today,"Vancouver Road, London, SE23","One double bedroom | 16'3 Open-plan living | Victorian conversion | Great condition | Sought-after road | Large communal south-facing garden | 41 Sqm / 447 Sq Ft | Forest Hill, Zone 3",Apartment,1,1,,Share of Freehold,"['One double bedroom', ""16'3 Open-plan living"", 'Victorian conversion', 'Great condition', 'Sought-after road', 'Large communal south-facing garden', '41 Sqm / 447 Sq Ft', 'Forest Hill, Zone 3']","[['Catford ', '0.6 miles'], ['Catford Bridge ', '0.7 miles'], ['Forest Hill ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,False
4,140551400,"£375,000",Reduced yesterday,Hanover Park Peckham SE15,"A fantastic opportunity to secure a well-presented, charming first floor, two bedroom Victorian conversion in the heart of Peckham.",Flat,1,2,,Leasehold,"['First Floor Flat', 'Two Bedrooms', 'Measuring 621sqft', 'Victorian Conversion', 'Chain Free', 'Leasehold', 'Close Transport Links', 'Energy Efficiency Rating D']","[['Peckham Rye ', '0.2 miles'], ['Queens Road Peckham ', '0.4 miles'], ['Nunhead ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,141995342,"£415,000",Added yesterday,"Hatcham Park Road, New Cross, SE14","Sleek second (top) floor one bedroom pad - of 537 square feet - with a sunny south-facing balcony, within a boutique development of just eight contemporary apartments. Chain free. You are located within popular Hatcham Conservation Area, really close to New Cross Gate Station (Fare Zone 2). ",Flat,1,1,,Leasehold,[],"[['New Cross Gate ', '0.2 miles'], ['Queens Road Peckham ', '0.5 miles'], ['New Cross ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,141995321,"£580,000",Added yesterday,"Rennie Street, London","New to Market: Immaculate, modern and in excellent condition top floor apartment with private balcony, set in the sought after residential area of Greenwich Peninsula with easy access to tube station for central London, restaurants and shops of O2 is available for sale now!",Flat,1,2,,Leasehold,"['Two Double Bedrooms', 'Top Floor', 'Excellent Condition Throughout', 'Private Large South-facing Balcony', 'Walking Distance to North Greenwich Tube Station', 'Concierge', 'Walking Distance to O2 Shopping Centre and Restaurants', 'Close to Beautiful River Thames']","[['West Silvertown ', '0.7 miles'], ['Westcombe Park ', '0.7 miles'], ['Emirates Greenwich Peninsula ', '0.7 miles']]","['dlr', 'nationalrail', 'cablecar']",Ask agent,Ask agent,993 years left,Ask agent,False
7,141995135,"£750,000",Added yesterday,"Westcombe Hill, London, SE3","A Versatile Victorian Terrace - With Hidden Depths. So close to Westcombe Park station, this three bedroom mid-terrace has been extended and much improved. It’s ideal for couples or young families. How will you use the superb, spacious basement?",Terraced,1,3,,Freehold,"['4 minute walk to Westcombe Park station', 'Three double bedrooms', 'Immaculately presented', 'Main bedroom with fitted wardrobes', '4 minute walk to Westcombe Park station', 'Close to Greenwich for Jubliee line']","[['Westcombe Park ', '0.1 miles'], ['Charlton ', '0.6 miles'], ['Maze Hill ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
8,138737489,"£400,000",Reduced yesterday,"Celestial House, Poplar, London, E14","A stylish 2 bedroom flat on the 7th floor of a superb modern development, boasting a bright reception room and fully integrated semi-open-plan kitchen, further extending onto a Balcony with views of Canary Wharf.",Flat,2,2,757 sq. ft.(70 sq. m.),Leasehold,"['Modern 2 bedroom 7th floor flat', 'Situated within a stylish development', 'Close to the local Bartlett Park', 'Spacious reception room opening onto Balcony', 'Semi open-plan kitchen with integrated appliances', 'Master bedroom with En suite bathroom', 'Bright second bedroom and contemporary main bathroom']","[['Langdon Park ', '0.1 miles'], ['All Saints ', '0.2 miles'], ['Poplar ', '0.4 miles']]","['dlr', 'dlr', 'dlr']",£380 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2256,237 years left,Ask agent,False
9,129648641,"£399,000",Reduced yesterday,"Three Colt Street, Limehouse, London, E14","Moments from the highly desirable Narrow Street, this charming 2-bedroom apartment comes with its own garage and parking space. Canary Wharf is walking distance via the Thames footpath located very close by.",Flat,1,2,627 sq. ft.(58 sq. m.),Leasehold,"['Moments from the desirable Narrow Street', 'Walking distance to Canary Wharf', 'Easy access to River Thames path', 'Private Garage included with property', 'Juliette balconies throughout apartment']","[['Westferry ', '0.2 miles'], ['West India Quay ', '0.4 miles'], ['Limehouse ', '0.5 miles']]","['dlr', 'dlr', 'nationalrail']",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3558,96 years left,Ask agent,False
