,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,137374301,"£280,000",Reduced yesterday,"Prince Imperial Road, Chislehurst, Kent, BR7",Lower ground floor conversion apartment in period property. One bedroom with the bonus of a GARAGE AND an allocated PARKING SPACE. Minutes from Chislehurst High Street and 0.9 miles to Chislehurst Station.,Apartment,1,1,400-500 sq. ft.(37-46 sq. m.),Leasehold,"['One bedroom period conversion apartment', 'Allocated parking space and garage', 'Minutes from Chislehurst High Street', '0.9 of a mile to Chislehurst Station']","[['Chislehurst ', '0.9 miles'], ['Elmstead Woods ', '1.1 miles'], ['Bickley ', '1.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£200 per year,£0,154 years left,Band: B,False
1,86659971,"£650,000",Added today,"Crofton Lane, Petts Wood, Orpington, BR6","First time to the market for over sixty years. This deceptively spacious detached cottage occupies a substantial corner plot aspect, within walking distance of Petts Wood and Orpington mainline stations, Station Square for an array of independent shops and restaurants, nearby reputable schools...",Detached,1,3,,Freehold,"['Deceptively  Spacious', 'Charming Detached Cottage', 'Substantial Corner Plot', 'Three Generous Bedrooms', 'Two Large Receptions', 'Detached Single Garage', 'Chain Free Property', 'Modernisation Required', 'Period Features', 'Development Opportunity']","[['Orpington ', '0.6 miles'], ['Petts Wood ', '0.7 miles'], ['St. Mary Cray ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: G,False
2,141001199,"£400,000",Added today,"Larch Grove, Sidcup, DA15","Guide Price From £400,000 to £425,000.Two double bedroom terrace house situated in the popular Hollies development which is ideally located for Sidcup train station.Positioned at the end of a cul de sac the property has been recently modernised and presented in excell...",Terraced,1,2,,Freehold,"['Two Double Bedrooms', 'The Hollies Development', 'Close  To Sidcup Train Station', 'Recently Modernised', 'Excellent   Decorative  Condition Throughout', 'Modern Fitted  Kitchen', 'Modern  Bathroom  Suite', 'Allocated Parking Space', 'Private Rear Garden', 'Through Lounge/ Diner']","[['Sidcup ', '0.3 miles'], ['New Eltham ', '1.2 miles'], ['Albany Park ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
3,141000860,"£600,000",Added today,Greenway Chislehurst BR7,An immaculate three bedroom mid terrace family home in a quiet residential road the heart of Chislehurst.,Terraced,1,3,,Freehold,"['Three Bedrooms', 'Large Through Lounge', 'Fully Fitted Galley Kitchen', 'Off Street Parking', 'Bay Windows', 'Feature Fireplaces', 'Rear Terrace Area', 'Spacious Loft With Potential To Extend STPP']","[['Elmstead Woods ', '0.9 miles'], ['New Eltham ', '1.1 miles'], ['Mottingham ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
4,141000149,"£780,000",Added today,"Claremont Close, Orpington","Claremont Close is a very popular cul-de-sac, close to local shops in Locksbottom and less than half a mile from Darrick Wood junior and senior schools. Other schools include the grammar schools of Newstead Woods for girls and St. Olave's for boys. Local buses lead to Orpington and Bromley South ...",Detached,2,3,,Freehold,[],"[['Orpington ', '1.5 miles'], ['Petts Wood ', '1.9 miles'], ['Chelsfield ', '2.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
5,140192261,"£380,000",Reduced today,"Gladwell Road, Bromley","CHAIN FREE. Period, two bedroom end terrace home located within a popular crescent road close to local shops and within easy reach of Bromley town centre. This delightful property, which is offered for sale chain free, provides bright and spacious rooms throughout comprising: entrance ...",Terraced,1,2,,Freehold,[],"[['Sundridge Park ', '0.4 miles'], ['Bromley North ', '0.7 miles'], ['Grove Park ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
6,136909559,"£560,000",Reduced yesterday,"Bradford Close, Bromley","OFFERED CHAIN FREE Guide Price £575,000 - £600,000 Tucked away in a quiet cul-de-sac location, is this fantastic three bedroom semi-detached family home. The property has been extended and boasts deceptively spacious accommodation arranged over two levels. The gr...",Semi-Detached,2,3,,Freehold,[],"[['Petts Wood ', '1.5 miles'], ['Hayes ', '1.6 miles'], ['Bickley ', '1.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
7,140994776,"£1,250,000",Added yesterday,"Hillbrow Road, Bromley, BR1 4JL","Introducing this splendid detached house, tucked away on a quiet road in Bromley.  With four generously proportioned bedrooms, two well-appointed bathrooms, and ample living space, this property offers a perfect blend of comfort and style. Furthermore with an annex at the end of the garde...",Detached,2,4,,Ask agent,"['Unique detached house', 'Driveway', 'Well proportioned rooms', 'Open plan living space', 'Four bedrooms', 'Two bathrooms', 'Secluded garden', 'Annex', 'Close to amenaties', 'Walkable to three railway stations']","[['Ravensbourne ', '0.4 miles'], ['Shortlands ', '0.7 miles'], ['Beckenham Hill ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,140988068,"£625,000",Added yesterday,"Ryecroft Road, Petts Wood, Orpington, BR5",Sinclair Hammelton are pleased to offer this FOUR bedroom family home. The property is in need of modernisation throughout but offers the space to make it a very special property. The property has been extended double storey to the rear to create an additional bathroom and bedroom upstirs and a ...,Semi-Detached,2,4,,Freehold,"['Four bedroom family home.', '0.3 of a mile to Petts Wood station', 'In need of modernisation', 'Kitchen/diner', 'Crofton School Catchment', 'EPC D']","[['Petts Wood ', '0.3 miles'], ['Orpington ', '0.9 miles'], ['St. Mary Cray ', '1.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
9,140986325,"£325,000",,"Lavidge Road, Mottingham","PLOT FOR SALE: Fantastic opportunity to acquire a plot of land with PLANNING PERMISSION GRANTED. The plot is located on a sought after residential road within close proximity of Mottingham village and mainline station. Subdivision of plot, demolition of existing garage store...",Plot,,3,,,[],"[['Mottingham ', '0.4 miles'], ['New Eltham ', '1.0 miles'], ['Grove Park ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
