,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140296199,"£600,000",Reduced on 09/10/2023,"Lansdowne Drive, Hackney, E8","Guide Price £600,000 - £650,000. A bright and spacious three double bedroom modern apartment in the heart of London Fields boasting approx. 1120sqft of internal living space and a glorious south – west facing balcony",Flat,1,3,,Leasehold,"['Three double bedroom', 'Approximately 1120sqft', 'South-West Facing Balcony', 'Heart of London Fields', 'Modern Block', 'Haggerston Station Nearby']","[['London Fields ', '0.2 miles'], ['Hackney Central ', '0.6 miles'], ['Hackney Downs ', '0.6 miles']]","['nationalrail', 'overground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,141246014,"£875,000",Added today,"Dalston Square, London, E8","Stunning split-level apartment offering panoramic views over the London City skyline. Occupying the 14th and 15th floor and situated within the prestigious Dalston Square is this wonderful duplex apartment. Offering in excess to 1,200 square feet of internal space, the downstairs boas...",Apartment,3,3,,Leasehold,"['Three double bedrooms', 'London City skyline views', 'Split-level across the 14th/15th floors', 'South-facing balcony', 'West-facing winter garden', 'Onsite concierge', 'Residents gymnasium', 'Private underground parking space', 'No onward chain']","[['Dalston Junction ', '0.1 miles'], ['Dalston Kingsland ', '0.2 miles'], ['Haggerston ', '0.5 miles']]","['overground', 'overground', 'overground']",£350 per year,£5875,108 years left,Band: E,False
2,141245756,"£525,000",Added today,"Kingly Building, Woodberry Down, N4","Regent are proud to present this spectacular one-bedroom apartment in the heart of Kingly Building, part of the Woodberry Down development, N4. The property comprises a spacious bedroom, an open concept living area with a large, fully fitted kitchen, a private balcony and a...",Apartment,1,1,,Leasehold,"['Total size: 538 sq.ft', 'Concierge service', ""Residents' lobby"", 'Communal garden', ""Residents' gym"", 'Swimming pool']","[['Manor House ', '0.1 miles'], ['Harringay Green Lanes ', '0.5 miles'], ['Harringay ', '0.7 miles']]","['underground', 'overground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
3,136904120,"£585,000",Added today,"Highbury New Park, Highbury, London, N5",A charming period conversion with roof terrace on one of Highbury's more popular streets,Apartment,1,1,,Share of Freehold,"['Charming upper apartment with private roof terrace, oozing period features', 'High ceilings, sash windows throughout and flooded with light even on the gloomiest days', 'Access to extensive communal gardens as well as terrace', 'Fabulous transport links via Overground for City, Victoria line for tube']","[['Canonbury ', '0.3 miles'], ['Drayton Park ', '0.6 miles'], ['Highbury & Islington ', '0.7 miles']]","['overground', 'nationalrail', 'nationalrail']",£0 per year,£766.8,Ask agent,Band: D,False
4,141244019,"£2,000,000",Added today,"Quick Street, London, N1","A beautiful three bedroom, two bathroom Georgian town house in this attractive desirable street in Angel. Rare to market is this quaint Georgian freehold positioned on a quiet and picturesque street in Angel. The house is arranged over four floors, with a bespoke Devol kitchen at raised ground...",Terraced,2,3,,Freehold,"['3 bedrooms', '1 reception room', '2 bathrooms', 'Period', 'Garden', 'Restored', 'Terraced']","[['Angel ', '0.2 miles'], ['Essex Road ', '0.6 miles'], ['Old Street ', '0.8 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: G,False
5,141242864,"£500,000",Added today,"Kingsland High Street, London, E8",2 Bedroom apartment - Currently achieving 6.25% yield - Tenants in situ - Communal rooftop terrace - 2 double bedrooms - Open plan living space - Near main transport links.,Apartment,1,2,763 sq. ft.(71 sq. m.),Leasehold,"['2 Double Bedrooms', 'Tenants In Situ', '6.25% Yield', 'Open Plan Living Space', 'Popular Location', 'Well Maintained Throughout']","[['Dalston Junction ', '0.0 miles'], ['Dalston Kingsland ', '0.1 miles'], ['Haggerston ', '0.5 miles']]","['overground', 'overground', 'overground']",Ask agent,Ask agent,116 years left,Ask agent,False
6,141242702,"£1,400,000",Added today,"St. John's Church Road, Hackney","A four double bedroom, end of terrace Victorian house with a South Facing garden and cellar. The property has retained many of its period features and has over 1700 sq ft of internal space with the possibility of more (subject to planning).",House,2,4,,Freehold,"['Victorian End of Terrace', 'Four Double Bedrooms', 'Two Bathrooms', 'Cellar', 'South Facing Garden', 'Cul-De-Sac', 'Conservation Area']","[['Hackney Central ', '0.3 miles'], ['Hackney Downs ', '0.4 miles'], ['Homerton ', '0.4 miles']]","['overground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,141242561,"£350,000",Reduced today,"124-126 Millfields Road, London, E5","***GUIDE PRICE OF £350 000 TO £375 000*** Ideal for first-time buyers and investors alike, this ground floor one-bedroom Victorian conversion is not to be missed. Offered chain free, this lovely home is kept in very good condition and comprises of a spacious open plan/ kitchen living area with...",Flat,1,1,,Leasehold,"['One Bedroom Apartment', 'Open Plan Kitchen/Living Area', 'Private Garden', 'Long Lease', 'Close To Chatsworth Road', 'Close To Transport And Local Amenities ', 'Hackney Marshes Just A Short Stroll Away', 'Chain Free']","[['Clapton ', '0.5 miles'], ['Homerton ', '0.7 miles'], ['Hackney Central ', '0.7 miles']]","['nationalrail', 'overground', 'overground']",£700 per year,£1682.7,109 years left,Band: A,False
8,140589941,"£425,000",Reduced today,"3 Candle Street, London, E1","Puprplebricks are delieghted to offer for sale this lovely modern 'top floor' flat just a short walk from Mile End Park which flows into Victoria Park, which hosts exciting festivals, events, entertainment, and leisurely strolls on the Regent's Canal Path. The property is ideally located between...",Apartment,1,2,,Leasehold,"['2 Bed Room ', ""'Top Floor'/ 3Rd Floor Flat"", 'Leasehold Property', 'Modern Intereior', 'Electric Heating']","[['Mile End ', '0.4 miles'], ['Stepney Green ', '0.4 miles'], ['Limehouse ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£191.35,109 years left,Band: C,False
9,135306647,"£535,000",Reduced today,"Essex Wharf, London","2 DOUBLE BEDROOM MODERN APARTMENT, in this sought-after development directly overlooking the River Lea & Walthamstow Marshes. Moments from Chatsworth Road offering coffee shops & the Sunday Market & walking distance of Clapton Station (City links) & Lea Bridge Station. Benefiting from: 2 double b...",Apartment,2,2,,Leasehold,"['2 Double bedroom apartment', 'Sought-after development directly overlooking the River Lea & Walthamstow Marshes', 'Private balcony', 'Fitted open plan kitchen', 'Lounge', 'Bathroom/WC & en-suite shower/WC', 'Allocated underground parking space & secured bike storage', 'Communal gardens', 'Next to Millfields Park and the ever-popular Chatsworth Road', 'Walking distance of Clapton Station (City links) and Lea Bridge Station (link to Stratford International)']","[['Clapton ', '0.5 miles'], ['Lea Bridge0.5 miles'], ['Rectory Road ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£350 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2384.44,119 years left,Ask agent,False
