,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,86445630,"£560,000",Added on 09/10/2023,"Coventry Road, ILFORD, IG1","LOOK WHAT WE'VE FOUND!! Situated in the heart of the Commonwealth Estate is this 1930's style, three bedroom, mid terraced house which has the benefit of extensive double glazing, gas central heating, through lounge, fitted kitchen, first floor bathroom and separate WC, off street parking, gar...",Terraced,1,3,,Freehold,"['THREE BEDROOMS', 'GARAGE TO REAR', 'OFF STREET PARKING', 'FREEHOLD', 'COUNCIL TAX - BAND D', 'EPC - D']","[['Ilford ', '0.7 miles'], ['Newbury Park ', '0.8 miles'], ['Seven Kings ', '0.9 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
1,86632200,"£500,000",Added today,"Henley Road, Ilford, IG1","PRICED FOR A QUICK SALE! This larger than average mid-terraced house has been well maintained and has high ceilings throughout. Situated just off Ilford Lane, you’ll be spoilt for choice when it comes to food and shopping. It boasts 3 double bedrooms, a spacious through lounge and an equall...",Terraced,1,3,,Freehold,"['garden', 'sought-after-location', 'close-to-local-amenities', 'double-glazed-windows']","[['Ilford ', '0.6 miles'], ['Barking ', '0.8 miles'], ['Seven Kings ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,139859423,"£450,000",Reduced today,"Keel Close, Barking","Modern Three Bedroom End of Terrace House with Garage situated within easy access to Barking Riverside Station, Bus Routes, Local Schools and Amenities",Terraced,1,3,,Freehold,"['THREE BEDROOM HOUSE', 'END OF TERRACE', 'GARAGE', 'CONSERVATORY', 'GROUND FLOOR WC', 'EASY ACCESS TO BARKING RIVERSIDE STATION ']","[['Barking Riverside ', '0.6 miles'], ['Becontree ', '0.9 miles'], ['Upney ', '1.1 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
3,86626866,"£525,000",Added yesterday,"Oulton Crescent, Barking","Three Bedroom Terrace House situated within the sought after Leftley Estate and being within easy access to Upney Station, Bus Routes, Local Schools and Amenities",Terraced,1,3,,Freehold,"['THREE BEDROOM HOUSE', 'LARGE THROUGH LOUNGE', 'LARGE REAR GARDEN', 'LEFTLEY ESTATE', 'CHAIN FREE']","[['Upney ', '0.5 miles'], ['Barking ', '0.9 miles'], ['Becontree ', '1.2 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
4,86625549,"£550,000",Added yesterday,"Bolton Road, Stratford, London, E15","A beautifully presented 3 bedroom house, offering a charming bay fronted reception room, eat in kitchen, beautiful rear garden and high ceilings throughout.",Terraced,1,3,"1,178 sq. ft.(109 sq. m.)",Freehold,"['A well presented 3 bedroom house', 'Arranged over 2 floors (with additional cellar)', 'Bay fronted double reception room', 'Fitted kitchen with ample space to dine and entertain', 'Bathroom with white suite', 'Charming rear garden', '3 well proportioned bedrooms with storage space', 'Rooms flooded with natural light throughout']","[['Maryland ', '0.5 miles'], ['Forest Gate ', '0.6 miles'], ['Wanstead Park ', '0.8 miles']]","['nationalrail', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,86625237,"£600,000",Added yesterday,"Barking, Barking, IG11","Presented to a high standard throughout, this wonderful 5 bedroom house offers light filled living and entertaining space with a superb rear and front garden.",Terraced,2,5,"1,115 sq. ft.(104 sq. m.)",Freehold,"['A beautifully presented 5 bedroom detached house', 'Arranged over 2 spacious floors', 'Reception room with space to dine and entertain', 'Fully fitted kitchen with contemporary fixtures and fittings', 'Family bathroom, shower room and additional WC', '5 bedrooms with storage space', 'Dining room, front and rear gardens']","[['Upney ', '0.5 miles'], ['Barking ', '0.9 miles'], ['Barking Riverside ', '1.1 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,133001669,"£250,000",Added yesterday,"Blessing Way, Barking, IG11","This well presented 2 bedroom flat is arranged on the 2nd floor of a purpose built block. Offering a charming reception room with semi open plan kitchen, generous bedrooms and a smart bathroom.",Flat,1,2,589 sq. ft.(55 sq. m.),Leasehold,"['Superb 2 bedroom flat', 'Chain free', 'Generous reception room with space to dine', 'Semi open plan kitchen', '2 well proportioned bedrooms with storage space', 'Bathroom with white suite', 'Off street parking', 'Situated moments from transport links']","[['Barking Riverside ', '0.5 miles'], ['Becontree ', '1.0 miles'], ['Upney ', '1.0 miles']]","['overground', 'underground', 'underground']",£160 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1207,98 years left,Ask agent,False
7,129911096,"£250,000",Added yesterday,"Millhaven Close, Romford, London, RM6",MS Estates are pleased to present a spacious two bedroom flat on the ground floor available for sale in Romford. ,Ground Flat,,2,,Leasehold,"['GOOD LOCATION', 'TWO BEDROOMS', 'KITCHEN', 'CLOSE TO ALL LOCAL AMENTIES ', 'FAMILY BATHROOM ', 'ALL ELECTRIC ', 'PLENTY OF STORAGE ', 'SPACIOUS LIVING AREA', 'PARCHEL DOUBLE GLAZED']","[['Chadwell Heath ', '0.6 miles'], ['Goodmayes ', '0.7 miles'], ['Seven Kings ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,94 years left,Ask agent,False
8,86622903,"£210,000",Added yesterday,"Burns Avenue, Chadwell Heath, RM6","Kurtis property proudly present this ground floor one bedroom flat located on Burns Avenue, Chadwell Heath. With approximately 969 YEARS LEASE REMAINING! Being sold with NO ONWARD CHAIN and only a short distance from Chadwell Heath Station (Elizabeth Line), bus routes and local amenities. Boastin...",Flat,1,1,,Leasehold,"['CHAIN FREE', 'ONE BEDROOM', 'GROUND FLOOR', 'NEAR TRANSPORT LINKS', 'CLOSE TO LOCAL AMENITIES', 'RESIDENTS PARKING']","[['Chadwell Heath ', '0.2 miles'], ['Goodmayes ', '0.6 miles'], ['Seven Kings ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£191.6 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1754.52,969 years left,Band: C,False
9,86618451,"£265,000",Added yesterday,"Hillview Drive, London SE28 0LH","Guide Price...£265,000 - £275,000...McConnells are pleased to offer to the market with no forward chain is this spacious 2 bedroom Freehold property located in the very popular area of West Thamesmead. Local bus routes and amenities are within easy reach as well as well as Plumstead train station...",Maisonette,1,2,,Freehold,"['2 Double Bedrooms', 'Freehold', 'No Forward Chain', 'Spacious Accomodation Throughout', 'Double Glazing', 'No Ground Rent or Service Charges', 'Garage', 'Close to Public Transport Links']","[['Plumstead ', '0.9 miles'], ['Gallions Reach ', '0.9 miles'], ['Woolwich ', '1.0 miles']]","['nationalrail', 'dlr', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
