,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140770193,"£445,000",Added on 04/10/2023,"Old Bridge Street, Teddington, Middlesex, KT1",A three bedroom 2 bathroom residential houseboat with secure 90 year mooring located on the banks of the River Thames in central Kingston. ,House Boat,2,3,,Leasehold,"['3 Bedrooms', '2 Bathrooms', 'Secure 90 year Mooring', 'Located on the banks of the River Thames in central Kingston.', 'Separate Cloakroom', 'Open Lounge to a fitted kitchen', 'Large deck terrace and direct views of the Thames', 'Allocated Parking Space', 'Superbly placed for quick and easy access into central Kingston']","[['Hampton Wick ', '0.2 miles'], ['Kingston ', '0.3 miles'], ['Norbiton ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,90 years left,Ask agent,False
1,138701678,"£350,000",Reduced today,"Wellington Gardens, Twickenham, TW2","A rarely available detached property with a private driveway, ideally situated next to Fulwell mainline rail station. The house opens to a bright living room with a semi open-plan kitchen leading to a private paved courtyard garden. On the first floor there is a landing wit...",Apartment,1,1,,Freehold,"['detached house', 'one bedroom', 'modern open/plan living', 'off street parking', 'furnished/unfurnished']","[['Fulwell ', '0.1 miles'], ['Strawberry Hill ', '0.6 miles'], ['Teddington ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
2,141135857,"£1,150,000",Reduced yesterday,"Winchester Road, End of Terrace, St Margarets ","Stunning CHAIN-FREE newly rebuilt inside, 3-bed, 2-bath with parking, very high specification. In heart of St Margarets, moments from the BR Station & Village and short walk River Thames & Richmond. call now to view, 7 days!.",Terraced,2,3,"1,055 sq. ft.(98 sq. m.)",Freehold,[],"[['St. Margarets ', '0.1 miles'], ['Twickenham ', '0.5 miles'], ['Richmond ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
3,141135491,"£399,950",Added yesterday,"Richmond Road, Kingston Upon Thames",* Large 1 Bedroom Top Floor Flat * South Facing Sun Terrace * Underfloor Heating * Breakfast Bar * Skylights * Air Conditioning * Intercom Entry System * 652 sq.ft approx * High Ceilings * Moments to the River Thames and Canbury Gardens * Prime North Kingston KT2 Location * Convenient for Kingsto...,Flat,1,1,,Leasehold,"['South Facing Sun Terrace', 'Underfloor Heating', 'Breakfast Bar', 'Skylight', 'Air Conditioning', 'Leasehold', 'Adjacent to River Road', 'Prime KT2 North Kingston Location', 'Close to Richmond Park/River Thames', 'EPC - C']","[['Kingston ', '0.4 miles'], ['Hampton Wick ', '0.5 miles'], ['Norbiton ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£375 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1200,122 years left,Ask agent,False
4,141134021,"£399,950",Added yesterday,"Upper Sunbury Road, Hampton","This is a brilliant top floor, two double bedroom flat that is in great condition. Coming with communal gardens, a garage and no onward chain this makes a great first time buy, upsize or investment.",Flat,2,2,,Leasehold,"['Two Double Bedrooms', 'Top Floor Flat', 'High Ceilings', 'Garage', 'Communal Garden', 'No Onward Chain']","[['Hampton ', '0.1 miles'], ['Hampton Court ', '1.5 miles'], ['Kempton Park1.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,141133061,"£975,000",Added yesterday,"Knightwood Crescent, New Malden, KT3","YOURMOVE is delighted to present this stunning semi-detached property in good condition. Situated in a desirable location, this property offers easy access to public transport links, nearby schools, local amenities, and plenty of green spaces. Upon entering the property, you will be im...",Semi-Detached,2,5,,Freehold,"['Semi-detached property in good condition', '5 double bedrooms including a master', 'Modern kitchen with high-quality appliances', '3 reception rooms for entertaining', 'Convenient location with public transport links', 'Nearby schools and local amenities', 'Parking space and garden', 'Energy performance certificate rating: C', 'No chain', 'Council tax band: E']","[['Malden Manor ', '0.6 miles'], ['Motspur Park ', '0.7 miles'], ['New Malden ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
6,141133532,"£825,000",Added yesterday,"High Street, Hampton","A beautifully presented, renovated and extended early Victorian family home with three bedrooms, accommodation over three floors and a wonderful private rear garden. Built in the 1850’s as part of the Hampton Court Estate, Rose Villa is a hall adjoining semi-detached house in a conservation area ...",House,1,3,,Freehold,"['Early Victorian Villa', 'Beautifully presented', 'Three bedrooms', 'Conservation area', 'Two reception rooms', 'Kitchen dining room', 'Lovely private rear garden', 'Moments to Bushy Park', 'EPC Rating - C', 'Wealth of character and charm']","[['Hampton ', '0.5 miles'], ['Hampton Court ', '1.1 miles'], ['Fulwell ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
7,141131363,"£1,400,000",Added yesterday,"Basingfield Road, Thames Ditton","HJC are proud to offer this impressive detached period family home in a sought-after cul-de-sac in Thames Ditton village. Already comprising 5 bedrooms and 3 bath/shower rooms, this property is brimming with potential to extend, subject to the usual planning consents. Downstairs is a double livin...",Detached,2,5,,Freehold,"['Period detached property', '5 bedroom, 3 bath/shower room', 'Large double-sized reception room', 'Additional kitchen/utility, possible ground floor annexe', 'Off street parking', 'Beautiful 100ft west facing garden', 'Located in a sought after cul de sac', 'Large loft space', 'Potential to extend (STPP)', 'No onward chain']","[['Thames Ditton ', '0.0 miles'], ['Esher ', '0.8 miles'], ['Hinchley Wood ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: G,False
8,141130445,"£475,000",Added yesterday,"Alpine Avenue, Surbiton",This well presented three bedroom end of terrace home resides in the very popular Sunray Estate which offer just 0.3 miles to Tolworth Rail Station as well as many popular primary & secondary schools. With additional benefits of a side extension with W/C and a large rear garden with rear access.,End of Terrace,1,3,,Freehold,"['Three Bedrooms', 'Large Rear Garden', 'Side Extension', '0.3 Miles To Tolworth Station', 'Sunray Estate ']","[['Tolworth ', '0.3 miles'], ['Malden Manor ', '0.6 miles'], ['Worcester Park ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
9,140693894,"£375,000",Reduced yesterday,"Kings Keep, Beaufort Road, Kingston Upon Thames","Presenting this delightful two double bedroom first floor apartment located on the borders of Kingston upon Thames and Surbiton. Positioned in a sought after location and just 0.5 miles from the renowned fast trainline of Surbiton Train Station, offering frequent services to London Waterloo makin...",Apartment,1,2,,Share of Freehold,"['Two Double Bedroom Apartment', 'Purpose Built Development', 'First Floor', 'Modern Fitted Kitchen', 'Modern Family Bathroom', 'Kingston/Surbiton Borders', 'Off Road Permit Parking', 'Share Of Freehold']","[['Surbiton ', '0.5 miles'], ['Kingston ', '0.9 miles'], ['Berrylands ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£2300,988 years left,Band: TBC,False
