,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,136276397,"£900,000",Reduced on 30/08/2023,"Old Park Road, Palmers Green, London N13","CHAIN FREE substantial Edwardian semi-detached house offering five double bedrooms, three receptions and three bathrooms over three original floors. The house requires MODERNISATION and offers fantastic potential to create a wonderful family period home. Old Park Road is a most desirable...",Semi-Detached,3,5,"1,938 sq. ft.(180 sq. m.)",Freehold,"['Five double bedrooms', 'Edwardian semi-detached house', 'Three receptions', 'Three bathrooms', 'Kitchen', 'Many original features', 'Full modernisation required', '100ft rear garden']","[['Palmers Green ', '0.2 miles'], ['Bowes Park ', '1.0 miles'], ['Arnos Grove ', '1.1 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: G,False
1,141289865,"£400,000",Added today,"Oaklands Avenue, London","KINGS are pleased to present this Two Bedroom End Of Terraced House with a SOUTH FACING GARDEN in a sought after location. This 1950's style family home is available CHAIN FREE and comprises a 22FT THROUGH LOUNGE, a separate kitchen opening onto the rear garden. Further features include OFF STREE...",End of Terrace,1,2,,Freehold,"['Kings Are Pleased To Present This', 'Two Bedroom End Of Terraced House', ""1950's Style"", '22ft Through Lounge', 'First Floor Bathroom', 'Off Street Parking', '36ft South Facing Rear Garden With Side Access', 'Popular Location Close To Jubilee Park', 'Chain Free', 'Council Tax Band C']","[['Southbury ', '0.6 miles'], ['Bush Hill Park ', '0.7 miles'], ['Ponders End ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
2,86657094,"£629,950",Reduced today,"Kingsclere Place, FOUR BEDROOMS",Absolute Property are delighted to present this FOUR bedroom family home built in 2001 by the award winning developer ‘Michael Shanley’. This gated development of mews houses is situated in a cul de sac just of Chase Side in Western Enfield conservation area. The property is arranged over three f...,House,2,4,,Freehold,"['Four Bedroom Mews House', 'Own Parking', 'Gated Development', 'South Facing Garden', 'Kitchen/Breakfast Room', 'En Suite', 'Guest Wc', 'Garage', 'Council tax Band F', 'EPC Rating C']","[['Enfield Chase ', '0.3 miles'], ['Gordon Hill ', '0.5 miles'], ['Enfield Town ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F,False
3,140349575,"£860,000",Reduced today,"The Mall, London, N14","A rarely available and beautifully presented four-bedroom conversion spanning the entire ground floor of a double-fronted, semi-detached Edwardian house, with a large south-facing rear garden, situated one of Southgate’s most prestigious roads. You access the property via a priva...",Apartment,2,4,,Share of Freehold,"['Rarely Ground Floor Flat with a Private Entrance Arranged on Entire Ground Floor of a Double-Fronted Edwardian House', 'Sole Use of a Generously Sized South-Facing Garden and a Driveway', 'Located on a Sought-After No-Through Road', 'Wealth of Period Features Including High Corniced Ceilings, Cast Iron Fireplaces and Stained Glass Windows', ""Large 43' Long Open-Plan Reception Room and Kitchen"", 'Bathroom Plus Separate Shower Room', 'Remaining Lease Term of Approximately 941 Years']","[['Palmers Green ', '0.6 miles'], ['Southgate ', '0.7 miles'], ['Arnos Grove ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",£0 per year,£0,941 years left,Band: E,False
4,141287642,"£375,000",Added today,"Chase Court Gardens, London","Offered to the market is this recently refurbished, two double bedroom, first floor apartment located in a quiet Development off of Chase Court Gardens in Enfield Town. The property has much to offer & benefits from being sold with A Share Of The Freehold & allocated parking",Apartment,1,2,,Share of Freehold,"['Offered With A Share Of The Freehold', 'Recently Refurbished', 'Two Double Bedrooms', 'First Floor Purpose Built Apartment', 'Allocated Parking', 'Well Maintained Communal Grounds', 'Located In A Quiet Development In The Heart Of Enfield Town', 'Walking Distance To Enfield Chase Station', 'School Catchment', 'Ideal For First Time Buyers']","[['Enfield Chase ', '0.1 miles'], ['Gordon Hill ', '0.6 miles'], ['Enfield Town ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
5,86495427,"£570,000",Reduced yesterday,"Stewartsby Close, Edmonton, London, N18",Offered for sale is this Peter Dean style terraced family home situated on a quiet cul-de-sac on a popular residential turning. Opening into a wide entrance hallway leading to a 15ft bay fronted reception room and to the rear a 22ft extended dining room with open plan modern kitchen. Double ...,Terraced,2,3,,Freehold,[],"[['Palmers Green ', '0.8 miles'], ['Silver Street ', '0.9 miles'], ['White Hart Lane ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
6,141278528,"£700,000",Added yesterday,"Pembroke Road, LONDON, N10",A traditional and characterful 4 bedroom terrace period property extending to 1465 sq ft and offering a perfect modernisation opportunity,Terraced,,4,"1,465 sq. ft.(136 sq. m.)",Freehold,['PLEASE ENSURE THAT THE FORMATTING OF THIS FIELD IS IN A COMMA SEPARATED LIST (i.e. with no line breaks between each item)'],"[['New Southgate ', '0.7 miles'], ['Bounds Green ', '1.0 miles'], ['Arnos Grove ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,139220909,"£995,000",Reduced yesterday,"The Chine, London","Coming to the market for the first time since it was built is this detached property situated on Grange Parks most prestigious road. The current accommodation comprises of L-Shaped reception room overlooking the garden, kitchen, downstairs cloakroom, three bedrooms, bathroom, garage and lean-to. ...",Detached,1,3,,Freehold,"['DETACHED', 'L-SHAPED RECEPTION ROOM', 'KITCHEN', 'DOWNSTAIRS CLOAKROOM', 'THREE BEDROOMS', 'BATHROOM', 'GARDEN', 'GARAGE', 'OWN DRIVEWAY', 'LEAN-TO']","[['Grange Park ', '0.2 miles'], ['Enfield Chase ', '0.5 miles'], ['Enfield Town ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F,False
8,141275207,"£600,000",Added yesterday,"Flexmere Road, Tottenham, London, Greater London","This recently refurbished, modern property is just needing a new kitchen for the property to be in incredible condition. This offers an investor or family a fantastic opportunity in a fantastic London location.",Terraced,3,4,,Freehold,"['Freehold & Council Tax Band C', 'Recently Renovated From Top to Bottom Bar the Kitchen ', 'Spacious Property With Plenty of Potential for Investment', '5 Well Proportioned Bedrooms', 'White Suite Family Bath or Shower Room on Each Floor', 'Separate Utility/Kitchen on Second Floor', 'Long Lawned Garden ', 'Fantastic Access into London, with White Hart Lane Underground Nearby', 'Convenient & Sought After Location', 'Viewing Highly Advised']","[['White Hart Lane ', '0.5 miles'], ['Bruce Grove ', '0.7 miles'], ['Silver Street ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,141272174,"£250,000",Added yesterday,"65 Bicknoller Road, Enfield, Greater London, EN1","First Floor - Reception Room, Two Bedrooms, Kitchen, Bathroom WC, Held on a lease for 175 years from 25th March 2020, Private Rear Garden , Possible Potential for Loft Conversion, Subject to consents, Situated in Chase Farm within a mile of Enfield Town rail Station, Video Tour available below
",Flat,,2,,Leasehold,[],"[['Enfield Town ', '0.9 miles'], ['Gordon Hill ', '1.1 miles'], ['Enfield Chase ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
10,86488593,"£625,000",Reduced yesterday,"Fox Lane, London",We have pleasure in offering for sale this recently refurbished ground floor conversion forming part of this period property. The property comprises of an open plan lounge/kitchen spanning 28' and with bi-fold doors directly onto the private rear garden. There are two double bedrooms and a third/...,Flat,2,3,,Leasehold,[],"[['Palmers Green ', '0.2 miles'], ['Winchmore Hill ', '0.9 miles'], ['Southgate ', '1.2 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,125 years left,Band: E,False
11,141270524,"£600,000",Added yesterday,"Lonsdale Drive, Enfield","Spacious three bedroom family house close to Highlands and Merryhills School, two reception rooms, modern fitted kitchen, conservatory, ground floor shower room, first floor bathroom, utility room, Southerly facing rear garden, off-street parking. Sole Agents.",Semi-Detached,2,3,,Freehold,"['Three Bedrooms', 'Two Reception Rooms', 'Conservatory', 'Modern Fitted Kitchen ', 'Utility Room', 'Ground Floor Shower Room', 'Off-Street Parking ', 'Southerly Facing Rear Garden ']","[['Grange Park ', '0.7 miles'], ['Oakwood ', '0.9 miles'], ['Enfield Chase ', '0.9 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
