,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138543686,"£325,000",Added on 11/08/2023,"Firwood Lane, Romford","Guide Price £325,000-£350,000. Great Location & No Chain! On this two bedroom flat in the lovely Kings Park Development in Harold Wood. Being ideally located next to the new Elizabeth line & other local Amenities, this is a must view, Call haart now!",Flat,1,2,,Leasehold,"['Two Double Bedrooms', 'Lift Access', 'Walking Distance To Station', 'Open Kitchen Living', 'Modern Bathroom', 'Close To All Amenities', 'Huge Balcony', 'Utility Area', 'Great Storage Options']","[['Harold Wood ', '0.4 miles'], ['Gidea Park ', '1.0 miles'], ['Emerson Park ', '1.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,136285067,"£550,000",Reduced today,"Squirrels Heath Lane, Hornchurch, RM11",Ideally located for Gidea Park Station (Elizabeth Line) 0.5 miles. Enlarged semi detached with 90 foot rear garden. Ground floor shower room. First floor bathroom. Large outbuilding. Off street parking.,Semi-Detached,2,3,,Ask agent,"['Large Outbuilding', 'Semi Detatched', '90 foot Rear Garden', '0.5 miles to Gidea Park Station', 'Ardleihg Green School']","[['Gidea Park ', '0.5 miles'], ['Harold Wood ', '1.0 miles'], ['Emerson Park ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
2,141376571,"£1,700,000",Added today,"Hacton Lane, Upminster, RM14","REF: HADER - An amazing beautiful detached house truss bodied frame throughout, with a private gated drive which leads up a driveway with ample parking",Detached,3,4,"3,019 sq. ft.(280 sq. m.)",Freehold,"['Truss beams', 'Indoor swimming pool', 'Gated drive', 'Ample parking']","[['Hornchurch ', '0.8 miles'], ['Upminster Bridge ', '0.8 miles'], ['Upminster ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
3,141375224,"£290,000",Added yesterday,"Grenfell Avenue, Hornchurch","This first floor apartment offers two bedrooms, two bathrooms -one as En-suite shower room, open plan living area with Juliette balcony, 107 years remaining on the lease, allocated parking bay, communal gardens, CHAIN FREE, access to Romford town centre & Queens hospital,. Contact today to view!",Apartment,2,2,,Leasehold,"['Well Maintained Throughout', 'Two Double Bedrooms', 'Two Bathrooms one being En-Suite', 'Lease In Excess of 107 years', 'Quiet Residential Development', 'Access to Romford Town Centre & Queens Hospital', 'Allocated Parking Space', 'First Floor Apartment', 'Chain Free']","[['Romford ', '0.7 miles'], ['Elm Park ', '1.1 miles'], ['Gidea Park ', '1.5 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,107 years left,Ask agent,False
4,141371045,"£780,000",Added yesterday,"St. Lawrence Road, Upminster, Essex",Chain Free! A Stunning Home with good sized reception room with an open plan kitchen and living area downstairs shower room - Five Bedrooms Two With Fitted Wardrobes - Luxury Family Bathroom - Garden With Decking Area -Detached Garage - Excellent Transport Links. Internally this property benefits...,Semi-Detached,2,5,,Freehold,"['Well maintained, extended semi detached home offered with no onward chain', 'Ground floor shower room & first floor bathroom', 'Open plan living/dining area', 'Garage & off road parking', 'Conveniently located less than 0.3 miles away from  Upminster C2C Train Station', 'Situated in a good convenient location for local schools and amenities', 'EPC energy rating E']","[['Upminster ', '0.2 miles'], ['Upminster Bridge ', '0.7 miles'], ['Hornchurch ', '1.5 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
5,141368192,"£450,000",Added yesterday,"Percy Road, Romford","Presenting this chain free, three-bedroom extended home. Recently refreshed with a new façade, it offers a practical paved driveway for two vehicles. ",Terraced,,3,,Freehold,"['NO ONWARD CHAIN', 'THREE BEDROOM EXTENDED HOME', 'PAVED DRIVEWAY FOR TWO VEHICLES', 'GOOD SIZE REAR GARDEN']","[['Romford ', '1.2 miles'], ['Gidea Park ', '1.9 miles'], ['Chadwell Heath ', '2.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,141369665,"£530,000",Added yesterday,"Lyndhurst Drive, Hornchurch, Essex","Beautifully presented and extended terrace house situated in a popular residential turning close to Hornchurch High Street and transport links. The house has been finished to a high standard throughout offering; entrance hall, spacious dining room with bay window to the front, separate extended l...",End of Terrace,1,3,,Freehold,"['An extended end terraced family home', 'Good condition and modern decoration throughout', 'Large rear garden', 'Off road parking', 'Close to good schools and shops']","[['Emerson Park ', '0.3 miles'], ['Gidea Park ', '1.0 miles'], ['Hornchurch ', '1.0 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
7,139590827,"£625,000",Reduced yesterday,"Howard Road, Upminster","LOCATION LOCATION LOCATION This is an incredible opportunity to be situated within walking distance to Upminster station and local High Street! A detached, chalet style bungalow, twice extended and in fair condition throughout offers fantastic bedroom sizes, one with it's own en-suite an...",Detached Bungalow,2,3,,Freehold,"['Detached Chalet Style Bungalow', 'Three/ Four Double Bedrooms', 'Extended ""annex"" with Rear Bedroom and En-Suite', 'Second Entrance Door for Annex Style Living', 'Converted Loft', 'Modern Fitted Kitchen', 'Conveniently Located for Upminster Station and High Street', 'EPC: tbc']","[['Upminster ', '0.2 miles'], ['Upminster Bridge ', '0.9 miles'], ['Hornchurch ', '1.6 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
8,141363794,"£499,995",Added yesterday,"Forest Road, Romford, London, RM7","Located in a quiet popular residential area, Brian Thomas Estate Agents are delighted to offer for sale this spacious extended three-bedroom end of terrace family house. The property is conveniently located to shops, schools and public transport facilities with easy access to the A12. ",End of Terrace,2,3,,Freehold,"['THREE BEDROOM - END OF TERRACE HOUSE ', 'OPEN PLAN LOUNGE ', 'EXTENDED FITTED KITCHEN', 'GROUND FLOOR SHOWER ROOM/W.C. AND FIRST FLOOR FAMILY BATHROOM', 'POTENTIAL FOR DOUBLE STOREY SIDE EXTENSION (STPP)', 'OFF STREET PARKING FOR THREE CARS', 'DOUBLE GLAZED AND GAS CENTRAL HEATING  ', 'UTILITY ROOM', 'GOOD SIZE REAR GARDEN', 'VIEWING HIGHLY ADVISED']","[['Romford ', '1.2 miles'], ['Chadwell Heath ', '1.8 miles'], ['Gidea Park ', '2.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,141361766,"£475,000",Added yesterday,"Pembroke Close, Hornchurch, RM11","Guide Price £475,000 - £500,000. Great size well maintained family style home in a sought-after location of Hornchurch. The home is within close proximity to local shops and schools, with great transport links nearby. The property offers three great size bedrooms & ground floor r...",Semi-Detached,1,3,,Freehold,"['Excellent School Catchment Area', 'Easy Reach of Local Shops', 'Great Transport Links Within Walking Distance', 'Sought After Location', 'Must View Home', 'Virtual Tour Available']","[['Harold Wood ', '0.9 miles'], ['Emerson Park ', '1.0 miles'], ['Gidea Park ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
