,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140607617,"£750,000",Reduced on 09/10/2023,"Knowles Hill Crescent, Hither Green","Adorned with awe-inspiring charm and elegance this three bedroom house possesses an abundance of natural light, high ceilings, original features & a lovely fusion of both period and modern.",Semi-Detached,2,3,,Freehold,"['Three bedrooms', 'Two receptions', 'Two bathrooms', 'Victorian Freehold ', 'Stripped wooden floors', 'Front & rear gardens', '1,319 sq ft / 122.5 sq m ', 'EPC Rating: D']","[['Hither Green ', '0.3 miles'], ['Ladywell ', '0.6 miles'], ['Lewisham ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,140887589,"£375,000",Added today,"Kelly Avenue, Peckham Rye, SE15","Recently and stylishly-renovated one double bedroom modern-build fourth floor (penthouse!) apartment of 475 square feet, set within an attractive low-rise development - with communal bike storage. This flat sale includes all the furniture.",Flat,1,1,,Ask agent,[],"[['Peckham Rye ', '0.4 miles'], ['Queens Road Peckham ', '0.8 miles'], ['Denmark Hill ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,140887559,"£550,000",Added today,"Adriatic Apartments, 20 Western Gateway, Royal Docks, London, E16","A beautifully presented two double bedroom apartment located on the seventh floor of this sought-after modern development in the very heart of Docklands, E16. Immaculately kept by the current owners, the property consists of a superb open plan kitchen / living room which is bathed in natural ligh...",Flat,2,2,,Leasehold,[],"[['Emirates Royal Docks ', '0.0 miles'], ['Royal Victoria ', '0.1 miles'], ['Custom House ', '0.3 miles']]","['cablecar', 'dlr', 'nationalrail']",£0 per year,£0,Ask agent,Band: F,False
3,138976727,"£385,000",Reduced today,"Baizdon Road, London, SE3","Nestled within an esteemed location, mere steps away from the charm of Blackheath Village and the convenience of Blackheath Station, resides this generously sized apartment boasting two spacious double bedrooms and a private, south-facing balcony. The property boasts an exceptional level of int...",Ground Flat,1,2,,Leasehold,"['No Onwards Chain', 'Two Double Bedrooms', 'Low Rise Purpose Built Block', 'Heart Of Blackheath', 'Easy Reach Of Blackheath Station', 'Ideal For A First Time Buyer Or Couple', 'Modern Fitted Kitchen']","[['Blackheath ', '0.3 miles'], ['Lewisham ', '0.6 miles'], ['Elverson Road ', '0.8 miles']]","['nationalrail', 'nationalrail', 'dlr']",£10 per year,£1300,90 years left,Band: C,False
4,139500071,"£1,149,500",Reduced today,"Hyde Vale, Greenwich, SE10","Call now to book your viewing appointment! Hyde Vale is an exclusive development, we are offering this stunning 3 bedroom townhouse located moments from Greenwich Park. The house offers fantastic living space and is finished to a high specification with an incredible attention to detail. Greeng...",House,3,3,,Freehold,"['1,301 sq ft', 'Spacious garden room with power/heating', 'Situated in the heart of Greenwich', 'New build development', 'Garden, terrace and courtyard', 'Top floor master suite with dressing room and bathroom']","[['Greenwich DLR ', '0.2 miles'], ['Greenwich ', '0.2 miles'], ['Cutty Sark ', '0.4 miles']]","['dlr', 'nationalrail', 'dlr']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,140357237,"£525,000",Reduced today,2 Cutter Lane Greenwich SE10,"A stylish one bedroom located in the Upper Riverside development, on the 1st floor with views of the gardens, 5 mins from North Greenwich tube station (Jubilee Line) with direct links into Canary Wharf and the City.",Apartment,1,1,,Leasehold,"['1 Double bedroom', '1 Bathroom', '1st Floor modern apartment', 'Balcony', 'Residents roof terraces', 'On-site leisure facilties', '5 mins from North Greenwich tube (Jubilee Line)', 'Approx. 524 sq ft (48.7 sq m)', 'Leasehold (231 years)', 'EPC: B']","[['Emirates Greenwich Peninsula ', '0.2 miles'], ['North Greenwich ', '0.2 miles'], ['West Silvertown ', '0.6 miles']]","['cablecar', 'underground', 'dlr']",Ask agent,Ask agent,Ask agent,Band: D,False
6,140887133,"£675,000",Added today,"Papermill Wharf, Narrow Street, London, E14","Dual aspect one bedroom apartment in Papermill Wharf with wonderful river views. Experience luxurious waterfront living at its finest in this stunning fourth-floor flat in the premier Limehouse area of London. This spacious apartment, spanning approximately 858 square feet (79.7 square meters), ...",Flat,1,1,,Share of Freehold,"['1 bedroom', '1 reception room', '1 bathroom', '858 sq ft of internal space', 'Fourth floor with lift access', 'Well known, well run development', 'Far reaching river views', 'Balcony', 'Concierge', 'Parking']","[['Limehouse ', '0.3 miles'], ['Westferry ', '0.4 miles'], ['West India Quay ', '0.7 miles']]","['nationalrail', 'dlr', 'dlr']",£0 per year,£4900,Ask agent,Band: F,False
7,140884514,"£275,000",Added today,"Batavia House, Batavia Road, London, SE14",Two Double Bedrooms | Separate Reception / Fully fitted Kitchen | Three-piece Bathroom Suite | First Floor | Communal lift | Under Two Mins Walk from New Cross Gate Train Station | Chain Free | Zone 2,Apartment,1,2,,Leasehold,"['Two Double Bedrooms', 'Separate Reception / Fully fitted Kitchen', 'Three-piece Bathroom Suite', 'First Floor', 'Communal lift', 'Under Two Mins to New Cross Gate Station', 'Chain Free', 'Zone 2']","[['New Cross Gate ', '0.1 miles'], ['New Cross ', '0.3 miles'], ['Deptford ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: A,False
8,140884451,"£370,000",Added today,"Blackwall Lane, Greenwich, London, SE10","A superb one bedroom apartment, that measures circa 553 square foot, which is well located close to the river walk, on the borders of North and East Greenwich.",Apartment,1,1,,Leasehold,"['one bedroom apartment', '2nd floor (with lift)', 'superb condition', 'circa 553 sq ft', 'large covered balcony', 'kitchen living room', 'good views to rear', 'modern bathroom', 'popular development', 'East Greenwich']","[['Maze Hill ', '0.3 miles'], ['Westcombe Park ', '0.5 miles'], ['Island Gardens ', '0.8 miles']]","['nationalrail', 'nationalrail', 'dlr']",£0 per year,£0,Ask agent,Band: TBC,False
9,139703009,"£485,000",Reduced yesterday,"Cable Street, Limehouse, London, E1W","Set within a modern residential development, this superb 2 bedroom apartment offers well proportioned living and entertaining space with stylish and neutral interiors and contemporary fittings.",Flat,2,2,730 sq. ft.(68 sq. m.),Leasehold,"['Located on the 6th floor, with lift', 'Dual-aspect reception room with space to dine', 'Sleek open-plan kitchen with integrated appliances', 'Main bedroom with fitted wardrobe and En Suite', 'Good-sized second bedroom with fitted wardrobe', 'Chic bathroom', 'Private Balcony with fantastic views', 'Secure electronic fob entry system']","[['Shadwell ', '0.3 miles'], ['Limehouse ', '0.4 miles'], ['Wapping ', '0.6 miles']]","['dlr', 'nationalrail', 'overground']",£150 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£4170,105 years left,Ask agent,False
