,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,128299640,"£775,000",Reduced on 31/03/2023,"Havelock Road, Croydon","Positioned in the highly desirable Havelock Road and a characterful 5 bedroom semi-detached family home. If space, location, and character is what you're looking for along with putting your own stamp to make it your dream home, look no further - this house is for you.",Semi-Detached,1,5,,Freehold,"['Semi-detached', '5 bedrooms', 'Family bathroom and cloakroom', 'Garage and off street parking', 'Split over 3 floors', 'No chain', 'Desirable location']","[['Sandilands Tram Stop0.2 miles'], ['Addiscombe Tram Stop0.3 miles'], ['Lebanon Road Tram Stop0.4 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: E,False
1,140955194,"£500,000",Added today,Byne Road London SE26,"A highly requested, two bedroom ground floor apartment in the heart of SE26. This apartment is set within a stunning brick facade period building and has been recently refurbished throughout and benefits of a private garden and Share of Freehold.",Flat,1,2,,Share of Freehold,"['Victorian Era.', 'Ground Floor Apartment.', 'Private Garden to Rear.', 'Share of Freehold.', '0.3 Miles to Overground Station.', 'Chain Free Purchase.', 'Recently Decorated.', 'EPC Rating: D.']","[['Penge East ', '0.3 miles'], ['Sydenham ', '0.3 miles'], ['Penge West ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
2,140185262,"£270,000",Reduced today,"St. Lukes Close, London","Comprising two double bedrooms, a spacious through reception room with a separate kitchen and a white bathroom suite. Benefits inc a long lease and a garage. Sold with NO CHAIN!",Flat,1,2,,Leasehold,"['Two Bedrooms', 'Purpose Built ', 'Garage', 'Long Lease', 'Chain Free']","[['Woodside Tram Stop0.2 miles'], ['Arena Tram Stop0.3 miles'], ['Blackhorse Lane Tram Stop0.4 miles']]","['tramlink', 'tramlink', 'tramlink']",£0 per year,£1000,949 years left,Band: C,False
3,140954012,"£300,000",Added today,"Wolfington Road, West Norwood, SE27",Galloways are excited to present to the market this stunning first-floor one-bedroom period conversion on Wolfington Road. The property is being sold with a share of the freehold and has been refurbished to an incredible standard throughout. The property benefits from having a modern fitted kitch...,Flat,1,1,,Share of Freehold,"['PRICE GUIDE £300,000 - £325,000', 'ONE BEDROOM / SHARE OF FREEHOLD', 'VICTORIAN CONVERSION', 'FANTASTIC CONDTION', 'MODERN FITTED KITCHEN', 'STYLISH BATHROOM SUITE', 'DOUBLE GLAZING', 'GAS CENTRAL HEATING', '5 MINUTE WALK FROM WEST NORWOOD STATION', '(TIMES ESTIMATED VIA GOOGLE MAPS)']","[['West Norwood ', '0.2 miles'], ['Tulse Hill ', '0.6 miles'], ['Streatham Hill ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,140953436,"£725,000",Added today,"Aldersmead Avenue, Croydon",A larger than average four bedroom semi detached property in cul-de-sac location. Having been extended by its current owner this much loved property is offered to the market in good decorative order throughout. An internal viewing is essential to fully appreciate the size and flexible living...,Semi-Detached,2,4,,Freehold,"['cul-de-sac location', 'four bedrooms', 'two bathroom', 'large kitchen', 'rear garden', 'driveway to front']","[['Arena Tram Stop0.5 miles'], ['Elmers End ', '0.6 miles'], ['Woodside Tram Stop0.8 miles']]","['tramlink', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: E,False
5,137513432,"£325,000",Reduced today,"Silverdale, Sydenham, London, SE26 4SQ","Being sold CHAIN FREE, this 555 sq ft one bedroom top floor Victorian conversion has an amazing private west facing roof terrace, and is located on a sought after road just a short walk away from both Forest Hill and Sydenham stations.
Offered for sale in good condition throughout, the ...",Flat,1,1,555 sq. ft.(52 sq. m.),Leasehold,"['One Bedroom Top Floor Flat', 'Private Roof Terrace', 'Close to Sydenham and Forest Hill Stations', 'Close to Mayow Park', 'Chain Free', 'Long Lease', '555 Sq Ft', 'Modern Kitchen', 'Modern Bathroom']","[['Sydenham ', '0.2 miles'], ['Forest Hill ', '0.6 miles'], ['Penge East ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£50 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£396,975 years left,Band: B,False
6,139100798,"£300,000",Reduced today,"Albemarle Road, Beckenham","Guide Price £300,000 - £315,000 Situated in a sought after central Beckenham location, is this two bedrooms, two bathroom flat with a large roof terrace. Perfect for commuters with Beckenham Junction just moments away.",Flat,2,2,,Leasehold,"['Nearby Mainline Station', 'Central Beckenham ', 'Close to Amenities ', 'Two bedrooms', 'Large roof terrace', 'EPC Rating B']","[['Beckenham Junction ', '0.1 miles'], ['New Beckenham ', '0.6 miles'], ['Ravensbourne ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,140766380,"£725,000",Reduced today,"Fairlawn Park, Sydenham, SE26","Please Quote Ref TH0310 For All Enquiries - Guide Price; £725K-£750K - Stunning three bedroom end of terrace family home (1,147 Sq.Ft) with a generous well-established garden, ideally situated in a sought after quiet residential road close to beautiful Mayow Park, the vibrant ameni...",End of Terrace,1,3,"1,147 sq. ft.(107 sq. m.)",Freehold,"['End of Terrace Property on Quiet Residential Street with Ample On-Street Parking', 'Lovingly Renovated Three Bedroom Victorian Family Home', 'Period Feature Fireplaces and Wooden Double Glazed Sash Windows', ""High Spec Bathroom with Under-Floor Heating, 'Geberit' and 'Laufen' Fittings"", ""High Spec Kitchen with Range of 'Neff' Appliances"", 'Gas Central Heating (New Boiler 2019 with Full Service History)', 'Generous Established Garden with Sun-Trap Patio Area', 'Ideally Situated for Lower Sydenham, Sydenham and Penge East Stations', ""Close to Award-Winning Mayow Park, 'Brown & Green' Cafe, Popular Schools and Amenities"", 'Please Quote Ref TH0310 For All Enquiries']","[['Lower Sydenham ', '0.3 miles'], ['Sydenham ', '0.6 miles'], ['New Beckenham ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
8,140947397,"£500,000",Added today,"Morland Road, London, SE20","A rare opportunity to purchase this two bedroom mid terrace house in need of internal modernisation offered to the market with no onward chain. The property boasts a spacious open plan reception room with bay window to the front of the property and spacious dining area also, hallway le...",Terraced,1,2,,Freehold,[],"[['Penge East ', '0.3 miles'], ['Kent House ', '0.4 miles'], ['Penge West ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
9,139983701,"£280,000",Reduced yesterday,"Exeter Road, Croydon, CR0","In need of modernisation, Exeter Road is two-bedroom Victorian terrace house. Measuring just over 800 SQ FT and spread over two floors. Ground floor offers entrance hall, front reception room, rear reception room and fitted kitchen with direct access to the private rear garden. Upstairs you have ...",Terraced,1,2,,Freehold,[],"[['Addiscombe Tram Stop0.5 miles'], ['Lebanon Road Tram Stop0.5 miles'], ['Blackhorse Lane Tram Stop0.5 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: TBC,False
