,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138729338,"£375,000",Reduced on 12/10/2023,"Riggindale Road, Streatham","A spacious 2 double bedroom ground floor modern apartment, with allocated parking and enviably nestled on Riggindale Road. Located within moments of Tooting Bec Common and the tube.",Flat,1,2,,Share of Freehold,"['2 Large Double Bedrooms', 'Ground Floor Apartment', 'Spacious Lounge ', 'Stylish Kitchen', 'Modern Bathroom', 'Excellent Location', 'Allocated Parking Space', 'EPC RATING - BAND C']","[['Streatham ', '0.4 miles'], ['Streatham Hill ', '0.7 miles'], ['Streatham Common ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,139836443,"£650,000",Reduced today,"Marius Road, SW17",An extremely well presented two bedroom flat arranged over the ground floor of this well-regarded mansion block in Balham with direct access to communal gardens.,Apartment,1,2,,Share of Freehold,"['Two bedrooms', 'Kitchen', 'Reception room', 'Ground floor flat', 'Communal garden']","[['Tooting Bec ', '0.3 miles'], ['Balham ', '0.3 miles'], ['Wandsworth Common ', '0.5 miles']]","['underground', 'nationalrail', 'nationalrail']",£0 per year,£1894.44,943 years left,Band: TBC,False
2,139676882,"£375,000",Reduced today,"Albert Drive, Southfelds, London, SW19","Located in this popular, residential location is this highly regarded purpose built two bedroom apartment. Offering excellent access to Southfields underground station (District Line), local shops, restaurants and the green spaces of Wimbledon Park & Common is this well maintained property ...",Flat,1,2,,Leasehold,"['Two Bedrooms', 'Bathroom', 'Reception Room', 'Kitchen', 'Balcony', 'Communal Gardens', 'Allocated Parking', 'Storage']","[['Southfields ', '0.2 miles'], ['Wimbledon Park ', '0.8 miles'], ['Earlsfield ', '1.0 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£665,Ask agent,Band: C,False
3,140909780,"£1,100,000",Added today,"Ridley Road, London","A rarely available, well presented, four bedroom Victorian semi-detached house arranged over 2,000 sq ft of internal space, located on a desirable road moments from Wimbledon town centre, numerous transport links and close to popular primary schools. A superb property ready to move in to but boas...",Semi-Detached,2,4,,Freehold,"['Victorian Semi-Detached Character House', 'Four Double Bedrooms', 'Potential to Extend (STPP)', 'Over 2000 sq/ft', 'Fitted Kitchen/Dining Room', 'Large Through Reception Room', 'Quiet Residential Street', 'Located Close To Mainline and Northern Line Stations', 'Chain-Free', 'EPC Rating E']","[['South Wimbledon ', '0.3 miles'], ['Haydons Road ', '0.5 miles'], ['Merton Park Tram Stop0.5 miles']]","['underground', 'nationalrail', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: E,False
4,140909735,"£450,000",Added today,"Hartfield Road, London, SW19","This well presented two bedroom ground floor conversion flat is conveniently located just a short walk from Wimbledon town centre with its wide range of shops, bars and restaurants as well as Wimbledon station with its regular service into London and access to the District line. This delightful f...",Apartment,1,2,,Share of Freehold,"['Two bedroom', 'Ground floor', 'Conversion flat', 'Modern kitchen', 'Modern bathroom', 'Private rear garden', 'No onward chain', 'Close to transport', 'Merton Council', 'Council tax band C']","[['Merton Park Tram Stop0.1 miles'], ['Dundonald Road Tram Stop0.3 miles'], ['Wimbledon ', '0.4 miles']]","['tramlink', 'tramlink', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,140909465,"£495,000",Added today,"Lawrie House, Durnsford Road, Wimbledon",Brinkley's Estate Agents are delighted to offer to the market this larger than average two double bedroom modern apartment located on the second floor of the popular 'Sanctuary Development' here in Wimbledon. Both Wimbledon Park Underground Station (District Line) & Haydons Road BR Station a (cont.),Apartment,2,2,,Leasehold,"['Over 788 sq ft', 'Modern Apartment', 'Lift & Private Balcony', 'Easy reach of Transport Links', 'Ideal FTB or Rental Investment', 'Offered Chain Free', 'Two Bathrooms', 'Two Allocated Parking Spaces']","[['Haydons Road ', '0.2 miles'], ['Wimbledon Park ', '0.6 miles'], ['Colliers Wood ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,140908286,"£1,350,000",Added today,"Bucharest Road, London, SW18","A beautifully presented and attractive Victorian family home, situated on this highly regarded residential road in Earlsfield. Based over three floors, the house has been completely renovated and interior designed throughout to an incredibly high standard. A lovely entrance hall leads...",Terraced,3,4,,Freehold,"['Interior Designed Family Home', 'Stunning Kitchen/Dining', 'Four Bedrooms', 'Three Bathrooms', 'South West Facing Garden', 'Cycle Storage and Rear Access', 'Fully Renovated to Exceptional Standard', 'Highly Desirable Location']","[['Earlsfield ', '0.5 miles'], ['Wandsworth Town ', '0.8 miles'], ['Wandsworth Common ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
7,140900696,"£675,000",Added yesterday,"Monkleigh Road, Morden, SM4","Please Quote JH0395 For All Enquiries 
Stunning four bedroom end of terrace family home (1,471 Sq.Ft) with delightful private garden with side access, off street parking and two detached garages to rear, ideally situated in a sought after residential location close to Cannon Hill C...",End of Terrace,2,4,"1,471 sq. ft.(137 sq. m.)",Freehold,"['Please Quote JH0395 For All Enquiries', 'Guide Price £675,000 - £725,000', 'Stunning Four Bedroom End of Terrace Family Home (1,471 Sq.Ft)', 'Sought After Morden Location', 'Extended Accommodation with Stylish Interiors', 'Family Bathroom and Master En-Suite', 'Delightful Private Garden with Side Access', 'Off Street Parking and Two Detached Garages to Rear', 'Close to South Merton and Morden Stations', 'Easy Access Schools, Amenities and Open Spaces']","[['South Merton ', '0.3 miles'], ['Wimbledon Chase ', '0.6 miles'], ['Morden South ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
8,140900432,"£550,000",Added yesterday,"College Gardens, Upper Tooting","A superb recently loft converted two double bedroom freehold house presented immaculately, offering a modern finish and bright and airy rooms.",End of Terrace,1,2,,Freehold,"['Freehold house', 'Two generous bedrooms', 'Large living room', 'Separate kitchen', 'Double glazing', 'Garden', 'Must be seen!', 'EPC rating: C']","[['Tooting Bec ', '0.5 miles'], ['Wandsworth Common ', '0.6 miles'], ['Earlsfield ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,86309937,"£1,050,000",Reduced yesterday,"Royal Victoria Patriotic Building, Wandsworth, SW18","A one-of-a-kind property and unique investment opportunity in a 1,600 sq. ft. tower within the historic Royal Victoria Patriotic Building in Wandsworth Common set over 4 floors with additional mezzanine levels and gallery, currently with 2 bathrooms, 3 bedrooms and 2 kitchens. A once in a lifet...",Flat,2,3,,Leasehold,"['Unique Tower Property In Historic Building', 'Over 1,600 Sq. Ft.', '4 Floors And Also Mezzanine Levels And Gallery', 'Works As Both 1 Large Property Or 2 Separate Flats', '2 Bathrooms, 2 Receptions And 2 Kitchens', 'Northcote Road And Clapham Junction', 'Middle Of Wandsworth Common', 'Communal Courtyards, Top French Restaurant On-Site', 'Allocated Off Street Parking And Visitor Parking']","[['Wandsworth Common ', '0.7 miles'], ['Clapham Junction ', '0.7 miles'], ['Wandsworth Town ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,160 years left,Ask agent,False
