,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,133916768,"£625,000",Reduced on 29/06/2023,"Eustace Building, 372 Queenstown Road, London, SW11",A lovely one bedroom apartment located on the sixth floor in the Eustace Building at Chelsea Bridge Wharf. Complete with an open plan kitchen and bright lounge area. The apartment has a large terrace with access from the lounge area and Piazza facing views. Separate ...,Apartment,1,1,,Leasehold,[],"[['Battersea Park ', '0.3 miles'], ['Battersea Power Underground ', '0.3 miles'], ['Queenstown Road (Battersea) ', '0.5 miles']]","['nationalrail', 'underground', 'nationalrail']",£400 per year,£3641,981 years left,Band: TBC,False
1,108562226,"£547,000",Reduced yesterday,"Farm Avenue, Streatham, SW16","This stunning two bedroom ground floor maisonette comprised of a spacious living room leading onto a well maintained private garden with a decked area. The flat also boasts a modern semi open plan kitchen, three piece bathroom, two double bedrooms with build in wardrobes and ample bespoke stora...",Ground Maisonette,1,2,,Leasehold,"['Two Double Bedroom Maisonette With Private Entrance', 'End Of Terrace', 'Private Garden With Decked Area', 'Long Lease 150 Years From 2020', 'No Service Charge', 'Bespoke Storage In The Hallway', 'Spacious Reception Room With Dining Area', 'Close To Streatham Hill & Streatham Train Station', 'Easy Reach To Tooting Bec , Balham & Brixton Station', 'Walking Distance To Tooting Bec Common']","[['Streatham ', '0.4 miles'], ['Streatham Hill ', '0.5 miles'], ['Streatham Common ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£100 per year,£0,147 years left,Band: C,False
2,140895212,"£575,000",Added yesterday,"Hayter Road, Brixton",A spacious two double bedroom flat arranged over the ground floor of converted Victorian house benefiting from a private garden with rear access.,Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Large private garden', 'Chain free', 'Close to transport links', 'Quiet residential road']","[['Brixton Underground ', '0.4 miles'], ['Brixton ', '0.5 miles'], ['Clapham North ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
3,140895173,"£1,500,000",Added yesterday,"Canonbie Road, London SE23","Nestled within the historic Tewkesbury Lodge area, this handsome family home is a true gem, boasting a privileged location on the highly sought after Canonbie Road, with its high vantage point offering captivating panoramic views over central London. This home has had a meticulous, back to brick ...",Semi-Detached,2,4,,Freehold,"[""Breath-taking panoramic views of London's skyline"", 'Recent back to brick renovation by Interior Designer.', 'Four bedrooms', 'Two reception rooms both with fireplaces.', 'Two bathrooms.', 'Cloakroom', 'Separate utility room.', 'Miele/Fisher Paykel appliances.', 'Set back from street with mature and highly maintained front garden.', 'South West facing rear garden with large decked area.']","[['Forest Hill ', '0.6 miles'], ['Honor Oak Park ', '0.6 miles'], ['Crofton Park ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,140895101,"£450,000",Added yesterday,"Queens Road, New Cross, SE14","*** Guide Price £450,000 - £475,000 *** Bright and spacious Victorian apartment. featuring two double bedrooms and a 15ft lounge with fabulous parquet flooring.",Apartment,1,2,,Leasehold,[],"[['New Cross Gate ', '0.3 miles'], ['Queens Road Peckham ', '0.4 miles'], ['Nunhead ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£250 per year,£0,112 years left,Band: TBC,False
5,139387970,"£1,000,000",Reduced yesterday,"Danby Street, Peckham ","**Guide price £1,000,000 - £1,075,000** Nestled at the end of a row of charming 1950's terraces on the tranquil Danby Street, right in the heart of Bellenden Village, lies this remarkable three-bedroom home. This property stands out due to its unusually large plot, offering a surprise ...",End of Terrace,2,3,,Freehold,"['Large private garden', 'Driveway', 'Home studio', 'Three double bedrooms ', 'Large rear kitchen/living/dining space', 'Desirable location', 'Fantastic Location']","[['East Dulwich ', '0.4 miles'], ['Peckham Rye ', '0.4 miles'], ['Denmark Hill ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,137222303,"£325,000",Reduced yesterday,"Bushell Close, London, SW2","A spacious two bedroom, split-level flat boasting 862 Sq Ft of internal area, situated within a low rise purpose built block, located close to both Tulse Hill and Streatham Hill stations",Apartment,1,2,,Leasehold,"['Split level', 'Two double bedrooms', '112 Years lease length', 'Close to transport links', 'Bright interior throughout', '862 SqFt Gross internal floor area']","[['Streatham Hill ', '0.5 miles'], ['Tulse Hill ', '0.5 miles'], ['West Norwood ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: B,False
7,140893790,"£625,000",Added yesterday,"Burrow Road, London","Standing in a quiet cul-de-sac just moments from East Dulwich station is this fantastic two bedroom end of terrace family home with off street parking, front and rear private gardens, excellent layout and quiet location just moments from East Dulwich station and all the attractions of Lordship Lane",End of Terrace,1,2,,Freehold,"['Offered chain-free', 'Private Garden', 'Excellent Location', 'Two Double Bedrooms', 'Freehold', 'Off Street Parking', 'Close To East Dulwich Station', 'Excellent Amenities', 'Chain Free', 'A Must View']","[['East Dulwich ', '0.2 miles'], ['North Dulwich ', '0.5 miles'], ['Denmark Hill ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,140892611,"£1,100,000",Added yesterday,"Horniman Drive, Forest Hill",An amazing opportunity to purchase a detached three bedroom family home with spectacular far reaching views.Located in a prime location a short walk from Horniman Museum and Gardens.,Detached,2,3,,Freehold,"['Detached House', ""Three Bedroom's"", 'Chain Free', 'Large Kitchen Diner', 'Garage', 'Development STPP', 'EPC Rating TBC']","[['Forest Hill ', '0.4 miles'], ['Honor Oak Park ', '0.6 miles'], ['Crofton Park ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,137944157,"£500,000",Reduced yesterday,Hoyland Close London SE15,"Guide Price £500,000 - £525,000. Tidy mid-terraced house situated on a quiet residential street in Peckham. This property measures over 1113sqft and offers well-presented living accommodation spread over two floors.",Terraced,1,5,,Freehold,"['Five Bedrooms', 'Close To Queens Road Station', 'Measuring at 1113sqft', 'South Facing Private Garden', 'Freehold ', 'Neutrally Decorated', 'Quiet Residential Street', 'Energy Efficiency Rating C']","[['Queens Road Peckham ', '0.4 miles'], ['Peckham Rye ', '0.7 miles'], ['South Bermondsey ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
10,140890469,"£1,100,000",Added yesterday,"Ivanhoe Road, London, SE5","We are delighted to welcome this modern, four bedroom, two bathroom, terrace home to the market. Enviably situated on a quiet Cul-de-Sac that is minutes away from local amenities and transport links, with East Dulwich, Peckham and Denmark Hill stations a short walk away.",Terraced,2,4,,Ask agent,"['Period Features', 'Private garden', 'Roof terrace', '4 bedrooms', 'Open plan kitchen diner', 'Reception, dining room', 'Excellent transport links', 'Close to Lordship lane and Peckham Rye', 'Good school catchment area']","[['East Dulwich ', '0.3 miles'], ['Denmark Hill ', '0.5 miles'], ['Peckham Rye ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
11,140889209,"£1,200,000",Added yesterday,"Pellatt Road, East Dulwich","A gorgeous five bedroom Victorian terraced house positioned on the ever popular Pellatt Road. This family home boasts space, access to great schools and close proximity to Lordship Lane",Terraced,2,5,,Freehold,"['Five bedrooms ', 'Two bathrooms ', 'Potential to extend ', 'Superb location ', 'Great school catchment', 'Close to local amenities ', 'Chain free', 'EPC- E']","[['East Dulwich ', '0.6 miles'], ['North Dulwich ', '0.6 miles'], ['Peckham Rye ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
12,139290683,"£600,000",Reduced yesterday,"Marius Road, London, SW17",A beautiful two bed apartment in a desirable Balham mansion block,Apartment,1,2,,Leasehold,"['Two double bedrooms', 'Bright and spacious reception room', 'Eat in kitchen', 'Communal gardens', '0.3 miles to Balham underground and overground']","[['Balham ', '0.2 miles'], ['Tooting Bec ', '0.4 miles'], ['Wandsworth Common ', '0.5 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
