,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139141529,"£440,000",Added on 26/08/2023,"Cavendish Avenue, Ealing, W13","A CHARMING TWO BEDROOM FIRST FLOOR GARDEN FLAT IN THIS POPULAR STREET. This 1930's built maisonette is well presented throughout making a comfortable, and spacious home. The private entrance leads into a hallway leading to all rooms. The property offers a light and airy lounge with a larg...",Flat,1,2,650 sq. ft.(60 sq. m.),Leasehold,"['Own private entrance', 'First floor', 'Light & airy lounge', 'Modern fitted kitchen', 'Two bedrooms', 'Family bathroom', 'Rear garden', 'Electric Storage Heating', 'Long lease', 'No chain']","[['Castle Bar Park ', '0.1 miles'], ['Drayton Green ', '0.4 miles'], ['West Ealing ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,141121859,"£450,000",Added yesterday,"Romulus Court, Brentford, TW8","A stylish two bedroom apartmemt, much larger than you average in Brentford Dock, with breathtaking water views over the marina, a covered, allocated parking space and additional storage unit",Apartment,1,2,890 sq. ft.(83 sq. m.),Leasehold,"['Two Double Bedrooms', 'Allocated Parking', 'Additional Storage Unit', 'Balcony', 'Stunning Water Views', 'Refurbished to a High Standard', '24/7 Security in the Development', 'On Site Porter', 'Moments From Brentford High Street', 'Transport Links Close By']","[['Brentford ', '0.5 miles'], ['Syon Lane ', '0.9 miles'], ['Kew Gardens ', '0.8 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,137941487,"£1,650,000",Added yesterday,"Bushwood Road, Kew, Surrey, TW9",Extremely charming Edwardian end of terrace family house advantageously situated in this much admired 'tree lined' road within the Kew Green Conservation area.,End of Terrace,2,4,,Freehold,"['4 Bedrooms', '2 Reception rooms', '2 Bathrooms', 'Kew Green Conservation area', 'End of terrace', 'Scope for further extensions (STUC)', 'Magnificent outlooks to both front and rear']","[['Kew Bridge ', '0.4 miles'], ['Kew Gardens ', '0.5 miles'], ['Gunnersbury ', '0.6 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: G,False
3,141119951,"£550,000",Added yesterday,"Grange Road, Ealing, London, W5","Ideally located for the amenities of Ealing Broadway, this well presented 2 bedroom property benefits from bright and modern interiors with garage.",Flat,1,2,701 sq. ft.(65 sq. m.),Leasehold,"['Excellent 2 bedroom 2nd floor flat', 'Sought-after central location', 'Bright reception room with space to dine', 'Fitted storage in the main bedroom', 'Secure entry system', 'Garage']","[['Ealing Broadway ', '0.4 miles'], ['South Ealing ', '0.6 miles'], ['Ealing Common ', '0.7 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,138378686,"£659,950",Reduced yesterday,"Mattock Lane, Ealing Broadway, London, W5","This exceptionally spacious flat overlooks Walpole Park and boasts a superb reception room with vaulted ceiling, beautifully presented throughout with sought-after central location.",Flat,1,1,995 sq. ft.(92 sq. m.),Share of Freehold,"['Outstanding 1 bedroom property', 'Vaulted ceiling in the reception room', 'Large double bedroom with storage', 'Additional mezzanine sleeping area', 'Modern kitchen and bathroom both with underfloor heating and solid IROKO hardwood worktops', 'Double glazing and LED lighting throughout', 'Top specification sound proofing throughout property', 'Views over Walpole Park']","[['Ealing Broadway ', '0.4 miles'], ['West Ealing ', '0.5 miles'], ['South Ealing ', '0.7 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,£1600,142 years left,Ask agent,False
5,140684597,"£999,950",Reduced yesterday,"Witham Road, Isleworth","A superbly spacious period property offered to the market with no onward chain. The property comprises of four bedrooms, three reception rooms and two bathrooms. Benefits include period charm throughout, a large rear garden and ample potential to extend (STPP).",Semi-Detached,2,4,,Freehold,"['Semi Detached', 'Over 1700 Sq Ft', 'Four Bedrooms', 'Three Reception Rooms', 'Close To Station', 'No Onward Chain']","[['Osterley ', '0.4 miles'], ['Hounslow East ', '0.4 miles'], ['Isleworth ', '0.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,141116969,"£490,000",Added yesterday,"Windmill Road, Ealing","This two double bedroom maisonette is presented to the market with no onward chain. The property comprises of a large living room, two double bedrooms, a family bathroom and a good size kitchen. Additional benefits include a Share of Freehold, ample storage and a communal south facing garden.",Flat,1,2,,Share of Freehold,"['Two Double Bedrooms', 'Share of Freehold', 'South Facing Garden', 'Chain Free', 'Northfields Station 0.3 Mile', 'Ealing Fields 0.2 Mile']","[['Northfields ', '0.2 miles'], ['Boston Manor ', '0.5 miles'], ['South Ealing ', '0.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,141115724,"£1,100,000",Added yesterday,"Swyncombe Avenue, Ealing, W5","A rare opportunity to purchase this extended and originally larger than average, five bedroom end of terrace family home, located on one of Northfields' most sought after roads, well positioned for the tube station, local parks and well respected schools. This lovely house is originally a ...",House,2,5,,Freehold,[],"[['Boston Manor ', '0.4 miles'], ['Northfields ', '0.3 miles'], ['Brentford ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F,False
8,141115616,"£1,200,000",Added yesterday,"Wyndham Road, Ealing",An immaculately presented four bedroom family home in the much sought after Fielding catchment (Ofsted outstanding). Large secluded sun trapped south-facing garden.,House,2,4,,Freehold,"['South Facing Garden', 'Four Bedrooms', 'Local Parks', 'Ofsted Outstanding Schools', 'Excellent Transport Links', 'Immaculate Condition']","[['Northfields ', '0.3 miles'], ['Boston Manor ', '0.5 miles'], ['South Ealing ', '0.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,86305287,"£480,000",Reduced yesterday,"Williams Road, West Ealing, W13","Ref#BEA230193 **Parking For One Car Included** A stylish one bedroom apartment in the newly built, Tydeman House. The property offers bright and spacious accommodation and is located moments away from West Ealing station (National Rail & Elizabeth Line), shopping and leisure facilities. ...",Apartment,1,1,,Leasehold,"['Chain Free', 'Parking Included', 'Stylish One Bedroom Apartment', 'Third floor', '554 Square Feet (approx.)', 'West Facing Balcony', 'Communal Courtyard', 'West Ealing Station (National Rail & Elizabeth Line)']","[['West Ealing ', '0.3 miles'], ['Drayton Green ', '0.4 miles'], ['Hanwell ', '0.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£250 per year,£1632.11,235 years left,Band: C,False
