,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,131657234,"£289,995",Reduced on 15/09/2023,"Heath Court, New Eltham","This is a top floor apartment in part of a very popular development. Comprising 2 bedrooms and two bathrooms which includes an en-suite, large lounge and kitchen, complete with a private loft. Being located at the back of the development with a stunning outlook towards Avery Hill Park and with ...",Flat,2,2,,Leasehold,"['What three words address vibe.tides.gold', 'Top floor with stunning outlook', 'Preferred layout & Popular development', '2 Bedrooms and 2 bathrooms', 'Close to New Eltham mainline station', '170 Year Lease', 'Communal gardens', 'Perfect first time buy or let investment', 'Potentially chain free']","[['New Eltham ', '0.2 miles'], ['Mottingham ', '1.0 miles'], ['Falconwood ', '1.4 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
1,135029627,"£725,000",Reduced today,"Copthorne Avenue, Bromley","With a private driveway this detached residence is in a little world of it's own. With a stunning south west facing garden and double garage with large driveway providing parking for 3-4 cars. A property which genuinely has great potential and whilst it needs updating, it is a prefect family...",Detached,1,3,,Freehold,"['What three words address topic.grape.woven', 'Detached house in a little world of its own', 'Stunning south west facing garden', 'Detached double garage', 'Bromley schools', 'Great potential', 'Chain free', 'Large driveway with parking for 3-4 cars']","[['Petts Wood ', '1.5 miles'], ['Hayes ', '1.6 miles'], ['Orpington ', '1.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
2,137170616,"£475,000",Reduced today,"Clayhill Crescent, London, SE9","Introducing a fantastic opportunity in Clayhill Crescent, SE9!",Terraced,1,3,,Freehold,"['Well-Maintained 3-Bedroom Terraced House', 'Private Garden', 'Spacious Reception Room', 'Separate Dining Room', 'Separate Kitchen Area', 'Three Bedrooms', 'Family Bathroom', 'Sought-After Location in Clayhill Crescent, SE9', 'Convenient Access to Local Amenities, Shops, and Restaurants', 'Easy Commuting with Nearby Bus Routes and Train Stations']","[['Grove Park ', '0.7 miles'], ['Elmstead Woods ', '0.8 miles'], ['Mottingham ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
3,136998776,"£855,000",Reduced today,"Goddington Lane, Orpington","Thomas Brown Estates are delighted to offer this very well presented, rare to the market, must view double storey side extended four double bedroom, three reception room semi detached property situated towards the bottom of the ever sought after Goddington Lane in South Orpington. The property is...",Semi-Detached,2,4,,Freehold,"['4 Bedroom, 3 Reception Room Semi-Detached House', 'Very Well Presented, Rare to Market', 'Double Storey Side Extended', 'Ever Sought After Goddington Lane']","[['Orpington ', '0.5 miles'], ['Chelsfield ', '1.0 miles'], ['Petts Wood ', '1.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
4,140089046,"£265,000",Added today,Longlands Road Sidcup DA15,"A spacious one double bedroom apartment, located within a well-kept small purpose built apartment block, situated in the heart of Sidcup.",Flat,1,1,,Leasehold,"['Immaculately Presented Throughout ', 'Bright & Airy Lounge/Diner ', 'An Abundance Of Natural Light', 'Modern Fully Fitted Kitchen', 'Secure Underground Parking ', 'Spacious Double Bedroom ', '0.5 Miles To Sidcup Station ', 'External Storage Cupboard ']","[['Sidcup ', '0.3 miles'], ['New Eltham ', '1.2 miles'], ['Albany Park ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: B
5,138504311,"£800,000",Reduced today,"St. Pauls Wood Hill, Orpington, BR5","GUIDE PRICE £800,000 - £850,000 this very well presented four bedroom detached family home is located on St Pauls Wood Hill with easy access to Midfield Primary school, mainline station, Petts Wood village and National Trust woodlands.",Detached,3,4,,Freehold,"['Detached family home', 'Very well presented', '4 bedrooms/3 bathrooms', 'Ensuite to master bedroom']","[['St. Mary Cray ', '1.0 miles'], ['Petts Wood ', '1.7 miles'], ['Sidcup ', '1.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F
6,140086682,"£395,000",Added today,"Castlecombe Road, London","Superb two double bedroom middle terrace house which has been tastefully decorated by its current owners boasting a modern fitted kitchen and shower room, tasteful décor and off street parking to front. Located in this popular location within easy access to local shops and Elm stead Woods Railway...",Terraced,1,2,,Freehold,"['Spacious Sitting Room', 'Two Double Bedrooms', 'Modern Fitted Kitchen', 'Modern Shower Room', 'Gas Fired Central Heating', 'Off Street Parking', 'Popular Location', 'Tastefully Decorated', 'Freehold', 'Council Tax Band C']","[['Elmstead Woods ', '0.6 miles'], ['Grove Park ', '1.1 miles'], ['Mottingham ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C
7,128764055,"£599,950",Reduced today,Downs Avenue Chislehurst BR7,An immaculately presented two double bedroom semi detached bungalow within close proximity to Elmstead Woods station. Energy Efficiency Rating D and Council Tax Rating E.,Bungalow,1,2,,Freehold,"['Semi Detached', 'Two Bedrooms', 'Modern Kitchen', 'Granite Worktops', 'Parquet Flooring', 'Detached Garage', 'Plantation Shutters', 'Energy Efficiency Rating']","[['Elmstead Woods ', '0.4 miles'], ['Chislehurst ', '1.1 miles'], ['Mottingham ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
8,140084870,"£600,000",Added today,"Dulverton Road, London",Dulverton School catchment (Bexley Borough) Well presented three bedroom semi detached house situated in this sought after location within easy reach of all major transport links including New Eltham main line Railway Station and Village. Further benefits include a modern kitchen and bathroom sep...,Semi-Detached,,3,,Freehold,"['Bexley Borough', 'Three Good Size Bedrooms', 'Two Reception Rooms', 'Double Glazed', 'Gas Fired Central Heating', 'Off Street Parking For Two Cars', 'Popular Location', 'Walking Distance To New Eltham Station', 'Council Tax Band E', 'Freehold']","[['New Eltham ', '0.2 miles'], ['Sidcup ', '1.2 miles'], ['Mottingham ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
9,138284939,"£1,550,000",Reduced today,"Hayes Way, Beckenham","Guide price £1,550,000 to £1,600,000. Stunning 5 bedroom detached home set within the extremely popular location of Park Langley, with a recent ground floor extension completely transforming the flow of house. Ideal for any family. Viewing advised.",Detached,3,5,,Freehold,"['Detached', 'Ground floor extension', 'Utility room', 'Five bedrooms', 'Three bathrooms', 'Driveway', 'Underfloor heating', 'EPC Rating E']","[['Shortlands ', '0.7 miles'], ['Eden Park ', '1.0 miles'], ['Bromley South ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
