,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139937786,"£700,000",Added on 14/09/2023,"Wadham Avenue, Walthamstow, London, E17","This property is a credit to the current vendors who have spent the past three years modernising and maintaining in order to create over 1,560 square feet of sheer luxury. Being built around 1930, the first thing that you notice is the extra width and how much brighter that they are than a stand...",Terraced,2,4,,Freehold,"['Approx. 1,560 Sq. Ft.', 'Four Bedrooms', 'Two Bathrooms', 'Amazing Kitchen/Diner', '80ft Rear Garden', 'End of Terrace', 'Immaculate Condition', 'Detached Garden Room', 'Close to Station', 'Council Tax Band D']","[['Highams Park ', '0.6 miles'], ['Wood Street ', '1.2 miles'], ['Walthamstow Central ', '1.4 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
1,134690456,"£600,000",Reduced today,"Queens Grove Road, North Chingford, E4","Guide Price **£600,000-£625,000** A rare opportunity to purchase this well maintained three bedroom 1930's semi detached house ideally situated in the heart of North Chingford and is a very short walk to the Overground Station. Added benefits include a through lounge, a modern fitted kit...",Semi-Detached,1,3,,Freehold,"['Three Bedroom House', 'Through Lounge', 'Modern Fitted Kitchen', 'Modern Fitted Shower Room', 'Double Glazing', 'Gas Central Heating', 'Approx. 45ft Rear Garden', 'Garage', 'Off Street Parking', 'Excellent Location']","[['Chingford ', '0.2 miles'], ['Highams Park ', '1.6 miles'], ['Buckhurst Hill ', '1.8 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
2,136072688,"£700,000",Reduced today,"Heathcote Avenue, Clayhall, Essex",This 5 bedroom semi detached family home in Clayhall is close to the popular Caterham High School as well as being near local shops and transport.,Semi-Detached,1,4,,Freehold,"['4-bedroom semi-detached house', 'Multiple reception rooms', 'Close to Caterham High School', 'Rear garage and off street parking', 'There may be restricted mortgage sources due to the presence of a second kitchen. Please seek independent advice before proceeding', 'EPC energy rating D']","[['Gants Hill ', '1.2 miles'], ['Fairlop ', '1.2 miles'], ['Barkingside ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: F,False
3,139348142,"£900,000",Reduced today,"Harwater Drive, Loughton",Elliott James are delighted to bring exclusively to the market this immaculately presented three bedroom semi-detached family home located within catchment for the popular Staples Road Primary School which has recently undergone a full renovation by its current owners. Harwater Drive is a highly ...,Semi-Detached,1,3,"1,686 sq. ft.(157 sq. m.)",Freehold,"['THREE BEDROOM SEMI-DETACHED', 'MODERN THROUGHOUT', 'POTENTIAL TO EXTEND STPP', 'SHORT WALK TO EPPING FOREST AND CENTRAL LINE STATIONS', 'STAPLES ROAD PRIMARY CATCHMENT AREA', '70 FOOT REAR GARDEN WITH GATED REAR ACCESS', 'RECENTLY RENOVATED', 'SPACIOUS DRIVEWAY']","[['Debden ', '1.1 miles'], ['Loughton ', '1.2 miles'], ['Theydon Bois ', '1.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
4,138367340,"£675,000",Reduced today,"Walpole Road, South Woodford","A beautifully kept four bedroom Victorian semi detached, artfully developed in the original style to take in more than 1200 square feet. Outside, the cafes, bars and amenities of George Lane are just a ten minute walk. With your loft space so far unexplored you still have a wealth of dev...",Semi-Detached,1,4,,Freehold,"['Semi Detached house', 'Four Bedrooms', 'Bathroom + Downstairs WC', 'Two Reception Rooms', 'Kitchen with Dining Room', 'Driveway', 'Church Hill Location', '10min Walk to George Lane', 'Masses of Potential (STP)', 'Close to Epping Forest']","[['South Woodford ', '0.7 miles'], ['Highams Park ', '1.0 miles'], ['Wood Street ', '1.0 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
5,134853077,"£325,000",Added today,"Brookside, Barkingside Essex, IG6","Baker Estates are delighted to offer for sale this well presented ground floor maisonette in Hainault close to Chigwell borders. With large lounge. fitted kitchen, bathroom and 2 bedrooms this property has lots to offer. The jewel here is the rear garden with potential to extend SSTP - long lease!",Ground Maisonette,,2,,Leasehold,"['Well presented property', 'Zero service charge', '£10pa ground rent', 'Gas central heating', 'Double glazing', 'Large lounge/diner', '2 Bedrooms', 'Fitted kitchen', 'Brick built out building with power', 'Large rear garden with patio area']","[['Hainault ', '0.4 miles'], ['Grange Hill ', '0.6 miles'], ['Fairlop ', '0.8 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,940 years left,Ask agent,False
6,139862645,"£320,000",Reduced today,"Endlebury Road, London",AVAILABLE TO VIEW NOW HUGE INVESTMENT POTENTIAL. THREE BEDROOMS. SHARED FREEHOLD. GARAGE EN-BLOC. RENTAL VALUE APPROX £1800.00 PCM WITH LIGHT REFURBISHMENT. CHAIN FREE,Flat,1,3,,Leasehold,"['Three Bedrooms', 'Ground Floor', 'Chain Free', 'Virtual Freehold', 'Popular North Chingford Location', 'Garage En-Bloc', 'Chingford Station (TFL 5) 0.6 Miles', 'Close to Parkland/Epping Forest']","[['Chingford ', '0.7 miles'], ['Highams Park ', '1.1 miles'], ['Ponders End ', '2.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£1236,941 years left,Band: C,False
7,140457146,"£360,000",Added yesterday,"Cleveland Road, London, E18","Chain Free, Two Bedroom First Floor Apartment Within Sought After Tree Lined Road, benefits from F/Hold Share and Garage En Bloc as well as entry phone security and pleasant communal lawns and gated Car Park.",Apartment,1,2,,Share of Freehold,"['Chain Free ', 'Purpose Built First Floor Apartment', 'Most Sought After Tree Lined Road', 'Two Bedrooms ', 'Spacious Reception With Adjoining Fitted Kitchen Both With Garden Views ', 'Shower Room (Originally Housing Bath)', 'Pleasant Communal Gardens ', 'Gated Car Park ', 'Garage en Bloc', 'Moments To George Lane Amenities Including Central Line Station ']","[['South Woodford ', '0.1 miles'], ['Snaresbrook ', '0.7 miles'], ['Wanstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,140469500,"£725,000",Added yesterday,"Hale End Road, Highams Park, London. E4 9PB",A Distinctive Looking Double Bay Period House Ready For Further Updating!,End of Terrace,1,3,,Freehold,"['A Distinctive Period End of Terrace', 'Large Living Space, 3 Bedrooms', 'Corner Plot, Garage Space to Rear', 'A Project Perfect For Updating!']","[['Highams Park ', '0.1 miles'], ['Wood Street ', '1.4 miles'], ['Woodford ', '1.5 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
9,137893952,"£525,000",Reduced yesterday,"Wellington Road, Wanstead","Situated in the heart of Wanstead Village, just steps away from the High Street and both Wanstead & Snaresbrook stations is where you will find this exceptional 2-bed ground floor maisonette with own private garden.",Ground Flat,1,2,,Leasehold,"['Stunning ground floor maisonette', 'Recently refurbished to a high standard', 'Contemporary kitchen', 'Own private garden', 'Central Wanstead Village, close to the High Street', 'Leasehold with share of freehold included', 'EPC energy rating C (70)']","[['Snaresbrook ', '0.2 miles'], ['Wanstead ', '0.4 miles'], ['South Woodford ', '0.7 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,False
