,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,134672378,"£649,950",Reduced on 20/09/2023,"Chitty Street, Fitzrovia, W1",Top Floor - Stylish - Very Good Condition - Prime Fitzrovia - Next to Charlotte Street - Long lease - Wooden flooring - Good storage space,Flat,1,1,442 sq. ft.(41 sq. m.),Leasehold,"['Top Floor (4th, Lift)', 'Double Bedroom', 'Modern Kitchen & Bathroom', 'Fantastic natural light', 'Electric blinds', 'Prime Fitzrovia', 'Long Lease', 'Large windows', 'Wooden flooring', 'Furniture can be included']","[['Goodge Street ', '0.1 miles'], ['Warren Street ', '0.3 miles'], ['Euston Square ', '0.3 miles']]","['underground', 'underground', 'underground']",£100 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2569.24,113 years left,Band: E,False
1,134598695,"£725,000",Reduced today,"Northpoint Square, London, NW1"," A spacious two bedroom flat set on the third (top) floor of a purpose built building, with an allocated parking space, set in a gated development in NW1 ",Apartment,2,2,,Leasehold,[],"[['Kentish Town ', '0.5 miles'], ['Camden Road ', '0.6 miles'], ['Caledonian Road ', '0.5 miles']]","['nationalrail', 'overground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,False
2,140367140,"£1,250,000",Added today,"Wilton Road, London, N10",An imposing Four Bedroom Semi Detached home situated over three floors boasting a driveway for two cars and a large South Facing garden. ,Semi-Detached,2,4,,Freehold,"['Four Bedrooms', 'Driveway', 'Large South Facing Garden', 'Side Access', 'Potential For Rear Extension (STPP)', 'Potential For Loft Extension (STPP)', 'Lovely Edwardian Proportions Eden Primary School 0.2 Miles', 'Coldfall Primary School 0.2 Miles', 'Our Lady Of Muswell Primary School 0.3 Miles', 'Coppetts Wood Primary School 0.3 Miles']","[['East Finchley ', '1.0 miles'], ['New Southgate ', '1.2 miles'], ['Bounds Green ', '1.3 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: G,False
3,140366825,"£715,000",Added yesterday,"Aberdeen Court, Maida Vale, London, W9","A well presented, bright and spacious two bedroom, two bathroom, apartment set on the 4th Floor of this attractive and sought-after red brick purpose built portered block located in the heart of Little Venice. The apartment has been recently decorated throughout and measures approximately 790 Sq ...",Apartment,2,2,790 sq. ft.(73 sq. m.),Leasehold,"['Two bedrooms', 'Two bathrooms', 'Modern', 'A fully fitted kitchen', 'A large reception room', 'Apartment', 'Small balcony', 'High celings', 'Recently decorated', 'Lift']","[['Warwick Avenue ', '0.3 miles'], ['Paddington ', '0.5 miles'], ['Maida Vale ', '0.5 miles']]","['underground', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: F,False
4,140365880,"£1,850,000",Added yesterday,"Glenworth Street, W1, Marylebone, London, NW1",This fantastic 3 bedroom flat is enviably located just moments from Baker Street underground station and leafy Regent's Park. The modern fitted kitchen really has the 'wow' factor.,Flat,2,3,"1,330 sq. ft.(124 sq. m.)",Share of Freehold,"['Massive flat with lots of features and storage', 'Close to Regents Park and Baker Street underground station', 'Purpose built mansion block', 'Tucked away on a quiet street', 'Beautiful modern fitted kitchen', 'Integrated appliances', 'Lots of built in storage']","[['Baker Street ', '0.1 miles'], ['Marylebone ', '0.2 miles'], ['Edgware Road (Circle, District, Hammersmith & City) ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,£7873,997 years left,Ask agent,False
5,140365718,"£1,499,990",Added yesterday,"Glentworth Street, London","A recently refurbished and stunning, lateral three bedroom apartment set on the fourth floor of an attractive red brick mansion block with lift service and porter.",Flat,1,3,,Share of Freehold,"['Reception Room ', 'Separate Kitchen ', 'Three Bedrooms ', 'Bathroom', 'Guest Cloakroom', 'Lift', 'EPC Rating D ']","[['Baker Street ', '0.1 miles'], ['Marylebone ', '0.2 miles'], ['Edgware Road (Circle, District, Hammersmith & City) ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,140363711,"£350,000",Added yesterday,"Blenheim Court, Hornsey","Your light-filled one bedroom home resides across the ground floor of purpose built block, Blenheim Court. Complete with private garden and flooded with natural light, there is plenty of potential for this enviably located abode. Surrounding Finsbury Park, Holloway and Archway offer a wealth of l...",Flat,1,1,,Leasehold,"['1 double bedroom', 'Private garden inc. shed', 'Offered chain free', 'Double glazing throughout', '0.6 miles to Archway Station', 'Groud floor flat']","[['Upper Holloway ', '0.1 miles'], ['Crouch Hill ', '0.7 miles'], ['Archway ', '0.3 miles']]","['overground', 'overground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1046.16,88 years left,Band: C,False
7,139377284,"£950,000",Reduced yesterday,"Priory Road, London, NW6","This two double bedroom flat is set on one of South Hampstead's favoured tree-lined residential addresses, offering stylish & beautifully impressive versatile accommodation and benefitting from its own side entrance and large private garden with both lawn and patio.",Flat,1,2,971 sq. ft.(90 sq. m.),Leasehold,"['Two Double Bedrooms', 'Separate fitted Kitchen', 'High Ceilings', 'Wood floor', 'Sash Windows', 'Private Side Entrance', 'Private Garden', 'Prime Location']","[['Kilburn High Road ', '0.2 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.5 miles']]","['overground', 'underground', 'overground']",£150 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1000,173 years left,Band: E,False
8,136763813,"£460,000",Reduced yesterday,"Eaststand Apartments, Highbury Stadium Square, London, N5",Spanning over 525sqft this one-bedroom apartment is in great condition and ready to move into. This perfectly proportioned 1 bed has extra storage throughout off the hallway and offers a versatile open living space for anyone looking to work from home. Being located on the fourth floor of Eastst...,Apartment,1,1,,Leasehold,"['Virtual Walkthrough & Video Available', 'Main Block of development', 'Concierge on site and in Eaststand directly', 'Affiliated Gym in same block (membership required)', 'Vacant Possesion', 'East facing for bright mornings and cool evenings', 'Secure development with extensive communal grounds']","[['Arsenal ', '0.2 miles'], ['Drayton Park ', '0.4 miles'], ['Finsbury Park ', '0.5 miles']]","['underground', 'nationalrail', 'nationalrail']",£400 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£4100,237 years left,Ask agent,False
9,140357486,"£575,000",Added yesterday,"Saltram Crescent, Maida Vale W9",Discover your ideal home in the heart of Maida Vale with this charming two bedroom top floor period conversion flat. This beautifully decorated property  ,Flat,1,2,,Share of Freehold,"['2 Bedrooms', 'Maisonette ', 'Period conversion ', 'Fully fitted kitchen ', 'Ample Storage', 'Top Floor Flat ', 'Share of Freehold', 'Fantastic Location ', 'Transport links close by ']","[['Kilburn Park ', '0.4 miles'], [""Queen's Park "", '0.4 miles'], ['Maida Vale ', '0.5 miles']]","['underground', 'underground', 'underground']",£0 per year,£2000,Ask agent,Band: E,False
10,140349308,"£695,000",Added yesterday,"Birchside Apartments, 1 Albert Road, Queen's Park, NW6","An opportunity to purchase a two bedroom (75 sq m/817 sq ft) apartment at Queens Park Place. Set on the second floor and featuring a private terrace with views North and East, Queens Park Place additionally benefits from a 24-hour concierge service and a Marks & Spencer Food Hall directly co...",Apartment,2,2,,Leasehold,"['Spacious Reception Room with Fully Fitted Kitchen and Living Space, 2 Bedroom, 2 Bathroom']","[[""Queen's Park "", '0.1 miles'], ['Kilburn Park ', '0.4 miles'], ['Kilburn High Road ', '0.6 miles']]","['underground', 'underground', 'overground']",£0 per year,£0,Ask agent,Band: C,False
