,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140298089,"£450,000",Added on 22/09/2023,"Long Grove, Harold Wood, Romford, RM3",•THREE BEDROOM SEMI DETACHED FAMILY HOME •OFF STREET PARKING •INTEGRAL GARAGE •EN-SUITE TO MASTER BEDROOM •CONSERVATORY •0.9 MILES TO HAROLD WOOD ELIZABETH STATION • COUNCIL TAX BAND: E ,Semi-Detached,2,3,,Freehold,[],"[['Harold Wood ', '0.5 miles'], ['Gidea Park ', '0.9 miles'], ['Emerson Park ', '1.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
1,140543888,"£450,000",Added today,"Abbs Cross Lane, Hornchurch, RM12",Built In 2005- Spacious Open Plan Living And Dining Room - Fitted Kitchen - Downstairs WC - Master Bedroom With En Suite - Two Additional Bedrooms - Family Bathroom - Garden And Patio Area - Driveway - Excellent Transport Links,Semi-Detached,2,3,"1,001 sq. ft.(93 sq. m.)",Freehold,"['Spacious Open Plan Living And Dining Room', 'Kitchen', 'Downstairs WC', 'Master Bedroom With En Suite', 'Two Additional Bedrooms', 'Family Bathroom', 'Garden And Patio Area', 'Driveway', 'Excellent Transport Links']","[['Hornchurch ', '0.5 miles'], ['Elm Park ', '0.7 miles'], ['Emerson Park ', '1.0 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,133596335,"£360,000",Reduced today,"Harlow Road, Rainham","Griffin Elm Park are delighted to be able to offer for sale with NO ONWARD CHAIN this three bedroom mid-terrace family home, which is ideally situated within close proximity to local schools and transport links. There are many fine selling features including; good size entrance hallway, ...",House,1,3,,Freehold,"['***NO ONWARD CHAIN***', '***THREE BEDROOMS***', '***MID TERRACED***', '***GOOD SIZE ROOMS***', '***IN NEED OF MODERNISATION***', '***GARAGE TO REAR***', '***FIRST FLOOR BATHROOM***', '***FIRST FLOOR WC***']","[['Rainham (Essex) ', '1.1 miles'], ['Elm Park ', '1.2 miles'], ['Dagenham East ', '1.2 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,False
3,140543507,"£1,250,000",Added today,"Rockingham Avenue, Hornchurch, RM11","This stunning detached family home, with a wealth of character, is situated in one of Hornchurch’s premium tree lined cul-de-sac locations. Internally the reception hall provides access to three beautifully appointed reception rooms, the lounge with log burner fireplace with brick surr...",Detached,4,4,,Freehold,"['4 Bedrooms', 'Kitchen', 'Family Room', 'Dining Room', 'Living Room', 'Bar Area', 'Utility Room', 'Family Bathroom', 'Garage', 'Established Rear Garden']","[['Emerson Park ', '0.7 miles'], ['Gidea Park ', '0.8 miles'], ['Romford ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
4,139209593,"£382,000",Reduced today,"Newbury Gardens, Romford, RM3","A beautifully presented two-bedroom, end of terraced house on a quiet cul-de-sac, boasting bright and modern interiors throughout, great room proportions and a wonderful south-facing rear garden. Composed of a spacious living room, and kitchen with a breakfast bar area looking out to a well-ma...",Semi-Detached,1,2,,Freehold,"['private driveway', 'garden', 'great location', 'sought-after-location', 'double-glazed-windows', 'close-to-local-amenities']","[['Harold Wood ', '1.1 miles'], ['Gidea Park ', '1.7 miles'], ['Emerson Park ', '2.6 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,140116955,"£525,000",Reduced today,"Moor Lane, Upminster, RM14","**** GUIDE PRICE £525,000 to £550,000 **** Beresfords are delighted to offer this stunning 3 bedroom semi-detached family home set in Moor Lane, Upminster. Within Close distance to local school and hopper bus service to amenities. (NBC231457)",Bungalow,2,3,,Freehold,"['3 Bedroom semi-detached', 'Lounge', 'Kitchen', 'Family bathroom', 'Parking to front & rear', 'Garden', 'Close to local amenties']","[['Upminster ', '1.4 miles'], ['Upminster Bridge ', '2.0 miles'], ['Harold Wood ', '2.4 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
6,132753545,"£460,000",Reduced today,"Suttons Avenue, Hornchurch","This property has been meticulously cared for by the current owners and offers the perfect opportunity to make this house your home. Offering three bedrooms, extended kitchen, large lounge, downstairs shower room and a stunning all year use garden this is a must view!",Terraced,2,3,,Freehold,"['ATTRACTIVE BAY-FRONTED HOME', 'EASY ACCESS TO CHOICE OF STATION', 'LOW MAINTENANCE REAR GARDEN', 'THREE BEDROOMS', 'TWO SHOWER ROOMS', 'GARAGE TO REAR']","[['Hornchurch ', '0.4 miles'], ['Elm Park ', '0.7 miles'], ['Emerson Park ', '1.0 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
7,140538596,"£1,000,000",Added today,"St. Clements Avenue, Romford, RM3",Modern Kitchen - Large Open Plan Living And Dining Area - Play Room - Downstairs WC - Master Bedroom With En Suite And Dressing Area - Three Additional Bedrooms One With EN Suite - Family Bathroom - Garden And Patio Area - Private Balcony And Terrace Area - Excellent Transport Links,Semi-Detached,3,4,"2,428 sq. ft.(226 sq. m.)",Freehold,"['Modern Kitchen', 'Large Open Plan Living And Dining Area', 'Play Room', 'Downstairs WC', 'Master Bedroom With En Suite And Dressing Area', 'Three Additional Bedrooms One With EN Suite', 'Family Bathroom', 'Garden And Patio Area', 'Private Balcony And Terrace Area', 'Excellent Transport Links']","[['Harold Wood ', '0.1 miles'], ['Gidea Park ', '1.3 miles'], ['Emerson Park ', '1.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F,False
8,140532986,"£480,000",Added yesterday,"Garry Way, Romford, RM1","***FEATURED IN THE BIG OPEN HOUSE 30TH SEPT & 1ST OCT 2023*** Please call for viewing arrangements Being sold with NO ONWARD CHAIN is this enlarged family home with its OWN GARAGE approached via rear access. The living accommodation comprises a lounge, kitchen and conservatory...",Semi-Detached,1,3,,Freehold,"['NO ONWARD CHAIN', 'GARAGE:', 'ENLARGED FAMILY HOME']","[['Gidea Park ', '1.6 miles'], ['Romford ', '1.7 miles'], ['Harold Wood ', '2.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
9,139751408,"£390,000",Reduced yesterday,"Bosworth Crescent, Romford","Instructed as sole agent Delaney's are pleased to offer this large 2 bedroom SEMI-DETACHED family home. This property boasts REAR GARDEN, DOUBLE GLAZING, OFF STREET PARKING and a CAR CHARGER POINT. AN EARLY VIEWING IS HIGHLY RECOMMENDED! ",Semi-Detached,1,2,,Freehold,[],"[['Harold Wood ', '1.2 miles'], ['Gidea Park ', '1.6 miles'], ['Romford ', '2.4 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
