,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139860440,"£415,000",Added on 12/09/2023,"Summerston House, Royal Wharf, London, E16 ","Fantastic one bedroom apartment with private internal courtyard in Summerston House, Royal Wharf, E16. This superb apartment offers 588 sqft of internal space, with a large open plan kitchen/living area featuring engineered oak flooring throughout leading to the private courtyard.",Apartment,1,1,,Leasehold,"['One bedroom', 'Internal courtyard', '588 sqft internal space', 'Ground floor', 'Long lease', '24hr concierge', 'Gym with 25m pool and health suite', 'West Silvertown and Pontoon Dock DLR station']","[['Pontoon Dock ', '0.9 miles'], ['West Silvertown ', '1.3 miles'], ['Prince Regent ', '1.0 miles']]","['dlr', 'dlr', 'dlr']",£480 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3056.06,999 years left,Band: D,False
1,132714671,"£475,000",Reduced today,"Plaxtol Road, Erith, DA8","GUIDE PRICE £500,000 - £525,000 • RE/MAX SELECT are delighted to offer for sale this extended semi-detached house, close to schools, amenities, and transport links. The property comprises 4 bedrooms, living room, kitchen/dining room, conservatory, upstairs family bathroom, and...",Semi-Detached,2,4,,Freehold,[],"[['Barnehurst ', '0.9 miles'], ['Belvedere ', '1.1 miles'], ['Bexleyheath ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
2,140168870,"£450,000",Added today,"Tewson Road, London","This period property is presently an HMO. The property offers to the ground floor, entrance hall, through lounge with en suite shower/wc, kitchen/breakfast room, there is also a storage cellar, and bathroom. To the first floor are three double sized bedrooms, one with en suite. There is also a ...",House,3,3,,Freehold,"['0.5 MILES PLUMSTEAD STATION', 'THREE BEDROOM FAMILY HOME - PRESENTLEY WITH HMO STATUS', 'OFFERING FOUR LETTABLE ROOMS', 'SHORT DISTANCE TO PLUMSTEAD COMMON AND AMENITIES', 'TESCO LOCAL,, TAKEAWAYS AND RESTAURANTS', 'GROUND FLOOR BATHROOM / TWO EN SUITES', 'IDEAL FOR BUS ROUTES AND LOCAL AMENITIES', 'SOME TLC REQUIRED', 'YOU COULD CONTINUE AS HMO OR REVERT TO FAMILY HOME']","[['Plumstead ', '0.4 miles'], ['Woolwich ', '1.0 miles'], ['Woolwich Arsenal ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,False
3,140164949,"£600,000",Added today,"Enslin Road, London, SE9","Welcome to this immaculate terraced property located in a quiet and peaceful area. This stunning home boasts a wealth of unique features that are sure to impress. The property has recently been renovated and is in excellent condition throughout. As you step inside, you are greeted by a...",Terraced,1,3,,Freehold,"['Off Street Parking & Rear Access', 'Spacious bedrooms', 'Open-plan kitchen with wood countertops', 'Sophisticated reception room with fireplace', 'Tranquil garden', 'High ceilings and wood floors', 'Large windows offering plenty of natural light', 'Close to public transport links', 'Nearby schools and green spaces', 'Strong sense of community']","[['Mottingham ', '0.7 miles'], ['Eltham ', '0.7 miles'], ['New Eltham ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC,False
4,137590163,"£360,000",Reduced today,"Fishguard Way, Galleons Lock, E16 ",This well presented apartment boasts direct river views and exceptionally large bedrooms and is located in a sought after riverside development. Internally the property comprises of an open plan living room and kitchen benefitting from an abundance of natural light from twin sliding doors lea...,Flat,2,2,,Share of Freehold,"['Two Bedrooms ', 'Two Bathrooms ', 'Stunning Direct River Views ', 'Residents Parking ', 'Share of Freehold (975 Year Lease)', '24 Hour Security/ Estate Office', 'EPC - B / Council Tax - Band E', 'Floor Area: 661 Sq/Ft (61.5 Sq/M)']","[['King George V ', '0.5 miles'], ['Gallions Reach ', '0.5 miles'], ['Woolwich ', '0.6 miles']]","['dlr', 'dlr', 'nationalrail']",£0 per year,£2625,975 years left,Band: E,False
5,134099723,"£230,000",Reduced today,"Lowestoft Mews, London","**GREAT SIZE APARTMENT WITH BALCONY AND PARKING - NEW LEASE EXTENSION & NO ONWARD CHAIN** The property Internally, the apartment includes a fitted kitchen, spacious open plan living/dining room, a generous bedroom size with an en suite shower room and a separate guest w/c. F...",Apartment,1,1,,Leasehold,"['Residents Permit Parking Bay', 'Chain Free', 'Situated On A Private Development With 24 Hour Security', 'Short Walk To Delightful River Walkway', 'Close To A Choice Of Two DLR Stations', 'Positioned Next To Royal Victoria Gardens', 'Balcony', 'Local Shop', 'CCTV', 'Dock View']","[['King George V ', '0.4 miles'], ['Woolwich ', '0.6 miles'], ['Gallions Reach ', '0.6 miles']]","['dlr', 'nationalrail', 'dlr']",£174 per year,£2354,Ask agent,Band: TBC,False
6,140164304,"£220,000",Added today,"Coptefield Drive, Belvedere  *** VIDEO & 3D FLOORPLAN AVAILABLE ***","*** VIDEO & 3D FLOORPLAN AVAILABLE ***Delightful One Bedroom Ground Floor Apartment. The property comprises Security Communal Entrance, Hallway, Kitchen, Lounge, Bedroom and modern Bathroom. ",Flat,1,1,506 sq. ft.(47 sq. m.),Leasehold,"['ONE BEDROOM GROUND FLOOR FLAT', 'ENTRY PHONE SYSTEM', 'ELECTRIC HEATING', 'LOCAL PARKLAND, SHOPS & AMENITIES ARE CLOSE BY', 'WALKING DISTANCE TO ABBEY WOOD (ELIZABETH LINE) /', 'BELVEDERE TRAIN STATIONS', 'CALL  ']","[['Abbey Wood ', '0.4 miles'], ['Belvedere ', '1.0 miles'], ['Bexleyheath ', '1.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,£1703,961 years left,Band: B,False
7,135813359,"£232,500",Reduced today,"Pullman Place, London, SE9","Forming part of this EXCLUSIVE PRIVATE DEVELOPMENT with the benefit of NO FORWARD CHAIN is this spacious ONE BEDROOM TOP FLOOR APARTMENT. Located within a stones throw to Eltham Train Station, town centre and the highly popular Tudor Barn, this property is a commuters dream and would make the per...",Flat,1,1,,Leasehold,"['CHAIN FREE', '96 YEAR LEASE', 'VERY CLOSE TO TRAIN STATION AND TOWN CENTRE', 'TOP FLOOR', 'ALLOCATED PARKING', 'EPC GRADE D']","[['Eltham ', '0.1 miles'], ['Mottingham ', '1.0 miles'], ['Kidbrooke ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,£1250,96 years left,Band: C,False
8,140153753,"£450,000",Added today,"Lovelace Green, London, SE9","GUIDE PRICE £450,000 - £475,000.LOVELY TWO/THREE BEDROOM COTTAGE located on most sought after Progress Estate, directly overlooking Lovelace Green and located close to Eltham Station giving easy access to Central London and offered with VACANT POSSESSION. 55' REAR GARDEN and OFF STREET PARKING.",Terraced,,2,,Freehold,"['TWO /THREE BEDROOM COTTAGE (second bedroom giving access to bedroom three)', 'Directly overlooking Lovelace Green', 'Located close to Eltham Stations giving easy access to Central London', 'LOUNGE', 'KITCHEN/DINER', 'LARGE FAMILY BATHROOM', ""Outside there is a 55' REAR GARDEN "", 'OFF STREET PARKING for 1 CAR', 'VACANT POSSESSION']","[['Eltham ', '0.5 miles'], ['Kidbrooke ', '1.1 miles'], ['Falconwood ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,137942861,"£600,000",Reduced today,"Sidewood Road, New Eltham",This striking detached house sits on a generous corner plot with a garden that wraps neatly around it. The house has 1462 square feet of accommodation which includes 2 receptions one which is extra large and 4 bedrooms (although bedroom 3 is accessed via bedroom 4). The house represents itself a...,Detached,1,4,,Freehold,"['Striking detached house', 'Corner plot', '1462 square footage', 'Garden wraps around the house', '4 bedrooms ', '2 receptions', 'Large bathroom', 'Great project', 'Potential for extension (stpp)', 'Chain free']","[['New Eltham ', '0.4 miles'], ['Sidcup ', '1.1 miles'], ['Mottingham ', '1.3 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F,False
