,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,89656219,"£1,200,000",Added on 03/02/2023,"Outram Road, Croydon","An incredibly unique opportunity to acquire this most iconic and substantial Victorian detached family home of five double bedrooms, four reception rooms, four bathrooms, cellar and conservatory set on one of Addiscombe's premier tree-lined roads.",Detached,1,5,,Freehold,"['VICTORIAN DETACHED FAMILY HOME ', 'FIVE DOUBLE BEDROOMS', 'FOUR RECEPTION ROOMS', 'HIGHLY SOUGHT AFTER ROAD CLOSE TO EAST CROYDON ', 'FOUR BATHROOMS, CELLAR & UTILITY ROOM', 'SPACIOUS MATURE REAR GARDEN', 'ORIGINAL PERIOD FEATURES THROUGHOUT', 'CHAIN FREE']","[['Addiscombe Tram Stop0.2 miles'], ['Sandilands Tram Stop0.2 miles'], ['Lebanon Road Tram Stop0.4 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: G
1,138362849,"£350,000",Reduced today,"Gipsy Hill , Crystal Palace, London, SE19","*Guide Price £350,000-£375,000* A generously proportioned one bedroom garden flat moments from central Crystal Palace and available for sale with no onward chain.",Apartment,1,1,,Leasehold,"['Generously proportioned', 'Private entrance', 'No onward chain', 'Characterful features', 'Central location', 'Utility room and separate study', 'Low maintenance courtyard garden', 'Ease of access to transport links']","[['Gipsy Hill ', '0.3 miles'], ['Crystal Palace ', '0.4 miles'], ['Sydenham Hill ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D
2,136777847,"£350,000",Reduced yesterday,"Parker Road, Croydon, Surrey, ., CR0","IDEAL FIRST PURCHASE/INVESTMENT LOVELY TWO BED COTTAGE WITH UPSTAIRS BATHROOM. The property briefly comprises entrance lobby, through lounge/dining room, fitted kitchen, two double bedrooms and upstairs bathroom. Outside there is a private rear garden enjoying a sunny aspect. Othe...",Terraced,1,2,,Freehold,"['Charming mid-terraced cottage', 'Close to rail and bus links', 'Two double bedrooms', 'Upstairs bathroom', 'Through lounge/dining room', 'Private garden', 'Gas central heating', 'Double glazed']","[['South Croydon ', '0.4 miles'], ['George Street Tram Stop0.5 miles'], ['Church Street Tram Stop0.5 miles']]","['nationalrail', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: TBC
3,140063660,"£675,000",Added yesterday,"Eden Park Avenue, Beckenham, BR3","Well presented extended three bedroom circa 1920's/30's style terraced house with delightful large private garden (100ft+) and off street parking to rear, ideally situated in a popular residential location close to transport links and amenities, and within the catchment area for excellent primary...",Terraced,1,3,,Freehold,"['Beautiful Three Bedroom Terraced Family Home', 'Sought After Residential Area', 'Extended Accommodation With Stylish Interiors', 'Double Length Through Reception', 'Full Width Extended  Kitchen/Diner And Separate Utility', 'First Floor Family Bathroom', 'Delightful 100Ft Well Stocked Private Garden With Workshop/Outbuilding', 'Off Street Parking To Rear', 'Close To Eden Park And Beckenham Stations, And Tramlink', 'Easy Access Shops, Schools And Amenities']","[['Eden Park ', '0.4 miles'], ['Elmers End ', '0.9 miles'], ['Clock House ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E
4,140061956,"£350,000",Added yesterday,"Seymour Terrace, Anerley",Set within a beautiful period building on the lower floor is this beautiful one bedroom conversion flat with private garden. Offering great open plan living and has an extra study room/ walk in wardrobe.,Flat,1,1,,Share of Freehold,"['Own Private Entrance', 'Private 36ft Garden', 'One Bedroom & Study', 'Open Plan Living', 'Three Piece Bathroom', 'Shared Freehold', 'Fitted Kitchen', 'EPC Rating D']","[['Anerley ', '0.3 miles'], ['Birkbeck ', '0.6 miles'], ['Penge West ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
5,100516703,"£240,000",Reduced yesterday,"Woodstock Road, South Croydon, Surrey, CR0",Northwood are pleased to present this chain free wonderful and completely refurbished immaculate one bedroom apartment in the heart of Croydon. The property is close to local amenities and public transport and would suit any first time buyer or investors looking for rental properties in the area.,Apartment,1,1,560 sq. ft.(52 sq. m.),Leasehold,"['Chain Free', 'Double bedroom', 'Large living room', 'Balcony', 'Large fitted kitchen', 'Good size bathroom', 'Double Glazing', 'Secure video entryphone', 'Great location']","[['George Street Tram Stop0.3 miles'], ['East Croydon ', '0.4 miles'], ['Wellesley Road Tram Stop0.4 miles']]","['tramlink', 'nationalrail', 'tramlink']",Ask agent,Ask agent,113 years left,Ask agent
6,137981429,"£260,000",Reduced yesterday,"London Road, Croydon, CR0","This LARGE two bedroom and two bathroom property is not only one of the biggest in the area but is also being sold with NO CHAIN. This property benefits from a balcony, great transport links, two bathrooms, RESIDENT PARKING, ready to move straight into plus so much more!",Apartment,,2,,Ask agent,"['Two Bedrooms', 'Lift', 'Residents Parking', 'Modern Interior']","[['West Croydon ', '0.6 miles'], ['Ampere Way Tram Stop0.7 miles'], ['Waddon Marsh Tram Stop0.7 miles']]","['nationalrail', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: D
7,140055998,"£400,000",Added yesterday,"Alderton Road, Croydon, CR0","This spacious house boasts natural light throughout as well as being in a great location for local schools and transport. The property also benefits further from having three bedroom, NO chain as well as a spacious garage with rear access. ",House,1,3,,Ask agent,"['3 Bedrooms', '1 Reception Rooms', '1 Bathroom', 'Garden']","[['Blackhorse Lane Tram Stop0.2 miles'], ['Woodside Tram Stop0.4 miles'], ['Addiscombe Tram Stop0.4 miles']]","['tramlink', 'tramlink', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: D
8,140055650,"£685,000",Added yesterday,"The Grange, Shirley, Croydon, CR0","A 3 bedroom Gower 'D' semi-detached family home refurbished and retaining much of its original charm and character, and set within a cul-de-sac.  Modern fitted kitchen, 3 double bedrooms (en suite to master bedroom), family bathroom, separate WC, cloakroom, lounge, dining room, kitchen/br...",Semi-Detached,2,3,,Freehold,"[""1930's 3 Bedroom Semi"", 'Halls Adjoining Gower D', 'South Side of Shirley', '2 Reception Rooms', 'Master Bedroom with En-Suite', 'Double Glazing & Central Heating.', 'Modern Fitted Kitchen', 'Lovely Garden, Garage & Drive']","[['West Wickham ', '1.1 miles'], ['Addington Village Tram Stop1.2 miles'], ['Eden Park ', '1.3 miles']]","['nationalrail', 'tramlink', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: F
9,140055380,"£500,000",Added yesterday,"Hatch Road, London","Benson and Partners are thrilled to offer for sale this spacious 4 bed terraced family home offering superb living space, arranged over 3 floors. The property boasts 3 double bedrooms and 1 single bedroom, double reception room leading onto a good size rear garden, separate kitchen and a family ...",Terraced,,4,,Freehold,"['Four Bedrooms', 'Private Garden', 'Close Transport links', 'Chain Free']","[['Norbury ', '0.3 miles'], ['Streatham Common ', '0.9 miles'], ['Mitcham Eastfields ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
