,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,139627598,"£1,100,000",Added on 07/09/2023,"Russell Road, London, SW19","A wonderful example of these highly sought after four double bedroom period family houses located in this popular location providing convenient access to Wimbledon Town, South Park Gardens and Wimbledon mainline station and within close proximity to outstanding local Schools. Russell ...",Terraced,2,4,,Freehold,"['Four Bedrooms', 'Family Bathroom', 'En Suite Shower Room', 'Two Reception Rooms', 'Kitchen', 'Utility', 'WC', 'Garden']","[['Merton Park Tram Stop0.2 miles'], ['South Wimbledon ', '0.3 miles'], ['Dundonald Road Tram Stop0.3 miles']]","['tramlink', 'underground', 'tramlink']",Ask agent,Ask agent,Ask agent,Band: E
1,132724313,"£519,000",Reduced today,"Cardinal Avenue, Morden","A Crouch built ‘Exhibition` style three bedroom house in a sought after location. Gas central heating and double glazing. Two reception rooms, kitchen, three bedrooms, bathroom. Approximately 50` rear garden. Off street parking. No onward chain.",Terraced,1,3,861 sq. ft.(80 sq. m.),Freehold,"['GAS CENTRAL HEATING', 'DOUBLE GLAZING', 'SOUGHT AFTER LOCATION', 'THREE BEDROOMS', 'OFF STREET PARKING', 'NO ONWARD CHAIN']","[['St. Helier ', '0.6 miles'], ['Morden South ', '0.8 miles'], ['South Merton ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D
2,140056988,"£395,000",Added today,"Woodfield Avenue, London, SW16","Accessed via specious and well maintained communal entrance and situated on the first floor. Accommodation comprises of a bright and airy reception room with ample space for a dining area, a separate Kitchen and fully tiled three piece bathroom. There are a few steps up to...",Apartment,1,1,,Share of Freehold,"['Share of Freehold with 984 Years Remaining on Lease', 'Streatham Hill Location', 'Double Bedroom', 'No Onward Chain', 'Communal Garden', 'Good Decorative Order', 'Lounge Diner']","[['Streatham Hill ', '0.3 miles'], ['Streatham ', '0.8 miles'], ['Balham ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£900,983 years left,Band: TBC
3,140056871,"£545,000",Added today,"Norfolk House Road, Streatham","A large period conversion with charming original features, great ceiling height, two double bedrooms and positioned in prime Streatham Hill moments from Tooting Bec Common.
",Flat,1,2,,Share of Freehold,"['Victorian conversion', 'Great location', 'Two double bedrooms ', 'Perfect for new families', 'Big private garden', 'Original features', 'EPC rating C']","[['Streatham Hill ', '0.2 miles'], ['Streatham ', '0.6 miles'], ['Tulse Hill ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
4,140055380,"£500,000",Added today,"Hatch Road, London","Benson and Partners are thrilled to offer for sale this spacious 4 bed terraced family home offering superb living space, arranged over 3 floors. The property boasts 3 double bedrooms and 1 single bedroom, double reception room leading onto a good size rear garden, separate kitchen and a family ...",Terraced,,4,,Freehold,"['Four Bedrooms', 'Private Garden', 'Close Transport links', 'Chain Free']","[['Norbury ', '0.3 miles'], ['Streatham Common ', '0.9 miles'], ['Mitcham Eastfields ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
5,136958402,"£450,000",Reduced today,"Shap Crescent, Carshalton, SM5"," A well-presented, three double bedroom end terrace house situated in a sought after location in Carshalton, close to schools and transport links. This property already benefits from a ground floor rear extension - with the ground floor accommodation now comprising an enclosed por...",End of Terrace,1,3,,Freehold,"['Three bedroom family home', 'Driveway', 'Sought after location', 'Two Reception room', 'Close to schools', 'Private Garden']","[['Hackbridge ', '0.7 miles'], ['Mitcham Junction ', '0.8 miles'], ['Carshalton ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
6,140053190,"£700,000",Added today,"Woodside, Wimbledon",A spacious three double bedroom split level flat arranged over the upper floors of this handsome converted Victorian house ideally located close to Wimbledon Village and Town.,Flat,2,3,,Share of Freehold,"['No onward chain', 'Three double bedrooms', 'Two modern bathrooms', 'Split level', 'Superb transport links', 'Recently decorated', 'Enviable location']","[['Wimbledon ', '0.4 miles'], ['Wimbledon Park ', '0.5 miles'], ['Haydons Road ', '0.6 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
7,140053184,"£500,000",Added today,"Charlmont Road, Tooting","A spacious three bedroom double fronted ground floor period flat for sale, located conveniently within reach of both Tooting Broadway underground and Tooting City Thameslink stations.
",Flat,1,3,,Leasehold,"['Three double bedrooms', 'Bathroom', 'Through reception', 'Kitchen/breakfast room', '838 sq ft', 'No onward chain', 'EPC Rating C']","[['Tooting Broadway ', '0.3 miles'], ['Tooting ', '0.4 miles'], ['Colliers Wood ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
8,140042726,"£880,000",Added yesterday,"Victory Road, London, SW19","Stunning 3-Bedroom Terraced Home in SW19 1HN Discover the perfect blend of modern elegance and urban convenience at this remarkable 3-bedroom terraced house on Victory Road. Boasting 3 bedrooms, 2 bathrooms, an open-plan kitchen/lounge, and a versatile outdoor summer house, this property i...",Terraced,2,3,,Freehold,"['garden', 'sought-after-location', 'close-to-local-amenities']","[['South Wimbledon ', '0.2 miles'], ['Colliers Wood ', '0.4 miles'], ['Haydons Road ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
9,140042657,"£750,000",Added yesterday,"Richmond Road, Raynes Park",Offered with no onward chain and spanning over 1500 square feet is this incredibly spacious split level maisonette forming part of a period property set around the corner to Raynes Park.,Flat,2,3,,Share of Freehold,"['No onward chain', 'Share of the freehold', 'Three large bedrooms', 'Spacious front reception', 'Two bathrooms', 'Modern fitted kitchen', 'West Wimbledon location', 'EPC Rating - C']","[['Raynes Park ', '0.2 miles'], ['Wimbledon Chase ', '0.9 miles'], ['Motspur Park ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
10,140042234,"£1,250,000",Added yesterday,"Birdhurst Road, London, SW18","An excellent opportunity to acquire a grand and imposing five bedroom period house in the fabled residential enclave “ The Tonsley’s”. The property comprises a core of five bedrooms, two bathrooms, a double reception, an open-plan kitchen/dining room and a separate utility room....",House,,5,,Freehold,[],"[['Wandsworth Town ', '0.2 miles'], ['Clapham Junction ', '0.7 miles'], ['Imperial Wharf ', '1.1 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
11,140042063,"£550,000",Added yesterday,"Gorringe Park Avenue, Mitcham, CR4","Andrews Property group are delighted welcome to the market this three bedroom family home located on the borders of Mitcham and Tooting. Accommodation briefly comprises an entrance hall, two reception rooms, kitchen and breakfast room, family bathroom and three well proportioned bedrooms. Outsi...",Terraced,,3,,Ask agent,"['Three Bedrooms', 'Chain Free', '0.4 Miles of Tooting Station', '0.5 Miles of Mitcham Eastfields Station', 'North Mitcham', 'Freehold', 'Council Tax Band D']","[['Tooting ', '0.3 miles'], ['Mitcham Eastfields ', '0.6 miles'], ['Streatham Common ', '0.9 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: TBC
12,140040839,"£350,000",Added yesterday,"Garratt Lane, Earlsfield, SW18","PLEASE QUOTE JW0326 - WELL PRESENTED 1 BED SECOND FLOOR APARTMENT (469 SQ.FT), PERIOD APPEAL AND MODERN INTERIORS, LIGHT AND SPACIOUS ACCOMMODATION, NEUTRAL DECOR, GAS CENTRAL HEATING, LONG LEASE, NO CHAIN, IDEAL EARLSFIELD LOCATION CLOSE TO TRANSPORT LINKS AND AMENITIES.",Flat,1,1,469 sq. ft.(44 sq. m.),Leasehold,"['WELL PRESENTED 1 BED SECOND FLOOR FLAT (469 SQ.FT)', 'CONVENIENT EARLSFIELD LOCATION', 'PERIOD APPEAL AND MODERN INTERIORS', 'BRIGHT AND SPACIOUS RECEPTION', 'SEPARATE WELL EQUIPPED KITCHEN', 'STYLISH BATHROOM', 'GAS CENTRAL HEATING', '108 YEAR LEASE AND NO CHAIN', 'CLOSE TO EARLSFIELD STATION AND AMENITIES', 'PLEASE QUOTE JW0326']","[['Earlsfield ', '0.1 miles'], ['Wimbledon Park ', '0.8 miles'], ['Southfields ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",£75 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1103.63,108 years left,Band: C
13,140039633,"£900,000",Added yesterday,"Leigham Court Road, Streatham Common, London, SW16","A fantastic 3 bedroom house boasting a spacious reception room with space to dine, a bright and modern kitchen extension with built-in Smeg appliances whilst also benefiting from a glorious mature garden and garage.",Semi-Detached,2,3,"1,570 sq. ft.(146 sq. m.)",Freehold,"['Fantastic 3 bedroom semi-detached house', 'Generously sized reception room', 'Beautiful South-east facing mature private garden', '3 large and well presented bedrooms', 'Off street parking', 'Stylish kitchen with Smeg appliances', 'Garage', 'OFSTED outstanding rated schools - Dunraven and St Julians Farm Road']","[['West Norwood ', '0.6 miles'], ['Streatham ', '0.8 miles'], ['Norbury ', '1.0 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
