,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138749735,"£1,750,000",Added on 17/08/2023,"Crisp Road, London W6","A truly magnificent, lateral apartment of approximately 1379sq ft which is currently configured as a 1 bedroom property and is ideally situated on the 3rd floor with iconic views of Hammersmith Bridge and the Thames. The spectacularly large and flexible open plan living/entertaining space has a c...",Flat,2,1,,Leasehold,"['1 DOUBLE BEDROOM', 'OPEN PLAN KITCHEN/BREAKFAST/RECEPTION', 'SHOWER ROOM', 'EN SUITE BATHROOM', 'WALK-IN WARDROBE', '2 BALCONIES', 'FAR REACHING VIEWS OVER HAMMERSMITH BRIDGE', '2 CAR PARKING SPACES', 'EPC RATING B 88 | COUNCIL TAX BAND G', '1379 SQ FT OF LATERAL LIVING SPACE']","[['Hammersmith (District & Piccadilly) ', '0.3 miles'], ['Hammersmith (Hammersmith & City) ', '0.4 miles'], ['Ravenscourt Park ', '0.5 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,993 years left,Band: G,False
1,140189951,"£1,675,000",Added today,"Archway Street, Barnes, SW13","The Property Partnership are pleased to offer this spacious Victorian corner property in the heart of Little Chelsea, Barnes.",End of Terrace,2,4,,Freehold,"['End-of-Terrace House', 'Close to Barnes Primary School', 'Chain Free', 'Deceptively Spacious Accommodation', 'Corner Plot', 'Four Double Bedrooms', 'Garden With Rear Access', 'Generous Room Sizes', 'Heart of Little Chelsea', 'High Ceilings']","[['Barnes Bridge ', '0.2 miles'], ['Barnes ', '0.5 miles'], ['Mortlake ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,132813665,"£1,395,000",Reduced today,"Wilbraham Place, London, SW1X","A spacious, laterally configured two bedroom flat located in this handsome portered building.",Apartment,2,2,,Share of Freehold,"['Spacious and bright reception room', 'Two double bedroom suites', 'Entrance Hall', 'Separate kitchen', 'Ideal location in the heart of Chelsea', 'Resident porter and lift', 'EPC Rating = D']","[['Sloane Square ', '0.1 miles'], ['Knightsbridge ', '0.5 miles'], ['Victoria ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,981 years left,Band: TBC,False
3,140188493,"£650,000",Added today,"Ifield Road, Chelsea",This one bedroom apartment is located on the first floor of a Victoria conversion property on Ifield Road. The property has been well maintained throughout the current ownership. The property consists of a very well naturally lit reception room with high ceilings and original features such as the...,Flat,1,1,,Leasehold,"['One Double Bedroom', 'Share of Freehold', 'First Floor', 'Built In Storage', 'Private Balcony', 'Separate Kitchen']","[['Fulham Broadway ', '0.4 miles'], ['West Brompton ', '0.5 miles'], ['Earls Court ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,138618449,"£565,000",Reduced today,"Eltringham Street, Wandsworth Town, London, SW18",A period cottage in a rarely travelled street close to Wandsworth Town railway station and Clapham Junction. This wonderful house offers huge scope to an incoming owner to develop into whatever style they choose.,Terraced,1,2,,Freehold,"['Period cottage', 'No onward chain', 'Rarely travelled street', 'Period features', 'Private south west facing rear garden', 'Open reception space', 'Two well-proportioned double bedrooms', 'Planning permission to extend into the roof to create a 3 bedroom, 2 bathroom house with garden. Refer to Wandsworth planning website. (Reference 2020/3383)', 'Convenient location for Wandsworth Town and Clapham Junction']","[['Wandsworth Town ', '0.2 miles'], ['Clapham Junction ', '0.6 miles'], ['Imperial Wharf ', '0.8 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: E,False
5,140188280,"£625,000",Added today,"Westbourne Grove, London, W2","A beautifully presented, light filled, one bedroom top floor apartment, superbly located just off Westbourne Grove. ",Apartment,1,1,,Leasehold,"['Excellent condition', 'Separate kitchen', 'Great light', 'Superb location']","[['Bayswater ', '0.3 miles'], ['Royal Oak ', '0.3 miles'], ['Queensway ', '0.4 miles']]","['underground', 'underground', 'underground']",£425 per year,£1200,151 years left,Band: D,False
6,135868892,"£795,000",Reduced today,"Fairfield St, Wandsworth, SW18","Cound are delighted to offer for sale this wonderful hidden gem on the edge of the Tonsleys. It is a semi detached early Victorian property with huge potential to extend (STPP). It boasts two large reception rooms, a fitted kitchen to the rear of the property leading to a fantastic west facing ga...",House,1,3,"1,152 sq. ft.(107 sq. m.)",Freehold,"['Three double bedrooms', 'two reception rooms', 'kitchen breakfast room', 'over 54 ft west facing garden', 'huge potential (STPP)']","[['Wandsworth Town ', '0.2 miles'], ['East Putney ', '0.9 miles'], ['Clapham Junction ', '1.0 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,137127776,"£400,000",Reduced today,"Coningham Road, Shepherd's Bush, London, W12","This superbly presented first floor flat, circa 416 Sq’ – 38.67 SqM, is set within this Victorian property ideally positioned on this tree-lined residential road close to all transport and recreational amenities of Goldhawk Road, Uxbridge Road, Ravenscourt Park and Shepherd’s...",Flat,1,1,,Share of Freehold,"['First floor flat', 'Superbly presented', ""416 Sq' - 38.67 SqM"", 'EPC rating C', 'One bedroom - One bathroom', 'Shepherd’s Bush']","[['Goldhawk Road ', '0.3 miles'], [""Shepherd's Bush (Hammersmith & City) "", '0.4 miles'], ['Wood Lane ', '0.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,False
8,140186087,"£225,000",Added today,"Spencer Road, Chiswick, London, London, W4 3SU","**Being Sold via Secure Sale Online Auction** Terms and Conditions apply. Starting Bid £225,000. Cash Buyers only due to lease length. A very spacious one bedroom second floor purpose-built apartment for sale offering approximately 682 square feet of internal space and requiring modernisa...",Flat,1,1,,Leasehold,"['Being Sold via Secure Sale online bidding. Terms & Conditions apply', 'One Bedroom Apartment', 'Private balcony', 'Good storage options', 'Potential to convert to two bedroom', 'Cash Buyers Only - Short Lease']","[['Chiswick ', '0.1 miles'], ['Kew Gardens ', '0.7 miles'], ['Mortlake ', '0.8 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
9,140185994,"£560,000",Added today,"1 Ashmore Road, London","Designed and refurbished with an architect's input. This lovely 2 bedroom flat in Maida Vale is bright and spacious, with district views. The split level entry and wide distribution hall makes the space feel much larger. Fresh paint, window furnishings, fully refurbished bathroom and featur...",Flat,1,2,,Share of Freehold,[],"[['Westbourne Park ', '0.3 miles'], [""Queen's Park "", '0.6 miles'], ['Ladbroke Grove ', '0.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
