id,size
138887549,952.5
139615460,875
139548506,1024
139850126,812
132703550,629
139947791,543.5
139855106,785.06
138723902,802
136766219,
139982990,588
139812197,
139687178,818.1
138685850,870
138515138,552.2
139591448,
139760903,767
139951598,694.81
132924710,769
137240807,1464
139878869,640
138887012,
139836953,1749
133610474,
139963310,714
139787426,736
139660841,567
139799660,540
133317059,570.5
139847039,
135207152,659
139902992,1011
137360948,526
139711757,532
139856603,676
139868471,726.6
139785407,534
139526999,753
139151456,525
139867847,
139885241,488
139934231,1438
139949474,1237.8
139965281,750
138549386,495
139900586,855
139702628,457
139674569,1865
124695476,152
127065527,285
139346774,674
139917155,653
138516737,609
139822940,1810
139703213,788
138549302,931
139986617,457
139559183,582.6
139530161,1356
139573724,1443
136346843,688
139722440,285
137000096,585
138246122,738
139663103,539
138549395,775
128156042,614
139372391,15
139931258,862
135823445,527
133461053,474
138002630,1151
139707062,1478
138431873,843
139249001,594
139540802,2277
139738370,688.9
139938227,405.8
139837316,700
139789406,782
138455552,465
139080458,681
139615487,683
138512099,945
139961585,
138613859,700.7
139533857,846
137729234,709
139592018,500
132982286,494
139881809,1331
138549392,883
134834399,1005
139690565,647
139843760,575
138095576,1122
137024996,474
138696911,687
136554374,868
134136389,914
139580189,779
139975784,804
131832236,673
139681967,539
139559180,987
139581518,883
139600217,705
137585576,641
96299246,759
131225000,479
139846475,788
139739816,766
133152665,1047
139596026,1538
128398706,1415
139978373,554
139868486,517
134733260,420
139732646,913
139558445,523
139559117,999
138676793,420
134586593,649
139692494,394
139588433,
139823054,694.1
139622501,
131781782,890
139579763,604
138954266,1111
139840946,732
137159666,1120
138789551,576
139989980,468
131212520,915
139621838,309.8
134347643,638.0
139836506,900
139993445,480
139773746,606
139559879,529
139955753,1515
128042747,322
138994529,269.1
139529342,
139743011,772
139948118,800
139661876,756
134536079,
137940362,
139963022,883
132865544,87
139864172,581.3
136919816,612
139692464,780
136914734,1147
128038949,1152
139871765,784
138701840,757
137588915,517
139937741,1179
139969886,2145
139619546,519
139947152,625
137972393,566
137075858,773
137919188,
139793063,
139301489,
85984635,669
135046301,2166
86148477,775
139946735,525
138640922,801
139790885,363
135895538,634
138289064,463
139970837,
139623428,430
136199963,301
139829465,758
132694817,422
139559261,953.7
130191320,1275
139526252,
138603167,531
86263662,503.75
139878989,1409
139976741,
136694714,1028
130927520,576
137798120,409
139956590,495
139615688,1378
139892450,780
139969835,771
139786262,860
138589775,490
136569644,539
139896479,411
138452132,569
139764575,
138692354,279.8
138379094,379
139826546,756
127861400,
139691282,052
139740050,504
139525685,441.3
139629020,862
139600370,1018.2
139866236,545
139735301,1595
139660838,761
139833266,570
139124375,654
131777195,667.36
139740047,825
139586447,370
136391633,373
136345871,112.9
139776158,512
139792784,900
138417035,587
139689005,542
139780181,507
136868684,64
139528265,713
138908666,844
139624058,
137920670,
138610661,619
138438632,836
138722888,714.7
138510161,661
139675841,864
139738454,916
139559120,1225
139843376,585
139600685,
139719941,810
136192586,580
139818521,484
139528703,709
139942457,710
136125719,
134568278,868.6
130474475,543
139642073,1016
139262618,452
139964630,1216
139563119,375
139658183,742
136292897,1875
139831166,552
137822909,463
139584362,1057
138048707,1103
139705049,567
139693916,511
139739051,824.9
139796561,721.2
138024185,528
138187292,678.1
139691426,1371
139687832,879.4
139570151,892
139793720,467
139849169,823
139545353,857
139859582,783
135944060,767
139723121,1512
139660895,997
139941452,
139970093,654
136575806,564
139702622,602
139662518,606
136127705,1940
137911298,682
128398718,
139807820,639
139080134,635
139937705,1100
139970150,775.00
139052789,711.5
139662521,459
139848545,1478
139616093,930
139902239,737.2
86145465,607.4
139545071,382
134751305,471
139576190,696
136923746,1003
139914461,422
138994463,659.82
139046099,461
137647595,705
139778645,652
138074192,1926
100506851,628
139704305,500
139612595,1538
139857974,1786
139655513,722
139789109,496
139820876,840
136861379,1047
139611761,829
134117966,514
139704869,466
139966175,583
139648184,418
139855583,462
139684256,994
138813680,921
139968593,1537
136701362,513
139963259,565
131951939,518
135673475,457
139845782,752
139559153,723.3
139851125,553
135187541,721
136870208,807.3
139915334,1139
139652330,925
139961537,665
136460912,640
138250925,1521
139822046,669.95
138841511,1047
139806806,
135905477,700.7
139860884,987
139126067,717
139738763,526
139865348,1243
139267697,
138834017,609
139963295,451
138775916,459
136395440,520.43
139797902,494
137940389,
138345518,739
138195302,773
139528091,1175
139564202,514
137908067,520
139640531,507
139579745,531
136090364,453
136247903,931
139660760,849
139616096,1781
139524800,165.3
139806290,524
137940419,
138663479,531
136580567,671
139582505,561
137997440,917
139778957,483
139559213,1171
138549389,441
139884410,839
139559249,1089.3
139866098,879
139700240,770
139734284,693
136311713,600
139863155,605.0
139858547,11
138087275,717
136857998,
86118873,657
135278933,563
137966810,1037
138455297,790
121535747,360
139537775,487
137824079,548
139877945,459
139562846,1083
139845707,470
139938548,
138710219,831
134000546,482
