,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,137817302,"£550,000",Added on 24/07/2023,Cheviot Gardens NW2,"Introducing a beautifully renovated ground floor flat with three bedrooms and two bathrooms, in a sought-after area near Golders Green, Brent Cross, and Childs Hill. ","['24/07/2023', '24/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Ground Flat,2,3,755 sq. ft.(70 sq. m.),Share of Freehold,[],"[['Cricklewood ', '0.4 miles'], ['Brent Cross ', '0.8 miles'], ['Golders Green ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
1,137969507,"£550,000",Added on 27/07/2023,"Pennine Drive, Golders Green Estate, NW2","LUXURIOUS ground floor apartment located near to GOLDERS GREEN & WEST HAMPSTEAD - No onward chain with high end finishes the property includes a PRIVATE GARDEN, PRIVATE PARKING AND STUDIO/ANNEX (with ensuite) in the garden.","['27/07/2023', '27/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Ground Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Luxury ground floor apartment', 'Studio/Annex located in the Garden', 'Private south facing rear garden', 'Beautiful features and presentation throughout', 'Impressive open plan Kitchen/dining room/living area', 'Viewing recommended - No onward chain']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E
2,138248144,"£550,000",Reduced on 22/08/2023,"North End Road, NW11","2 Bed 2 bath, share of freehold, Off street parking, Private garden moments from Golders Green Station !","['22/08/2023', '03/08/2023', '22/08/2023', '03/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,2,2,,Share of Freehold,"['Off Street Parking FCFS', 'Private Garden', 'Share of Freehold', 'Chain Free', 'Main bedroom on separate level', 'Moments from Golders Green Station']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '1.0 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
3,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...","['24/06/2023', '08/02/2023', '24/06/2023', '08/02/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
4,137822822,"£550,000",Added on 24/07/2023,"Cheviot Gardens, NW2","The generously proportioned three bedrooms and two bathrooms provide ample space for families or those seeking room for guests and home offices. The open-plan living room serves as the heart of the home, ideal for gatherings and relaxation. The west-facing garden bathes the interior in warm su...","['24/07/2023', '24/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,2,3,755 sq. ft.(70 sq. m.),Ask agent,"['Open plan living room/ kitchen', '3 bedrooms and 2 bathrooms with one en-suite', 'Wooden floors throughout', 'Private garden', 'Close to all types of transport', 'Quiet tree lined street', 'Brent Cross Shopping Centre moments away', 'Ideal for buy to live or buy to let', 'Off street parking', 'EPC rating C']","[['Cricklewood ', '0.4 miles'], ['Brent Cross ', '0.8 miles'], ['Golders Green ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D
5,137892533,"£545,000",Added on 26/07/2023,"Willifield Way, Hampstead Garden Suburb, NW11","A good size 2 bedroom ground floor flat wonderfully located being a moments walk to the many shops, cafes and transport of Temple Fortune. The property is a rare purpose built ground floor apartment set in a detached double fronted property which has use of a patio garden. The property requires...","['26/07/2023', '26/07/2023']","['Initial entry found: £545,000', 'Initial entry found: £545,000']",Flat,1,2,,Leasehold,"['2 bedrooms', 'Lounge', 'Kitchen', 'Bathroom', 'Patio garden', 'Close to shops & transport links', 'EPC=D']","[['Brent Cross ', '0.9 miles'], ['Golders Green ', '1.0 miles'], ['Finchley Central ', '1.0 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
6,132121610,"£545,000",Reduced on 23/08/2023,"Meadway, Hampstead Garden Suburb","A delightful 2 bedroom ground floor apartment set within this highly desirable Grade II listed building located on the south side of Hampstead Garden Suburb, close to the Heath Extension, Temple Fortune and Golders Green.2 bedrooms, bathroom/WC, galley style kitchen, cosy reception room...","['23/08/2023', '01/03/2023', '23/08/2023', '01/03/2023']","['Price changed from £575,000 to £545,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £545,000', 'Initial entry found: £575,000']",Apartment,1,2,,Leasehold,[],"[['Golders Green ', '0.7 miles'], ['East Finchley ', '1.0 miles'], ['Brent Cross ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
7,134446748,"£525,000",Added on 04/05/2023,"Ferncroft Avenue, 
Hampstead, NW3","A bright one bedroom ground floor apartment situated in this attractive semi-detached house, located on this quiet tree-lined street in Hampstead.","['04/05/2023', '04/05/2023']","['Initial entry found: £525,000', 'Initial entry found: £525,000']",Apartment,1,1,,Share of Freehold,"['Ground floor apartment', 'One bedroom', 'Large reception', 'Private terrace']","[['Hampstead ', '0.6 miles'], ['Finchley Road & Frognal ', '0.7 miles'], ['West Hampstead Thameslink ', '0.7 miles']]","['underground', 'overground', 'nationalrail']",Ask agent,£2114,945 years left,Band: D
8,134419874,"£525,000",Reduced on 29/06/2023,"Hocroft Court, 
Hendon Way, NW2","Located on the second floor of this well-maintained purpose built block, this spacious two bedroom apartment with a balcony, two double bedrooms and a separate kitchen.","['29/06/2023', '04/05/2023', '29/06/2023', '04/05/2023']","['Price changed from £560,000 to £525,000', 'Initial entry found: £560,000', 'Price changed from £560,000 to £525,000', 'Initial entry found: £560,000']",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Balcony', 'Share of freehold', 'Parking']","[['Cricklewood ', '0.5 miles'], ['Golders Green ', '0.8 miles'], ['West Hampstead Thameslink ', '1.0 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,£3360,986 years left,Band: D
9,135126110,"£525,000",Added on 22/05/2023,"Ferncroft Avenue, London, NW3","With a private sun terrace leading directly off the reception room, a lovely 1 bedroom raised ground floor apartment.","['22/05/2023', '22/05/2023']","['Initial entry found: £525,000', 'Initial entry found: £525,000']",Flat,1,1,,Share of Freehold,"['spectacularly bright', 'private terrace', '1 bedroom', 'spacious reception room', 'kitchen', 'bathroom', 'popular tree-lined location', 'share of freehold', 'chain free']","[['Hampstead ', '0.6 miles'], ['Finchley Road & Frognal ', '1.0 miles'], ['West Hampstead Thameslink ', '1.3 miles']]","['underground', 'overground', 'nationalrail']",£0 per year,£887.42,945 years left,Band: D
