,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,138995738,"£550,000",Added on 23/08/2023,"Finchley Road, NW11","Step into spacious living with this 712 sq. ft apartment boasting two double bedrooms and two bathrooms. Situated on the first floor of a modern conversion, this property offers both comfort and convenience. The airy and well-lit interior creates an inviting atmosphere througho...","['23/08/2023', '23/08/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,2,2,712 sq. ft.(66 sq. m.),Leasehold,"['Chain free', 'Low outgoings', '2 double bedrooms', 'Private balcony', '2 bathrooms', 'Spacious 712 sq. ft']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.8 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,125 years left,Band: A
1,137817302,"£550,000",Added on 24/07/2023,Cheviot Gardens NW2,"Introducing a beautifully renovated ground floor flat with three bedrooms and two bathrooms, in a sought-after area near Golders Green, Brent Cross, and Childs Hill. ","['24/07/2023', '24/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Ground Flat,2,3,755 sq. ft.(70 sq. m.),Share of Freehold,[],"[['Cricklewood ', '0.4 miles'], ['Brent Cross ', '0.8 miles'], ['Golders Green ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
2,137969507,"£550,000",Added on 27/07/2023,"Pennine Drive, Golders Green Estate, NW2","LUXURIOUS ground floor apartment located near to GOLDERS GREEN & WEST HAMPSTEAD - No onward chain with high end finishes the property includes a PRIVATE GARDEN, PRIVATE PARKING AND STUDIO/ANNEX (with ensuite) in the garden.","['27/07/2023', '27/07/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Ground Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Luxury ground floor apartment', 'Studio/Annex located in the Garden', 'Private south facing rear garden', 'Beautiful features and presentation throughout', 'Impressive open plan Kitchen/dining room/living area', 'Viewing recommended - No onward chain']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E
3,138332249,"£550,000",Reduced on 05/08/2023,"Granville Road, London, NW2","A two double bedroom apartment located on Granville Road, NW2. This modern apartment is exceptionally well presented throughout and is approximately 885 sq. ft. The property has a semi open plan kitchen and living room with integrated appliances with doors opening on to the private terrace. Ther...","['05/08/2023', '05/08/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,2,2,,Leasehold,"['2 bedrooms', '1 reception room', '2 bathrooms', 'Lift', 'Modern', 'Ground Floor', 'Parking', 'Terrace', 'Town/City', 'Private Parking']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",£275 per year,£4757.04,993 years left,Band: E
4,122267285,"£550,000",Added on 11/04/2022,"Eagle Lodge, Golders Green NW11","Situated on the top floor of this stunning art-deco building, within 0.5 miles of Golders Green Underground Station is this extremely spacious three double bedroom apartment. Internally the property comprises a spacious living room, bathroom, separate WC, fitted kitchen and three double bedrooms....","['11/04/2022', '11/04/2022']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Apartment,1,3,,Leasehold,"['THREE DOUBLE BEDROOMS', 'BATHROOM', 'SEPARATE WC', 'SPACIOUS LIVING ROOM', 'KITCHEN', 'CHAIN FREE']","[['Brent Cross ', '0.5 miles'], ['Golders Green ', '0.5 miles'], ['Hendon Central ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
5,138248144,"£550,000",Reduced on 22/08/2023,"North End Road, NW11","2 Bed 2 bath, share of freehold, Off street parking, Private garden moments from Golders Green Station !","['22/08/2023', '03/08/2023', '22/08/2023', '03/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,2,2,,Share of Freehold,"['Off Street Parking FCFS', 'Private Garden', 'Share of Freehold', 'Chain Free', 'Main bedroom on separate level', 'Moments from Golders Green Station']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '1.0 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
6,134065736,"£550,000",Reduced on 08/05/2023,"Hoop Lane, Golders Green","This spacious two bedroom split-level maisonette has its own front door and offers over 1,000 sq ft. The property has a private garage and will be sold with no onward chain.","['08/05/2023', '25/04/2023', '08/05/2023', '25/04/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000', 'Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']",Flat,2,2,,Freehold,"['Two Bedrooms', 'Separate Kitchen', 'Private Entrance', 'Garage', 'Duplex', 'No Onward Chain']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '0.7 miles'], ['Cricklewood ', '1.2 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent
7,136230302,"£550,000",Added on 18/06/2023,"Windsor Court, NW11","A ready to move into 3 bedroom purpose built flat, centrally located with a long lease","['18/06/2023', '18/06/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']",Flat,1,3,,Leasehold,"['Spacious apartment', 'High ceilings', 'Hot Water & Heating Included in the Service Charges', 'Rubbish collected from outside the apartment', 'Virtual Freehold', 'Ready to move into']","[['Brent Cross ', '0.3 miles'], ['Golders Green ', '0.8 miles'], ['Hendon Central ', '0.8 miles']]","['underground', 'underground', 'underground']",£150 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3500,980 years left,Band: E
8,130595939,"£550,000",Added on 11/01/2023,"James Close, Woodlands, London, NW11","A bright spacious 2 double bedroom apartment, nestled within a sought after residential road. Offering 983 sq. ft. and a south facing balcony with views overlooking the communal gardens. Benefits include separate kitchen, large reception/dining space, 2 double bedrooms, guest w/c, south facing ba...","['16/02/2023', '12/01/2023', '16/02/2023', '12/01/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Apartment,1,2,,Share of Freehold,"['SEPARATE KITCHEN', 'LARGE RECEPTION/DINING SPACE', '2 DOUBLE BEDROOMS', 'GUEST W/C', 'SOUTH FACING BALCONY', 'COMMUNAL GARDENS', 'GARAGE', 'LIFT', 'SHARE OF FREEHOLD', 'HUGE POTENTIAL FOR MODERNISATION']","[['Brent Cross ', '0.4 miles'], ['Hendon Central ', '0.8 miles'], ['Golders Green ', '0.9 miles']]","['underground', 'underground', 'underground']",£0 per year,£5039.67,899 years left,Band: TBC
9,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...","['24/06/2023', '08/02/2023', '24/06/2023', '08/02/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent
