,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,142809899,"£499,000",Added on 08/12/2023,"Prayle Grove, Cricklewwod, NW2","Introducing a semi-detached house with off-street parking in a quiet and convenient location. The property boasts three bedrooms,two receptions, family bathroom, downstairs cloak room and a generous garden, making it perfect for families or those seeking extra space. With ...",Semi-Detached,1,3,,Freehold,"['Semi detached house', 'Two reception rooms', 'Three bedrooms', 'Generous garden', 'Off street parking', 'Convenient location', 'Council tax Band D']","[['Brent Cross ', '0.4 miles'], ['Cricklewood ', '0.9 miles'], ['Hendon Central ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: TBC,False
1,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
2,142913045,"£550,000",Reduced on 13/12/2023,"Corringway, Hampstead Garden Suburb, London, NW11","In the heart of Hampstead Garden Suburb with LIFT ACCESS and NO ONWARD CHAIN, this modern two bedroom, two bathroom apartment is located close to Hampstead Heath whilst also offering the convenience of Golders Green Tube Station.",Flat,2,2,937 sq. ft.(87 sq. m.),Share of Freehold,"['Two bedroom apartment', 'Large reception room', 'Large master bedroom', 'Ensuite shower room', 'Near Golders Green tube station and Heath Extension', 'Communal grounds and secure underground parking']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '1.0 miles'], ['Hampstead ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: G,False
3,139714331,"£550,000",Added on 08/09/2023,"Orchid Court, Granville Road, Childs Hill, NW2","Popular development in CHILDS HILL near HAMPSTEAD, this impressive garden apartment has PRIVATE WEST FACING TERRACE, two beds/two baths and good standard throughout. Viewing recommended.",Apartment,2,2,786 sq. ft.(73 sq. m.),Leasehold,"['Stunning Ground floor apartment located in Childs Hill', 'Two bedrooms with main room en-suite', 'Private terrace located just off the reception room', 'Modern fixtures throughout', 'Situated between Golders Green and Hampstead', 'Viewing highly recommended']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,£2650,Ask agent,Band: E,False
4,141293741,"£549,950",Added on 26/10/2023,"Templars Avenue, London",A beautifully presented TWO BEDROOM GROUND FLOOR GARDEN MAISONETTE situated on a sought after residential road conveniently located and within walking distance to all local shopping & transport facilities and places of worship. The property is being offered in good decorative order and benefits f...,Flat,1,2,,Leasehold,"['GROUND FLOOR GARDEN MAISONETTE', 'TWO BEDROOMS', 'FULLY FITTED KITCHEN/BREAKFAST ROOM', 'RECEPTION ROOM', 'BATHROOM', 'BEAUTIFUL REAR GARDEN', 'CLOSE TO ALL LOCAL AMENITIES', 'WALKING DISTANCE TO STATION', 'LONG LEASE', 'NO UPPER CHAIN']","[['Golders Green ', '0.5 miles'], ['Brent Cross ', '0.6 miles'], ['Hendon Central ', '1.2 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,133 years left,Ask agent,True
5,132121610,"£545,000",Reduced on 23/08/2023,"Meadway, Hampstead Garden Suburb","A delightful 2 bedroom ground floor apartment set within this highly desirable Grade II listed building located on the south side of Hampstead Garden Suburb, close to the Heath Extension, Temple Fortune and Golders Green.2 bedrooms, bathroom/WC, galley style kitchen, cosy reception room...",Apartment,1,2,,Leasehold,[],"[['Golders Green ', '0.7 miles'], ['East Finchley ', '1.0 miles'], ['Brent Cross ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,True
6,137969636,"£530,000",Reduced on 14/09/2023,"Pennine Drive, Golders Green Estate, London, NW2","NEWLY converted duplex apartment located in GOLDERS GREEN ESTATE, with PRIVATE section of the GARDEN at the rear. Luxurious and High standard of finish with versatile accommodation. NO ONWARD CHAIN.",Apartment,1,2,854 sq. ft.(79 sq. m.),Freehold,"['Stunning duplex apartment located in Golders Green Estate', 'Two double bedrooms', 'High end finish', 'Garden to the rear', 'Modern fitted kitchen/breakfast room', 'Viewing Highly recommended']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,85973229,"£530,000",Reduced on 14/09/2023,"Upper Maisonette, Pennine Drive, Golders Green Estate, NW2","For those who seek a turn-key abode, this elegant and meticulously refurbished first and second floor duplex apartment enjoys use of a private garden and the benefit of off street parking. This stunning property promises to deliver both the necessities and a bounty of luxury features, an...",Flat,1,2,848 sq. ft.(79 sq. m.),Share of Freehold,"['Contemporary kitchen / breakfast room', 'Private garden', 'Access to flat roof', 'Off street parking', 'Newly refurbished to exquisite standard']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,142135499,"£525,000",Added on 30/05/2023,"Cricklewood Lane, Cricklewood, London, NW2","This fantastic 2 bedroom garden flat features a stunning bay-fronted double bedroom, spacious reception room and conservatory with access to the private garden.",Flat,1,2,796 sq. ft.(74 sq. m.),Share of Freehold,"['Superb 2 bedroom garden flat', 'Period conversion', 'Spacious reception room', 'Conservatory', 'Private garden with patio', 'Bay-fronted double bedroom', 'Bright kitchen']","[['Cricklewood ', '0.3 miles'], ['Golders Green ', '0.9 miles'], ['Kilburn ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
9,136998146,"£500,000",Added on 06/07/2023,"Prayle Grove, Cricklewood, NW2","Chain free. A spacious 3 bedroom semi detached family home ideally located in a popular residential location close to the impressive regeneration area of Brent Cross town. Benefits include excellent transport links, close to shops, close to park, huge potential to update and extend (S...",Semi-Detached,1,3,,Freehold,"['A SPECIOUS 3 BEDROOM', 'EXCELLENT TRANSPORT LINKS', 'CLOSE TO SHOPS', 'CLOSE TO PARK', 'HUGE POTENTIAL TO UPDATE AND EXTEND (STPP)', 'GOOD SIZED GARDEN', 'SOLD WITH NO CHAIN', 'COUNCIL TAX BAND D']","[['Brent Cross ', '0.3 miles'], ['Cricklewood ', '0.9 miles'], ['Hendon Central ', '0.9 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: TBC,False
