,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140031359,"£550,000",Added on 09/01/2023,"London, NW8","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of Londonâ€™s famous Abbey Road, with...",Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent,True
1,140700377,"£550,000",Added on 02/10/2023,"32 Lawn Road, London, NW3","** CHAIN FREE ** ** LONG LEASE ** A beautifully presented and well maintained one double bedroom purpose built ground floor flat, offered for sale in excellent condition throughout. Measuring approximately 547 sq ft, the property comprises of an entrance hall with a storage room, a double bedr...",Flat,2,1,,Leasehold,"['Private Enclosed Balcony & Small Garden', 'One Double Bedroom Purpose Built Flat', 'Ground Floor', 'Long Lease', 'Excellent Condition Throughout', 'Approximately 547 Sq Ft', 'Chain Free', 'Secure Video Entry Phone System', 'Double Glazed, Central Heating', 'Excellent Transport Links, Local Amenities']","[['Belsize Park ', '0.2 miles'], ['Hampstead Heath ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,245 years left,Ask agent,True
2,86591910,"£550,000",Added on 12/10/2023,"Belgrave Gardens, St John's Wood NW8","Introducing a captivating contemporary gem for sale: this one-bedroom, one-bathroom residence boasts an additional guest WC, a generously proportioned reception room, and a private balcony. Spanning approximately 650 square feet, this apartment is thoughtfully designed to optimize both space and ...",Apartment,1,1,646 sq. ft.(60 sq. m.),Leasehold,"['1 Bedroom', 'Private Balcony', 'High ceilings', 'Great transport links', 'Nearby to the American School', 'Close proximity to the iconic Abbey Road']","[['Kilburn High Road ', '0.3 miles'], ['South Hampstead ', '0.4 miles'], ['Kilburn Park ', '0.4 miles']]","['overground', 'overground', 'underground']",Ask agent,£2300.84,125 years left,Band: E,True
3,142567853,"£550,000",Reduced on 08/12/2023,"Acol Road, South Hampstead, NW6","A modern, stylish and contemporary one-bedroom flat nestled within the sought-after neighbourhood of South Hampstead, London. Boasting a private garden and pending planning permission for a 58sqft extension, this property offers the potential for a delightful second bedroom, perfect for those see...",Flat,1,1,,Share of Freehold,"['One bedroom ground floor flat', 'secured gated development', 'Private garden', 'refurbished to a high standard', 'Share of Freehold', 'South Hampstead Conservation Area', 'Private parking']","[['Kilburn High Road ', '0.3 miles'], ['West Hampstead ', '0.4 miles'], ['West Hampstead Thameslink ', '0.4 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,140535860,"£550,000",Reduced on 17/11/2023,"Fleet Road, Hampstead, London, NW3","This stunning 1 bedroom first floor flat is located in a period conversion and immaculately presented throughout. Featuring contemporary, stylish interiors and benefiting from a private roof terrace.",Flat,1,1,443 sq. ft.(41 sq. m.),Share of Freehold,"['Stunning 1 bedroom flat', 'First floor', 'Victorian terraced building', 'Open-plan living space', 'Well-equipped kitchen', 'Double bedroom with bi-fold doors to the terrace', 'Built in wall to wall storage', 'Sought-after location close to Hampstead Heath']","[['Hampstead Heath ', '0.2 miles'], ['Belsize Park ', '0.3 miles'], ['Gospel Oak ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
5,142129913,"£550,000",Reduced on 23/11/2023,"Belgrave Gardens, St John's Wood, London, NW8",A beautiful two bedroom third floor flat that is well presented throughout and ideally located close to a variety of amenities and transport links.,Flat,1,2,507 sq. ft.(47 sq. m.),Leasehold,"['Lovely two bedroom thrid floor flat', 'Great location just off Abbey Road', 'Two bright and spacious bedrooms', 'Modern kitchen with integrated appliances', 'Well-proportioned reception room', 'Short distance from Kilburn High Road']","[['Kilburn High Road ', '0.3 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['overground', 'underground', 'overground']",£300 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£3894,148 years left,Ask agent,False
6,136334633,"£540,000",Reduced on 01/06/2023,"Goldhurst Terrace, Swiss Cottage",We are pleased to offer this stunning 1 bedroom ground floor Period conversion situated in a superb location and within 5 minutes from Swiss Cottage tube station.,Flat,1,1,,Leasehold,"['Conversion', '1 Bed', '1 Reception', '1 Bathroom', 'Energy Rating : C', 'Garden', 'Gas Central Heating']","[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.3 miles'], ['Finchley Road ', '0.4 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,131348984,"£540,000",Reduced on 01/06/2023,"Goldhurst Terrace, South Hampstead, London",Spacious 753 sq ft 1 bedroom flat on the garden floor of this Victorian terraced house on Goldhurst Terrace. Good size reception with high ceilings separate fitted kitchen with door to section of rear garden. Private entrance. Plenty of storage. EPC:C. Council Tax D. Leasehold 125 from 1993. Grou...,Ground Flat,1,1,,Leasehold,"['Spacious 753 sq ft 1 bedroom flat on the garden floor of this period house on Goldhurst Terrace. Near the junction of Fairhazel Gardens ', 'Ideal for Swiss Cottage main line and Jubillee line stations and the variety of shops on Fairfax and Finchley Road', 'Good size reception with wood flooring and  high ceiling. Separate fitted kitchen with door to rear garden', 'Plenty of storage. Private entrance from street. Rear section of lawned garden with patio area  ', 'EPC:C. Council Tax D. Leasehold 125 from 1993. Ground rent £10.00 ', 'Viewing via MAIN AGENTS Rose & Co Estates  ']","[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.3 miles'], ['Finchley Road ', '0.3 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
8,133845446,"£530,000",Reduced on 15/11/2023,"Westfield Lodge, 
Westfield, NW3","Situated within this prestigious and highly sought after development, a spacious one double bedroom second floor apartment (662 square feet) overlooking communal gardens. Sole agent.",Flat,1,1,,Leasehold,"['Large second floor apartment', '662 square feet', 'Prestigious development', '1 double bedroom & 1 bathroom', 'Sash windows', 'Secure underground parking space', '24 hour concierge ', 'Swimming pool & gymnasium', 'Landscaped communal gardens']","[['West Hampstead Thameslink ', '0.6 miles'], ['Finchley Road & Frognal ', '0.6 miles'], ['West Hampstead ', '0.7 miles']]","['nationalrail', 'overground', 'nationalrail']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£6000,971 years left,Band: E,True
9,138259586,"£525,000",Reduced on 19/09/2023,"Bracknell Gardens, Hampstead, NW3","This stunning one bedroom apartment is located within a beautiful property on Bracknell Gardens. A highly desirable opportunity to own a share of freehold, one bedroom flat which also comes with a host of smart features and offers comfortable living in a sought-after location. A side ent...",Flat,1,1,442 sq. ft.(41 sq. m.),Share of Freehold,"['Share of freehold', 'Superb one double bedroom apartment', 'Private front door', 'Garden views', 'Desirable Hampstead location']","[['Finchley Road & Frognal ', '0.4 miles'], ['West Hampstead Thameslink ', '0.5 miles'], ['Hampstead ', '0.5 miles']]","['overground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,True
