,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139974935,"£475,000",Reduced on 06/10/2023,"Haverstock Hill, London, NW3",A bright one bedroom flat located on the second floor of this small Victorian conversion.,Flat,1,1,372 sq. ft.(35 sq. m.),Share of Freehold,[],"[['Belsize Park ', '0.2 miles'], ['Chalk Farm ', '0.4 miles'], ['Hampstead Heath ', '0.5 miles']]","['underground', 'underground', 'overground']",Ask agent,£1200,Ask agent,Band: D,False
1,86351727,"£550,000",Reduced on 06/10/2023,"Heritage Lane, Orwell Building, NW6","Exceptional apartment in a secure development. 24hr Concierge service. 581 sqft. Private Balcony. Access to residential gym and spa facilities. Rental value minimum approx. £2,250 pcm. Excellent transport links via Jubilee Line, Overground and Thames Link.",Apartment,1,1,,Leasehold,"['Private Balcony', 'Residents Gym', 'Spa Facilities', '24hr Concierge', 'Ideal for Investment', 'Excellent for first time buyers']","[['West Hampstead ', '0.0 miles'], ['West Hampstead Thameslink ', '0.1 miles'], ['Brondesbury ', '0.4 miles']]","['nationalrail', 'nationalrail', 'overground']",£500 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£6274.54,Ask agent,Band: C,False
2,139579535,"£550,000",Added on 06/09/2023,"HARBEN ROAD, SWISS COTTAGE, NW6","We are thrilled to present this recently renovated apartment featuring a balcony, superbly situated just a short walk from Swiss Cottage and Finchley Road stations. This apartment occupies the first floor and boasts a spacious hallway with ample storage, two generously sized double bedro...",Apartment,1,2,688 sq. ft.(64 sq. m.),Leasehold,"['Recently Refurbished', 'New Wooden Floor', 'Modern Kitchen', 'Modern Bathroom', '2 double bedrooms', '1st Floor', 'Balcony', 'Great Location', 'Ex-local authority Block', 'Large reception']","[['Swiss Cottage ', '0.1 miles'], ['South Hampstead ', '0.2 miles'], ['Finchley Road ', '0.3 miles']]","['underground', 'overground', 'underground']",Ask agent,£5000,92 years left,Band: C,False
3,133719365,"£550,000",Added on 17/04/2023,"Boundary Road, St John's Wood","A well presented apartment arranged over the ground and first floor in a purpose built block. The property comprises three bedrooms with built in wardrobes, separate fully-fitted kitchen, family bathroom, separate W/C and a large reception room with a Juliette balcony over looking the communal ga...",Maisonette,1,3,,Leasehold,"['Three Bedrooms', 'Large Reception', 'Spilt-Level', 'Purpose Built', 'Excellent Condition', 'Communal Gardens']","[['South Hampstead ', '0.3 miles'], ['Kilburn High Road ', '0.4 miles'], [""St. John's Wood "", '0.5 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,140031359,"£550,000",Added on 09/01/2023,"London, NW8","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of Londonâ€™s famous Abbey Road, with...",Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent,True
5,133125212,"£550,000",Reduced on 02/06/2023,"Iverson Road, London, NW6","A well proportioned, two bedroom flat set within an attractive detached period building with terrace and off street parking.",Flat,1,2,,Share of Freehold,"['Two bedroom top floor flat', 'Fitted Galley-Style Kitchen', 'Private Roof Terrace', 'Close To Kilburn Underground & Brondesbury Station', 'Easy Access To All Amenities', 'Spacious Dual Aspect Reception Room', 'Tiled Bathroom', 'No Onward Chain', 'Off Street Parking']","[['Brondesbury ', '0.2 miles'], ['Kilburn ', '0.3 miles'], ['West Hampstead Thameslink ', '0.3 miles']]","['overground', 'underground', 'nationalrail']",£0 per year,Ask agent,170 years left,Band: C,False
6,140700377,"£550,000",Added on 02/10/2023,"32 Lawn Road, London, NW3","** CHAIN FREE ** ** LONG LEASE ** A beautifully presented and well maintained one double bedroom purpose built ground floor flat, offered for sale in excellent condition throughout. Measuring approximately 547 sq ft, the property comprises of an entrance hall with a storage room, a double bedr...",Flat,2,1,,Leasehold,"['Private Enclosed Balcony & Small Garden', 'One Double Bedroom Purpose Built Flat', 'Ground Floor', 'Long Lease', 'Excellent Condition Throughout', 'Approximately 547 Sq Ft', 'Chain Free', 'Secure Video Entry Phone System', 'Double Glazed, Central Heating', 'Excellent Transport Links, Local Amenities']","[['Belsize Park ', '0.2 miles'], ['Hampstead Heath ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,245 years left,Ask agent,True
7,86591910,"£550,000",Added on 12/10/2023,"Belgrave Gardens, St John's Wood NW8","Introducing a captivating contemporary gem for sale: this one-bedroom, one-bathroom residence boasts an additional guest WC, a generously proportioned reception room, and a private balcony. Spanning approximately 650 square feet, this apartment is thoughtfully designed to optimize both space and ...",Apartment,1,1,646 sq. ft.(60 sq. m.),Leasehold,"['1 Bedroom', 'Private Balcony', 'High ceilings', 'Great transport links', 'Nearby to the American School', 'Close proximity to the iconic Abbey Road']","[['Kilburn High Road ', '0.3 miles'], ['South Hampstead ', '0.4 miles'], ['Kilburn Park ', '0.4 miles']]","['overground', 'overground', 'underground']",Ask agent,£2300.84,125 years left,Band: E,True
8,142710650,"£550,000",Added on 05/09/2023,"Campden House, NW6","PMP International is delighted to present this modern, spacious and bright 2-bedroom flat located prime location of South Hampstead. Offering a comfortable and contemporary living space which is beautifully appointed and ideal for a young couple or an investment. We highly recommend scheduling vi...",Apartment,1,2,,Leasehold,['Balcony'],"[['Swiss Cottage ', '0.1 miles'], ['South Hampstead ', '0.2 miles'], ['Finchley Road ', '0.2 miles']]","['underground', 'overground', 'underground']",Ask agent,£1200,93 years left,Ask agent,False
9,142567853,"£550,000",Reduced on 08/12/2023,"Acol Road, South Hampstead, NW6","A modern, stylish and contemporary one-bedroom flat nestled within the sought-after neighbourhood of South Hampstead, London. Boasting a private garden and pending planning permission for a 58sqft extension, this property offers the potential for a delightful second bedroom, perfect for those see...",Flat,1,1,,Share of Freehold,"['One bedroom ground floor flat', 'secured gated development', 'Private garden', 'refurbished to a high standard', 'Share of Freehold', 'South Hampstead Conservation Area', 'Private parking']","[['Kilburn High Road ', '0.3 miles'], ['West Hampstead ', '0.4 miles'], ['West Hampstead Thameslink ', '0.4 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
