,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
1,139524869,"£550,000",Added on 05/09/2023,"Northwood Road, Highgate","Conveniently situated between Highgate Village and Crouch End Broadway is this substantial, one bedroom apartment with a private, southerly orientated, terrace. Arranged over the upper floors of a handsome Victorian house, this elegant and charming home offers 580 sq ft of bright and well-propor...",Apartment,1,1,,Share of Freehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Roof Terrace', 'Share of Freehold']","[['Highgate ', '0.4 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",£0 per year,£840,88 years left,Band: C,False
2,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
3,136348346,"£550,000",Added on 21/06/2023,"Kitchener Road, London, N2","We offer this well presented 2 double bedroom (originally a 3 bed) first floor purpose built maisonette with direct access to own rear garden. The property is located in a highly popular residential Road, minutes from shops and amenities and within 0.5 miles from East Finchley tube (...",Maisonette,1,2,,Freehold,"['Spacious lounge/ diner', '2 double bedrooms', 'Own private garden', 'Loft storage space', '120 year lease plus freehold', 'Within 0.5 miles of East Finchley tube', 'Gas central heating', 'Chain free']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
4,134982371,"£550,000",Reduced on 13/09/2023,"Muswell Hill Place, London, N10","Situated within moments’ walk of Muswell Hill Broadways bustling promenades and excellent bus services to Highgate tube station(Northern Line), Crouch End Broadway and Finsbury Park tube Station (Victoria and Piccadilly Lines) is a well presented split level ground and garden level flat. T...",Apartment,1,2,,Share of Freehold,"['RECEPTION ROOM', '2 BEDROOMS', 'KITCHEN/BREAKFAST ROOM', 'SEPARATE WC', 'BATHROOM', 'GAS CH', 'SOUTH-EAST FACING GARDEN', 'SHARED FREEHOLD', 'SOLE SELLING AGENT']","[['Highgate ', '0.9 miles'], ['East Finchley ', '1.1 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,True
5,142304657,"£545,000",Added on 22/11/2023,"Kitchener Road, London, N2","An opportunity to acquire this well appointed three bedroom, first floor purpose built maisonette with direct access to own private garden. The property benefits from spacious lounge, eat in kitchen/ diner & loft storage space (not demised) Situated in this popular residential road, 0...",Maisonette,1,3,,Leasehold,"['3 Bedrooms', 'Spacious Kitchen/ Diner', 'Own Entrance', 'Private Rear Garden', '0.4 Miles to East Finchley Tube', 'Long Lease', '786 Square Feet', 'Side Access']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
6,133626629,"£520,000",Added on 14/04/2023,"Kitchener Road, London, N2","A spacious three bedroom first floor purpose built maisonette situated in this highly popular residential road, minutes from shops and bus routes at East Finchley High Road, and within 0.5 mile of East Finchley tube (Zone 3). Offered chain free, with a new 125 year lease, the property has the ...",Maisonette,1,3,,Leasehold,"['Three Bedrooms', 'Gas Central Heating', 'Chain Free', 'New 125 Year Lease', 'Own Rear Garden', 'Close to Shops and Tube Station', 'Good Size Kitchen', 'Part Double Glazed']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
7,134614412,"£500,000",Added on 10/05/2023,"North Hill, Highgate, N6","A spacious two bedroom third floor flat, with lift access, situated in a sought after 1920`s, Art Deco purpose built block within close walking distance to Highgate Underground Station. The accommodation comprises a reception room with balcony, separate kitchen, two double bedrooms and bathroom.",Apartment,1,2,638 sq. ft.(59 sq. m.),Share of Freehold,"['Purpose Built Art-Deco Apartment', 'Third Floor With Lift Access', 'South-West Facing Balcony', 'Wooden Floors', 'Close To Highgate Underground Station', 'Chain Free']","[['Highgate ', '0.3 miles'], ['East Finchley ', '0.8 miles'], ['Archway ', '1.2 miles']]","['underground', 'underground', 'underground']",£100 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£7100,995 years left,Band: D,True
8,140786279,"£495,000",Added on 04/10/2023,"Hillfield Park, London N10","This bright apartment occupies the top floor of a handsome red brick Edwardian building on Muswell Hill's pretty Hillfield Park, situated within the local Conservation Area. The whole street has a wonderful character due to the handsome façades of the houses lining it. Sensitive restoration has b...",Flat,1,1,674 sq. ft.(63 sq. m.),Share of Freehold,[],"[['Highgate ', '0.8 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.2 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: C,True
9,139253852,"£479,900",Added on 19/01/2023,"Muswell Hill, London, N10","77 Muswell Hill provides the benefits of living in the city of London, combined with the beauty and relaxed atmosphere of village life. This prestigious development consists of 47 luxury apartments set in the heart of the village.",Flat,1,1,,Leasehold,"['One bedroom', ' private balcony', ' use of gym', ' conceirge', ' communal', ' close to the Broadway.']","[['Highgate ', '0.9 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
10,134159906,"£475,000",Reduced on 12/06/2023,"Lyttelton Court, Hampstead Garden Suburb, N2","A beautifully presented two double bedroom ground floor apartment set within this imposing block located in the Hampstead Garden Suburb, N2. The property has been maintained to a very high standard and offers large living space, large kitchen, bathroom, vast amounts of storage, balcony, residents...",Apartment,1,2,,Leasehold,"['Two Double Bedrooms', 'Large Reception', 'Large Kitchen', 'Bathroom', 'Balcony', 'Good Storage', 'Residents Off Street Parking', 'Chain Free']","[['East Finchley ', '0.6 miles'], ['Golders Green ', '1.2 miles'], ['Finchley Central ', '1.2 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,141 years left,Band: D,False
11,141498020,"£460,000",Reduced on 28/09/2023,"North Hill, Highgate, London, N6",A charming ground floor 1 bedroom apartment within an attractive Victorian property (built 1877) known as Springfield Cottages. This well proportioned apartment enjoys direct access to a patio area with communal gardens beyond. Highgate Station is approx 0.5 miles & Highgate Village ...,Apartment,1,1,,Leasehold,['Charming Living Room with Bay Window * Fitted Double Bedroom * 14 x 10 Kitchen Diner with Door to Gardens * Modern Bathroom WC * Patio Area leading to Communal Gardens * Brick Built (truncated)'],"[['Highgate ', '0.4 miles'], ['East Finchley ', '0.6 miles'], ['Archway ', '1.3 miles']]","['underground', 'underground', 'underground']",£0 per year,£0,91 years left,Band: C,False
12,139732469,"£455,000",Reduced on 23/10/2023,"Cholmeley Park, London","Sleek, Affluent & Charming, this splendid two-bedroom conversion apartment that beckons you to experience elegant living in a picturesque setting. This enticing property is a dream come true for those seeking a hassle-free move, as it's offered on a chain-free basis, ensuring a smooth transition ...",Flat,1,2,,Leasehold,"['Two Bedroom First Floor Conversion Apartment', 'Chain Free', 'Brand New Lease With 99 Years Remaining', 'Open Plan Lounge/Kitchen/Diner', 'Communal Gardens', 'Gas Central Heating via Combination Boiler', 'Kitchen & Bathroom Less Than Five Years Old', 'Sought After Location']","[['Highgate ', '0.4 miles'], ['Archway ', '0.5 miles'], ['Upper Holloway ', '0.8 miles']]","['underground', 'underground', 'overground']",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£0,99 years left,Ask agent,False
