,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,142046375,"£550,000",Added on 15/11/2023,"Shepherds Hill, Highgate",Desirably located only moments from Highgate underground station is this spacious two bedroom period conversion with direct access to a large communal garden and off street parking,Flat,1,2,,Share of Freehold,"['Large reception room', 'Two bedrooms', 'Fitted kitchen ', 'Modern bathroom', 'Communal garden', 'Off street parking', 'Great transport links ', 'EPC Rating D']","[['Highgate ', '0.2 miles'], ['Archway ', '0.9 miles'], ['Upper Holloway ', '1.1 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
1,133272386,"£550,000",Reduced on 01/08/2023,"The Copse, Fortis Green, London, N2","We are delighted to offer this well-proportioned three double bedroom first and second floor apartment set within this small but popular purpose built block which is set back off Fortis Green. The apartment benefits from a 22’11 x 11’6 reception room with door to balcony, 11’1 ...",Apartment,1,3,,Leasehold,"['RECEPTION ROOM', 'KITCHEN', '3 BEDROOMS', 'BATHROOM/WC', 'SEPARATE WC', 'GAS CH', 'BALCONY', 'COMMUNAL GARDENS', 'LEASEHOLD', 'SOLE AGENTS']","[['East Finchley ', '0.5 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.6 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,92 years left,Band: TBC,True
2,139226063,"£550,000",Added on 29/08/2023,"Fortis Green Road, Muswell Hill, N10",Chain Free | 859 Square Foot | Top Floor | Period Building | Central Muswell Hill | Leasehold 999 Years | 0.1 miles to Ofsted rated Fortismere School | 0.9 miles of Highgate Station (Northern Line),Apartment,1,2,899 sq. ft.(84 sq. m.),Leasehold,"['Chain Free', '859 Square Foot', 'Top Floor', 'Period Building', 'Central Muswell Hill', 'Leasehold 999 Years', '0.1 miles to Ofsted rated Fortismere School', '0.9 miles of Highgate Station (Northern Line)']","[['East Finchley ', '0.8 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.3 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
3,86153508,"£550,000",Reduced on 04/10/2023,"Creighton Avenue, East Finchley N2","An exquisite first-floor conversion nestled in the heart of London's desirable East Finchley area. This meticulously designed property showcases a harmonious blend of contemporary style and classic charm, offering the perfect urban retreat. Step inside to discover a modern kitchen, replete with s...",Apartment,2,2,810 sq. ft.(75 sq. m.),Share of Freehold,"['Two Bedrooms', 'Two Bathrooms', 'First Floor', 'Allocated Parking', 'Modern Kitchen', 'Catchment for Popular Schools']","[['East Finchley ', '0.8 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.8 miles']]","['underground', 'underground', 'underground']",£0 per year,£0,970 years left,Band: D,False
4,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
5,139524869,"£550,000",Added on 05/09/2023,"Northwood Road, Highgate","Conveniently situated between Highgate Village and Crouch End Broadway is this substantial, one bedroom apartment with a private, southerly orientated, terrace. Arranged over the upper floors of a handsome Victorian house, this elegant and charming home offers 580 sq ft of bright and well-propor...",Apartment,1,1,,Share of Freehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Roof Terrace', 'Share of Freehold']","[['Highgate ', '0.4 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",£0 per year,£840,88 years left,Band: C,False
6,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
7,139860578,"£550,000",Reduced on 18/10/2023,"Bishops Court, East Finchley","A 2 double bedroom 2 bathroom garden level apartment in this purpose built block on the corner of the Bishops Avenue, just a 2 minute walk to East Finchley Northern line tube station, as well as the multiple coffee shops, supermarkets and restaurants. Features include a good size re...",Apartment,2,2,,Share of Freehold,['SOLE AGENTS'],"[['East Finchley ', '0.1 miles'], ['Highgate ', '0.9 miles'], ['Golders Green ', '1.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
8,142046375,"£550,000",Added on 15/11/2023,"Shepherds Hill, Highgate",Desirably located only moments from Highgate underground station is this spacious two bedroom period conversion with direct access to a large communal garden and off street parking,Flat,1,2,,Share of Freehold,"['Large reception room', 'Two bedrooms', 'Fitted kitchen ', 'Modern bathroom', 'Communal garden', 'Off street parking', 'Great transport links ', 'EPC Rating D']","[['Highgate ', '0.2 miles'], ['Archway ', '0.9 miles'], ['Upper Holloway ', '1.1 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
9,136348346,"£550,000",Added on 21/06/2023,"Kitchener Road, London, N2","We offer this well presented 2 double bedroom (originally a 3 bed) first floor purpose built maisonette with direct access to own rear garden. The property is located in a highly popular residential Road, minutes from shops and amenities and within 0.5 miles from East Finchley tube (...",Maisonette,1,2,,Freehold,"['Spacious lounge/ diner', '2 double bedrooms', 'Own private garden', 'Loft storage space', '120 year lease plus freehold', 'Within 0.5 miles of East Finchley tube', 'Gas central heating', 'Chain free']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
