,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,137196308,"£550,000",Reduced on 17/11/2023,"Finchley Road, Golders Green, London","A modern, well presented 1 bedroom, 1 bathroom property in this extremely well maintained development which includes an on-site Residents gym, secure underground parking space, concierge and communal gardens. The property benefits from being equipped with high end fitted appliances as well as wel...",Flat,1,1,643 sq. ft.(60 sq. m.),Leasehold,[],"[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.8 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2500,991 years left,Band: D,False
1,122267285,"£550,000",Added on 11/04/2022,"Eagle Lodge, Golders Green NW11","Situated on the top floor of this stunning art-deco building, within 0.5 miles of Golders Green Underground Station is this extremely spacious three double bedroom apartment. Internally the property comprises a spacious living room, bathroom, separate WC, fitted kitchen and three double bedrooms....",Apartment,1,3,,Leasehold,"['THREE DOUBLE BEDROOMS', 'BATHROOM', 'SEPARATE WC', 'SPACIOUS LIVING ROOM', 'KITCHEN', 'CHAIN FREE']","[['Brent Cross ', '0.5 miles'], ['Golders Green ', '0.5 miles'], ['Hendon Central ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,133045040,"£550,000",Added on 29/03/2023,"Woodlands, Golders Green, NW11 9QX","A bright and spacious south facing two bedroom flat situated in this sought after area off Golders Green Road. The flat offers spacious living accommodation. The flat offer living-room, kitchen, bathroom/wc, guest wc, balcony, garage, underfloor heating, lift, communal gardens and early vacant ...",Apartment,1,2,,Share of Freehold,"['Two Bedrooms', 'First Floor', 'Spacious Lounge', 'Balcony', 'EPC Rating C', 'Garage', 'Share of Freehold', 'Communal Gardens', 'Chain Free']","[['Brent Cross ', '0.4 miles'], ['Hendon Central ', '0.7 miles'], ['Golders Green ', '1.0 miles']]","['underground', 'underground', 'underground']",Ask agent,£5039,900 years left,Band: F,False
3,134065736,"£550,000",Reduced on 08/05/2023,"Hoop Lane, Golders Green","This spacious two bedroom split-level maisonette has its own front door and offers over 1,000 sq ft. The property has a private garage and will be sold with no onward chain.",Flat,2,2,,Freehold,"['Two Bedrooms', 'Separate Kitchen', 'Private Entrance', 'Garage', 'Duplex', 'No Onward Chain']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '0.7 miles'], ['Cricklewood ', '1.2 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,137196308,"£550,000",Reduced on 17/11/2023,"Finchley Road, Golders Green, London","A modern, well presented 1 bedroom, 1 bathroom property in this extremely well maintained development which includes an on-site Residents gym, secure underground parking space, concierge and communal gardens. The property benefits from being equipped with high end fitted appliances as well as wel...",Flat,1,1,643 sq. ft.(60 sq. m.),Leasehold,[],"[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.8 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2500,991 years left,Band: D,False
5,139714331,"£550,000",Added on 08/09/2023,"Orchid Court, Granville Road, Childs Hill, NW2","Popular development in CHILDS HILL near HAMPSTEAD, this impressive garden apartment has PRIVATE WEST FACING TERRACE, two beds/two baths and good standard throughout. Viewing recommended.",Apartment,2,2,786 sq. ft.(73 sq. m.),Leasehold,"['Stunning Ground floor apartment located in Childs Hill', 'Two bedrooms with main room en-suite', 'Private terrace located just off the reception room', 'Modern fixtures throughout', 'Situated between Golders Green and Hampstead', 'Viewing highly recommended']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,£2650,Ask agent,Band: E,False
6,138995738,"£550,000",Added on 23/08/2023,"Finchley Road, NW11","Step into spacious living with this 712 sq. ft apartment boasting two double bedrooms and two bathrooms. Situated on the first floor of a modern conversion, this property offers both comfort and convenience. The airy and well-lit interior creates an inviting atmosphere througho...",Flat,2,2,712 sq. ft.(66 sq. m.),Leasehold,"['Chain free', 'Low outgoings', '2 double bedrooms', 'Private balcony', '2 bathrooms', 'Spacious 712 sq. ft']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.8 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,150 years left,Band: A,False
7,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
8,136190756,"£550,000",Reduced on 11/09/2023,"Tudor House, Madoc Close, London NW2","Situated on a small development of luxury modern houses and flats is this 2 bedroom, 2 bathroom first floor apartment. The property comprises an open plan high specification kitchen lounge dining room, two good size bedrooms with master benefiting from a luxury ensuite shower room and a guest bat...",Flat,2,2,,Share of Freehold,"['2 Bedrooms', '2 bathrooms (Ensuite to master)', 'Open plan kitchen/lounge/dining room', 'Allocated parking space', '993 year lease', 'Chain free', 'Share of Freehold']","[['Golders Green ', '0.6 miles'], ['Cricklewood ', '0.7 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,137969507,"£550,000",Added on 27/07/2023,"Pennine Drive, Golders Green Estate, NW2","LUXURIOUS ground floor apartment located near to GOLDERS GREEN & WEST HAMPSTEAD - No onward chain with high end finishes the property includes a PRIVATE GARDEN, PRIVATE PARKING AND STUDIO/ANNEX (with ensuite) in the garden.",Ground Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Luxury ground floor apartment', 'Studio/Annex located in the Garden', 'Private south facing rear garden', 'Beautiful features and presentation throughout', 'Impressive open plan Kitchen/dining room/living area', 'Viewing recommended - No onward chain']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
10,142187351,"£550,000",Reduced on 16/10/2023,"Chandos Way, London",YOPA are delighted to offer for sale this spacious three bedroom top floor split level apartment located within the leafy north-west London suburb of Golders Green.,Flat,1,3,,Leasehold,"['Ideal investment opportunity', 'Three bedrooms', 'Balcony', 'Close to open-spaces of Hampstead Heath', 'Ample storage space', 'Underground Parking', 'Top floor split level', 'Chain free']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '1.1 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
11,139297913,"£549,950",Added on 31/08/2023,"Granville Road, Childs Hill",This two bedroom maisonette backs on to Childs Hill Park and has direct access to a large private garden. The property is an ideal first time purchase.,Flat,1,2,,Leasehold,"['Two Double Bedrooms', 'Private Garden', 'Open Plan', 'Integrated Appliances', 'Outbuilding', 'Modern Interior']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
12,141293741,"£549,950",Added on 26/10/2023,"Templars Avenue, London",A beautifully presented TWO BEDROOM GROUND FLOOR GARDEN MAISONETTE situated on a sought after residential road conveniently located and within walking distance to all local shopping & transport facilities and places of worship. The property is being offered in good decorative order and benefits f...,Flat,1,2,,Leasehold,"['GROUND FLOOR GARDEN MAISONETTE', 'TWO BEDROOMS', 'FULLY FITTED KITCHEN/BREAKFAST ROOM', 'RECEPTION ROOM', 'BATHROOM', 'BEAUTIFUL REAR GARDEN', 'CLOSE TO ALL LOCAL AMENITIES', 'WALKING DISTANCE TO STATION', 'LONG LEASE', 'NO UPPER CHAIN']","[['Golders Green ', '0.5 miles'], ['Brent Cross ', '0.6 miles'], ['Hendon Central ', '1.2 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,133 years left,Ask agent,True
13,141970346,"£545,000",Added on 13/11/2023,"Heathcroft,Hampstead Way, Hampstead Garden Suburb NW11","A charming, level ground floor apartment located within this ever popular mansion block abutting Hampstead Heath Extension",Flat,2,2,686 sq. ft.(64 sq. m.),Ask agent,"['0.5 MILES AWAY FROM GOLDERS GREEN UNDERGROUND STATION', '2 Bedrooms', 'ABUTTING HAMPSTEAD HEATH EXTENSION', 'Bathroom/WC', 'Kitchen', 'RECEPTION ROOM WITH DOORS ONTO BEAUTIFUL COMMUNAL GARDENS']","[['Golders Green ', '0.4 miles'], ['Hampstead ', '1.1 miles'], ['Brent Cross ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
