,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,141468254,"£525,000",Reduced on 21/11/2023,"Gaisford Street,  London,  NW5, Camden, NW5",A superb opportunity to acquire a blank canvas two bedroom property just 0.1 miles from Kentish Town Station. The property is located close to a wide array of amenities in Kentish Town whilst also being 0.9 miles from Camden Town and 1.8 miles from Hampstead. Internal viewings are recommended,Flat,1,2,669 sq. ft.(62 sq. m.),Leasehold,"['Leasehold Term 154 years from 25/06/2016', 'Leasehold', 'Two good sized bedrooms', 'A blank canvas opportunity', 'Superb for first time buyers of investors', 'Great transport links', 'Shops and transport links on your doorstep', '0.1 Miles from Kentish Town Station', 'Council Tax band D', 'Abundance of natural lighting']","[['Kentish Town ', '0.3 miles'], ['Kentish Town West ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['nationalrail', 'overground', 'overground']",Ask agent,Ask agent,147 years left,Band: D,False
1,135359210,"£550,000",Reduced on 04/10/2023,"Prince of Wales Road, Kentish Town NW5","A wonderful three double bedroom purpose built duplex apartment, located mid-way along Prince of Wales Road, surrounded by the vibrant districts of Kentish Town, Chalk Farm & Camden. The apartment has been the subject of a comprehensive refurbishment and Lease extension, with a naturally tone...",Flat,1,3,698 sq. ft.(65 sq. m.),Leasehold,"['**Sold Chain Free**\n', 'Leasehold 132 Years \n', 'Three Bedroom \n', 'Purpose Built \n\n \n', 'Refurbished to a High Standard\n', 'Located close to the Chalk Farm and Kentish Town¿s Amenities\n', 'Close to the Green spaces of Primrose Hill & Regents Park\n', 'The Unrivalled Transport Facilities Surrounding \n ', 'Low Council Tax Band B']","[['Kentish Town West ', '0.1 miles'], ['Chalk Farm ', '0.3 miles'], ['Kentish Town ', '0.5 miles']]","['overground', 'underground', 'nationalrail']",Ask agent,£1000,127 years left,Band: B,False
2,140662559,"£550,000",Reduced on 08/11/2023,"Oval Road, Camden Town, London, NW1","Situated within the sought-after Lock House development, this superb 1 bedroom flat is smartly presented with bright, modern interiors, balcony and benefiting from 24hr concierge, gym and communal gardens.",Flat,1,1,499 sq. ft.(46 sq. m.),Leasehold,"['Elegantly arranged on the third floor', 'Spacious reception room including open-plan kitchen', 'Benefits from a lovely private balcony', 'Stylish master bedroom with fitted wardrobes', 'Presented in immaculate condition', 'Superb development with porter', 'Close to Camden Market and Regents Park']","[['Camden Town ', '0.2 miles'], ['Chalk Farm ', '0.5 miles'], ['Camden Road ', '0.4 miles']]","['underground', 'underground', 'overground']",£640 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£5094,139 years left,Ask agent,False
3,140643476,"£550,000",Added on 29/09/2023,"Rosemont Road, West Hampstead","An outstanding 606 sq ft (56.30 sq m) first floor apartment with a private terrace forming part of an exceptional, recently refurbished period conversion, positioned on a quiet turning just off Finchley Road. Boasting well planned and stylish living accommodation throughout, this excellent apartm...",Apartment,1,1,,Leasehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'First Floor', 'Leasehold']","[['Finchley Road & Frognal ', '0.1 miles'], ['Finchley Road ', '0.2 miles'], ['West Hampstead ', '0.4 miles']]","['overground', 'underground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,True
4,86667447,"£550,000",Added on 14/07/2022,Leighton Road,"A bright, spacious and very well positioned two bedroom, two bathroom first floor apartment presented in excellent condition throughout and conveniently situated only a short walk from Kentish Town station, many local amenities and Hampstead Heath. Accommodation briefly comprises: E/hall with...",Flat,2,2,630 sq. ft.(59 sq. m.),Leasehold,"['Superb two bedroom flat', 'Two fitted bathrooms', 'Master bedroom with ensuite & storage', 'Large south-facing reception', 'Modern well-equipped kitchen', 'Deposit equivalent to 5 weeks rent', 'Long term let', 'Council Tax Band D']","[['Kentish Town ', '0.0 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town West ', '0.4 miles']]","['nationalrail', 'underground', 'overground']",Ask agent,Ask agent,155 years left,Band: D,True
5,135089531,"£550,000",Added on 22/05/2023,"Ferdinand Street, London, NW1","A three bedroom purpose built sixth floor apartment, with a balcony and lift, located close to Camden Town and Chalk Farm.",Apartment,1,3,,Leasehold,"['3 Bedrooms', '1 Reception', 'Bathroom & seperate WC', 'Balcony with West facing views', 'Arranged over 793 SQFT', 'Lift', 'Double glazing', 'Wooden floors', 'Period features', 'Lease 101 years remaining']","[['Kentish Town West ', '0.2 miles'], ['Chalk Farm ', '0.2 miles'], ['Camden Town ', '0.4 miles']]","['overground', 'underground', 'underground']",£10 per year,£1520,100 years left,Band: C,True
6,134710331,"£550,000",Reduced on 06/07/2023,"Arlington Road, Camden, London, NW1","Set on the ground floor of a gorgeous mid-terrace building, this wonderful 1 bedroom flat boasts a stunning high-specification finish, open-plan kitchen/living space, en suite bathroom and a fantastic location.",Flat,1,1,561 sq. ft.(52 sq. m.),Leasehold,"['Fabulous 1 bedroom flat', 'Set on the ground floor of a gorgeous property', 'Beautiful open-plan kitchen/living space', 'Great bedroom with fitted wardrobes', 'En-suite bathroom with seperate bath and shower', 'Amazing location in the heart of Camden', 'Transport and local amenities close by', 'Great space throughout the property']","[['Camden Town ', '0.1 miles'], ['Mornington Crescent ', '0.3 miles'], ['Camden Road ', '0.3 miles']]","['underground', 'underground', 'overground']",£230 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2366.24,980 years left,Ask agent,False
7,139590644,"£550,000",Reduced on 07/09/2023,"Harmood Street, London, NW1","A bright and spacious second floor apartment located moments from all amenities of Chalk Farm and Camden Town. The property has been recently decorated throughout and comprises a spacious reception room, kitchen diner, two well proportioned double bedrooms and a three piece bathroom suite with sh...",Apartment,1,2,,Leasehold,"['Two Bedroom Flat', 'Offered in good condition', 'Viewing Highly Recommended', 'Close to Camden Market', 'Service Charge: £1279 per annum', 'Council Tax Band: B']","[['Kentish Town West ', '0.1 miles'], ['Chalk Farm ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
8,135927671,"£550,000",Added on 09/06/2023,"Eton College Road, Belsize Park NW3","A spacious and bright one bedroom apartment - Fantastic roof top views across London - Top floor, 571 sq ft approx - Porterage, lift and communal gardens - Good decorative order - Popular 1930`s purpose built block - 18ft reception - 15ft bedroom with built in wardrobes - Separat...",Apartment,1,1,571 sq. ft.(53 sq. m.),Leasehold,"['A spacious and bright one bedroom apartment', 'Fantastic roof top views across London', 'Top floor- 571 sq ft approx', 'Porterage, lift and communal gardens', 'Good decorative order', 'Popular 1930`s purpose built block', '18ft reception', '15ft bedroom with built in wardrobes', 'First come first served parking', 'Ideal for Chalk Farm station,Primrose Hill and Belsize Park']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",Ask agent,£4000,958 years left,Band: C,True
9,140167166,"£550,000",Reduced on 26/09/2023,"Belsize Avenue, Belsize Park","A bright one bedroom apartment situated on the fourth floor of an attractive, portered, purpose built, sought-after mansion block. The property has a spacious living room, large double bedroom, separate kitchen as well as beautiful communal gardens.",Flat,1,1,,Share of Freehold,"['Portered Block', 'Lift', 'Fourth Floor', 'Share Of Freehold', 'Communal Gardens', 'Off Street Parking']","[['Belsize Park ', '0.1 miles'], ['Hampstead Heath ', '0.4 miles'], ['Swiss Cottage ', '0.6 miles']]","['underground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
