,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,136603232,"£475,000",Reduced on 26/07/2023,"Albert Street, Regents Park, NW1","An attractive and bright one bedroom garden flat on the lower ground floor of a handsome Grade II Listed terraced house in arguably the most sought after street in Camden Town. The property consists of a bright and spacious reception room, modern fitted kitchen, a double bedroom and a four piece ...",Apartment,1,1,,Share of Freehold,"['Living Room', 'Fitted Kitchen', 'Double Bedroom', 'Family Bathroom', 'Front & Rear Private Patio Garden', 'Private Street Entrance', 'Share of Freehold', 'Lease - Approx 954 Years Remaining', 'Peppercorn Ground Rent']","[['Mornington Crescent ', '0.2 miles'], ['Camden Town ', '0.2 miles'], ['Camden Road ', '0.4 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Band: D,True
1,133702697,"£550,000",Reduced yesterday,"New Clocktower Place, 
Islington, N7","A beautifully presented 2 double bedroom apartment set on the 1st floor of this modern development, with the added benefit of an en-suite shower room and a balcony accessed via the reception room.",Flat,2,2,,Leasehold,"['Beautifully presented 2 double bedroom apartment', 'Balcony accessed via the reception room', 'Master bedroom with en-suite shower room', 'Communal bicycle store', 'Superb access to Caledonian Road Underground station (Piccadilly Line)']","[['Caledonian Road ', '0.3 miles'], ['Caledonian Road & Barnsbury ', '0.5 miles'], ['Holloway Road ', '0.6 miles']]","['underground', 'overground', 'underground']",£200 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1673,113 years left,Band: E,False
2,86667297,"£550,000",Added on 06/11/2023,Reachview Close,"An exceptionally well-presented two bedroom first-floor apartment, forming part of a smart, modern building, set in attractive landscaped canal-side gardens, behind security gates. Recently refurbished to a high standard, the property offers 658 square feet (61 sq metres) thoughtfully-arrange...",Flat,1,2,658 sq. ft.(61 sq. m.),Share of Freehold,[],"[['Camden Road ', '0.2 miles'], ['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,True
3,86667291,"£550,000",Added on 25/10/2023,Brecknock Road,"An outstanding two bedroom converted flat offering 707 square feet of accommodation. Well-presented throughout, the property is spacious, well-planned and comprises, two bedrooms, large bright and spacious reception room with French doors leading to a superb decked sun terrace, well-appointed...",Flat,1,2,,Leasehold,"['Two bedrooms', 'Bright and spacious reception room', 'Family bathroom', 'Modern separate fitted kitchen', 'Large sun terrace', '707 Square feet of accommodation', 'Leashold', 'Well presented throughout', 'Laminate flooring', 'End of chain']","[['Kentish Town ', '0.5 miles'], ['Caledonian Road ', '0.5 miles'], ['Tufnell Park ', '0.7 miles']]","['nationalrail', 'underground', 'underground']",£500 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2895,242 years left,Band: D,False
4,133848821,"£550,000",Reduced on 17/05/2023,"Hilldrop Crescent, 
Hillmarton Conservation Area, N7",A generously proportioned two bedroom apartment with private south west facing garden. This super property is positioned within a semi detached Victorian villa in a convenient location close to the amenities of Brecknock Parade.,Flat,1,2,740 sq. ft.(69 sq. m.),Leasehold,"['NO ONWARD CHAIN', 'Two bedroom Apartment', 'SW Facing private garden', 'Own front door', 'Close to shops and amenities']","[['Caledonian Road ', '0.5 miles'], ['Kentish Town ', '0.5 miles'], ['Tufnell Park ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£482,105 years left,Band: D,True
5,140662559,"£550,000",Reduced on 08/11/2023,"Oval Road, Camden Town, London, NW1","Situated within the sought-after Lock House development, this superb 1 bedroom flat is smartly presented with bright, modern interiors, balcony and benefiting from 24hr concierge, gym and communal gardens.",Flat,1,1,499 sq. ft.(46 sq. m.),Leasehold,"['Elegantly arranged on the third floor', 'Spacious reception room including open-plan kitchen', 'Benefits from a lovely private balcony', 'Stylish master bedroom with fitted wardrobes', 'Presented in immaculate condition', 'Superb development with porter', 'Close to Camden Market and Regents Park']","[['Camden Town ', '0.2 miles'], ['Chalk Farm ', '0.5 miles'], ['Camden Road ', '0.4 miles']]","['underground', 'underground', 'overground']",£640 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£5094,139 years left,Ask agent,False
6,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
7,138451334,"£550,000",Added on 09/08/2023,"Tasker Road, Bellsize Park NW3",One bed top floor duplex loft style apartment in Bellsize Park.,Apartment,1,1,677 sq. ft.(63 sq. m.),Leasehold,"['677 sq ft Loft Style Apartment', 'Duplex', 'Exposed brick work', 'Wooden Beams', 'Modern fitted kitchen', 'Modern floor to ceiling tiled bathroom', 'Hampstead Heath', 'Primrose Hill / Regents Park', 'Excellent transport links', 'Close to Haverstock Hill & England’s Lane']","[['Belsize Park ', '0.3 miles'], ['Gospel Oak ', '0.4 miles'], ['Hampstead Heath ', '0.4 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,148 years left,Band: D,False
8,140700377,"£550,000",Added on 02/10/2023,"32 Lawn Road, London, NW3","** CHAIN FREE ** ** LONG LEASE ** A beautifully presented and well maintained one double bedroom purpose built ground floor flat, offered for sale in excellent condition throughout. Measuring approximately 547 sq ft, the property comprises of an entrance hall with a storage room, a double bedr...",Flat,2,1,,Leasehold,"['Private Enclosed Balcony & Small Garden', 'One Double Bedroom Purpose Built Flat', 'Ground Floor', 'Long Lease', 'Excellent Condition Throughout', 'Approximately 547 Sq Ft', 'Chain Free', 'Secure Video Entry Phone System', 'Double Glazed, Central Heating', 'Excellent Transport Links, Local Amenities']","[['Belsize Park ', '0.2 miles'], ['Hampstead Heath ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,245 years left,Ask agent,True
9,139230782,"£550,000",Added on 30/08/2023,"Eton Hall, Eton College Road, London, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill. ",Apartment,1,1,,Leasehold,"['Bedroom', 'Bathroom', 'Reception Room', 'Kitchen', 'Passenger Lift', 'Communal Heating and Hot Water']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",£80 per year,£4100,83 years left,Band: C,False
