,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,141104129,"£550,000",Added yesterday,"Taybridge Road, SW11",This beautifully presented one bedroom garden flat has the benefit of its own front door and a large garden. As you enter the property there is a large reception room with a bay window allowing lots of natural light stream into the room. To the back of the property there is a good sized double..,Flat,1,1,709 sq. ft.(66 sq. m.),Share of Freehold,"['1 double bedroom', '1 bathroom', '1 reception room', 'Kitchen / breakfast room', 'Garden']","[['Clapham Common ', '0.6 miles'], ['Wandsworth Road ', '0.7 miles'], ['Queenstown Road (Battersea) ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,132198446,"£550,000",Added on 03/03/2023,"Jeffreys Road, SW4","Keating Estates are proud to present to market this bright and airy two double bedroom apartment with private terrace, set within a luxury modern development in the heart of Clapham.",Flat,1,2,700 sq. ft.(65 sq. m.),Leasehold,"['Two double bedrooms', 'Private South-West facing terrace', '700 square feet of internal space', 'Built with modern living in mind', 'Secure friendly development', 'Communal gardens', 'Secure bike storage', 'Moments from Clapham North and Stockwell with the Victoria and Northern Lines', 'Clapham Common, Larkhall Park and Battersea Park, all with walking distance']","[['Stockwell ', '0.2 miles'], ['Clapham North ', '0.4 miles'], ['Clapham High Street ', '0.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,120 years left,Band: D,True
2,137295056,"£550,000",Added on 13/07/2023,"Ballater Road, Brixton","A two double bedroom flat arranged across the ground and first floor of a handsome Victorian house. Offering open plan kitchen dining, separate reception, and a private garden to the rear.
",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Victorian conversion', 'Split level', 'Chain free', 'Separate reception room', 'Private garden', 'Close to Clapham tube', 'Close to Brixton tube']","[['Clapham North ', '0.4 miles'], ['Brixton Underground ', '0.4 miles'], ['Brixton ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
3,135718187,"£550,000",Added on 05/06/2023,Clapham Road London SW9,A well-presented two double bedroom flat for sale in Stockwell SW9. Occupying the top floor of a modern purpose built building boasting over 800sqft of living accommodation and boasting access to a private terrace.,Flat,1,2,,Leasehold,"['Two Bedrooms', 'Top Floor Flat ', 'Private Balcony', 'Measuring Over 800sqft ', 'Close To Transport Links ', 'Modern Purpose Built Block', 'Leasehold (106 Years Remaining) ', 'Local Authority Lambeth Band D', 'Energy Efficiency Rating C']","[['Stockwell ', '0.2 miles'], ['Clapham North ', '0.4 miles'], ['Clapham High Street ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,True
4,86140305,"£550,000",Reduced on 31/08/2023,"Sugden Road, SW11",This absolutely stunning one-bedroom flat measures approximately 653 square feet and is arranged over the ground floor of a converted Victorian building with a tremendous sense of light and space throughout. A huge draw to this fantastic flat is the garden which is ideal for alfresco dining and e...,Apartment,1,1,,Leasehold,"['Reception Room', 'Kitchen', 'Bedroom', 'Garden', 'Cellar', 'Garden']","[['Clapham Junction ', '0.5 miles'], ['Clapham South ', '0.8 miles'], ['Clapham Common ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",£0 per year,£0,106 years left,Band: TBC,False
5,136785353,"£550,000",Added on 30/06/2023,"Victoria Rise, London, SW4",A beautifully presented two-bedroom purpose built maisonette moments from Clapham Common. Accessing the property through a private entrance you enter into a modern kitchen with built-in appliances. The kitchen is open plan with the reception and for those who like to entertain there...,Maisonette,1,2,,Leasehold,[],"[['Clapham Common ', '0.4 miles'], ['Wandsworth Road ', '0.6 miles'], ['Clapham High Street ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",£10 per year,£842,108 years left,Band: TBC,True
6,128412863,"£550,000",Reduced on 01/02/2023,"Queenstown Road, Battersea, London, SW8","This 2 bed home with garden is situated in a boutique development of nine exclusive apartments, set within a converted Victorian mews, featuring a reclaimed brick & copper façade.",Apartment,1,2,712 sq. ft.(66 sq. m.),Leasehold,"['High Specification', 'Garden', 'Secure Entry', 'Moments from Battersea Park and the Power Station', 'Immaculate Condition', 'Long Lease', 'Great Transport Links', 'Double Glazed Windows', 'Two Double Bedrooms', 'Open Plan Living/ Kitchen Area']","[['Queenstown Road (Battersea) ', '0.2 miles'], ['Battersea Park ', '0.4 miles'], ['Wandsworth Road ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£500 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2000,121 years left,Band: E,True
7,138478937,"£550,000",Added on 09/08/2023,"Ramilles Close, Brixton Hill",Oaks are proud to present a recently refurbished three-bedroom end of terrace house situated on Ramilles Close in Brixton.,End of Terrace,1,3,,Freehold,"['Three bedrooms', 'Recently refurbished', 'Freehold', 'Brixton Hill location', 'No onward chain', 'EPC rating: D']","[['Clapham North ', '0.7 miles'], ['Clapham Common ', '0.7 miles'], ['Brixton Underground ', '0.8 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,False
8,133724426,"£550,000",Reduced on 03/05/2023,"McCall Close, Clapham","A rarely available, contemporary split-level apartment extending to an impressive 775 sq.ft, set within a desirable Grade II listed building. The accommodation comprises a spacious reception room, a separate modern kitchen, a double bedroom with ample wardrobe space, a family bathroom and a furth...",Flat,1,1,,Leasehold,"['Split Level Apartment', 'Reception Room', 'Modern Kitchen', 'Double Bedroom', 'Communal Grounds', 'Chain Free']","[['Stockwell ', '0.3 miles'], ['Clapham High Street ', '0.4 miles'], ['Clapham North ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,137570651,"£550,000",Added on 19/07/2023,"Bicycle Mews, SW4","Keating Estates are proud to present to market this well-equipped two double bedroom, two bathroom apartment with a private South-West facing garden terrace, set within a popular modern building, tucked away from the bustle at the heart of Clapham with a vast array of amenities on the doorstep.",Flat,2,2,758 sq. ft.(70 sq. m.),Leasehold,"['Two double bedrooms', 'Two bathrooms', 'Private garden terrace', 'Secure modern building', 'Large communal terrace with panoramic views', 'Vast array of bars, cafes and eateries on the doorstep', 'Moments from the Northern Line and Overground', 'Close to the green open spaces of Clapham Common', 'Chain-free']","[['Clapham High Street ', '0.1 miles'], ['Clapham North ', '0.2 miles'], ['Clapham Common ', '0.2 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,237 years left,Band: E,True
10,138738173,"£550,000",Reduced on 27/09/2023,"Dunston Road, London, SW11","Terraced property with two good size double bedrooms with green open spaces of Clapham Common and Battersea Park close by yet moments from the boutique shops and trendy bars of Battersea Rise, Queenstown Road and Lavender HIll. ",Terraced,1,2,859 sq. ft.(80 sq. m.),Freehold,"['Two good size double bedrooms', 'In need of updating/refurbishment', 'Great location ', 'No Chain ', 'Two reception Rooms', 'Enclosed rear garden']","[['Queenstown Road (Battersea) ', '0.5 miles'], ['Wandsworth Road ', '0.6 miles'], ['Battersea Park ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
11,140657654,"£550,000",Added on 30/09/2023,"Elspeth Road, Battersea",An exceptional one bedroom garden flat boasting 767 sq. ft. of bright and airy accommodation. Offering period features throughout and sold with no onward chain.,Flat,1,1,,Share of Freehold,"['Victorian conversion', 'Own front door', 'Set over the ground floor', 'One double bedroom', 'Office/study', 'Private rear garden', 'Approx. 767 sq. ft.', 'EPC rating D']","[['Clapham Junction ', '0.3 miles'], ['Clapham South ', '0.9 miles'], ['Clapham Common ', '1.0 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
12,137822909,"£550,000",Reduced on 13/09/2023,"Worsopp Drive, Clapham Common South Side, London, SW4","An immaculate and newly refurbished 3 bedroom split level flat, a luxury and spacious kitchen, big separate reception room, 2 modern bathrooms and balcony.",Flat,,3,900 sq. ft.(84 sq. m.),Leasehold,"['Immaculate 3 bedroom split level flat', 'Newly refurbished / High end finish', 'Luxury kitchen with marble work tops', 'Wood floors and high end woodwork', 'Big separate reception room', '2 modern bathrooms', 'Small balcony.']","[['Clapham Common ', '0.3 miles'], ['Clapham South ', '0.6 miles'], ['Clapham High Street ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
13,133279790,"£550,000",Reduced on 25/07/2023,"Ramilles Close, Brixton, London, SW2","This fantastic 2 bedroom house is arranged over 2 floors, and benefits from modern fixtures and fittings, a beautiful reception room opening to the private garden, and 2 sizeable bedrooms.",House,1,2,856 sq. ft.(80 sq. m.),Freehold,"['Stunning split-level 2 bedroom house with rear garden', 'Bright reception room with dining space', 'Fully fitted kitchen with integrated appliances', '2 well proportioned double bedrooms', 'Located in a peaceful residential area']","[['Clapham North ', '0.7 miles'], ['Clapham Common ', '0.7 miles'], ['Brixton Underground ', '0.7 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
14,139407887,"£550,000",Reduced on 09/10/2023,"Branksome Road, Brixton","A beautifully presented two double bedroom garden flat situated on a quiet residential road moments from both Clapham North and Brixton stations.
",Flat,1,2,,Leasehold,"['Two double bedrooms ', 'Stylish kitchen ', 'Period features', 'Private garden ', 'Quiet residential  road ', 'Close to transport links ']","[['Clapham North ', '0.5 miles'], ['Brixton Underground ', '0.6 miles'], ['Brixton ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
15,140644718,"£550,000",Added on 29/09/2023,"Prague Place, Brixton Hill, London, SW2","An attractive 2 bedroom house with good size rooms throughout, a eat in kitchen, separate reception room, pleasing decked garden then upstairs nice size double bedrooms and modern bathroom. Front garden and shed.",End of Terrace,1,2,906 sq. ft.(84 sq. m.),Freehold,"['Attractive 2 bedroom house', 'Good size rooms throughout', 'Eat in kitchen', 'Nice reception room', 'Decked rear garden with seating area', '2 nice size bedrooms', 'Modern bathroom', 'Front garden and shed']","[['Clapham Common ', '0.7 miles'], ['Clapham North ', '0.7 miles'], ['Brixton Underground ', '0.7 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
16,132912932,"£550,000",Added on 06/07/2023,"Haselrigge Road, London, SW4","A charming, recently redecorated Victorian conversion flat which retains many of its period features, with two double bedrooms and direct access to a shared garden ",Apartment,1,2,,Share of Freehold,"['Two double bedrooms', 'Residents’ garden', 'Share of Freehold', 'Chain free sale']","[['Clapham North ', '0.3 miles'], ['Clapham High Street ', '0.3 miles'], ['Clapham Common ', '0.3 miles']]","['underground', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: C,True
17,138586655,"£550,000",Added on 12/08/2023,"Lavender Hill, London","A stunning two bedroom apartment with rear garden, ideally situated on the popular Lavender Hill and within walking distance of Clapham Junction Station.",Flat,1,2,,Share of Freehold,"['Victorian conversion', 'Raised ground floor', 'Two double bedrooms', 'Private rear garden', 'Excellent condition', 'Close to Clapham Junction', 'Approx. 599 sq. ft.', 'EPC rating C']","[['Clapham Junction ', '0.5 miles'], ['Queenstown Road (Battersea) ', '0.8 miles'], ['Clapham Common ', '0.9 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
18,140277503,"£550,000",Reduced on 21/09/2023,"EDGELEY ROAD, SW4","A charming, light and bright, two bedroom with an additional bedroom/study, two-storey maisonette located on Edgeley Road, SW4.",Flat,1,2,,Share of Freehold,"['Three Bedrooms', 'Eat-In Kitchen', 'Spacious Living Room With Working Fireplace', 'South Facing Balcony', 'Double Glazed Windows And Patio Doors', 'New Roof 2015', 'Chain Free', 'New Boiler And Thorough Electric Testing', 'Share of Freehold', 'Council Tax Band: C']","[['Wandsworth Road ', '0.2 miles'], ['Clapham High Street ', '0.2 miles'], ['Clapham North ', '0.4 miles']]","['nationalrail', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: C,False
19,137144372,"£550,000",Added on 10/07/2023,"Ramilles Close, London, SW2","A recently refurbished three bedroom freehold house, with private garden and balcony located in the heart of Brixton. The property comprises; three bedrooms, a large fitted kitchen with access to a private garden, a light filled reception room with a balcony, a spacious family bathroom...",End of Terrace,1,3,,Freehold,"['Three bedrooms', 'Freehold house', 'Private garden', 'Balcony', 'Close to transport links', 'No onward chain']","[['Clapham North ', '0.7 miles'], ['Clapham Common ', '0.7 miles'], ['Brixton Underground ', '0.7 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,True
20,134794484,"£550,000",Added on 15/05/2023,"Garfield Road, London, SW11",A charming one bedroom garden flat,Apartment,1,1,,Share of Freehold,"['Fabulous location near Clapham Common', 'One bedroom', 'One bathroom', 'West facing garden', 'Pretty period features', 'EPC Rating = D']","[['Clapham Common ', '0.6 miles'], ['Wandsworth Road ', '0.7 miles'], ['Queenstown Road (Battersea) ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,True
21,132373559,"£550,000",Reduced on 03/07/2023,"Nealden Street, Stockwell","OFFERS OVER £550,000 - A ground floor period conversion comprising an impressive reception room with a modern kitchen that leads onto a private South/West facing garden, two double bedrooms and a family bathroom.",Flat,1,2,,Share of Freehold,"['Period Conversion', 'Large Reception Room', 'Two Double Bedrooms', 'South/West Facing Garden', 'Extension Opportunity (STP)', 'Share Of Freehold']","[['Clapham North ', '0.4 miles'], ['Stockwell ', '0.4 miles'], ['Brixton Underground ', '0.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
22,136813094,"£550,000",Added on 30/06/2023,"Tremadoc Road, SW4","Keating Estates are proud to present to market a fantastic two double bedroom apartment quietly nestled on the top floor of a handsome Victorian terrace, ideally tucked away just off Clapham High Street with the eateries and amenities a short stroll away.",Flat,1,2,598 sq. ft.(56 sq. m.),Leasehold,"['Two double bedrooms', 'Victorian conversion', 'Popular road in central location', 'Quiet, peaceful setting', 'Bright and airy throughout', 'Clapham High Street on the doorstep', 'Five-minute walk to Clapham North tube and Clapham High Street Rail', 'Walking distance to Victoria Line', 'Short stroll to Clapham Common']","[['Clapham North ', '0.2 miles'], ['Clapham High Street ', '0.3 miles'], ['Clapham Common ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,86 years left,Band: D,False
23,141104129,"£550,000",Added yesterday,"Taybridge Road, SW11",This beautifully presented one bedroom garden flat has the benefit of its own front door and a large garden. As you enter the property there is a large reception room with a bay window allowing lots of natural light stream into the room. To the back of the property there is a good sized double..,Flat,1,1,709 sq. ft.(66 sq. m.),Share of Freehold,"['1 double bedroom', '1 bathroom', '1 reception room', 'Kitchen / breakfast room', 'Garden']","[['Clapham Common ', '0.6 miles'], ['Wandsworth Road ', '0.7 miles'], ['Queenstown Road (Battersea) ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
24,139866998,"£549,950",Reduced on 27/01/2022,"Grant Road, London, SW11","UK Sotheby’s International Realty are proud to present this stunning brand new one bedroom apartment in Wandsworth. Situated on the 19th floor, this apartment offers a great view towards the city of London. Spanning across 538 square feet and Southwest facing, all day long sun li...",Apartment,1,1,,Leasehold,[],"[['Clapham Junction ', '0.5 miles'], ['Wandsworth Town ', '1.4 miles'], ['Imperial Wharf ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,False
25,141101519,"£500,000",Added yesterday,"Lavender Hill, Battersea","A stunning one bedroom Victorian conversion, beautifully presented and moments from the fantastic transport links of Clapham Junction Station and Clapham Common. ",Flat,1,1,,Leasehold,"['Period conversion', 'Set over the ground floor', 'Open plan living area', 'Large double bedroom', 'Private rear garden', 'Excellent condition', 'New Ventilation System', ""603sqft, EPC rating 'C'""]","[['Queenstown Road (Battersea) ', '0.7 miles'], ['Clapham Junction ', '0.7 miles'], ['Wandsworth Road ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
26,115018610,"£549,950",Reduced on 27/01/2022,"Grant Road, London, SW11","UK Sotheby?s International Realty are proud to present this stunning brand new one bedroom apartment in Wandsworth. Situated on the 19th floor, this apartment offers a great view towards the city of London. Spanning across 538 square feet and Southwest facing, all day long sun li...",Apartment,1,1,,Leasehold,[],"[['Clapham Junction ', '0.5 miles'], ['Wandsworth Town ', '1.4 miles'], ['Imperial Wharf ', '1.2 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,False
27,131443100,"£549,000",,"Bedford Road, London SW4","This is a rare opportunity to build a contemporary three-bedroom house on a private road in Clapham. In the proposed scheme, the artfully conceived house by architect  Mina Shafik will be tucked away from the street, set among neighbouring allotments and residential gardens. Positioned towards th...",Plot,3,3,"1,158 sq. ft.(108 sq. m.)",,[],"[['Clapham North ', '0.3 miles'], ['Clapham High Street ', '0.4 miles'], ['Clapham Common ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
28,140833946,"£535,000",Added on 05/10/2023,"Hemberton Road, London",Situated on a prime residential road just off Clapham High Street is this gorgeous Victorian garden flat forming part of an attractive end of terrace. Presented in stunning condition throughout this wonderful apartment enjoys a spacious bay-fronted living room with many original period features.,Ground Flat,1,1,,Leasehold,"['Gorgeous One Bedroom Period Apartment', 'Private Rear Garden', 'Large Living Room with Victorian Features ', 'Eat-in Kitchen/Diner ', 'Basement Offering Additional Storage & Utility/Office Space  ', 'Plenty of Storage Throughout']","[['Clapham North ', '0.2 miles'], ['Clapham High Street ', '0.3 miles'], ['Stockwell ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",£105 per year,£450,89 years left,Band: C,False
