,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,141307166,"£450,000",Added yesterday,"Coolhurst Road, N8","A delightful one-bedroom, ground floor period conversion with access to a landscaped front communal garden. Further comprising kitchen/reception, shower room, storage/utility area. The property was extensively refurbished circa five years ago including sound proofing within the ceilings, flooring...",Flat,1,1,,Share of Freehold,"['OFFERED WITH NO ONWARD CHAIN', 'One-bedroom, ground floor period conversion ', 'Access to a landscaped front communal garden ', 'Kitchen/reception, shower room, storage/utility area ', 'Extensively refurbished circa five years ago including sound proofing within the ceilings, flooring and adjoining wall', 'Positioned on the Highgate periphery  ', 'Short walk to Crouch End Broadway and Highgate underground station ', 'Coolhurst Squash and Tennis club is a moment away']","[['Crouch Hill ', '0.7 miles'], ['Highgate ', '0.7 miles'], ['Archway ', '0.8 miles']]","['overground', 'underground', 'underground']",Ask agent,£1200,970 years left,Band: B,False
1,140022269,"£550,000",Added on 15/09/2023,"Mount Pleasant Crescent, London","This two bedroom garden flat, located in the heart of Stroud Green, is presented in good decorative order and features an open-plan kitchen reception area, a modern bathroom and a private rear garden.",Flat,1,2,,Share of Freehold,"['Two Bedrooms', 'Private Garden', 'Open Plan Reception', 'Chain Free', 'Excellent Location', 'Modern Bathroom']","[['Crouch Hill ', '0.1 miles'], ['Finsbury Park ', '0.6 miles'], ['Harringay ', '0.6 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,140316701,"£550,000",Added on 22/09/2023,"Fairbridge Road, Archway","Open-plan living and treetop views await within your top floor two bedroom apartment, sitting pretty along tree-lined Fairbridge Road. Enjoy the delights of surrounding Stroud Green, Archway and Crouch Hill from your enviable location in the heart of inner North London. Welcomed via the...",Flat,1,2,,Leasehold,"['2 double bedrooms', 'New 125 year lease', 'Share of freehold to be offered', 'Newly refurbished (2023)', 'Top floor flat', '0.2 miles to Archway Station']","[['Upper Holloway ', '0.1 miles'], ['Archway ', '0.2 miles'], ['Crouch Hill ', '0.7 miles']]","['overground', 'underground', 'overground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£0,125 years left,Ask agent,True
3,131494868,"£550,000",Added on 07/02/2023,"Coolhurst Road, Crouch End, N8","An exceptionally bright and immaculately presented, one-bedroom, split-level conversion occupying the upper floors of an imposing period residence. The property has been tastefully maintained by the current owner and offers space and light in abundance with sleek, neutral, internal detailing thro...",Flat,1,1,,Share of Freehold,"['One-bedroom, split-level conversion  ', 'Balcony with tranquil views ', 'Coolhurst Road is offered on a chain free basis ', 'Upper floors of period residence', 'Exceptionally bright and immaculately presented ', 'Tastefully maintained by the current owner  ', 'Kitchen, reception room leading to balcony and modern bathroom', 'Offers space and light in abundance ', ""Moments' walk to Coolhurst tennis and squash club and Crouch End Broadway  "", 'En-route to Highgate Tube station (Northern Line) ']","[['Crouch Hill ', '0.7 miles'], ['Highgate ', '0.7 miles'], ['Archway ', '0.9 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,True
4,138800537,"£550,000",Added on 18/08/2023,"Empire Square, London, N7","We are delighted to offer for sale a super two bedroom (both with en-suites) flat, set on the second floor of a building in gated development off Holloway Road in N7.",Apartment,2,2,,Leasehold,[],"[['Upper Holloway ', '0.4 miles'], ['Holloway Road ', '0.6 miles'], ['Archway ', '0.7 miles']]","['overground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,False
5,86598162,"£550,000",Added on 12/10/2023,"Avenue Road, Greville Lodge, N6",Located between Crouch End and Highgate is this extremely well maintained two double bedroom ground floor apartment located in this popular purpose built block. The property benefits from a 18’6 x 10’8 open plan reception/dining room and the use of communal gardens. This great proper...,Apartment,1,2,,Leasehold,"['RECEPTION/DINING ROOM', 'KITCHEN', '2 BEDROOMS', 'BATHROOM/WC', 'GAS CH', 'COMMUNAL GARDENS', 'STORAGE ROOM', 'LOCK UP GARAGE', 'LEASEHOLD', 'SOLE AGENTS']","[['Highgate ', '0.6 miles'], ['Archway ', '0.7 miles'], ['Crouch Hill ', '0.7 miles']]","['underground', 'underground', 'overground']",£0 per year,£2400,998 years left,Band: TBC,False
6,137261027,"£550,000",Added on 05/10/2023,"Jutland Close, N19","Set within a private gated development, this bright and airy two double bedroom contemporary apartment is set over two floors and boats a 23ft x 20ft reception room.This stunning home has been well maintained by the current owners and also includes a luxury bathroom, contemporary fitted kitchen ...",Apartment,1,2,866 sq. ft.(80 sq. m.),Share of Freehold,"['Share of Freehold', 'Private Gated Development', 'Contemporary Finish', 'Two Double Bedrooms']","[['Upper Holloway ', '0.4 miles'], ['Crouch Hill ', '0.4 miles'], ['Archway ', '0.5 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
7,132683510,"£550,000",Added on 17/03/2023,"Langbourne Avenue, Highgate, N6","We are pleased to offer for sale this very well presented 1 bedroom top floor flat (3rd floor/no lift) within the sought after private, gated, Holly Lodge Estate in an enviable position close to Parliament Hill and Hampstead Heath. This stylish flat has its own private balcony with superb views a...",Apartment,1,1,,Leasehold,"['1930s purpose built block', 'Private, gated estate', 'Topr floor (3rd - walk up)', 'Entrance area', 'Open plan reception-kitchen (new Bosch appliances)', 'Working feature fireplace', 'Balcony with stunning London views', 'Built-in storage', 'Family bathroom', 'Double bedroom']","[['Archway ', '0.5 miles'], ['Gospel Oak ', '0.6 miles'], ['Tufnell Park ', '0.6 miles']]","['underground', 'overground', 'underground']",£10 per year (5% increase reviewed every 20 years)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1790,88 years left,Band: C,False
8,133941209,"£550,000",Added on 21/04/2023,"Weymouth Villas, Finsbury Park","Elegantly designed with a vintage style, this Victorian maisonette is enveloped in light and comfort. Original lime washed floorboards, lofty ceilings and multiple skylights make this lovely two double bedroom home something truly special. Calming linen white walls are punctuated by four...",Maisonette,2,2,,Leasehold,"['2 double bedrooms', '2 bathrooms inc. ensuite', 'Original cast-iron fireplace', 'Offered chain free', 'Deep storage within eaves', '0.4 miles from Finsbury Park Station']","[['Finsbury Park ', '0.4 miles'], ['Crouch Hill ', '0.4 miles'], ['Arsenal ', '0.6 miles']]","['nationalrail', 'overground', 'underground']",Ask agent,£720,102 years left,Band: C,True
9,132383852,"£550,000",Added on 08/03/2023,"Hornsey Lane, London","Joseph Scott Presents - CHAIN FREE. A Beautifully Presented, Fully Refurbished, Three Bedroom Apartment On The Sixth Floor Of This Highly Desirable And Sought After Purpose Built Block in Northwood Hall, Hornsey Lane.Northwood Hall is a privately-owned Art Deco block of 194 flats, situated toward...",Flat,1,3,,Leasehold,"['CHAIN FREE', 'Three Bedrooms', 'Residents Association ', 'Two Lifts ', 'Ample Storage ', 'Recently Refurbished', 'Balcony ', '0.4 Miles To Highgate Hill']","[['Archway ', '0.4 miles'], ['Highgate ', '0.6 miles'], ['Upper Holloway ', '0.6 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Band: D,True
