,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138377699,"£529,950",Added on 07/08/2023,"Golders Court, Golders Green NW11","A deceptively spacious three bedroom top floor apartment situated in this ever popular purpose built block within the heart of Golders Green and walking distance of Golders Green Tube station, Shopping facilities, local amenities and Golders Hill Park. The apartment is set around a communal Garde...",Apartment,1,3,,Share of Freehold,"['Three bedrooms', 'Large living room', 'Separate Kitchen/Breakfast room', 'Family bathroom', 'Off street parking', 'Walking distance to Golders Green Tube station', 'Chain Free ', 'Sole Agents']","[['Golders Green ', '0.3 miles'], ['Brent Cross ', '0.6 miles'], ['Cricklewood ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,133045040,"£550,000",Added on 29/03/2023,"Woodlands, Golders Green, NW11 9QX","A bright and spacious south facing two bedroom flat situated in this sought after area off Golders Green Road. The flat offers spacious living accommodation. The flat offer living-room, kitchen, bathroom/wc, guest wc, balcony, garage, underfloor heating, lift, communal gardens and early vacant ...",Apartment,1,2,,Share of Freehold,"['Two Bedrooms', 'First Floor', 'Spacious Lounge', 'Balcony', 'EPC Rating C', 'Garage', 'Share of Freehold', 'Communal Gardens', 'Chain Free']","[['Brent Cross ', '0.4 miles'], ['Hendon Central ', '0.7 miles'], ['Golders Green ', '1.0 miles']]","['underground', 'underground', 'underground']",Ask agent,£5039,900 years left,Band: F,False
2,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
3,138248144,"£550,000",Reduced on 22/08/2023,"North End Road, NW11","2 Bed 2 bath, share of freehold, Off street parking, Private garden moments from Golders Green Station !",Flat,2,2,,Share of Freehold,"['Off Street Parking FCFS', 'Private Garden', 'Share of Freehold', 'Chain Free', 'Main bedroom on separate level', 'Moments from Golders Green Station']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '1.0 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,86037054,"£550,000",Reduced on 17/10/2023,"Chandos Way, London",YOPA are delighted to offer for sale this spacious three bedroom top floor split level apartment located within the leafy north-west London suburb of Golders Green.,Flat,1,3,,Leasehold,"['Ideal investment opportunity', 'Three bedrooms', 'Balcony', 'Close to open-spaces of Hampstead Heath', 'Ample storage space', 'Underground Parking', 'Top floor split level', 'Chain free']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '1.1 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,136190756,"£550,000",Reduced on 11/09/2023,"Tudor House, Madoc Close, London NW2","Situated on a small development of luxury modern houses and flats is this 2 bedroom, 2 bathroom first floor apartment. The property comprises an open plan high specification kitchen lounge dining room, two good size bedrooms with master benefiting from a luxury ensuite shower room and a guest bat...",Flat,2,2,,Share of Freehold,"['2 Bedrooms', '2 bathrooms (Ensuite to master)', 'Open plan kitchen/lounge/dining room', 'Allocated parking space', '993 year lease', 'Chain free', 'Share of Freehold']","[['Golders Green ', '0.6 miles'], ['Cricklewood ', '0.7 miles'], ['Hampstead ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,139585484,"£550,000",Added on 06/09/2023,"North End Road, NW11","A generously proportioned 706 sq. ft. 2 bedroom, 2 bathroom duplex apartment, located on the ground & first floors of this converted building. Offering bright, modern accommodation throughout and benefiting a private garden & off street parking on a first come first serve basis. ",Flat,2,2,706 sq. ft.(66 sq. m.),Share of Freehold,"['Chain Free', 'Share of Freehold', 'Private Gardens', '2 bedrooms', '2 bathrooms', 'Well located']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '0.9 miles'], ['Hampstead ', '1.2 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,74 years left,Ask agent,False
7,122267285,"£550,000",Added on 11/04/2022,"Eagle Lodge, Golders Green NW11","Situated on the top floor of this stunning art-deco building, within 0.5 miles of Golders Green Underground Station is this extremely spacious three double bedroom apartment. Internally the property comprises a spacious living room, bathroom, separate WC, fitted kitchen and three double bedrooms....",Apartment,1,3,,Leasehold,"['THREE DOUBLE BEDROOMS', 'BATHROOM', 'SEPARATE WC', 'SPACIOUS LIVING ROOM', 'KITCHEN', 'CHAIN FREE']","[['Brent Cross ', '0.5 miles'], ['Golders Green ', '0.5 miles'], ['Hendon Central ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,134065736,"£550,000",Reduced on 08/05/2023,"Hoop Lane, Golders Green","This spacious two bedroom split-level maisonette has its own front door and offers over 1,000 sq ft. The property has a private garage and will be sold with no onward chain.",Flat,2,2,,Freehold,"['Two Bedrooms', 'Separate Kitchen', 'Private Entrance', 'Garage', 'Duplex', 'No Onward Chain']","[['Golders Green ', '0.2 miles'], ['Brent Cross ', '0.7 miles'], ['Cricklewood ', '1.2 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,139714331,"£550,000",Added on 08/09/2023,"Orchid Court, Granville Road, Childs Hill, NW2","Popular development in CHILDS HILL near HAMPSTEAD, this impressive garden apartment has PRIVATE WEST FACING TERRACE, two beds/two baths and good standard throughout. Viewing recommended.",Apartment,2,2,786 sq. ft.(73 sq. m.),Leasehold,"['Stunning Ground floor apartment located in Childs Hill', 'Two bedrooms with main room en-suite', 'Private terrace located just off the reception room', 'Modern fixtures throughout', 'Situated between Golders Green and Hampstead', 'Viewing highly recommended']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,£2650,Ask agent,Band: E,False
