,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,141101519,"£500,000",Added yesterday,"Lavender Hill, Battersea","A stunning one bedroom Victorian conversion, beautifully presented and moments from the fantastic transport links of Clapham Junction Station and Clapham Common. ",Flat,1,1,,Leasehold,"['Period conversion', 'Set over the ground floor', 'Open plan living area', 'Large double bedroom', 'Private rear garden', 'Excellent condition', 'New Ventilation System', ""603sqft, EPC rating 'C'""]","[['Queenstown Road (Battersea) ', '0.7 miles'], ['Clapham Junction ', '0.7 miles'], ['Wandsworth Road ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,136567193,"£550,000",Reduced on 25/09/2023,"Hightrees House, Nightingale Lane, Clapham South, London, SW12","A beautifully spacious apartment situated on the first floor of a popular Art Deco style building directly adjacent to Clapham Common. The property benefits from a conceirge, an indoor heated swimming pool, communal gardens and roof terraces.",Flat,1,2,,Leasehold,"['Offered to the market with no onward chain', 'Rarely available first floor apartment', 'Set within a popular Art Deco style building', 'Light and airy accommodation', 'Bright reception room with ample space for entertaining', 'Kitchen', 'Two double bedrooms with built-in wardrobes', 'Bathroom', 'Directly adjacent to Clapham Common', 'Communal gardens, roof terraces, caretaker and an indoor heated swimming pool']","[['Clapham South ', '0.2 miles'], ['Wandsworth Common ', '0.7 miles'], ['Balham ', '0.7 miles']]","['underground', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: D,False
2,130562198,"£550,000",Reduced on 23/03/2023,"Chelsham Road, London, SW4",A charming two double bedroom conversion flat laterally arranged over the first floor of a handsome Victorian building in the heart of the Sibella Conservation Zone of Clapham ,Apartment,1,2,,Share of Freehold,"['Two equal double bedrooms', 'Victorian conversion', 'Share of Freehold', 'Access to Northern and Victoria Line tube']","[['Clapham High Street ', '0.2 miles'], ['Clapham North ', '0.2 miles'], ['Wandsworth Road ', '0.4 miles']]","['nationalrail', 'underground', 'nationalrail']",£0 per year,£0,982 years left,Band: D,True
3,132198446,"£550,000",Added on 03/03/2023,"Jeffreys Road, SW4","Keating Estates are proud to present to market this bright and airy two double bedroom apartment with private terrace, set within a luxury modern development in the heart of Clapham.",Flat,1,2,700 sq. ft.(65 sq. m.),Leasehold,"['Two double bedrooms', 'Private South-West facing terrace', '700 square feet of internal space', 'Built with modern living in mind', 'Secure friendly development', 'Communal gardens', 'Secure bike storage', 'Moments from Clapham North and Stockwell with the Victoria and Northern Lines', 'Clapham Common, Larkhall Park and Battersea Park, all with walking distance']","[['Stockwell ', '0.2 miles'], ['Clapham North ', '0.4 miles'], ['Clapham High Street ', '0.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,120 years left,Band: D,True
4,140504945,"£550,000",Added on 27/09/2023,"The Pavement, Clapham, London, SW4",James Pendleton has the pleasure of presenting this stunning two bedroom apartment with spectacular views over the green spaces of Clapham Common.,Flat,1,2,,Leasehold,"['A stunning two bedroom apartment with spectacular views over Clapham Common', 'A master bedroom to the rear of the property with built in storage', 'Second double bedroom', 'Bright and spacious reception room', 'Dining area overlooking the common', 'Well equipped kitchen with integrated appliances', 'Stylish bathroom', 'Situated in the heart of Clapham Old Town', 'Within a two minute walk of Clapham Common Underground']","[['Clapham Common ', '0.1 miles'], ['Clapham High Street ', '0.4 miles'], ['Clapham North ', '0.5 miles']]","['underground', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: D,True
5,137295056,"£550,000",Added on 13/07/2023,"Ballater Road, Brixton","A two double bedroom flat arranged across the ground and first floor of a handsome Victorian house. Offering open plan kitchen dining, separate reception, and a private garden to the rear.
",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Victorian conversion', 'Split level', 'Chain free', 'Separate reception room', 'Private garden', 'Close to Clapham tube', 'Close to Brixton tube']","[['Clapham North ', '0.4 miles'], ['Brixton Underground ', '0.4 miles'], ['Brixton ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
6,135718187,"£550,000",Added on 05/06/2023,Clapham Road London SW9,A well-presented two double bedroom flat for sale in Stockwell SW9. Occupying the top floor of a modern purpose built building boasting over 800sqft of living accommodation and boasting access to a private terrace.,Flat,1,2,,Leasehold,"['Two Bedrooms', 'Top Floor Flat ', 'Private Balcony', 'Measuring Over 800sqft ', 'Close To Transport Links ', 'Modern Purpose Built Block', 'Leasehold (106 Years Remaining) ', 'Local Authority Lambeth Band D', 'Energy Efficiency Rating C']","[['Stockwell ', '0.2 miles'], ['Clapham North ', '0.4 miles'], ['Clapham High Street ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,True
7,140094308,"£550,000",Added on 18/09/2023,"Flutemakers Mews, Clapham","Rare one bedroom freehold bungalow with open plan reception room, large master bedroom with walk in wardrobe and allocated off street parking all set within a gated modern development.",Bungalow,1,1,,Freehold,"['Gated Mews', 'Lateral Accommodation', 'Great Finish', 'Parking', 'Freehold', 'No Chain']","[['Clapham Common ', '0.5 miles'], ['Clapham North ', '0.5 miles'], ['Clapham High Street ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,132245813,"£550,000",Added on 04/03/2023,"Lavender Hill, Battersea",A bright and spacious two bedroom split level flat with private roof terrace situated on the popular Lavender Hill. Within walking distance of Clapham Junction.,Flat,2,2,,Leasehold,"['Private roof terrace', 'Open plan reception', 'Two double bedrooms', 'Set over two floors', 'Popular location', 'Close to Clapham Junction', 'Approx. 768 sq. ft. ', 'EPC rating D']","[['Wandsworth Road ', '0.6 miles'], ['Queenstown Road (Battersea) ', '0.6 miles'], ['Clapham Common ', '0.7 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
9,136725647,"£550,000",Reduced on 19/07/2023,"Bromfelde Road, London, SW4",A modern and stylish two bedroom apartment situated on a lovely residential road,Apartment,1,2,,Share of Freehold,"['Two bedrooms', 'Open-plan living/kitchen area', 'Bathroom', 'Situated on the first floor', 'Modern interiors', 'EPC Rating = C']","[['Clapham High Street ', '0.2 miles'], ['Clapham North ', '0.2 miles'], ['Wandsworth Road ', '0.4 miles']]","['nationalrail', 'underground', 'nationalrail']",£0 per year,£0,949 years left,Band: C,True
