,id,price,price_change_date,price_change_value
0,140615867,"£375,000",['02/10/2023'],"['Initial entry found: £375,000']"
1,137792678,"£550,000","['21/10/2023', '12/09/2023', '27/07/2023', '24/07/2023']","['Price changed from £575,000 to £550,000', 'Price changed from £590,000 to £575,000', 'Price changed from £625,000 to £590,000', 'Initial entry found: £625,000']"
2,127551200,"£550,000",['29/09/2022'],"['Initial entry found: £550,000']"
3,128755628,"£550,000","['12/06/2023', '17/02/2023', '04/11/2022']","['Price changed from £575,000 to £550,000', 'Price changed from £599,950 to £575,000', 'Initial entry found: £599,950']"
4,125879006,"£550,000","['05/05/2023', '09/08/2022']","['Price changed from £560,000 to £550,000', 'Initial entry found: £560,000']"
5,139500140,"£550,000",['05/09/2023'],"['Initial entry found: £550,000']"
6,141062654,"£550,000",['19/10/2023'],"['Initial entry found: £550,000']"
7,137291711,"£550,000","['04/08/2023', '13/07/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
8,136436858,"£550,000",['22/06/2023'],"['Initial entry found: £550,000']"
9,140719370,"£550,000",['03/10/2023'],"['Initial entry found: £550,000']"
10,86480676,"£550,000",['10/10/2023'],"['Initial entry found: £550,000']"
11,138474191,"£550,000","['13/09/2023', '09/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
12,137369552,"£550,000","['03/10/2023', '20/08/2023', '14/07/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £625,000 to £600,000', 'Initial entry found: £625,000']"
13,125663174,"£550,000","['17/04/2023', '26/01/2023', '02/11/2022', '31/08/2022', '03/08/2022']","['Price changed from £600,000 to £550,000', 'Price changed from £625,000 to £600,000', 'Price changed from £645,000 to £625,000', 'Price changed from £660,000 to £645,000', 'Initial entry found: £660,000']"
14,86417589,"£550,000",['08/10/2023'],"['Initial entry found: £550,000']"
15,139634486,"£550,000","['17/10/2023', '07/09/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
16,141175466,"£550,000",['23/10/2023'],"['Initial entry found: £550,000']"
17,86149146,"£550,000",['13/06/2023'],"['Initial entry found: £550,000']"
18,138885659,"£550,000","['16/10/2023', '21/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
19,137479358,"£550,000",['17/07/2023'],"['Initial entry found: £550,000']"
20,138070337,"£550,000",['31/07/2023'],"['Initial entry found: £550,000']"
21,134164544,"£550,000",['27/04/2023'],"['Initial entry found: £550,000']"
22,131831255,"£550,000","['15/05/2023', '02/03/2023', '20/02/2023']","['Price changed from £580,000 to £550,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000']"
23,134082413,"£550,000","['10/07/2023', '25/04/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
24,137871254,"£550,000","['16/10/2023', '25/07/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
25,131835857,"£475,000",['20/02/2023'],"['Initial entry found: £475,000']"
26,137110532,"£545,000",['08/07/2023'],"['Initial entry found: £545,000']"
27,141023033,"£535,000",['18/10/2023'],"['Initial entry found: £535,000']"
28,140278013,"£530,000",['22/09/2023'],"['Initial entry found: £530,000']"
29,138607328,"£530,000","['23/09/2023', '14/08/2023']","['Price changed from £540,000 to £530,000', 'Initial entry found: £540,000']"
30,127610654,"£530,000","['17/05/2023', '12/01/2023', '25/11/2022', '30/09/2022']","['Price changed from £550,000 to £530,000', 'Price changed from £560,000 to £550,000', 'Price changed from £575,000 to £560,000', 'Initial entry found: £575,000']"
31,86368107,"£525,000",['06/10/2023'],"['Initial entry found: £525,000']"
32,140476058,"£525,000","['17/10/2023', '26/09/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
33,130062929,"£525,000",['16/12/2022'],"['Initial entry found: £525,000']"
34,86593605,"£525,000",['12/10/2023'],"['Initial entry found: £525,000']"
35,138569678,"£525,000",['11/08/2023'],"['Initial entry found: £525,000']"
36,132434885,"£525,000","['27/03/2023', '10/03/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
37,131918333,"£525,000",['22/02/2023'],"['Initial entry found: £525,000']"
38,137803589,"£525,000","['16/10/2023', '24/08/2023', '24/07/2023']","['Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
39,138542876,"£525,000",['11/08/2023'],"['Initial entry found: £525,000']"
40,140479913,"£525,000",['27/09/2023'],"['Initial entry found: £525,000']"
41,85785396,"£500,000","['29/03/2023', '12/07/2022']","['Price changed from £450,000 to £500,000', 'Initial entry found: £450,000']"
42,139487183,"£500,000",['04/09/2023'],"['Initial entry found: £500,000']"
43,139545587,"£500,000","['18/09/2023', '05/09/2023']","['Price changed from £450,000 to £500,000', 'Initial entry found: £450,000']"
44,135170315,"£500,000","['06/10/2023', '23/05/2023']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
45,85525221,"£500,000","['01/07/2022', '09/06/2022', '09/06/2022']","['Price changed from £530,000 to £500,000', 'Price changed from £550,000 to £530,000', 'Initial entry found: £550,000']"
46,140612933,"£500,000",['05/10/2023'],"['Initial entry found: £500,000']"
47,138296792,"£500,000",['04/08/2023'],"['Initial entry found: £500,000']"
48,136790240,"£500,000",['30/06/2023'],"['Initial entry found: £500,000']"
49,140612924,"£500,000",['01/10/2023'],"['Initial entry found: £500,000']"
50,131835857,"£475,000",['20/02/2023'],"['Initial entry found: £475,000']"
51,127855901,"£500,000","['07/02/2023', '20/01/2023', '07/10/2022']","['Price changed from £525,000 to £500,000', 'Price changed from £535,000 to £525,000', 'Initial entry found: £535,000']"
52,138603323,"£500,000",['14/08/2023'],"['Initial entry found: £500,000']"
53,140447231,"£500,000",['26/09/2023'],"['Initial entry found: £500,000']"
54,139946393,"£500,000",['14/09/2023'],"['Initial entry found: £500,000']"
55,133930631,"£500,000","['25/05/2023', '21/04/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
56,134404664,"£500,000","['24/08/2023', '03/05/2023']","['Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
57,140770019,"£500,000",['04/10/2023'],"['Initial entry found: £500,000']"
58,86276481,"£500,000",['11/07/2023'],"['Initial entry found: £500,000']"
59,140085320,"£500,000","['23/10/2023', '04/10/2023', '18/09/2023']","['Price changed from £539,950 to £500,000', 'Price changed from £570,000 to £539,950', 'Initial entry found: £570,000']"
60,135699836,"£500,000","['03/07/2023', '05/06/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
61,141108164,"£500,000",['20/10/2023'],"['Initial entry found: £500,000']"
62,135061694,"£499,950",['20/05/2023'],"['Initial entry found: £499,950']"
63,135749798,"£499,950","['10/07/2023', '06/06/2023']","['Price changed from £540,000 to £499,950', 'Initial entry found: £540,000']"
64,134422205,"£499,950","['25/08/2023', '04/05/2023', '04/05/2023']","['Price changed from £550,000 to £499,950', 'Price changed from £525,000 to £550,000', 'Initial entry found: £525,000']"
65,85784505,"£495,000","['04/04/2023', '12/07/2022']","['Price changed from £425,000 to £495,000', 'Initial entry found: £425,000']"
66,137802932,"£495,000",['24/07/2023'],"['Initial entry found: £495,000']"
67,86452749,"£489,950",['09/10/2023'],"['Initial entry found: £489,950']"
68,136692854,"£485,000","['18/09/2023', '28/06/2023']","['Price changed from £499,999 to £485,000', 'Initial entry found: £499,999']"
69,140785067,"£485,000",['04/10/2023'],"['Initial entry found: £485,000']"
70,125662502,"£475,000","['27/09/2022', '03/08/2022']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
71,138303785,"£475,000",['04/08/2023'],"['Initial entry found: £475,000']"
72,131835857,"£475,000",['20/02/2023'],"['Initial entry found: £475,000']"
73,136939904,"£475,000",['04/07/2023'],"['Initial entry found: £475,000']"
74,138190295,"£475,000","['06/10/2023', '02/08/2023']","['Price changed from £499,950 to £475,000', 'Initial entry found: £499,950']"
75,141063356,"£400,000",['19/10/2023'],"['Initial entry found: £400,000']"
76,135006062,"£475,000","['05/07/2023', '19/05/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
77,137645693,"£475,000",['20/07/2023'],"['Initial entry found: £475,000']"
