,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,136924466,"£475,000",Reduced on 09/08/2023,"Landseer Road, N19 4JU","A delightful, two-bedroom second floor apartment comprising 888 sq ft / 82.5 sqm within an attractive period house in a quiet and sought-after residential street. This second-floor flat offers a spacious reception room, separate kitchen/diner, two double bedrooms and a shared garden. The propert...",Apartment,1,2,888 sq. ft.(82 sq. m.),Leasehold,"['888 sqft / 82.5 sqm', 'Two double bedrooms', 'Shared garden', 'Period property', 'Fitted kitchen / diner ', 'Bright reception room', 'Landseer Gardens nearby ', 'Excellent transport links']","[['Upper Holloway ', '0.3 miles'], ['Archway ', '0.5 miles'], ['Crouch Hill ', '0.7 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,138180983,"£550,000",Added on 02/08/2023,"St. Georges Avenue, Tufnell Park",A superbly presented two bedroom split-level flat on the ground and lower ground floors of a Victorian conversion. The property has an open plan kitchen/diner with period features and direct access to a secluded garden.,Flat,1,2,,Leasehold,"['Two Bedrooms', 'Leasehold', 'Private Garden', 'Premium Road', 'Great Transport Links', 'Victorian Features']","[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.5 miles'], ['Kentish Town ', '0.5 miles']]","['underground', 'overground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,139524869,"£550,000",Added on 05/09/2023,"Northwood Road, Highgate","Conveniently situated between Highgate Village and Crouch End Broadway is this substantial, one bedroom apartment with a private, southerly orientated, terrace. Arranged over the upper floors of a handsome Victorian house, this elegant and charming home offers 580 sq ft of bright and well-propor...",Apartment,1,1,,Share of Freehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Roof Terrace', 'Share of Freehold']","[['Highgate ', '0.4 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",£0 per year,£840,88 years left,Band: C,False
3,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,138800537,"£550,000",Added on 18/08/2023,"Empire Square, London, N7","We are delighted to offer for sale a super two bedroom (both with en-suites) flat, set on the second floor of a building in gated development off Holloway Road in N7.",Apartment,2,2,,Leasehold,[],"[['Upper Holloway ', '0.4 miles'], ['Holloway Road ', '0.6 miles'], ['Archway ', '0.7 miles']]","['overground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,False
5,135650507,"£550,000",Reduced on 14/08/2023,"Highcroft Road, London","A two double bedroom garden flat, in a converted Victorian house. Presented in very good decorative order throughout, the property offers a bright reception, separate kitchen and a large private rear garden.",Flat,1,2,,Share of Freehold,"['Two Double Bedroom', 'Large Private Garden', 'Victorian Conversion', 'Separate Kitchen', 'Quiet Residential Road', 'Bright Reception']","[['Crouch Hill ', '0.2 miles'], ['Upper Holloway ', '0.7 miles'], ['Archway ', '0.7 miles']]","['overground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,140022269,"£550,000",Added on 15/09/2023,"Mount Pleasant Crescent, London","This two bedroom garden flat, located in the heart of Stroud Green, is presented in good decorative order and features an open-plan kitchen reception area, a modern bathroom and a private rear garden.",Flat,1,2,,Share of Freehold,"['Two Bedrooms', 'Private Garden', 'Open Plan Reception', 'Chain Free', 'Excellent Location', 'Modern Bathroom']","[['Crouch Hill ', '0.1 miles'], ['Finsbury Park ', '0.6 miles'], ['Harringay ', '0.6 miles']]","['overground', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,139596689,"£550,000",Added on 06/09/2023,"Tufnell Park Road, London","CHAIN FREE! A well presented and spacious (approximately 691 Sq Ft / 64 Sq M) lower ground floor patio garden apartment forming part of an imposing terraced Victorian property situated within close proximity to local shops, Tufnell Park Tavern gastro pub, local outdoor spaces and Tufnell Par (cont.)",Flat,2,2,,Leasehold,"['CHAIN FREE! A well presented and spacious (approximately 691 Sq Ft / 64 Sq M) lower ground floor patio garden apartment forming part of an imposing terraced Victorian property', 'Situated within close proximity to local shops, Tufnell Park Tavern gastro pub, local outdoor spaces and Tufnell Park (Northern Line) underground station', 'Two bedrooms', 'Reception/dining room', 'Separate kitchen', 'Bathroom and en-suite shower room to main bedroom', 'Own entrance door', 'Direct access to own section of rear patio garden which enjoys a southerly aspect', 'No Onward Chain', 'SOLE AGENT']","[['Tufnell Park ', '0.4 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.6 miles']]","['underground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,137620529,"£550,000",Added on 20/07/2023,"Huddleston Road, London, N7","A spacious one bedroom chain-free flat, set on the lower ground of a substantial period building, with its own entrance and direct access to a private rear garden.",Apartment,1,1,,Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,False
