,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139714331,"£550,000",Added on 08/09/2023,"Orchid Court, Granville Road, Childs Hill, NW2","Modern and well presented apartment with private WEST FACING terrace, located in Childs Hill the apartment offers a great first time purchase or investment buy.",Apartment,2,2,786 sq. ft.(73 sq. m.),Leasehold,"['Stunning Ground floor apartment located in Childs Hill', 'Two bedrooms with main room en-suite', 'Private terrace located just off the reception room', 'Modern fixtures throughout', 'Situated between Golders Green and Hampstead', 'Viewing highly recommended']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,£2650,Ask agent,Band: E,False
1,137969507,"£550,000",Added on 27/07/2023,"Pennine Drive, Golders Green Estate, NW2","LUXURIOUS ground floor apartment located near to GOLDERS GREEN & WEST HAMPSTEAD - No onward chain with high end finishes the property includes a PRIVATE GARDEN, PRIVATE PARKING AND STUDIO/ANNEX (with ensuite) in the garden.",Ground Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Luxury ground floor apartment', 'Studio/Annex located in the Garden', 'Private south facing rear garden', 'Beautiful features and presentation throughout', 'Impressive open plan Kitchen/dining room/living area', 'Viewing recommended - No onward chain']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: E,False
2,85973010,"£550,000",Reduced on 24/06/2023,"Garden Apartment, Pennine Drive, Golders Green Estate, NW2","This recently refurbished ground floor abode, located within a meticulously converted semi-detached house, boasts a wonderful private garden and off street parking, and is the epitome of a contemporary two bedroom apartment. This stunning property boasts impeccable finishes throughout, i...",Flat,2,2,872 sq. ft.(81 sq. m.),Share of Freehold,"['Spacious reception with bi fold doors', 'Private garden', 'Separate office/gym', 'Newly converted', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
3,139585484,"£550,000",Added on 06/09/2023,"North End Road, NW11","A generously proportioned 706 sq. ft. 2 bedroom, 2 bathroom duplex apartment, located on the ground & first floors of this converted building. Offering bright, modern accommodation throughout and benefiting a private garden & off street parking on a first come first serve basis. ",Flat,2,2,706 sq. ft.(66 sq. m.),Share of Freehold,"['Chain Free', 'Share of Freehold', 'Private Gardens', '2 bedrooms', '2 bathrooms', 'Well located']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '0.9 miles'], ['Hampstead ', '1.2 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,74 years left,Ask agent,False
4,138248144,"£550,000",Reduced on 22/08/2023,"North End Road, NW11","2 Bed 2 bath, share of freehold, Off street parking, Private garden moments from Golders Green Station !",Flat,2,2,,Share of Freehold,"['Off Street Parking FCFS', 'Private Garden', 'Share of Freehold', 'Chain Free', 'Main bedroom on separate level', 'Moments from Golders Green Station']","[['Golders Green ', '0.1 miles'], ['Brent Cross ', '1.0 miles'], ['Hampstead ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,139297913,"£549,950",Added on 31/08/2023,"Granville Road, Childs Hill",This two bedroom maisonette backs on to Childs Hill Park and has direct access to a large private garden. The property will be sold with no onward chain.,Flat,1,2,,Leasehold,"['Two Double Bedrooms', 'Private Garden', 'Open Plan', 'Integrated Appliances', 'Outbuilding', 'No Onward Chain']","[['Golders Green ', '0.5 miles'], ['Cricklewood ', '0.7 miles'], ['Brent Cross ', '0.8 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,132121610,"£545,000",Reduced on 23/08/2023,"Meadway, Hampstead Garden Suburb","A delightful 2 bedroom ground floor apartment set within this highly desirable Grade II listed building located on the south side of Hampstead Garden Suburb, close to the Heath Extension, Temple Fortune and Golders Green.2 bedrooms, bathroom/WC, galley style kitchen, cosy reception room...",Apartment,1,2,,Leasehold,[],"[['Golders Green ', '0.7 miles'], ['East Finchley ', '1.0 miles'], ['Brent Cross ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,137892533,"£545,000",Added on 26/07/2023,"Willifield Way, Hampstead Garden Suburb, NW11","A good size 2 bedroom ground floor flat wonderfully located being a moments walk to the many shops, cafes and transport of Temple Fortune. The property is a rare purpose built ground floor apartment set in a detached double fronted property which has use of a patio garden. The property requires...",Flat,1,2,,Leasehold,"['2 bedrooms', 'Lounge', 'Kitchen', 'Bathroom', 'Patio garden', 'Close to shops & transport links', 'EPC=D']","[['Brent Cross ', '0.9 miles'], ['Golders Green ', '1.0 miles'], ['Finchley Central ', '1.0 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,85973229,"£530,000",Reduced on 14/09/2023,"Upper Maisonette, Pennine Drive, Golders Green Estate, NW2","For those who seek a turn-key abode, this elegant and meticulously refurbished first and second floor duplex apartment enjoys use of a private garden and the benefit of off street parking. This stunning property promises to deliver both the necessities and a bounty of luxury features, an...",Flat,1,2,848 sq. ft.(79 sq. m.),Share of Freehold,"['Contemporary kitchen / breakfast room', 'Private garden', 'Access to flat roof', 'Off street parking', 'Newly refurbished to exquisite standard']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.9 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
9,129545633,"£530,000",Reduced on 14/09/2023,"Pennine Drive, Golders Green Estate, NW2","This one's for you if... You are ready to move into a well decorated home. Walking in you are welcomed by a beautifully sophisticated communal hall which leads up to this first floor flat set over three floors, On the first floor you are welcomed by a spacious open plan kit...",Flat,1,2,,Share of Freehold,"['Video tour available!', 'Energy efficient', 'Newly converted two double bedroom conversion', 'On two floors', 'Spacious reception', 'Contemporary eat in kitchen', 'Luxury bathroom', 'Access to a flat roof', 'Private garden', 'Off street parking']","[['Cricklewood ', '0.6 miles'], ['Brent Cross ', '0.7 miles'], ['Golders Green ', '0.8 miles']]","['nationalrail', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,False
