,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140516765,"£380,000",Added yesterday,"Flat C, First Floor, 69 Muswell Hill, London, N10 3PN",N/A,Flat,1,1,,Ask agent,"['This sale is conditional and is subject to confirmation by the seller, who will accept or decline the highest bid no longer than two working days from the bidding closing time.\xa0', ""This listing is provided in association with Foxtons, London's leading estate agent."", 'Spacious reception room', 'Well-appointed kitchen', 'Master bedroom and bathroom', 'Moments from the heart of Muswell Hill', 'Gross internal floor area approx 359 sqft (33 sq m)', 'Online Auction on Wednesday, 25 October 2023']","[['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.0 miles'], ['East Finchley ', '1.1 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,139124261,"£550,000",Added on 25/08/2023,"Fortis Green Road, London, N10","A bright and spacious two bedroom apartment within the centre of sunny Muswell Hill. The reception room boasts a large reception room overlooking the charming highstreet, a great sized kitchen/diner, two great sized double bedrooms with built in storage in the main bedroom and an abun...",Apartment,1,2,,Leasehold,"['Two Bedrooms', 'Bright and Spacious', 'Modern Bathroom', 'Large Reception Room', 'Excellent Location', 'Leasehold 999 Years', 'Service Charge Est: £1,000.00 PA', 'EPC Rating D']","[['East Finchley ', '0.8 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.3 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£1000,998 years left,Band: TBC,False
2,137985692,"£550,000",Added on 28/07/2023,"Princes Avenue, London","This well laid out, two double bedroom ground floor flat situated in the heart of Muswell Hill boasts a separate kitchen, a spacious reception room and two private patios. This flat is offered on a chain free basis ideal for first time buyers.",Flat,1,2,,Share of Freehold,"['Ground Floor', 'Heart of Muswell Hill', 'Private Patio', 'Spacious Reception Room', 'Wooden Floors Throughout', 'Ample Storage Space']","[['Highgate ', '0.9 miles'], ['East Finchley ', '0.9 miles'], ['Alexandra Palace ', '1.2 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
3,134982371,"£550,000",Reduced on 13/09/2023,"Muswell Hill Place, London, N10","Situated within moments’ walk of Muswell Hill Broadways bustling promenades and excellent bus services to Highgate tube station(Northern Line), Crouch End Broadway and Finsbury Park tube Station (Victoria and Piccadilly Lines) is a well presented split level ground and garden level flat. T...",Apartment,1,2,,Share of Freehold,"['RECEPTION ROOM', '2 BEDROOMS', 'KITCHEN/BREAKFAST ROOM', 'SEPARATE WC', 'BATHROOM', 'GAS CH', 'SOUTH-EAST FACING GARDEN', 'SHARED FREEHOLD', 'SOLE SELLING AGENT']","[['Highgate ', '0.9 miles'], ['East Finchley ', '1.1 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,False
4,139517642,"£550,000",Added on 05/09/2023,"East End Road, London, N2","A well proportioned two bedroom first floor maisonette with own section of garden and spacious loft giving ample storage space and potential for loft extension subject to planning/ freeholder consent. The property benefits from double glazing throughout, gas central heating and modern bathroom...",Maisonette,1,2,,Leasehold,"['Two Double Bedrooms', 'Spacious Reception Room', 'Own Section Of Rear Garden', 'Close To East Finchley Tube', 'Double Glazed Throughout', 'Modern Bathroom', 'Gas Central Heating', 'Ideal First Time Buy/Rental Investment']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.2 miles'], ['Finchley Central ', '1.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,133278977,"£550,000",Reduced on 06/07/2023,"Muswell Hill Road, Muswell Hill","An exceptional split level, two double bedroom, period conversion featuring a recently refurbished kitchen and bathroom, large reception room and a spacious landing and hallway.",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Large reception room', 'Refurbished kitchen', 'New contemporary bathroom', 'Walking distance to tube', 'Split level', 'Close to Muswell Hill', 'EPC - D']","[['Highgate ', '0.5 miles'], ['East Finchley ', '0.8 miles'], ['Archway ', '1.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
6,139226063,"£550,000",Added on 29/08/2023,"Fortis Green Road, Muswell Hill, N10",Chain Free | 859 Square Foot | Top Floor | Period Building | Central Muswell Hill | Leasehold 999 Years | 0.1 miles to Ofsted rated Fortismere School | 0.9 miles of Highgate Station (Northern Line),Apartment,1,2,899 sq. ft.(84 sq. m.),Leasehold,"['Chain Free', '859 Square Foot', 'Top Floor', 'Period Building', 'Central Muswell Hill', 'Leasehold 999 Years', '0.1 miles to Ofsted rated Fortismere School', '0.9 miles of Highgate Station (Northern Line)']","[['East Finchley ', '0.8 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.3 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,129242114,"£550,000",Reduced on 20/03/2023,"Fortis Green Road, London","Offered with no onward chain and situated on the ground floor of Muswell Hill's most popular mansion block is this three bedroom flat in need of cosmetic work with an eat-in kitchen diner, original floor boards and delightful views out onto a landscaped communal garden area..",Flat,1,3,,Leasehold,"['Three Bedrooms', 'Ground Floor', 'Kitchen Diner', 'Chain Free', 'Cosmetic Work Needed', 'Communal Gardens']","[['East Finchley ', '0.7 miles'], ['Highgate ', '0.9 miles'], ['Alexandra Palace ', '1.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,135009719,"£550,000",Added on 20/05/2023,"Kitchener Road, East Finchley, N2",Situated in this residential turning off East Finchley High Road within walking distance to local shops and amenities and conveniently located in the catchment area for a number of popular schools including the Archer Academy is this well presented three bedroom first floor maisonette. The proper...,Apartment,1,3,776 sq. ft.(72 sq. m.),Leasehold,"['Three Bedrooms', 'First Floor Maisonette', 'Modern Kitchen Diner', 'Own Garden', 'Close to Shops', 'Catchment for Popular Schools']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£1515,105 years left,Band: D,True
9,133272386,"£550,000",Reduced on 01/08/2023,"The Copse, Fortis Green, London, N2","We are delighted to offer this well-proportioned three double bedroom first and second floor apartment set within this small but popular purpose built block which is set back off Fortis Green. The apartment benefits from a 22’11 x 11’6 reception room with door to balcony, 11’1 ...",Apartment,1,3,,Leasehold,"['RECEPTION ROOM', 'KITCHEN', '3 BEDROOMS', 'BATHROOM/WC', 'SEPARATE WC', 'GAS CH', 'BALCONY', 'COMMUNAL GARDENS', 'LEASEHOLD', 'SOLE AGENTS']","[['East Finchley ', '0.5 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.6 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,92 years left,Band: TBC,True
10,136348346,"£550,000",Added on 21/06/2023,"Kitchener Road, London, N2","We offer this well presented 2 double bedroom (originally a 3 bed) first floor purpose built maisonette with direct access to own rear garden. The property is located in a highly popular residential Road, minutes from shops and amenities and within 0.5 miles from East Finchley tube (...",Maisonette,1,2,,Freehold,"['Spacious lounge/ diner', '2 double bedrooms', 'Own private garden', 'Loft storage space', '120 year lease plus freehold', 'Within 0.5 miles of East Finchley tube', 'Gas central heating', 'Chain free']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
11,136984064,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
12,139573766,"£550,000",Added on 06/09/2023,"Tetherdown, London, N10",Set on the top floor of this impressive Edwardian corner residence is a truly outstanding two bedroom converted flat which boasts a fitted kitchen/breakfast room and a stylish contemporary bathroom suite. The property also benefits from a 16’ 7 x 14’5 reception room with original per...,Apartment,1,2,,Share of Freehold,"['RECEPTION ROOM', 'KITCHEN/BREAKFAST ROOM', '2 BEDROOMS', 'BATHROOM/WC', 'UTILITY CUPBOARD', 'GAS CH', 'SHARED FREEHOLD', 'SOLE SELLING AGENT']","[['East Finchley ', '0.7 miles'], ['Highgate ', '1.0 miles'], ['Alexandra Palace ', '1.3 miles']]","['underground', 'underground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC,False
13,138360038,"£550,000",Added on 06/07/2023,"Archway Road, Highgate, N6","A large two bedroom garden flat with within an period property. The property comprises of a reception room which leads onto a private garden, a separate kitchen, two double bedrooms and a three piece bathroom. Situated directly opposite Highgate Woods the property is ideally located moments from...",Flat,1,2,,Share of Freehold,[],"[['Highgate ', '0.1 miles'], ['East Finchley ', '1.1 miles'], ['Archway ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
14,139524869,"£550,000",Added on 05/09/2023,"Northwood Road, Highgate","Conveniently situated between Highgate Village and Crouch End Broadway is this substantial, one bedroom apartment with a private, southerly orientated, terrace. Arranged over the upper floors of a handsome Victorian house, this elegant and charming home offers 580 sq ft of bright and well-propor...",Apartment,1,1,,Share of Freehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Roof Terrace', 'Share of Freehold']","[['Highgate ', '0.4 miles'], ['Archway ', '0.6 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",£0 per year,£840,88 years left,Band: C,False
15,139585988,"£540,000",Reduced on 14/09/2023,"Flat 11, 18B High Road, East Finchley, London, N2 9PJ","FOR SALE BY AUCTION ON 12th September at 12:00 £530,000 PLUS LONG LEASEHOLD VACANT GROUND FLOOR TWO BEDROOM DUPLEX FLAT",Apartment,,2,,Freehold,"['LONG LEASEHOLD VACANT GROUND FLOOR TWO BEDROOM DUPLEX FLAT', 'Long leasehold - 125 years from 01.01.2022']","[['East Finchley ', '0.1 miles'], ['Highgate ', '1.0 miles'], ['Finchley Central ', '1.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
16,134968082,"£535,000",Added on 18/05/2023,"Shepherds Hill, Highgate, London, N6",A delightful first floor 1 bedroom converted apartment within this imposing period mansion. This charming flat benefits from an exceptional 20' x 10' Southerly facing private roof terrace overlooking stunning communal gardens.,Apartment,1,1,,Share of Freehold,['Southerly Facing Living Room with Doors to 20ft Southerly Facing Roof Terrace * Fitted Double Bedroom * Fitted Kitchen * Bathroom WC * Huge Southerly Communal Gardens * Entirely Rear (truncated)'],"[['Highgate ', '0.3 miles'], ['Archway ', '0.8 miles'], ['Upper Holloway ', '1.1 miles']]","['underground', 'underground', 'overground']",£0 per year,£1380,146 years left,Band: D,True
17,123836303,"£525,000",Reduced on 21/06/2022,"Whittington Court, Aylmer Road, London, N2","An impressive large (1043 sq ft) 2 double bedroom (originally 3) 2 bathroom apartment situated on the top floor of this popular lift serviced purpose-built block, conveniently situated equidistant from both Highgate and East Finchley tube stations. ",Apartment,2,2,,Leasehold,"['Two Double Bedrooms', 'Two Bathrooms', 'Two Balconies', 'Off Street Parking', '1043 sq ft', 'Communal Gardens', 'Lift', 'Ample Storage', 'Close to both East Finchley and Highgate Tube', 'Views over Highgate Golf Course']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]","['underground', 'underground', 'underground']",£50 per year,£3000,90 years left,Band: E,False
18,138255050,"£525,000",Reduced on 21/08/2023,"Stanhope Road, Highgate",A well-proportioned and well presented two double bedroom apartment with balcony and large reception room in this architect-designed block of just 11 flats.,Flat,1,2,,Share of Freehold,"['Spacious Reception Room', 'Fitted Kitchen', 'Two Double Bedrooms', 'Generous Storage', 'Bathroom', 'Balcony']","[['Highgate ', '0.4 miles'], ['Archway ', '0.8 miles'], ['Crouch Hill ', '0.9 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
19,135361100,"£525,000",Reduced on 20/09/2023,"Northwood Road, Highgate","Located on this popular tree lined road in Highgate is this well presented period conversion with an open plan reception and kitchen, providing two bedrooms and a separate study.",Flat,1,2,,Share of Freehold,"['Two Bedrooms', 'Birght Reception Room', 'Fitted Kitchen', 'Bathroom', 'Separate Study', 'Great Transport Links', 'Shared Freehold', 'EPC Rating C']","[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '0.9 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
20,139253972,"£522,500",Reduced on 02/08/2023,"Muswell Hill Road, London, N10","A stylish and beautifully presented two bedroom flat on the top floor of an attractive period property, moments from Muswell Hill Broadway. Chain Free",Flat,1,2,703 sq. ft.(65 sq. m.),Leasehold,"['2 bedroooms', ' Central Muswell Hill location', ' Period features', ' 703 sq ft', ' Close to shops and transport links', ' EPC:D', ' Chain Free']","[['Highgate ', '0.7 miles'], ['East Finchley ', '0.8 miles'], ['Alexandra Palace ', '1.4 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
21,133626629,"£520,000",Added on 14/04/2023,"Kitchener Road, London, N2","A spacious three bedroom first floor purpose built maisonette situated in this highly popular residential road, minutes from shops and bus routes at East Finchley High Road, and within 0.5 mile of East Finchley tube (Zone 3). Offered chain free, with a new 125 year lease, the property has the ...",Maisonette,1,3,,Leasehold,"['Three Bedrooms', 'Gas Central Heating', 'Chain Free', 'New 125 Year Lease', 'Own Rear Garden', 'Close to Shops and Tube Station', 'Good Size Kitchen', 'Part Double Glazed']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.2 miles'], ['Finchley Central ', '1.4 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
22,131616332,"£515,000",Added on 11/02/2023,"Kitchener Road, London, N2",A fantastic opportunity to refurbish this three-bedroom first floor purpose-built maisonette featuring its own front door and direct access to a private double width garden.,Maisonette,1,3,,Freehold,"['Three Bedrooms', 'Kitchen/Diner', 'First Floor', 'Purpose Built Maisonette', 'Private Garden', 'Own Front Door', 'Fantastic Location', 'East Finchley Tube Station 0.3 Miles', 'Several Ofsted Outstanding Schools Nearby']","[['East Finchley ', '0.3 miles'], ['Highgate ', '1.3 miles'], ['Finchley Central ', '1.3 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,True
23,133948721,"£500,000",Added on 21/04/2023,"Sheldon Avenue, East Finchley","A spacious apartment situated on the ground floor of this purpose built building providing three double bedrooms, bright reception room and access to a large communal garden",Flat,2,3,,Leasehold,"['Three double bedrooms ', 'Bright recpetion room ', 'Fitted kitchen ', 'Bathroom ', 'Large communal garden ', 'Ground floor ', 'Chain free', 'EPC Rating C']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.5 miles'], ['Archway ', '1.5 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
24,133249475,"£500,000",Added on 04/04/2023,"Highgate Avenue, Highgate, N6","Well presented one double bedroom top floor purpose built flat with residents' parking and access to a communal garden, long lease and no onward chain, conveniently situated in a popular Highgate location, close to transport links and amenities. Ideal as either first time or investment purchase,...",Flat,1,1,,Leasehold,"['Well Presented One Double Bedroom Top Floor Flat', 'Popular Highgate Location', 'Neutral Finish And Modern Interiors', 'Bright And Spacious Dual Aspect Reception Room', 'Separate Well Equipped Kitchen', 'Modern Bathroom', ""Residents' Parking And Communal Garden"", 'Long Lease And No Chain', 'Close To Highgate Station And Amenities', 'Book Your Viewing Online!']","[['Highgate ', '0.3 miles'], ['Archway ', '0.7 miles'], ['Upper Holloway ', '1.0 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,221 years left,Ask agent,True
25,128846540,"£500,000",Added on 07/11/2022,"Aylmer Court, Sheldon Avenue, East Finchley, London, N2","Close to East Finchley and Highgate station is this three bedroom ground floor flat, situated in a popular purpose built block on Sheldon Avenue. The property is well presented and overlooking the sunny communal gardens which back onto Highgate Golf Course.",Apartment,2,3,,Leasehold,"['3 Bedrooms', '1 Bathroom', '1 Reception', 'Ground floor', 'Walking distance to East Finchley station', 'Communal gardens', 'Close to amenities', 'Chain free']","[['East Finchley ', '0.5 miles'], ['Highgate ', '0.5 miles'], ['Archway ', '1.5 miles']]","['underground', 'underground', 'underground']",£20 per year,£4058.6,123 years left,Band: D,False
26,131557346,"£500,000",Added on 09/02/2023,"Great North Road, London","Agreed are delighted to offer for sale this newly refurbished two bedroom 2nd floor apartment situated in the popular Suburb of East Finchley. The property is within walking distance of local schools and amenities. Offering two reception rooms and two bathrooms, the property benefits from having ...",Flat,2,2,,Leasehold,"['Property Ref : 1093', 'Two Bedrooms', 'Two Bathrooms', 'Furnished', 'Close to Local Transport Links', 'Close to Local Schools & Amenities', 'Recently Refurbished', 'Off Street Parking', 'Chain Free', 'Rental Investment Opportunity']","[['East Finchley ', '0.4 miles'], ['Highgate ', '0.6 miles'], ['Archway ', '1.5 miles']]","['underground', 'underground', 'underground']",£0 per year,£1907,Ask agent,Band: D,False
27,139687415,"£500,000",Added on 08/09/2023,"Fortis Green, London","A delightful first floor period conversion featuring two bedrooms, a large reception and a bathroom. There is a secure private off street parking and offered chain free.
",Flat,1,2,,Leasehold,"['Period conversion', 'First floor', 'Two bedrooms', 'Private parking', 'Sold with long lease', 'Chain free', 'Close distance to station', 'EPC - D']","[['East Finchley ', '0.2 miles'], ['Highgate ', '1.1 miles'], ['Finchley Central ', '1.5 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
28,138336368,"£500,000",Reduced on 05/09/2023,"Muswell Hill Broadway, Muswell Hill","A spacious 2 bedroom Edwardian mansion flat situated at the heart of Muswell Hill, providing a generous reception room, kitchen /diner and small study space.",Flat,1,2,,Leasehold,"['2 Double bedrooms ', 'Spacious reception ', 'Kitch/Diner ', 'Family bathroom', 'Study space', 'Great transport links', 'Schools close by', 'EPC - D']","[['Highgate ', '1.0 miles'], ['East Finchley ', '1.0 miles'], ['Alexandra Palace ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
29,138784370,"£500,000",Added on 17/08/2023,"Archway Road, London","Stylish loft-style first-floor apartment with bright outlook & two double bedrooms located within a 5 minute walk of Highgate Underground. Renovated to a high specification the flat boasts a spacious open plan reception with modern fully fitted kitchen, family bathroom and en suite shower room.",Flat,1,2,,Leasehold,"['Spacious Loft-Style Apartment', 'Open Plan Reception', 'Modern Kitchen & Bathrooms', 'Ideal for Highgate Tube', 'Close to Highgate Wood', 'No Upper Chain']","[['Highgate ', '0.1 miles'], ['East Finchley ', '0.9 miles'], ['Archway ', '1.1 miles']]","['underground', 'underground', 'underground']",£150 per year (1% increase reviewed every 1 year)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£0,85 years left,Band: D,False
