,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,140278013,"£530,000",Added yesterday,"Tadworth Road, Neasden","VIEWINGS AVAILABLE IMMEDIATELY! DANIELS ARE DELIGHTED TO OFFER THIS CHAIN FREE, THREE BEDROOM HOUSE TO THE MARKET IN NEASDEN. The property comprises three bedrooms, two reception rooms, kitchen and a bathroom. Added benefits include off street parking and potential to extend (stpp). Neasden Under...",Terraced,1,3,,Freehold,"['No Upper Chain', 'Off Street Parking', 'Close to Amenities', 'Potential to Extend (Stpp)', 'Three Bedrooms', 'Two Reception Rooms']","[['Dollis Hill ', '1.0 miles'], ['Neasden ', '1.0 miles'], ['Hendon ', '1.0 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,False
1,131831255,"£550,000",Reduced on 15/05/2023,"Carlton Mansions Chichele Road, Willesden Green, NW2","Living Residential are pleased to bring to the market this lovely two bedroom garden flat. The property is located in this sought after mansion block in NW2, the apartment has a generously sized reception room with wood flooring an open plan kitchen to hallway and the added benefit of direct acce...",Flat,1,2,,Share of Freehold,[],"[['Cricklewood ', '0.4 miles'], ['Willesden Green ', '0.4 miles'], ['Kilburn ', '0.7 miles']]","['nationalrail', 'underground', 'underground']",Ask agent,£1500,954 years left,Band: C,False
2,137479358,"£550,000",Added on 17/07/2023,"Milverton Road, London NW6","Nestled on the illustrious Milverton Road in the highly sought-after NW6, we proudly present a remarkable 2 bedroom ground-floor flat within a stunning double-fronted, detached house. As you enter through the inviting front door, prepare to be captivated by the exquisite tessellated flo...",Flat,1,2,619 sq. ft.(58 sq. m.),Share of Freehold,"['Nestled on the illustrious Milverton Road in the highly sought-after NW6', 'Spanning 620 sq ft', '2 generous bedrooms, 1 bathroom', 'Large open plan kitchen and living space', 'Modern integrated kitchen', 'Blend of period elegance and modern convenience', 'Large communal garden', 'Transport: Willesden Green (Jubilee - zone 2 ) and Brondesbury Park (Overground)', 'Chain free', 'Early viewing is highly recommended!']","[['Willesden Green ', '0.3 miles'], ['Brondesbury Park ', '0.5 miles'], ['Kensal Rise ', '0.7 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,Ask agent,Band: D,False
3,138474191,"£550,000",Reduced on 13/09/2023,"Melrose Avenue, London","An exceptional Three Bedroom, First Floor Flat with Communal Garden, moments from Willesden Green Station & Gladstone Park. Flooded with natural light, prospective buyers can expect to find a stunning open plan kitchen, with beautiful bay windows and presented in fantastic condition. Th...",Flat,,3,872 sq. ft.(81 sq. m.),Leasehold,"['Share Of Garden', 'Three Bedrooms', 'Flooded With Natural Light', 'First Floor Victorian Conversion', 'Nearly 900sqft', 'Access To Loft', 'Close To Willesden Green Station (Jubilee)', 'Moments From Gladstone Park', 'A Short Walk To Shops & And Residents Parking Permit MW Available', 'Beautiful Finish Throughout']","[['Willesden Green ', '0.4 miles'], ['Dollis Hill ', '0.4 miles'], ['Cricklewood ', '0.8 miles']]","['underground', 'underground', 'nationalrail']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£107,92 years left,Band: D,False
4,136436858,"£550,000",Added on 22/06/2023,"Links Road, London, NW2",We are pleased to be able to offer an opportunity to purchase a three bedroom centre terrace house in the ever popular Brentwater Area and the house is offered for sale chain free.The property is in need of modernisation and this has been reflected in the price being sought for the prop...,Terraced,1,3,,Freehold,"['•\tChain free sale', '•\tConservatory extension', '•\tSouth westerly facing rear garden', '•\tGross internal floor area of 1,001 sq ft (93 sq m) approximately', '•\tNewly appointed bathroom a few years ago', '•\tThe nearest Station is Neasden (Jubilee Line)', '•\tBrent Cross Shopping complex is approximately 2 miles radius']","[['Neasden ', '0.8 miles'], ['Dollis Hill ', '1.0 miles'], ['Hendon ', '1.1 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Band: D,True
5,134082413,"£550,000",Reduced on 10/07/2023,"Brook Road, London, NW2","We are pleased to be able to offer for sale the original Show Flat and the largest flat constructed in this development spanning approximately 1,025 sq ft (95 sq m) and offered for sale chain free. This property also enjoys what we believe to be a unique feature of this development of two bath...",Flat,2,2,,Leasehold,"['•\tGas central heating', '•\tDouble glazed windows', '•\tChain free sale', '•\tTwo good sized bedrooms', '•\tMagnificent living room/kitchen measuring 25’8” x 19’10”', '•\tTwo bathrooms (one ensuite)', '•\tSecurity entry phone system to communal door', '•\tResidents parking', '•\tResidents elevator']","[['Dollis Hill ', '0.7 miles'], ['Neasden ', '0.7 miles'], ['Willesden Green ', '1.1 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: C,False
6,137291711,"£550,000",Reduced on 04/08/2023,"Tadworth Road, London, NW2",We are pleased to be able to offer for sale as sole agents this three bedroom centre terrace 1930’s built family house and situated in the popular Brentwater Area in this residential street parallel to Crest Road and therefore within a few hundred yards of local bus services and schools ...,Terraced,1,3,,Freehold,"['•\tGas central heating', '•\tDouble glazed windows', '•\tOff street parking', '•\t59’ long rear garden', '•\tGross internal floor area of 912 sq ft (85 sq m) approximately', '•\tBrent Cross shopping complex is approximately 2 miles radius']","[['Dollis Hill ', '1.0 miles'], ['Hendon ', '1.0 miles'], ['Neasden ', '1.0 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
7,127551200,"£550,000",Added on 29/09/2022,"Chatsworth Court, Willesden Lane, London","This beautifully presented two double bedroom first floor apartment is set within a prestigious gated development with parking and communal gardens located close to shops and transport links. Being sold with tenants. Lease 983 years. Service Charge: £1,416.88 twice yearly Groun...",Flat,2,2,,Leasehold,[],"[['Willesden Green ', '0.2 miles'], ['Brondesbury Park ', '0.6 miles'], ['Kilburn ', '0.7 miles']]","['underground', 'overground', 'underground']",Ask agent,Ask agent,998 years left,Ask agent,False
8,125879006,"£550,000",Added on 09/08/2022,"Selwyn Road, Harlesden , London, NW10","A stunning period property offered for sale in the heart of Harlesden offering excellent transport links via Harlesden overground and underground, shops and good ofsted rated schools. Benefits include TWO DOUBLE BEDROOMS, SPACIOUS BAY FRONTED RECEPTION ROOM, LARGE OPEN PLAN KITCHEN...",Terraced,1,2,,Freehold,"['TWO BEDROOMS', 'TERRACED FAMILY HOME', 'PRIVATE GARDEN', 'POTENTIAL FOR EXTENSION (STPP)', 'ORIGINAL FEATURES', 'CHIC INTERIOR', 'FREEHOLD', 'WELL PRESENTED FAMILY HOME']","[['Harlesden ', '0.6 miles'], ['Neasden ', '0.7 miles'], ['Stonebridge Park ', '0.9 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
9,134164544,"£550,000",Added on 27/04/2023,"Roundwood Road, London, NW10","Renovated and fully extended, three bedroom, two bathroom, ground floor flat with private rear garden and studio/summerhouse with share of freehold.",Apartment,2,3,,Share of Freehold,"['THREE BEDROOMS', 'TWO BATHROOM', 'PRIVATE GARDEN', 'STUDIO/SUMMER HOUSE', 'NEWLY RENOVATED', 'CHAIN-FREE', 'SHARE OF FREEHOLD', 'EXTENDED', '960 SQFT']","[['Dollis Hill ', '0.6 miles'], ['Neasden ', '0.7 miles'], ['Harlesden ', '0.7 miles']]","['underground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: TBC,True
