,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139230782,"£550,000",Added on 30/08/2023,"Eton Hall, Eton College Road, London, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill. ",Apartment,1,1,,Leasehold,"['Bedroom', 'Bathroom', 'Reception Room', 'Kitchen', 'Passenger Lift', 'Communal Heating and Hot Water']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",£80 per year,£4100,83 years left,Band: C,False
1,134710331,"£550,000",Reduced on 06/07/2023,"Arlington Road, Camden, London, NW1","Set on the ground floor of a gorgeous mid-terrace building, this wonderful 1 bedroom flat boasts a stunning high-specification finish, open-plan kitchen/living space, en suite bathroom and a fantastic location.",Flat,1,1,561 sq. ft.(52 sq. m.),Leasehold,"['Fabulous 1 bedroom flat', 'Set on the ground floor of a gorgeous property', 'Beautiful open-plan kitchen/living space', 'Great bedroom with fitted wardrobes', 'En-suite bathroom with seperate bath and shower', 'Amazing location in the heart of Camden', 'Transport and local amenities close by', 'Great space throughout the property']","[['Camden Town ', '0.1 miles'], ['Mornington Crescent ', '0.3 miles'], ['Camden Road ', '0.3 miles']]","['underground', 'underground', 'overground']",£230 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2366.24,980 years left,Ask agent,False
2,135927671,"£550,000",Added on 09/06/2023,"Eton College Road, Belsize Park NW3","A spacious and bright one bedroom apartment - Fantastic roof top views across London - Top floor, 571 sq ft approx - Porterage, lift and communal gardens - Good decorative order - Popular 1930`s purpose built block - 18ft reception - 15ft bedroom with built in wardrobes - Separat...",Apartment,1,1,571 sq. ft.(53 sq. m.),Leasehold,"['A spacious and bright one bedroom apartment', 'Fantastic roof top views across London', 'Top floor- 571 sq ft approx', 'Porterage, lift and communal gardens', 'Good decorative order', 'Popular 1930`s purpose built block', '18ft reception', '15ft bedroom with built in wardrobes', 'First come first served parking', 'Ideal for Chalk Farm station,Primrose Hill and Belsize Park']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",Ask agent,£4000,958 years left,Band: C,True
3,139590644,"£550,000",Reduced on 07/09/2023,"Harmood Street, London, NW1","A bright and spacious second floor apartment located moments from all amenities of Chalk Farm and Camden Town. The property has been recently decorated throughout and comprises a spacious reception room, kitchen diner, two well proportioned double bedrooms and a three piece bathroom suite with sh...",Apartment,1,2,,Leasehold,"['Two Bedroom Flat', 'Offered in good condition', 'Viewing Highly Recommended', 'Close to Camden Market', 'Service Charge: £1279 per annum', 'Council Tax Band: B']","[['Kentish Town West ', '0.1 miles'], ['Chalk Farm ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
4,140140589,"£550,000",Added on 19/09/2023,"Goldhurst Terrace, South Hampstead, London, NW6",This beautiful 1 bedroom flat is arranged on the 3rd floor of a stunning Victorian terraced building and boasts immaculate interiors throughout. Featuring an open-plan reception/kitchen with glass doors to the balcony.,Flat,1,1,632 sq. ft.(59 sq. m.),Share of Freehold,"['Impressive 1 bedroom 3rd floor flat', 'Elegant, open-plan living space', 'Double bedroom with en suite bathroom', 'Private balcony with views over gardens', 'Guest W.C.', 'Stunning Victorian terraced building', 'Close to South Hampstead station']","[['South Hampstead ', '0.2 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.4 miles']]","['overground', 'underground', 'underground']",Ask agent,£1300,Ask agent,Ask agent,False
5,139230782,"£550,000",Added on 30/08/2023,"Eton Hall, Eton College Road, London, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill. ",Apartment,1,1,,Leasehold,"['Bedroom', 'Bathroom', 'Reception Room', 'Kitchen', 'Passenger Lift', 'Communal Heating and Hot Water']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",£80 per year,£4100,83 years left,Band: C,False
6,134337602,"£550,000",Reduced on 06/07/2023,"Gloucester Avenue, Primrose Hill, London, NW1","A super one bedroom flat on the raised ground floor of an elegant Victorian terrace on Gloucester Avenue in Primrose Hill, a short walk to Camden, Regents Park and Primrose itself. The property has a very nice open plan reception room with kitchen and dining area, double bedroom, good sized bathr...",Flat,1,1,,Share of Freehold,[],"[['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles'], ['Camden Road ', '0.5 miles']]","['underground', 'underground', 'overground']",£0 per year,£1956,172 years left,Band: TBC,False
7,138451334,"£550,000",Added on 09/08/2023,"Tasker Road, Bellsize Park NW3",One bed top floor duplex loft style apartment in Bellsize Park.,Apartment,1,1,677 sq. ft.(63 sq. m.),Leasehold,"['677 sq ft Loft Style Apartment', 'Duplex', 'Exposed brick work', 'Wooden Beams', 'Modern fitted kitchen', 'Modern floor to ceiling tiled bathroom', 'Hampstead Heath', 'Primrose Hill / Regents Park', 'Excellent transport links', 'Close to Haverstock Hill & England’s Lane']","[['Belsize Park ', '0.3 miles'], ['Gospel Oak ', '0.4 miles'], ['Hampstead Heath ', '0.4 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,148 years left,Band: D,False
8,137663291,"£550,000",Added on 14/07/2023,"Netherhall Gardens, Hampstead, London, NW3","This exceptionally spacious 1 bedroom flat is arranged on the top floor of a wonderful period conversion and boasts a generous double bedroom, good-sized reception room open-plan kitchen and smart shower room.",Flat,1,1,844 sq. ft.(78 sq. m.),Share of Freehold,"['Exceptionally spacious 1 bedroom flat', 'Arranged on the 3rd floor (with 2nd floor entrance)', 'Reception room with open-plan kitchen', 'Generous double bedroom with storage', 'Shower room with roof window providing ample natural light', 'Imposing period conversion', 'Superb potential for light refurbishment (although well-presented as is)']","[['Finchley Road & Frognal ', '0.2 miles'], ['Finchley Road ', '0.3 miles'], ['Hampstead ', '0.4 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
9,140406788,"£550,000",Added yesterday,"Belsize Lane, London","A rare one bedroom apartment located on the raised ground floor of an impressive Stucco fronted period building. This superb apartment features an amazing reception room with large windows and high ceilings (3.3m), open plan kitchen, bedroom with fitted wardrobes and bathroom. Belsize Lane is a d...",Apartment,1,1,,Leasehold,"['1 Bathroom', '1 Bedroom', '1 Reception', 'Flat/Apartment', 'Ground Floor', 'Leasehold']","[['Swiss Cottage ', '0.3 miles'], ['Finchley Road ', '0.3 miles'], ['Belsize Park ', '0.4 miles']]","['underground', 'underground', 'underground']",£0 per year,£0,Ask agent,Band: C,False
10,139686326,"£550,000",Added on 08/09/2023,"Harben Road, West Hampstead",This two bedroom apartment has a private balcony and is located on the first floor of this purpose built block. The property has been recently refurbished and is moments from Swiss Cottage station,Flat,1,2,,Leasehold,"['First Floor', 'Two Double Bedrooms', 'Balcony', 'Recently Refurbished', 'Ample Storage', 'Close To Station']","[['Swiss Cottage ', '0.1 miles'], ['South Hampstead ', '0.2 miles'], ['Finchley Road ', '0.2 miles']]","['underground', 'overground', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
11,139267430,"£550,000",Added on 30/08/2023,"Gloucester Avenue, 
Regents Park, NW1",This stunning one double bedroom apartment is situated on the ground floor of an impressive period conversion. Accommodation is generous and location hard to beat. Communal garden and Share of freehold,Apartment,1,1,460 sq. ft.(43 sq. m.),Share of Freehold,"['One bedroom apartment', 'Generous proportions', 'Communal Garden', 'Share of freehold', 'Enviable location', 'Chain free']","[['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles'], ['Camden Road ', '0.5 miles']]","['underground', 'underground', 'overground']",Ask agent,£480,172 years left,Band: D,False
12,132251912,"£550,000",Added on 05/03/2023,"Mortimer Terrace, London, NW5",A very spacious second and third floor maisonette conveniently located moments from Hampstead Heath. ,Maisonette,1,2,826 sq. ft.(77 sq. m.),Leasehold,"['Two Double Bedrooms', 'Reception Room', 'Kitchen', 'Bathroom', 'Requires Moderisation', 'Moments from Hampstead Heath', 'Close to Shops & Transport Connections', ""Residents' Permit Parking Zone""]","[['Gospel Oak ', '0.2 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town ', '0.4 miles']]","['overground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
