,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,138761531,"£450,000",Added on 17/08/2023,"Hungerford Road, London, N7",We are delighted to offer this beautifully presented one bedroom apartment in Islington.,Apartment,,1,,Leasehold,"['Modern Develpment', 'Spacious Apartment', 'Balcony', 'Double Glazed Windows', 'King Cross 10 mins by bus', 'Camden 10 mins by Bus']","[['Caledonian Road ', '0.4 miles'], ['Kentish Town ', '0.6 miles'], ['Caledonian Road & Barnsbury ', '0.6 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,137693777,"£550,000",Reduced on 05/09/2023,"Anson Road, Tufnell Park","A charming two bedroom apartment on the lower ground floor of this Victorian mansion block. This property has a separate kitchen, a large reception room and a communal garden.",Flat,1,2,,Leasehold,"['Two Bedrooms', 'One Bathroom', 'Communal Garden', 'Outstanding Local Schools', 'Private Entrance', 'Good Transport Links']","[['Tufnell Park ', '0.3 miles'], ['Kentish Town ', '0.5 miles'], ['Upper Holloway ', '0.6 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
2,139590644,"£550,000",Reduced on 07/09/2023,"Harmood Street, London, NW1","A bright and spacious second floor apartment located moments from all amenities of Chalk Farm and Camden Town. The property has been recently decorated throughout and comprises a spacious reception room, kitchen diner, two well proportioned double bedrooms and a three piece bathroom suite with sh...",Apartment,1,2,,Leasehold,"['Two Bedroom Flat', 'Offered in good condition', 'Viewing Highly Recommended', 'Close to Camden Market', 'Service Charge: £1279 per annum', 'Council Tax Band: B']","[['Kentish Town West ', '0.1 miles'], ['Chalk Farm ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
3,139230782,"£550,000",Added on 30/08/2023,"Eton Hall, Eton College Road, London, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill. ",Apartment,1,1,,Leasehold,"['Bedroom', 'Bathroom', 'Reception Room', 'Kitchen', 'Passenger Lift', 'Communal Heating and Hot Water']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",£80 per year,£4100,83 years left,Band: C,False
4,137090039,"£550,000",Added on 30/03/2023,"Sandall Road, Kentish Town, London, NW5",A fantastic one-bedroom period garden flat located within close proximity of Kentish Town High Street and adjacent to Camden School for Girls. The property features a spacious double-through reception with kitchen/diner including stripped wooden flooring and large sash windows. At the rear you ha...,Flat,1,1,,Leasehold,"['Period Property', 'Private Garden', 'Extension Possible (STP)', 'Camden School For Girls', 'One Double Bedroom', 'Brilliant Local Amenities']","[['Camden Road ', '0.4 miles'], ['Kentish Town ', '0.4 miles'], ['Kentish Town West ', '0.5 miles']]","['overground', 'nationalrail', 'overground']",£10 per year,£393,96 years left,Band: D,True
5,123657206,"£550,000",Reduced on 02/02/2023,"North Villas, Camden, London, NW1","Set in a fantastic period conversion, this 2 bedroom flat boasts an elegant living space with bright interiors. It features a charming reception, a lovely mezzanine level, and a communal garden with seating space.",Flat,1,2,594 sq. ft.(55 sq. m.),Leasehold,"['Stunning ground and 1st floor flat within a lovely period conversion', 'Bright and welcoming reception with built-in storage', 'Quaint kitchen with integrated appliances', 'Main double bedroom with built-in wardrobes and retained period arched windows', '2nd Double bedroom with built-in closet space and a mezzanine area', 'Well-presented bathroom with a glossy tile finish', 'Delightful communal garden with seating space', 'Prime position amid bustling amenities, schools, and transport links']","[['Camden Road ', '0.5 miles'], ['Kentish Town ', '0.5 miles'], ['Caledonian Road ', '0.5 miles']]","['overground', 'nationalrail', 'underground']",Ask agent,£800,103 years left,Ask agent,False
6,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
7,134337602,"£550,000",Reduced on 06/07/2023,"Gloucester Avenue, Primrose Hill, London, NW1","A super one bedroom flat on the raised ground floor of an elegant Victorian terrace on Gloucester Avenue in Primrose Hill, a short walk to Camden, Regents Park and Primrose itself. The property has a very nice open plan reception room with kitchen and dining area, double bedroom, good sized bathr...",Flat,1,1,,Share of Freehold,[],"[['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles'], ['Camden Road ', '0.5 miles']]","['underground', 'underground', 'overground']",£0 per year,£1956,172 years left,Band: TBC,False
8,131014337,"£550,000",Reduced on 20/03/2023,"St. Augustines Road, 
Camden, NW1",A wonderfully bright and very stylish apartment on the first floor of a period conversion. Complete with high ceilings and a separate study area.,Flat,1,1,,Leasehold,"['Immaculate condition', 'First floor', 'High ceilings', 'Generous rooms', 'Well-located', 'Great transport links', 'Walking distance to Kings Cross and Camden', 'Study area']","[['Caledonian Road ', '0.4 miles'], ['Camden Road ', '0.6 miles'], ['Caledonian Road & Barnsbury ', '0.6 miles']]","['underground', 'overground', 'overground']",£50 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£300,106 years left,Band: D,True
9,135927671,"£550,000",Added on 09/06/2023,"Eton College Road, Belsize Park NW3","A spacious and bright one bedroom apartment - Fantastic roof top views across London - Top floor, 571 sq ft approx - Porterage, lift and communal gardens - Good decorative order - Popular 1930`s purpose built block - 18ft reception - 15ft bedroom with built in wardrobes - Separat...",Apartment,1,1,571 sq. ft.(53 sq. m.),Leasehold,"['A spacious and bright one bedroom apartment', 'Fantastic roof top views across London', 'Top floor- 571 sq ft approx', 'Porterage, lift and communal gardens', 'Good decorative order', 'Popular 1930`s purpose built block', '18ft reception', '15ft bedroom with built in wardrobes', 'First come first served parking', 'Ideal for Chalk Farm station,Primrose Hill and Belsize Park']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]","['underground', 'overground', 'underground']",Ask agent,£4000,958 years left,Band: C,True
