,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139105454,"£525,000",Added on 25/08/2023,"Beta Place, SW4","Keating Estates are proud to present to market this exquisite one bedroom apartment within a gated Grade II-listed Victorian school conversion with allocated off-street parking, extensive grounds and an on-site gym and sauna, close to both Clapham and Brixton.",Flat,1,1,600 sq. ft.(56 sq. m.),Share of Freehold,"['One double bedroom with walk-in wardrobe', 'Grade II-listed Victorian school conversion', 'Generous loft space for storage', 'Allocated off-street parking', '1.5 acre expanse of communal grounds', 'Gym and sauna on-site', 'Sought-after gated community', 'A ten-minute stroll to both Clapham and Brixton centres', 'Northern and Victoria Lines', 'Share of freehold']","[['Brixton Underground ', '0.2 miles'], ['Brixton ', '0.3 miles'], ['Clapham North ', '0.5 miles']]","['underground', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
1,138775505,"£550,000",Added on 17/08/2023,"Lavender Hill, Battersea, London, SW11","An exceptional and well-proportioned two-bedroom two-bathroom first floor apartment, positioned along this trendy address between Battersea and Clapham. NO CHAIN. ",Apartment,2,2,,Leasehold,"['Spacious apartment (813 sqft)', 'Central location', 'Bright and airy rooms', 'Quality interior']","[['Wandsworth Road ', '0.6 miles'], ['Queenstown Road (Battersea) ', '0.6 miles'], ['Clapham Common ', '0.7 miles']]","['nationalrail', 'nationalrail', 'underground']",£300 per year,£1414.78,115 years left,Band: D,False
2,129020600,"£550,000",Reduced on 03/07/2023,"Gowrie Road, Battersea",A two bedroom split level apartment ideally located moments from the open space of Clapham Common and within easy reach of Clapham Junction Station.,Flat,2,2,,Leasehold,"['Victorian conversion', 'First and second floors', 'Two double bedrooms', 'Two bathrooms', 'Moments to Clapham Common', 'Sold with no chain', 'Approx. 941 sq. ft. ', 'EPC rating D']","[['Clapham Junction ', '0.6 miles'], ['Clapham Common ', '0.7 miles'], ['Wandsworth Road ', '0.8 miles']]","['nationalrail', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
3,138419624,"£550,000",Added on 08/08/2023,"Queenstown Road, Battersea","A well presented first floor, two double bedroom, apartment with period features throughout. It has a separate modern kitchen, large family bathroom, separate shower room and a private roof terrace.",Flat,,2,,Share of Freehold,"['Two Double Bedrooms', 'Share Of Freehold', 'Private Balcony', 'First Floor', 'Spacious Accommodation', 'Period Features']","[['Queenstown Road (Battersea) ', '0.3 miles'], ['Wandsworth Road ', '0.4 miles'], ['Battersea Park ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
4,133388672,"£550,000",Reduced on 12/05/2023,"Francis Apartments, Gideon Road, Battersea, SW11","A superb two double bedroom, two bathroom apartment benefitting from contemporary fittings throughout and private balcony and secured underground parking. Offered to the market with no onward chain.",Flat,2,2,,Leasehold,"['Modern apartment', 'Underground parking space', 'Two bedrooms', 'Open plan kitchen/reception', 'South west facing balcony', 'Bathroom and en-suite', 'Within a short walk of Clapham Junction mainline station and Clapham Common underground station', 'Surrounded by a range of local amenities']","[['Clapham Junction ', '0.7 miles'], ['Queenstown Road (Battersea) ', '0.7 miles'], ['Wandsworth Road ', '0.7 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",£0 per year,£0,Ask agent,Band: E,False
5,137822909,"£550,000",Reduced on 13/09/2023,"Worsopp Drive, Clapham Common South Side, London, SW4","An immaculate and newly refurbished 3 bedroom split level flat, a luxury and spacious kitchen, big separate reception room, 2 modern bathrooms and balcony.",Flat,,3,900 sq. ft.(84 sq. m.),Leasehold,"['Immaculate 3 bedroom split level flat', 'Newly refurbished / High end finish', 'Luxury kitchen with marble work tops', 'Wood floors and high end woodwork', 'Big separate reception room', '2 modern bathrooms', 'Small balcony.']","[['Clapham Common ', '0.3 miles'], ['Clapham South ', '0.6 miles'], ['Clapham High Street ', '0.6 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
6,138965111,"£550,000",Added on 22/08/2023,"Ferndale Road, London, SW4","A charming two bedroom, two bathroom flat occupying the top two floors of a handsome Victorian building in SW4. Share of Freehold. ",Apartment,2,2,,Share of Freehold,"['Two bedrooms & two bathrooms', 'Split level accommodation of 800 Sq Ft', 'Share of Freehold', 'Excellent transport links']","[['Clapham North ', '0.2 miles'], ['Clapham High Street ', '0.4 miles'], ['Brixton Underground ', '0.4 miles']]","['underground', 'nationalrail', 'underground']",£0 per year,£0,Ask agent,Band: B,True
7,135943847,"£550,000",Added on 09/06/2023,"Brayburne Avenue, Clapham","A terrific and spacious two bedroom flat, measuring in at 64.8 Square Metres (697 Sq Ft) which enjoys walkable access to public transport and Clapham Old Town.",Flat,1,2,,Ask agent,"['Period Conversion', 'Two Double Bedrooms', 'Large Reception Room', 'Close to Transport', 'Chain Free', 'Quiet Location']","[['Wandsworth Road ', '0.0 miles'], ['Clapham High Street ', '0.4 miles'], ['Queenstown Road (Battersea) ', '0.5 miles']]","['nationalrail', 'nationalrail', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,132245813,"£550,000",Added on 04/03/2023,"Lavender Hill, Battersea",A bright and spacious two bedroom split level flat with private roof terrace situated on the popular Lavender Hill. Within walking distance of Clapham Junction.,Flat,2,2,,Leasehold,"['Private roof terrace', 'Open plan reception', 'Two double bedrooms', 'Set over two floors', 'Popular location', 'Close to Clapham Junction', 'Approx. 768 sq. ft. ', 'EPC rating D']","[['Wandsworth Road ', '0.6 miles'], ['Queenstown Road (Battersea) ', '0.6 miles'], ['Clapham Common ', '0.7 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,True
9,137295056,"£550,000",Added on 13/07/2023,"Ballater Road, Brixton","A two double bedroom flat arranged across the ground and first floor of a handsome Victorian house. Offering open plan kitchen dining, separate reception, and a private garden to the rear.
",Flat,1,2,,Share of Freehold,"['Two double bedrooms', 'Victorian conversion', 'Split level', 'Chain free', 'Separate reception room', 'Private garden', 'Close to Clapham tube', 'Close to Brixton tube']","[['Clapham North ', '0.4 miles'], ['Brixton Underground ', '0.4 miles'], ['Brixton ', '0.5 miles']]","['underground', 'underground', 'nationalrail']",Ask agent,Ask agent,Ask agent,Ask agent,True
