,id,price,price_change_date,price_change_value
0,136924466,"£475,000",[],[]
1,133941209,"£550,000",[],[]
2,139502753,"£550,000",[],[]
3,134756045,"£550,000",[],[]
4,135650507,"£550,000",[],[]
5,136984064,"£550,000",[],[]
6,138180983,"£550,000",[],[]
7,139443791,"£550,000",[],[]
8,138360038,"£550,000",[],[]
9,134517302,"£550,000",[],[]
10,139596689,"£550,000",[],[]
11,134630996,"£550,000",[],[]
12,137312870,"£550,000",[],[]
13,138190505,"£550,000",[],[]
14,140022269,"£550,000",[],[]
15,133272248,"£550,000",[],[]
16,138800537,"£550,000",[],[]
17,137620529,"£550,000",[],[]
18,139524869,"£550,000",[],[]
19,139148585,"£545,000",[],[]
20,136495961,"£535,000",[],[]
21,134968082,"£535,000",[],[]
22,138852377,"£525,000",[],[]
23,138575102,"£525,000",[],[]
24,132932282,"£525,000",[],[]
25,138369752,"£525,000",['18/08/2023'],"['Initial entry found: £525,000']"
26,133270796,"£525,000",['04/04/2023'],"['Initial entry found: £525,000']"
27,137654099,"£525,000",['20/07/2023'],"['Initial entry found: £525,000']"
28,137654105,"£525,000",['11/08/2023'],"['Initial entry found: £525,000']"
29,137654117,"£525,000",['24/07/2023'],"['Initial entry found: £525,000']"
30,135318488,"£515,000",['26/05/2023'],"['Initial entry found: £515,000']"
31,139963886,"£500,000",['14/09/2023'],"['Initial entry found: £500,000']"
32,118668596,"£500,000","['25/09/2022', '13/01/2022']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
33,139835981,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
34,137654078,"£500,000",['25/07/2023'],"['Initial entry found: £500,000']"
35,138336464,"£500,000",['05/08/2023'],"['Initial entry found: £500,000']"
36,138497405,"£500,000","['19/09/2023', '10/08/2023']","['Price changed from £515,000 to £500,000', 'Initial entry found: £515,000']"
37,133430093,"£500,000",['08/04/2023'],"['Initial entry found: £500,000']"
38,135781259,"£500,000",['06/06/2023'],"['Initial entry found: £500,000']"
39,135768461,"£500,000","['10/08/2023', '18/07/2023', '06/06/2023']","['Price changed from £515,000 to £500,000', 'Price changed from £529,950 to £515,000', 'Initial entry found: £529,950']"
40,138922526,"£500,000",['21/08/2023'],"['Initial entry found: £500,000']"
41,140329391,"£500,000",['22/09/2023'],"['Initial entry found: £500,000']"
42,137525855,"£500,000","['21/08/2023', '18/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
43,137654090,"£500,000",['18/08/2023'],"['Initial entry found: £500,000']"
44,137654096,"£500,000",['20/07/2023'],"['Initial entry found: £500,000']"
45,134646038,"£500,000",['10/05/2023'],"['Initial entry found: £500,000']"
46,134614412,"£500,000",['10/05/2023'],"['Initial entry found: £500,000']"
47,137754116,"£500,000",['22/07/2023'],"['Initial entry found: £500,000']"
48,137638751,"£499,950",['20/07/2023'],"['Initial entry found: £499,950']"
49,139732469,"£489,995",['09/09/2023'],"['Initial entry found: £489,995']"
50,138415166,"£485,000","['22/09/2023', '08/08/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
51,136004531,"£485,000",['21/06/2023'],"['Initial entry found: £485,000']"
52,131683121,"£480,000","['02/08/2023', '11/05/2023', '19/04/2023', '24/03/2023', '14/02/2023']","['Price changed from £500,000 to £480,000', 'Price changed from £525,000 to £500,000', 'Price changed from £530,000 to £525,000', 'Price changed from £550,000 to £530,000', 'Initial entry found: £550,000']"
53,130695407,"£480,000",['16/01/2023'],"['Initial entry found: £480,000']"
54,139248005,"£475,000",['31/08/2023'],"['Initial entry found: £475,000']"
55,139001078,"£475,000",['23/08/2023'],"['Initial entry found: £475,000']"
56,132078422,"£475,000",['28/02/2023'],"['Initial entry found: £475,000']"
57,134991353,"£475,000",['22/05/2023'],"['Initial entry found: £475,000']"
58,138260201,"£475,000",['03/08/2023'],"['Initial entry found: £475,000']"
59,136924466,"£475,000","['09/08/2023', '04/07/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
60,135969005,"£475,000","['26/07/2023', '10/06/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
61,137654054,"£475,000",['20/07/2023'],"['Initial entry found: £475,000']"
62,134329442,"£475,000",['02/05/2023'],"['Initial entry found: £475,000']"
63,131726906,"£475,000","['27/06/2023', '13/03/2023', '15/02/2023']","['Price changed from £500,000 to £475,000', 'Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
64,139500947,"£475,000",['05/09/2023'],"['Initial entry found: £475,000']"
