,id,price,price_change_date,price_change_value
0,139946393,"£500,000","['14/09/2023', '14/09/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
1,138603323,"£500,000","['14/08/2023', '14/08/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
2,85785396,"£500,000","['29/03/2023', '12/07/2022', '29/03/2023', '12/07/2022']","['Price changed from £450,000 to £500,000', 'Initial entry found: £450,000', 'Price changed from £450,000 to £500,000', 'Initial entry found: £450,000']"
3,138296792,"£500,000","['04/08/2023', '04/08/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
4,135699836,"£500,000","['03/07/2023', '05/06/2023', '03/07/2023', '05/06/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000', 'Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
5,127855901,"£500,000","['07/02/2023', '20/01/2023', '07/10/2022', '07/02/2023', '20/01/2023', '07/10/2022']","['Price changed from £525,000 to £500,000', 'Price changed from £535,000 to £525,000', 'Initial entry found: £535,000', 'Price changed from £525,000 to £500,000', 'Price changed from £535,000 to £525,000', 'Initial entry found: £535,000']"
6,135061694,"£499,950","['20/05/2023', '20/05/2023']","['Initial entry found: £499,950', 'Initial entry found: £499,950']"
7,138222011,"£499,950","['03/08/2023', '03/08/2023']","['Initial entry found: £499,950', 'Initial entry found: £499,950']"
8,135749798,"£499,950","['10/07/2023', '06/06/2023', '10/07/2023', '06/06/2023']","['Price changed from £540,000 to £499,950', 'Initial entry found: £540,000', 'Price changed from £540,000 to £499,950', 'Initial entry found: £540,000']"
9,136593089,"£495,000","['09/09/2023', '26/06/2023', '09/09/2023', '26/06/2023']","['Price changed from £525,000 to £495,000', 'Initial entry found: £525,000', 'Price changed from £525,000 to £495,000', 'Initial entry found: £525,000']"
10,132332852,"£485,000","['07/03/2023', '07/03/2023']","['Initial entry found: £485,000', 'Initial entry found: £485,000']"
11,136692854,"£485,000","['18/09/2023', '28/06/2023', '18/09/2023', '28/06/2023']","['Price changed from £499,999 to £485,000', 'Initial entry found: £499,999', 'Price changed from £499,999 to £485,000', 'Initial entry found: £499,999']"
12,138137576,"£475,000","['16/08/2023', '01/08/2023', '16/08/2023', '01/08/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000', 'Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
13,138997922,"£475,000","['24/08/2023', '24/08/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
14,137645693,"£475,000","['20/07/2023', '20/07/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
15,139776875,"£475,000","['13/09/2023', '13/09/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
16,138303785,"£475,000","['04/08/2023', '04/08/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
17,129991319,"£475,000","['26/01/2023', '14/12/2022', '26/01/2023', '14/12/2022']","['Price changed from £499,000 to £475,000', 'Initial entry found: £499,000', 'Price changed from £499,000 to £475,000', 'Initial entry found: £499,000']"
18,131741078,"£475,000","['16/02/2023', '16/02/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
19,115722530,"£475,000","['02/11/2021', '02/11/2021']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
20,136939904,"£475,000","['04/07/2023', '04/07/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
21,125662502,"£475,000","['27/09/2022', '03/08/2022', '27/09/2022', '03/08/2022']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000', 'Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
22,137971526,"£459,950","['04/09/2023', '03/08/2023', '27/07/2023', '04/09/2023', '03/08/2023', '27/07/2023']","['Price changed from £500,000 to £459,950', 'Price changed from £550,000 to £500,000', 'Initial entry found: £550,000', 'Price changed from £500,000 to £459,950', 'Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
23,135734588,"£450,000","['06/06/2023', '06/06/2023']","['Initial entry found: £450,000', 'Initial entry found: £450,000']"
24,134168645,"£450,000","['27/04/2023', '27/04/2023']","['Initial entry found: £450,000', 'Initial entry found: £450,000']"
25,86056221,"£450,000","['22/05/2023', '20/03/2023', '23/02/2023']","['Price changed from £475,000 to £450,000', 'Price changed from £495,000 to £475,000', 'Initial entry found: £495,000']"
26,134907950,"£450,000",['17/05/2023'],"['Initial entry found: £450,000']"
27,133590824,"£450,000","['16/05/2023', '13/04/2023']","['Price changed from £475,000 to £450,000', 'Initial entry found: £475,000']"
28,136999919,"£450,000",['04/08/2023'],"['Initial entry found: £450,000']"
29,133568120,"£450,000",['13/04/2023'],"['Initial entry found: £450,000']"
30,134960333,"£450,000","['09/06/2023', '18/05/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
31,137962844,"£450,000",['27/07/2023'],"['Initial entry found: £450,000']"
32,132242660,"£449,000","['17/05/2023', '01/04/2023', '04/03/2023']","['Price changed from £455,000 to £449,000', 'Price changed from £475,000 to £455,000', 'Initial entry found: £475,000']"
33,133493819,"£435,000",['11/04/2023'],"['Initial entry found: £435,000']"
34,131130560,"£425,000",['27/01/2023'],"['Initial entry found: £425,000']"
35,137173733,"£425,000",['10/07/2023'],"['Initial entry found: £425,000']"
36,140086469,"£425,000",['18/09/2023'],"['Initial entry found: £425,000']"
37,139506452,"£425,000",['05/09/2023'],"['Initial entry found: £425,000']"
38,135344270,"£425,000","['21/07/2023', '30/06/2023', '26/05/2023']","['Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
39,138105521,"£425,000","['18/09/2023', '31/07/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
40,130021460,"£425,000","['17/08/2023', '15/12/2022']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
41,137228114,"£425,000","['01/09/2023', '12/07/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
42,131936549,"£425,000",['23/02/2023'],"['Initial entry found: £425,000']"
43,132438293,"£425,000","['25/05/2023', '10/03/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
44,136008125,"£425,000",['12/06/2023'],"['Initial entry found: £425,000']"
