,id,price,price_change_date,price_change_value
0,138233645,"£425,000","['19/09/2023', '03/08/2023', '19/09/2023', '03/08/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000', 'Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
1,140140589,"£550,000","['19/09/2023', '19/09/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']"
2,139267430,"£550,000","['30/08/2023', '30/08/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']"
3,140031359,"£550,000","['20/09/2023', '20/09/2023']","['Initial entry found: £550,000', 'Initial entry found: £550,000']"
4,136334633,"£540,000","['25/06/2023', '25/06/2023']","['Initial entry found: £540,000', 'Initial entry found: £540,000']"
5,137928029,"£540,000","['27/07/2023', '27/07/2023']","['Initial entry found: £540,000', 'Initial entry found: £540,000']"
6,131348984,"£540,000","['01/06/2023', '17/04/2023', '10/03/2023', '02/02/2023', '01/06/2023', '17/04/2023', '10/03/2023', '02/02/2023']","['Price changed from £560,000 to £540,000', 'Price changed from £580,000 to £560,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000', 'Price changed from £560,000 to £540,000', 'Price changed from £580,000 to £560,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000']"
7,136200896,"£525,000","['16/06/2023', '16/06/2023']","['Initial entry found: £525,000', 'Initial entry found: £525,000']"
8,131935964,"£525,000","['23/02/2023', '23/02/2023']","['Initial entry found: £525,000', 'Initial entry found: £525,000']"
9,135342491,"£525,000","['26/05/2023', '26/05/2023']","['Initial entry found: £525,000', 'Initial entry found: £525,000']"
10,137841074,"£500,000","['25/07/2023', '25/07/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
11,136665758,"£500,000","['28/06/2023', '28/06/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
12,135856535,"£500,000","['08/06/2023', '08/06/2023']","['Initial entry found: £500,000', 'Initial entry found: £500,000']"
13,139841882,"£499,000","['12/09/2023', '12/09/2023']","['Initial entry found: £499,000', 'Initial entry found: £499,000']"
14,131949080,"£480,000","['23/02/2023', '23/02/2023']","['Initial entry found: £480,000', 'Initial entry found: £480,000']"
15,132078422,"£475,000","['28/02/2023', '28/02/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
16,139258481,"£475,000","['30/08/2023', '30/08/2023']","['Initial entry found: £475,000', 'Initial entry found: £475,000']"
17,133957493,"£450,000","['05/05/2023', '21/04/2023', '05/05/2023', '21/04/2023']","['Price changed from £470,000 to £450,000', 'Initial entry found: £470,000', 'Price changed from £470,000 to £450,000', 'Initial entry found: £470,000']"
18,139258973,"£450,000","['30/08/2023', '30/08/2023']","['Initial entry found: £450,000', 'Initial entry found: £450,000']"
19,137166737,"£440,000","['26/07/2023', '10/07/2023', '26/07/2023', '10/07/2023']","['Price changed from £460,000 to £440,000', 'Initial entry found: £460,000', 'Price changed from £460,000 to £440,000', 'Initial entry found: £460,000']"
20,135436772,"£435,000","['28/06/2023', '30/05/2023', '28/06/2023', '30/05/2023']","['Price changed from £445,000 to £435,000', 'Initial entry found: £445,000', 'Price changed from £445,000 to £435,000', 'Initial entry found: £445,000']"
21,139243757,"£425,000","['04/09/2023', '04/09/2023']","['Initial entry found: £425,000', 'Initial entry found: £425,000']"
22,139844948,"£425,000","['12/09/2023', '12/09/2023']","['Initial entry found: £425,000', 'Initial entry found: £425,000']"
23,138233645,"£425,000","['19/09/2023', '03/08/2023', '19/09/2023', '03/08/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000', 'Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
24,138427538,"£420,000","['13/08/2023', '13/08/2023']","['Initial entry found: £420,000', 'Initial entry found: £420,000']"
25,136124126,"£415,000",['16/06/2023'],"['Initial entry found: £415,000']"
26,138921488,"£400,000",['21/08/2023'],"['Initial entry found: £400,000']"
27,86237319,"£400,000",['05/07/2023'],"['Initial entry found: £400,000']"
28,125924594,"£365,000","['07/12/2022', '10/08/2022']","['Price changed from £375,000 to £365,000', 'Initial entry found: £375,000']"
29,139476818,"£350,000",['05/09/2023'],"['Initial entry found: £350,000']"
30,139371212,"£350,000","['19/09/2023', '01/09/2023']","['Price changed from £390,000 to £350,000', 'Initial entry found: £390,000']"
31,128817890,"£350,000","['11/05/2023', '07/11/2022']","['Price changed from £360,000 to £350,000', 'Initial entry found: £360,000']"
32,134556995,"£350,000",['08/05/2023'],"['Initial entry found: £350,000']"
