,id,price,price_change_date,price_change_value
0,139071068,"£535,000",['26/08/2023'],"['Initial entry found: £535,000']"
1,85753578,"£550,000","['07/11/2022', '11/07/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
2,133295279,"£550,000",['05/04/2023'],"['Initial entry found: £550,000']"
3,127014968,"£550,000","['26/10/2022', '13/09/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
4,140031359,"£550,000",['20/09/2023'],"['Initial entry found: £550,000']"
5,137316347,"£550,000","['09/08/2023', '13/07/2023']","['Price changed from £565,000 to £550,000', 'Initial entry found: £565,000']"
6,140140589,"£550,000",['19/09/2023'],"['Initial entry found: £550,000']"
7,134182640,"£549,950","['11/08/2023', '30/05/2023', '27/04/2023']","['Price changed from £575,000 to £549,950', 'Price changed from £625,000 to £575,000', 'Initial entry found: £625,000']"
8,129445184,"£549,950","['23/02/2023', '20/02/2023', '03/02/2023', '06/12/2022', '24/11/2022']","['Price changed from £569,950 to £549,950', 'Price changed from £574,950 to £569,950', 'Price changed from £599,950 to £574,950', 'Price changed from £625,000 to £599,950', 'Initial entry found: £625,000']"
9,133845446,"£545,000","['05/06/2023', '20/04/2023']","['Price changed from £575,000 to £545,000', 'Initial entry found: £575,000']"
10,136334633,"£540,000",['25/06/2023'],"['Initial entry found: £540,000']"
11,131348984,"£540,000","['01/06/2023', '17/04/2023', '10/03/2023', '02/02/2023']","['Price changed from £560,000 to £540,000', 'Price changed from £580,000 to £560,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000']"
12,137723027,"£535,000",['21/07/2023'],"['Initial entry found: £535,000']"
13,130408808,"£535,000","['22/04/2023', '05/01/2023']","['Price changed from £560,000 to £535,000', 'Initial entry found: £560,000']"
14,139071068,"£535,000",['26/08/2023'],"['Initial entry found: £535,000']"
15,137666660,"£530,000","['27/07/2023', '22/07/2023']","['Price changed from £565,000 to £530,000', 'Initial entry found: £565,000']"
16,138259586,"£525,000","['19/09/2023', '03/08/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
17,134868767,"£525,000",['16/05/2023'],"['Initial entry found: £525,000']"
18,136213535,"£525,000","['23/08/2023', '17/06/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
19,139921565,"£525,000",['13/09/2023'],"['Initial entry found: £525,000']"
20,139790363,"£525,000",['11/09/2023'],"['Initial entry found: £525,000']"
21,133703147,"£519,950","['12/07/2023', '17/04/2023']","['Price changed from £549,950 to £519,950', 'Initial entry found: £549,950']"
22,138244640,"£500,000","['20/09/2023', '03/08/2023']","['Price changed from £530,000 to £500,000', 'Initial entry found: £530,000']"
23,140273951,"£500,000",['21/09/2023'],"['Initial entry found: £500,000']"
24,136665758,"£500,000",['28/06/2023'],"['Initial entry found: £500,000']"
25,140273951,"£500,000",['21/09/2023'],"['Initial entry found: £500,000']"
26,138392057,"£500,000",['07/08/2023'],"['Initial entry found: £500,000']"
27,137841074,"£500,000",['25/07/2023'],"['Initial entry found: £500,000']"
28,139866503,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
29,136110266,"£500,000","['20/07/2023', '15/06/2023']","['Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
30,129711578,"£500,000","['21/06/2023', '29/03/2023', '05/12/2022']","['Price changed from £575,000 to £500,000', 'Price changed from £650,000 to £575,000', 'Initial entry found: £650,000']"
31,139881701,"£500,000",['13/09/2023'],"['Initial entry found: £500,000']"
32,136310681,"£499,950",['26/06/2023'],"['Initial entry found: £499,950']"
33,139073045,"£499,000","['30/08/2023', '24/08/2023']","['Price changed from £525,000 to £499,000', 'Initial entry found: £525,000']"
34,134900750,"£495,000",['17/05/2023'],"['Initial entry found: £495,000']"
35,138202472,"£489,950","['21/09/2023', '30/08/2023', '08/08/2023', '02/08/2023']","['Price changed from £525,000 to £489,950', 'Price changed from £599,950 to £525,000', 'Price changed from £649,950 to £599,950', 'Initial entry found: £649,950']"
36,137903642,"£480,000","['28/07/2023', '26/07/2023']","['Price changed from £479,980 to £480,000', 'Initial entry found: £479,980']"
37,139258958,"£475,000",['31/08/2023'],"['Initial entry found: £475,000']"
38,139258481,"£475,000",['30/08/2023'],"['Initial entry found: £475,000']"
39,132140342,"£475,000","['04/07/2023', '29/03/2023', '01/03/2023']","['Price changed from £500,000 to £475,000', 'Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
40,134191667,"£475,000","['03/07/2023', '31/05/2023', '27/04/2023']","['Price changed from £515,000 to £475,000', 'Price changed from £549,950 to £515,000', 'Initial entry found: £549,950']"
41,137438660,"£475,000",['16/07/2023'],"['Initial entry found: £475,000']"
42,139258973,"£450,000",['30/08/2023'],"['Initial entry found: £450,000']"
43,134973692,"£450,000",['18/05/2023'],"['Initial entry found: £450,000']"
44,138210650,"£450,000",['02/08/2023'],"['Initial entry found: £450,000']"
45,135336782,"£450,000","['21/06/2023', '26/05/2023']","['Price changed from £495,000 to £450,000', 'Initial entry found: £495,000']"
46,139307198,"£450,000",['31/08/2023'],"['Initial entry found: £450,000']"
47,139206776,"£450,000",['29/08/2023'],"['Initial entry found: £450,000']"
48,125368205,"£435,000","['10/02/2023', '12/09/2022', '26/07/2022']","['Price changed from £460,000 to £435,000', 'Price changed from £490,000 to £460,000', 'Initial entry found: £490,000']"
49,118825376,"£429,000","['19/01/2023', '17/01/2022']","['Price changed from £435,000 to £429,000', 'Initial entry found: £435,000']"
50,140273951,"£500,000",['21/09/2023'],"['Initial entry found: £500,000']"
51,46204665,"£429,000","['19/01/2023', '26/03/2021', '14/07/2020', '03/12/2018', '08/10/2018', '04/04/2018']","['Price changed from £435,000 to £429,000', 'Price changed from £440,000 to £435,000', 'Price changed from £443,000 to £440,000', 'Price changed from £445,000 to £443,000', 'Price changed from £475,000 to £445,000', 'Initial entry found: £475,000']"
52,126103862,"£425,000",['17/08/2022'],"['Initial entry found: £425,000']"
53,125542247,"£425,000","['29/08/2023', '15/11/2022', '30/07/2022']","['Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
54,138233183,"£420,000",['03/08/2023'],"['Initial entry found: £420,000']"
55,136124126,"£415,000",['16/06/2023'],"['Initial entry found: £415,000']"
56,136345961,"£400,000",['21/06/2023'],"['Initial entry found: £400,000']"
57,138921488,"£400,000",['21/08/2023'],"['Initial entry found: £400,000']"
58,137678201,"£400,000","['19/09/2023', '07/09/2023', '24/07/2023']","['Price changed from £425,000 to £400,000', 'Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
59,137678177,"£400,000",['21/07/2023'],"['Initial entry found: £400,000']"
60,131200046,"£395,000","['05/09/2023', '30/01/2023']","['Price changed from £400,000 to £395,000', 'Initial entry found: £400,000']"
61,139258604,"£380,000",['31/08/2023'],"['Initial entry found: £380,000']"
62,139258592,"£375,000",['31/08/2023'],"['Initial entry found: £375,000']"
63,128478716,"£360,000","['07/07/2023', '17/11/2022', '27/10/2022']","['Price changed from £350,000 to £360,000', 'Price changed from £375,000 to £350,000', 'Initial entry found: £375,000']"
