,id,price,price_change_date,price_change_value
0,132925262,"£515,000","['12/04/2023', '12/04/2023', '24/03/2023']","['Price changed from £514,000 to £515,000', 'Price changed from £525,000 to £514,000', 'Initial entry found: £525,000']"
1,86140305,"£550,000","['31/08/2023', '12/06/2023', '17/05/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £650,000 to £600,000', 'Initial entry found: £650,000']"
2,137570651,"£550,000",['19/07/2023'],"['Initial entry found: £550,000']"
3,132912932,"£550,000","['28/03/2023', '26/03/2023']","['Price changed from £585,000 to £550,000', 'Initial entry found: £585,000']"
4,140277503,"£550,000",['21/09/2023'],"['Initial entry found: £550,000']"
5,133279790,"£550,000","['25/07/2023', '04/04/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
6,137295056,"£550,000",['13/07/2023'],"['Initial entry found: £550,000']"
7,138478937,"£550,000",['09/08/2023'],"['Initial entry found: £550,000']"
8,139601321,"£550,000",['11/09/2023'],"['Initial entry found: £550,000']"
9,121450130,"£550,000",['23/03/2022'],"['Initial entry found: £550,000']"
10,138586655,"£550,000",['12/08/2023'],"['Initial entry found: £550,000']"
11,136813094,"£550,000",['30/06/2023'],"['Initial entry found: £550,000']"
12,132373559,"£550,000","['03/07/2023', '25/04/2023', '08/03/2023']","['Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']"
13,132198446,"£550,000",['03/03/2023'],"['Initial entry found: £550,000']"
14,137822909,"£550,000","['13/09/2023', '24/07/2023']","['Price changed from £585,000 to £550,000', 'Initial entry found: £585,000']"
15,137144372,"£550,000",['10/07/2023'],"['Initial entry found: £550,000']"
16,133724426,"£550,000","['03/05/2023', '17/04/2023']","['Price changed from £565,000 to £550,000', 'Initial entry found: £565,000']"
17,136785353,"£550,000",['30/06/2023'],"['Initial entry found: £550,000']"
18,134794484,"£550,000",['15/05/2023'],"['Initial entry found: £550,000']"
19,128412863,"£550,000","['03/02/2023', '03/02/2023', '02/02/2023', '02/02/2023', '01/02/2023', '01/02/2023', '01/02/2023', '25/01/2023', '26/10/2022']","['Price changed from £575,000 to £550,000', 'Price changed from £550,000 to £575,000', 'Price changed from £575,000 to £550,000', 'Price changed from £550,000 to £575,000', 'Price changed from £575,000 to £550,000', 'Price changed from £550,000 to £575,000', 'Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']"
20,135718187,"£550,000","['05/06/2023', '05/06/2023']","['Price changed from £500,000 to £550,000', 'Initial entry found: £500,000']"
21,115018610,"£549,950","['16/03/2022', '27/01/2022', '20/10/2021']","['Price changed from £550,000 to £549,950', 'Price changed from £580,000 to £550,000', 'Initial entry found: £580,000']"
22,139866998,"£549,950",['13/09/2023'],"['Initial entry found: £549,950']"
23,131443100,"£549,000","['19/06/2023', '06/02/2023']","['Price changed from £600,000 to £549,000', 'Initial entry found: £600,000']"
24,128762756,"£535,000","['01/03/2023', '03/01/2023', '04/11/2022']","['Price changed from £550,000 to £535,000', 'Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
25,132925262,"£515,000",[],[]
26,139822046,"£535,000",[],[]
27,132610874,"£535,000",[],[]
28,136375223,"£530,000",[],[]
29,140054078,"£525,000",[],[]
30,129216968,"£525,000",[],[]
31,125568302,"£525,000",[],[]
32,138127010,"£525,000",[],[]
33,136441388,"£525,000",[],[]
34,138767804,"£525,000",[],[]
35,135504827,"£525,000",[],[]
36,139105454,"£525,000",[],[]
37,136720115,"£525,000",[],[]
38,140232506,"£525,000",[],[]
39,138464444,"£525,000",[],[]
40,137486618,"£525,000",[],[]
41,132912887,"£525,000",[],[]
42,138101507,"£525,000",[],[]
43,139410098,"£525,000",[],[]
44,131852270,"£515,000",[],[]
45,132925262,"£515,000",[],[]
46,137867423,"£500,000",[],[]
47,137921036,"£500,000",[],[]
48,85760718,"£500,000",[],[]
49,129467309,"£500,000",[],[]
50,121535747,"£485,000","['12/09/2023', '26/01/2023', '12/05/2022', '29/03/2022', '29/03/2022']","['Price changed from £500,000 to £485,000', 'Price changed from £485,000 to £500,000', 'Price changed from £500,000 to £485,000', 'Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
51,85323135,"£500,000","['17/11/2022', '17/05/2022']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
52,139961585,"£500,000",['14/09/2023'],"['Initial entry found: £500,000']"
53,137459822,"£500,000",['17/07/2023'],"['Initial entry found: £500,000']"
54,138392036,"£500,000",['07/08/2023'],"['Initial entry found: £500,000']"
55,132402293,"£500,000",['09/03/2023'],"['Initial entry found: £500,000']"
56,128960546,"£500,000",['10/11/2022'],"['Initial entry found: £500,000']"
57,85990287,"£500,000",['08/02/2023'],"['Initial entry found: £500,000']"
58,134336138,"£500,000","['20/06/2023', '22/05/2023', '02/05/2023']","['Price changed from £540,000 to £500,000', 'Price changed from £600,000 to £540,000', 'Initial entry found: £600,000']"
59,135690815,"£500,000",['05/06/2023'],"['Initial entry found: £500,000']"
