,id,price,price_change_date,price_change_value
0,139590377,"£550,000",['06/09/2023'],"['Initial entry found: £550,000']"
1,133941209,"£550,000",['21/04/2023'],"['Initial entry found: £550,000']"
2,139502753,"£550,000",['05/09/2023'],"['Initial entry found: £550,000']"
3,134756045,"£550,000",['12/05/2023'],"['Initial entry found: £550,000']"
4,128567018,"£550,000","['13/04/2023', '31/10/2022']","['Price changed from £560,000 to £550,000', 'Initial entry found: £560,000']"
5,86198826,"£550,000",['13/06/2023'],"['Initial entry found: £550,000']"
6,132251912,"£550,000",['05/03/2023'],"['Initial entry found: £550,000']"
7,132683510,"£550,000",['17/03/2023'],"['Initial entry found: £550,000']"
8,135650507,"£550,000","['14/08/2023', '12/06/2023', '02/06/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £650,000 to £600,000', 'Initial entry found: £650,000']"
9,136984064,"£550,000",['06/07/2023'],"['Initial entry found: £550,000']"
10,138180983,"£550,000",['02/08/2023'],"['Initial entry found: £550,000']"
11,139443791,"£550,000",['04/09/2023'],"['Initial entry found: £550,000']"
12,128111093,"£550,000","['21/06/2023', '17/10/2022']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
13,138360038,"£550,000",['08/08/2023'],"['Initial entry found: £550,000']"
14,134517302,"£550,000","['26/05/2023', '05/05/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
15,140316701,"£550,000",['22/09/2023'],"['Initial entry found: £550,000']"
16,137261027,"£550,000",['12/07/2023'],"['Initial entry found: £550,000']"
17,139596689,"£550,000",['06/09/2023'],"['Initial entry found: £550,000']"
18,138140708,"£550,000","['09/09/2023', '01/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
19,134630996,"£550,000",['10/05/2023'],"['Initial entry found: £550,000']"
20,137693777,"£550,000","['05/09/2023', '31/07/2023', '21/07/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £675,000 to £600,000', 'Initial entry found: £675,000']"
21,137312870,"£550,000",['13/07/2023'],"['Initial entry found: £550,000']"
22,138190505,"£550,000",['02/08/2023'],"['Initial entry found: £550,000']"
23,132383852,"£550,000",['08/03/2023'],"['Initial entry found: £550,000']"
24,131494868,"£550,000",['07/02/2023'],"['Initial entry found: £550,000']"
