,id,price,price_change_date,price_change_value
0,139230782,"£550,000","['30/08/2023', '30/08/2023']","['Price changed from £550 to £550,000', 'Initial entry found: £550']"
1,134337602,"£550,000","['06/07/2023', '01/06/2023', '02/05/2023']","['Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']"
2,139590644,"£550,000",[],[]
3,140406788,"£550,000",['25/09/2023'],"['Initial entry found: £550,000']"
4,134710331,"£550,000","['06/07/2023', '11/05/2023']","['Price changed from £595,000 to £550,000', 'Initial entry found: £595,000']"
5,139230782,"£550,000","['30/08/2023', '30/08/2023']","['Price changed from £550 to £550,000', 'Initial entry found: £550']"
6,139811588,"£550,000",['11/09/2023'],"['Initial entry found: £550,000']"
7,140224595,"£550,000",['20/09/2023'],"['Initial entry found: £550,000']"
8,137663291,"£550,000",[],[]
9,138451334,"£550,000",['09/08/2023'],"['Initial entry found: £550,000']"
10,140140589,"£550,000",['19/09/2023'],"['Initial entry found: £550,000']"
11,135089531,"£550,000",[],[]
12,139267430,"£550,000",['30/08/2023'],"['Initial entry found: £550,000']"
13,139686326,"£550,000",['08/09/2023'],"['Initial entry found: £550,000']"
14,137469581,"£550,000","['29/08/2023', '17/07/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
15,135927671,"£550,000",[],[]
16,132251912,"£550,000",[],[]
17,140031359,"£550,000",[],[]
18,139579535,"£550,000",['06/09/2023'],"['Initial entry found: £550,000']"
19,135795608,"£549,000","['02/08/2023', '07/06/2023']","['Price changed from £569,000 to £549,000', 'Initial entry found: £569,000']"
20,134643245,"£545,000",[],[]
21,136334633,"£540,000",['25/06/2023'],"['Initial entry found: £540,000']"
22,134171393,"£540,000",[],[]
23,137928029,"£540,000",['27/07/2023'],"['Initial entry found: £540,000']"
24,131348984,"£540,000","['01/06/2023', '17/04/2023', '10/03/2023', '02/02/2023']","['Price changed from £560,000 to £540,000', 'Price changed from £580,000 to £560,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000']"
25,140254940,"£375,000",['21/09/2023'],"['Initial entry found: £375,000']"
26,136995071,"£535,000","['14/07/2023', '06/07/2023']","['Price changed from £495,000 to £535,000', 'Initial entry found: £495,000']"
27,133474916,"£525,000",['11/04/2023'],"['Initial entry found: £525,000']"
28,136200896,"£525,000",['16/06/2023'],"['Initial entry found: £525,000']"
29,139032947,"£525,000",['24/08/2023'],"['Initial entry found: £525,000']"
30,138942566,"£525,000",['22/08/2023'],"['Initial entry found: £525,000']"
31,75564666,"£525,000",['24/11/2020'],"['Initial entry found: £525,000']"
32,137454407,"£525,000",['17/07/2023'],"['Initial entry found: £525,000']"
33,135969863,"£525,000","['22/07/2023', '17/07/2023', '17/07/2023', '23/06/2023']","['Price changed from £515,000 to £525,000', 'Price changed from £525,000 to £515,000', 'Price changed from £2,999 pcm to £525,000', 'Initial entry found: £2,999 pcm']"
34,140118392,"£525,000",['18/09/2023'],"['Initial entry found: £525,000']"
35,131935964,"£525,000",['23/02/2023'],"['Initial entry found: £525,000']"
36,135342491,"£525,000",['26/05/2023'],"['Initial entry found: £525,000']"
37,135275609,"£525,000",['25/05/2023'],"['Initial entry found: £525,000']"
38,131338718,"£525,000",['02/02/2023'],"['Initial entry found: £525,000']"
39,136326164,"£525,000",['20/06/2023'],"['Initial entry found: £525,000']"
40,134939309,"£525,000",['18/05/2023'],"['Initial entry found: £525,000']"
41,134458355,"£520,000",['04/05/2023'],"['Initial entry found: £520,000']"
42,132011621,"£515,000",['28/02/2023'],"['Initial entry found: £515,000']"
43,131843657,"£515,000","['05/06/2023', '20/02/2023']","['Price changed from £550,000 to £515,000', 'Initial entry found: £550,000']"
44,139830836,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
45,138290018,"£500,000","['13/09/2023', '04/08/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
46,137841074,"£500,000",['25/07/2023'],"['Initial entry found: £500,000']"
47,133848200,"£500,000",['25/04/2023'],"['Initial entry found: £500,000']"
48,138014363,"£500,000",['28/08/2023'],"['Initial entry found: £500,000']"
49,137663288,"£500,000","['06/09/2023', '21/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
50,139230782,"£550,000","['30/08/2023', '30/08/2023']","['Price changed from £550 to £550,000', 'Initial entry found: £550']"
51,138125693,"£500,000","['12/09/2023', '01/08/2023']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
52,136665758,"£500,000",['28/06/2023'],"['Initial entry found: £500,000']"
53,134615957,"£500,000",['10/05/2023'],"['Initial entry found: £500,000']"
54,135856535,"£500,000",['08/06/2023'],"['Initial entry found: £500,000']"
55,138376082,"£500,000",['07/08/2023'],"['Initial entry found: £500,000']"
56,131195924,"£500,000","['12/07/2023', '18/05/2023', '30/01/2023']","['Price changed from £530,000 to £500,000', 'Price changed from £550,000 to £530,000', 'Initial entry found: £550,000']"
57,134925158,"£500,000","['25/07/2023', '17/05/2023']","['Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
58,133131413,"£500,000","['01/08/2023', '12/05/2023', '31/03/2023']","['Price changed from £550,000 to £500,000', 'Price changed from £595,000 to £550,000', 'Initial entry found: £595,000']"
59,134827379,"£499,950","['12/06/2023', '15/05/2023']","['Price changed from £525,000 to £499,950', 'Initial entry found: £525,000']"
60,134877596,"£499,950",['18/05/2023'],"['Initial entry found: £499,950']"
61,136083146,"£499,950",['14/06/2023'],"['Initial entry found: £499,950']"
62,139841882,"£499,000",['12/09/2023'],"['Initial entry found: £499,000']"
63,137053820,"£495,000","['01/09/2023', '07/08/2023', '07/07/2023']","['Price changed from £525,000 to £495,000', 'Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
64,139974935,"£495,000",['14/09/2023'],"['Initial entry found: £495,000']"
65,135935954,"£495,000","['21/07/2023', '09/06/2023']","['Price changed from £530,000 to £495,000', 'Initial entry found: £530,000']"
66,135854402,"£495,000",['08/06/2023'],"['Initial entry found: £495,000']"
67,137251133,"£490,000",['12/07/2023'],"['Initial entry found: £490,000']"
68,86096199,"£490,000","['12/06/2023', '28/03/2023']","['Price changed from £500,000 to £490,000', 'Initial entry found: £500,000']"
69,128418347,"£490,000","['04/01/2023', '27/10/2022']","['Price changed from £525,000 to £490,000', 'Initial entry found: £525,000']"
70,133845419,"£489,000",['22/05/2023'],"['Initial entry found: £489,000']"
71,138272951,"£485,000",['04/08/2023'],"['Initial entry found: £485,000']"
72,139565267,"£485,000",['06/09/2023'],"['Initial entry found: £485,000']"
73,139705745,"£485,000",['08/09/2023'],"['Initial entry found: £485,000']"
74,138518204,"£485,000","['21/09/2023', '10/08/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
75,140033861,"£475,000",['15/09/2023'],"['Initial entry found: £475,000']"
76,134050475,"£485,000","['13/06/2023', '24/04/2023']","['Price changed from £510,000 to £485,000', 'Initial entry found: £510,000']"
77,134895416,"£485,000",['17/05/2023'],"['Initial entry found: £485,000']"
78,137463590,"£485,000",['17/07/2023'],"['Initial entry found: £485,000']"
79,131949080,"£480,000",['23/02/2023'],"['Initial entry found: £480,000']"
80,126588224,"£479,950","['23/01/2023', '01/09/2022']","['Price changed from £495,000 to £479,950', 'Initial entry found: £495,000']"
81,133646138,"£475,000","['16/05/2023', '04/05/2023', '14/04/2023']","['Price changed from £485,000 to £475,000', 'Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
82,137095748,"£475,000",['08/07/2023'],"['Initial entry found: £475,000']"
83,86036490,"£475,000","['18/03/2023', '16/02/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
84,86001198,"£475,000","['19/03/2023', '08/02/2023']","['Price changed from £490,000 to £475,000', 'Initial entry found: £490,000']"
85,132078422,"£475,000",['28/02/2023'],"['Initial entry found: £475,000']"
86,135587564,"£475,000",['01/06/2023'],"['Initial entry found: £475,000']"
87,140031293,"£475,000",['19/09/2023'],"['Initial entry found: £475,000']"
88,140033861,"£475,000",['15/09/2023'],"['Initial entry found: £475,000']"
89,139448507,"£475,000",['04/09/2023'],"['Initial entry found: £475,000']"
90,86120376,"£475,000",['01/04/2023'],"['Initial entry found: £475,000']"
91,138527486,"£475,000","['19/09/2023', '11/08/2023']","['Price changed from £525,000 to £475,000', 'Initial entry found: £525,000']"
92,139258481,"£475,000",['30/08/2023'],"['Initial entry found: £475,000']"
93,134644478,"£475,000",['10/05/2023'],"['Initial entry found: £475,000']"
94,138090596,"£475,000","['21/08/2023', '31/07/2023']","['Price changed from £525,000 to £475,000', 'Initial entry found: £525,000']"
95,137581637,"£475,000","['20/09/2023', '19/07/2023']","['Price changed from £525,000 to £475,000', 'Initial entry found: £525,000']"
96,138155324,"£475,000","['21/08/2023', '01/08/2023']","['Price changed from £525,000 to £475,000', 'Initial entry found: £525,000']"
97,130791965,"£475,000",['17/01/2023'],"['Initial entry found: £475,000']"
98,128401964,"£470,000","['07/12/2022', '25/10/2022']","['Price changed from £499,950 to £470,000', 'Initial entry found: £499,950']"
99,132577661,"£465,000","['12/05/2023', '16/03/2023']","['Price changed from £475,000 to £465,000', 'Initial entry found: £475,000']"
100,138233645,"£425,000","['19/09/2023', '03/08/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
101,138348761,"£460,000",['06/08/2023'],"['Initial entry found: £460,000']"
102,137554700,"£460,000","['17/08/2023', '18/07/2023']","['Price changed from £500,000 to £460,000', 'Initial entry found: £500,000']"
103,138476783,"£450,000",['09/08/2023'],"['Initial entry found: £450,000']"
104,139448870,"£450,000",['04/09/2023'],"['Initial entry found: £450,000']"
105,135022481,"£450,000","['05/09/2023', '19/05/2023']","['Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
106,140031227,"£450,000",['15/09/2023'],"['Initial entry found: £450,000']"
107,131949092,"£450,000",['23/02/2023'],"['Initial entry found: £450,000']"
108,139845830,"£450,000",['12/09/2023'],"['Initial entry found: £450,000']"
109,133957493,"£450,000","['05/05/2023', '21/04/2023']","['Price changed from £470,000 to £450,000', 'Initial entry found: £470,000']"
110,137199170,"£450,000",['11/07/2023'],"['Initial entry found: £450,000']"
111,136068824,"£450,000",['14/06/2023'],"['Initial entry found: £450,000']"
112,139258973,"£450,000",['30/08/2023'],"['Initial entry found: £450,000']"
113,138090590,"£450,000","['21/08/2023', '31/07/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
114,138369800,"£450,000",['07/08/2023'],"['Initial entry found: £450,000']"
115,138280505,"£450,000",['04/08/2023'],"['Initial entry found: £450,000']"
116,138210521,"£450,000","['31/08/2023', '02/08/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
117,138155423,"£450,000","['21/08/2023', '01/08/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
118,137825033,"£440,000",['24/07/2023'],"['Initial entry found: £440,000']"
119,137166737,"£440,000","['26/07/2023', '10/07/2023']","['Price changed from £460,000 to £440,000', 'Initial entry found: £460,000']"
120,108600479,"£440,000","['26/01/2023', '06/10/2022', '13/12/2021', '19/11/2021', '11/06/2021']","['Price changed from £450,000 to £440,000', 'Price changed from £475,000 to £450,000', 'Price changed from £490,000 to £475,000', 'Price changed from £500,000 to £490,000', 'Initial entry found: £500,000']"
121,135436772,"£435,000","['28/06/2023', '30/05/2023']","['Price changed from £445,000 to £435,000', 'Initial entry found: £445,000']"
122,135153053,"£435,000",['23/05/2023'],"['Initial entry found: £435,000']"
123,131423354,"£435,000","['09/07/2023', '25/06/2023', '19/06/2023', '19/06/2023', '18/06/2023', '17/06/2023', '05/02/2023']","['Price changed from £439,999 to £435,000', 'Price changed from £449,999 to £439,999', 'Price changed from £468,000 to £449,999', 'Price changed from £454,999 to £468,000', 'Price changed from £467,999 to £454,999', 'Price changed from £449,999 to £467,999', 'Initial entry found: £449,999']"
