,id,price,price_change_date,price_change_value
0,138750947,"£475,000","['08/09/2023', '17/08/2023']","['Price changed from £499,000 to £475,000', 'Initial entry found: £499,000']"
1,135878240,"£550,000","['11/07/2023', '08/06/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
2,85753578,"£550,000","['07/11/2022', '11/07/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
3,133125212,"£550,000","['02/06/2023', '31/03/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
4,140406788,"£550,000",['25/09/2023'],"['Initial entry found: £550,000']"
5,140224595,"£550,000",['20/09/2023'],"['Initial entry found: £550,000']"
6,129532700,"£550,000","['09/02/2023', '28/11/2022']","['Price changed from £560,000 to £550,000', 'Initial entry found: £560,000']"
7,138873920,"£550,000",['21/08/2023'],"['Initial entry found: £550,000']"
8,139579535,"£550,000",['06/09/2023'],"['Initial entry found: £550,000']"
9,139811588,"£550,000",['11/09/2023'],"['Initial entry found: £550,000']"
10,134503466,"£550,000","['17/07/2023', '24/06/2023', '03/06/2023', '05/05/2023']","['Price changed from £595,000 to £550,000', 'Price changed from £625,000 to £595,000', 'Price changed from £650,000 to £625,000', 'Initial entry found: £650,000']"
11,133295279,"£550,000",['05/04/2023'],"['Initial entry found: £550,000']"
12,127014968,"£550,000","['26/10/2022', '13/09/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
13,139881581,"£550,000",['13/09/2023'],"['Initial entry found: £550,000']"
14,85399173,"£550,000","['08/11/2022', '27/07/2022', '01/06/2022']","['Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']"
15,86139069,"£550,000",['17/05/2023'],"['Initial entry found: £550,000']"
16,136212950,"£550,000","['29/06/2023', '17/06/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
17,137852846,"£550,000",['25/07/2023'],"['Initial entry found: £550,000']"
18,140031359,"£550,000",['20/09/2023'],"['Initial entry found: £550,000']"
19,139686326,"£550,000",['08/09/2023'],"['Initial entry found: £550,000']"
20,138695642,"£550,000",['16/08/2023'],"['Initial entry found: £550,000']"
21,133719365,"£550,000",['17/04/2023'],"['Initial entry found: £550,000']"
22,139080347,"£550,000",['24/08/2023'],"['Initial entry found: £550,000']"
23,137316347,"£550,000","['09/08/2023', '13/07/2023']","['Price changed from £565,000 to £550,000', 'Initial entry found: £565,000']"
24,140140589,"£550,000",['19/09/2023'],"['Initial entry found: £550,000']"
25,138244640,"£500,000","['20/09/2023', '03/08/2023']","['Price changed from £530,000 to £500,000', 'Initial entry found: £530,000']"
26,137663291,"£550,000",['21/07/2023'],"['Initial entry found: £550,000']"
27,86244888,"£550,000",['05/07/2023'],"['Initial entry found: £550,000']"
28,134182640,"£549,950","['11/08/2023', '30/05/2023', '27/04/2023']","['Price changed from £575,000 to £549,950', 'Price changed from £625,000 to £575,000', 'Initial entry found: £625,000']"
29,136571465,"£549,950",['26/06/2023'],"['Initial entry found: £549,950']"
30,129445184,"£549,950","['23/02/2023', '20/02/2023', '03/02/2023', '06/12/2022', '24/11/2022']","['Price changed from £569,950 to £549,950', 'Price changed from £574,950 to £569,950', 'Price changed from £599,950 to £574,950', 'Price changed from £625,000 to £599,950', 'Initial entry found: £625,000']"
31,135795608,"£549,000","['02/08/2023', '07/06/2023']","['Price changed from £569,000 to £549,000', 'Initial entry found: £569,000']"
32,133845446,"£545,000","['05/06/2023', '20/04/2023']","['Price changed from £575,000 to £545,000', 'Initial entry found: £575,000']"
33,134643245,"£545,000",['10/05/2023'],"['Initial entry found: £545,000']"
34,139887002,"£540,000",['13/09/2023'],"['Initial entry found: £540,000']"
35,136334633,"£540,000",['25/06/2023'],"['Initial entry found: £540,000']"
36,134171393,"£540,000",['12/06/2023'],"['Initial entry found: £540,000']"
37,131348984,"£540,000","['01/06/2023', '17/04/2023', '10/03/2023', '02/02/2023']","['Price changed from £560,000 to £540,000', 'Price changed from £580,000 to £560,000', 'Price changed from £595,000 to £580,000', 'Initial entry found: £595,000']"
38,127572386,"£535,000","['31/05/2023', '29/10/2022', '30/09/2022']","['Price changed from £585,000 to £535,000', 'Price changed from £625,000 to £585,000', 'Initial entry found: £625,000']"
39,130914557,"£535,000","['29/03/2023', '20/01/2023']","['Price changed from £550,000 to £535,000', 'Initial entry found: £550,000']"
40,136995071,"£535,000","['14/07/2023', '06/07/2023']","['Price changed from £495,000 to £535,000', 'Initial entry found: £495,000']"
41,137723027,"£535,000",['21/07/2023'],"['Initial entry found: £535,000']"
42,139276775,"£535,000","['21/09/2023', '30/08/2023']","['Price changed from £575,000 to £535,000', 'Initial entry found: £575,000']"
43,130408808,"£535,000","['22/04/2023', '05/01/2023']","['Price changed from £560,000 to £535,000', 'Initial entry found: £560,000']"
44,139071068,"£535,000",['26/08/2023'],"['Initial entry found: £535,000']"
45,138244646,"£530,000","['14/08/2023', '03/08/2023']","['Price changed from £575,000 to £530,000', 'Initial entry found: £575,000']"
46,137666660,"£530,000","['27/07/2023', '22/07/2023']","['Price changed from £565,000 to £530,000', 'Initial entry found: £565,000']"
47,140137748,"£525,000",['19/09/2023'],"['Initial entry found: £525,000']"
48,138259586,"£525,000","['19/09/2023', '03/08/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
49,139258952,"£525,000","['08/09/2023', '31/08/2023']","['Price changed from £575,000 to £525,000', 'Initial entry found: £575,000']"
50,140273951,"£500,000",['21/09/2023'],"['Initial entry found: £500,000']"
51,134868767,"£525,000",['16/05/2023'],"['Initial entry found: £525,000']"
52,136213535,"£525,000","['23/08/2023', '17/06/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
53,136409870,"£525,000",['22/06/2023'],"['Initial entry found: £525,000']"
54,137968772,"£525,000",['27/07/2023'],"['Initial entry found: £525,000']"
55,140117453,"£525,000",['18/09/2023'],"['Initial entry found: £525,000']"
56,139921565,"£525,000",['13/09/2023'],"['Initial entry found: £525,000']"
57,138942566,"£525,000",['22/08/2023'],"['Initial entry found: £525,000']"
58,75564666,"£525,000",['24/11/2020'],"['Initial entry found: £525,000']"
59,133735019,"£525,000","['04/07/2023', '16/05/2023', '17/04/2023']","['Price changed from £550,000 to £525,000', 'Price changed from £595,000 to £550,000', 'Initial entry found: £595,000']"
60,137690021,"£525,000","['18/08/2023', '21/07/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
61,140118392,"£525,000",['18/09/2023'],"['Initial entry found: £525,000']"
62,137494442,"£525,000","['14/08/2023', '17/07/2023']","['Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
63,139790363,"£525,000",['11/09/2023'],"['Initial entry found: £525,000']"
64,138705887,"£525,000",['17/08/2023'],"['Initial entry found: £525,000']"
65,137634326,"£525,000",['20/07/2023'],"['Initial entry found: £525,000']"
66,134458355,"£520,000",['04/05/2023'],"['Initial entry found: £520,000']"
67,140031311,"£520,000",['16/09/2023'],"['Initial entry found: £520,000']"
68,133703147,"£519,950","['12/07/2023', '17/04/2023']","['Price changed from £549,950 to £519,950', 'Initial entry found: £549,950']"
69,136712447,"£515,000",['29/06/2023'],"['Initial entry found: £515,000']"
70,134501558,"£510,000","['08/06/2023', '05/05/2023']","['Price changed from £525,000 to £510,000', 'Initial entry found: £525,000']"
71,136183691,"£500,000",['16/06/2023'],"['Initial entry found: £500,000']"
72,138014363,"£500,000",['28/08/2023'],"['Initial entry found: £500,000']"
73,138244640,"£500,000","['20/09/2023', '03/08/2023']","['Price changed from £530,000 to £500,000', 'Initial entry found: £530,000']"
74,131195924,"£500,000","['12/07/2023', '18/05/2023', '30/01/2023']","['Price changed from £530,000 to £500,000', 'Price changed from £550,000 to £530,000', 'Initial entry found: £550,000']"
75,138244640,"£500,000","['20/09/2023', '03/08/2023']","['Price changed from £530,000 to £500,000', 'Initial entry found: £530,000']"
76,140273951,"£500,000",['21/09/2023'],"['Initial entry found: £500,000']"
77,136665758,"£500,000",['28/06/2023'],"['Initial entry found: £500,000']"
78,137911874,"£500,000","['08/09/2023', '26/07/2023']","['Price changed from £515,000 to £500,000', 'Initial entry found: £515,000']"
79,136568123,"£500,000","['22/09/2023', '13/07/2023', '26/06/2023']","['Price changed from £525,000 to £500,000', 'Price changed from £550,000 to £525,000', 'Initial entry found: £550,000']"
80,138392057,"£500,000",['07/08/2023'],"['Initial entry found: £500,000']"
81,138149111,"£500,000",['01/08/2023'],"['Initial entry found: £500,000']"
82,131280914,"£500,000","['26/06/2023', '01/02/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
83,137841074,"£500,000",['25/07/2023'],"['Initial entry found: £500,000']"
84,136645604,"£500,000",['27/06/2023'],"['Initial entry found: £500,000']"
85,135231053,"£500,000",['24/05/2023'],"['Initial entry found: £500,000']"
86,139866503,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
87,136110266,"£500,000","['20/07/2023', '15/06/2023']","['Price changed from £550,000 to £500,000', 'Initial entry found: £550,000']"
88,128391476,"£500,000","['22/09/2023', '13/07/2023', '29/03/2023', '25/10/2022']","['Price changed from £525,000 to £500,000', 'Price changed from £550,000 to £525,000', 'Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
89,127210499,"£500,000",['20/09/2022'],"['Initial entry found: £500,000']"
90,134023073,"£500,000","['12/09/2023', '24/04/2023']","['Price changed from £600,000 to £500,000', 'Initial entry found: £600,000']"
91,140033879,"£500,000",['15/09/2023'],"['Initial entry found: £500,000']"
92,133955906,"£500,000","['05/07/2023', '21/04/2023']","['Price changed from £535,000 to £500,000', 'Initial entry found: £535,000']"
93,134439242,"£500,000","['20/06/2023', '19/05/2023', '11/05/2023', '05/05/2023']","['Price changed from £550,000 to £500,000', 'Price changed from £500,000 to £550,000', 'Price changed from £480,000 to £500,000', 'Initial entry found: £480,000']"
94,140311298,"£500,000",['22/09/2023'],"['Initial entry found: £500,000']"
95,139830836,"£500,000",['12/09/2023'],"['Initial entry found: £500,000']"
96,137663288,"£500,000","['06/09/2023', '21/07/2023']","['Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
97,129711578,"£500,000","['21/06/2023', '29/03/2023', '05/12/2022']","['Price changed from £575,000 to £500,000', 'Price changed from £650,000 to £575,000', 'Initial entry found: £650,000']"
98,139881701,"£500,000",['13/09/2023'],"['Initial entry found: £500,000']"
99,139258715,"£500,000",['30/08/2023'],"['Initial entry found: £500,000']"
100,138244640,"£500,000","['20/09/2023', '03/08/2023']","['Price changed from £530,000 to £500,000', 'Initial entry found: £530,000']"
101,136310681,"£499,950",['26/06/2023'],"['Initial entry found: £499,950']"
102,134827379,"£499,950","['12/06/2023', '15/05/2023']","['Price changed from £525,000 to £499,950', 'Initial entry found: £525,000']"
103,136083146,"£499,950",['14/06/2023'],"['Initial entry found: £499,950']"
104,134877596,"£499,950",['18/05/2023'],"['Initial entry found: £499,950']"
105,139073045,"£499,000","['30/08/2023', '24/08/2023']","['Price changed from £525,000 to £499,000', 'Initial entry found: £525,000']"
106,135935954,"£495,000","['21/07/2023', '09/06/2023']","['Price changed from £530,000 to £495,000', 'Initial entry found: £530,000']"
107,135854402,"£495,000",['08/06/2023'],"['Initial entry found: £495,000']"
108,86258328,"£495,000","['28/07/2023', '05/07/2023']","['Price changed from £525,000 to £495,000', 'Initial entry found: £525,000']"
109,134900750,"£495,000",['17/05/2023'],"['Initial entry found: £495,000']"
110,139974935,"£495,000",['14/09/2023'],"['Initial entry found: £495,000']"
111,128418347,"£490,000","['04/01/2023', '27/10/2022']","['Price changed from £525,000 to £490,000', 'Initial entry found: £525,000']"
112,138202472,"£489,950","['21/09/2023', '30/08/2023', '08/08/2023', '02/08/2023']","['Price changed from £525,000 to £489,950', 'Price changed from £599,950 to £525,000', 'Price changed from £649,950 to £599,950', 'Initial entry found: £649,950']"
113,133845419,"£489,000",['22/05/2023'],"['Initial entry found: £489,000']"
114,132619043,"£485,000","['28/07/2023', '16/03/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
115,138518204,"£485,000","['21/09/2023', '10/08/2023']","['Price changed from £500,000 to £485,000', 'Initial entry found: £500,000']"
116,134050475,"£485,000","['13/06/2023', '24/04/2023']","['Price changed from £510,000 to £485,000', 'Initial entry found: £510,000']"
117,137463590,"£485,000",['17/07/2023'],"['Initial entry found: £485,000']"
118,137903642,"£480,000","['28/07/2023', '26/07/2023']","['Price changed from £479,980 to £480,000', 'Initial entry found: £479,980']"
119,130156508,"£480,000","['31/08/2023', '30/01/2023', '21/12/2022']","['Price changed from £495,000 to £480,000', 'Price changed from £525,000 to £495,000', 'Initial entry found: £525,000']"
120,140193170,"£475,000","['21/09/2023', '20/09/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
121,139258958,"£475,000",['31/08/2023'],"['Initial entry found: £475,000']"
122,139258481,"£475,000",['30/08/2023'],"['Initial entry found: £475,000']"
123,132140342,"£475,000","['04/07/2023', '29/03/2023', '01/03/2023']","['Price changed from £500,000 to £475,000', 'Price changed from £525,000 to £500,000', 'Initial entry found: £525,000']"
124,86296668,"£475,000",['09/08/2023'],"['Initial entry found: £475,000']"
125,140137748,"£525,000",['19/09/2023'],"['Initial entry found: £525,000']"
126,86120376,"£475,000",['01/04/2023'],"['Initial entry found: £475,000']"
127,137961644,"£475,000",['27/07/2023'],"['Initial entry found: £475,000']"
128,139368617,"£475,000",['01/09/2023'],"['Initial entry found: £475,000']"
129,134191667,"£475,000","['03/07/2023', '31/05/2023', '27/04/2023']","['Price changed from £515,000 to £475,000', 'Price changed from £549,950 to £515,000', 'Initial entry found: £549,950']"
130,134552837,"£475,000","['06/07/2023', '08/05/2023']","['Price changed from £499,950 to £475,000', 'Initial entry found: £499,950']"
131,132820316,"£475,000","['26/05/2023', '22/03/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
132,134820803,"£475,000","['04/07/2023', '15/05/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
133,134644478,"£475,000",['10/05/2023'],"['Initial entry found: £475,000']"
134,140285843,"£475,000",['21/09/2023'],"['Initial entry found: £475,000']"
135,137438660,"£475,000",['16/07/2023'],"['Initial entry found: £475,000']"
136,128748728,"£475,000","['09/12/2022', '09/12/2022', '06/12/2022', '04/11/2022']","['Price changed from £495,000 to £475,000', 'Price changed from £475,000 to £495,000', 'Price changed from £495,000 to £475,000', 'Initial entry found: £495,000']"
137,131577170,"£475,000",['10/02/2023'],"['Initial entry found: £475,000']"
138,138750947,"£475,000","['08/09/2023', '17/08/2023']","['Price changed from £499,000 to £475,000', 'Initial entry found: £499,000']"
139,139360556,"£475,000",['01/09/2023'],"['Initial entry found: £475,000']"
140,140033861,"£475,000",['15/09/2023'],"['Initial entry found: £475,000']"
141,86036490,"£475,000","['18/03/2023', '16/02/2023']","['Price changed from £500,000 to £475,000', 'Initial entry found: £500,000']"
142,140031293,"£475,000",['19/09/2023'],"['Initial entry found: £475,000']"
143,131031635,"£475,000","['05/05/2023', '05/04/2023', '24/01/2023']","['Price changed from £495,000 to £475,000', 'Price changed from £500,000 to £495,000', 'Initial entry found: £500,000']"
144,128401964,"£470,000","['07/12/2022', '25/10/2022']","['Price changed from £499,950 to £470,000', 'Initial entry found: £499,950']"
145,138129923,"£465,000","['02/08/2023', '01/08/2023']","['Price changed from £449,950 to £465,000', 'Initial entry found: £449,950']"
146,134939276,"£460,000",['18/05/2023'],"['Initial entry found: £460,000']"
147,139258973,"£450,000",['30/08/2023'],"['Initial entry found: £450,000']"
148,133245074,"£450,000",['04/04/2023'],"['Initial entry found: £450,000']"
149,125815868,"£450,000","['31/10/2022', '08/08/2022']","['Price changed from £480,000 to £450,000', 'Initial entry found: £480,000']"
150,139071068,"£535,000",['26/08/2023'],"['Initial entry found: £535,000']"
151,134973692,"£450,000",['18/05/2023'],"['Initial entry found: £450,000']"
152,138210650,"£450,000",['02/08/2023'],"['Initial entry found: £450,000']"
153,135336782,"£450,000","['21/06/2023', '26/05/2023']","['Price changed from £495,000 to £450,000', 'Initial entry found: £495,000']"
154,135569540,"£450,000","['12/06/2023', '01/06/2023']","['Price changed from £500,000 to £450,000', 'Initial entry found: £500,000']"
155,139307198,"£450,000",['31/08/2023'],"['Initial entry found: £450,000']"
156,139845830,"£450,000",['12/09/2023'],"['Initial entry found: £450,000']"
157,139206776,"£450,000",['29/08/2023'],"['Initial entry found: £450,000']"
158,135022481,"£450,000","['05/09/2023', '19/05/2023']","['Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
159,140170847,"£450,000",['19/09/2023'],"['Initial entry found: £450,000']"
160,138302045,"£450,000",['04/08/2023'],"['Initial entry found: £450,000']"
161,137199170,"£450,000",['11/07/2023'],"['Initial entry found: £450,000']"
162,140031227,"£450,000",['15/09/2023'],"['Initial entry found: £450,000']"
163,137634329,"£450,000",['20/07/2023'],"['Initial entry found: £450,000']"
164,140388989,"£450,000",['25/09/2023'],"['Initial entry found: £450,000']"
165,135230963,"£440,000","['08/09/2023', '24/05/2023']","['Price changed from £480,000 to £440,000', 'Initial entry found: £480,000']"
166,135812315,"£440,000","['08/09/2023', '08/09/2023', '08/06/2023']","['Price changed from £435,000 to £440,000', 'Price changed from £480,000 to £435,000', 'Initial entry found: £480,000']"
167,128913329,"£435,000","['10/02/2023', '09/11/2022']","['Price changed from £460,000 to £435,000', 'Initial entry found: £460,000']"
168,125368205,"£435,000","['10/02/2023', '12/09/2022', '26/07/2022']","['Price changed from £460,000 to £435,000', 'Price changed from £490,000 to £460,000', 'Initial entry found: £490,000']"
169,118825376,"£429,000","['19/01/2023', '17/01/2022']","['Price changed from £435,000 to £429,000', 'Initial entry found: £435,000']"
170,46204665,"£429,000","['19/01/2023', '26/03/2021', '14/07/2020', '03/12/2018', '08/10/2018', '04/04/2018']","['Price changed from £435,000 to £429,000', 'Price changed from £440,000 to £435,000', 'Price changed from £443,000 to £440,000', 'Price changed from £445,000 to £443,000', 'Price changed from £475,000 to £445,000', 'Initial entry found: £475,000']"
171,134907917,"£427,500",['14/06/2023'],"['Initial entry found: £427,500']"
172,137199440,"£425,000","['04/08/2023', '11/07/2023']","['Price changed from £445,000 to £425,000', 'Initial entry found: £445,000']"
173,138963692,"£425,000",['22/08/2023'],"['Initial entry found: £425,000']"
174,140000708,"£425,000",['15/09/2023'],"['Initial entry found: £425,000']"
175,140137748,"£525,000",['19/09/2023'],"['Initial entry found: £525,000']"
176,138982016,"£425,000",['23/08/2023'],"['Initial entry found: £425,000']"
177,126103862,"£425,000",['17/08/2022'],"['Initial entry found: £425,000']"
178,137678204,"£425,000","['25/07/2023', '21/07/2023']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
179,128959205,"£425,000","['04/07/2023', '10/11/2022']","['Price changed from £450,000 to £425,000', 'Initial entry found: £450,000']"
180,125542247,"£425,000","['29/08/2023', '15/11/2022', '30/07/2022']","['Price changed from £450,000 to £425,000', 'Price changed from £465,000 to £450,000', 'Initial entry found: £465,000']"
181,138669461,"£425,000",['15/08/2023'],"['Initial entry found: £425,000']"
182,136939760,"£425,000",['04/07/2023'],"['Initial entry found: £425,000']"
183,138233183,"£420,000",['03/08/2023'],"['Initial entry found: £420,000']"
