,id,price,price_change_date,price_change_value
0,136091834,"£475,000","['18/09/2023', '14/06/2023']","['Price changed from £525,000 to £475,000', 'Initial entry found: £525,000']"
1,140193254,"£550,000",['20/09/2023'],"['Initial entry found: £550,000']"
2,86140305,"£550,000","['31/08/2023', '12/06/2023', '17/05/2023']","['Price changed from £600,000 to £550,000', 'Price changed from £650,000 to £600,000', 'Initial entry found: £650,000']"
3,137570651,"£550,000",['19/07/2023'],"['Initial entry found: £550,000']"
4,138419624,"£550,000",['08/08/2023'],"['Initial entry found: £550,000']"
5,135943847,"£550,000",['09/06/2023'],"['Initial entry found: £550,000']"
6,138775505,"£550,000",['17/08/2023'],"['Initial entry found: £550,000']"
7,134458643,"£550,000","['14/09/2023', '04/05/2023']","['Price changed from £650,000 to £550,000', 'Initial entry found: £650,000']"
8,132912956,"£550,000","['06/04/2023', '24/03/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
9,132912932,"£550,000","['28/03/2023', '26/03/2023']","['Price changed from £585,000 to £550,000', 'Initial entry found: £585,000']"
10,137520860,"£550,000",['18/07/2023'],"['Initial entry found: £550,000']"
11,136725647,"£550,000","['19/07/2023', '29/06/2023']","['Price changed from £595,000 to £550,000', 'Initial entry found: £595,000']"
12,140277503,"£550,000",['21/09/2023'],"['Initial entry found: £550,000']"
13,137457251,"£550,000","['12/09/2023', '17/07/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
14,138965111,"£550,000",['22/08/2023'],"['Initial entry found: £550,000']"
15,138317330,"£550,000","['22/08/2023', '04/08/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']"
16,133279790,"£550,000","['25/07/2023', '04/04/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']"
17,137295056,"£550,000",['13/07/2023'],"['Initial entry found: £550,000']"
18,138478937,"£550,000",['09/08/2023'],"['Initial entry found: £550,000']"
19,140265059,"£550,000",['21/09/2023'],"['Initial entry found: £550,000']"
20,138538424,"£550,000",['11/08/2023'],"['Initial entry found: £550,000']"
21,139030574,"£550,000",['24/08/2023'],"['Initial entry found: £550,000']"
22,139601321,"£550,000",['11/09/2023'],"['Initial entry found: £550,000']"
23,121450130,"£550,000",['23/03/2022'],"['Initial entry found: £550,000']"
24,138586655,"£550,000",['12/08/2023'],"['Initial entry found: £550,000']"
25,129718148,"£350,000",['05/12/2022'],"['Initial entry found: £350,000']"
