id,size
140054078,864
125938520,777
139947791,543.5
138767804,669
135184715,37501
140220833,540
139080164,540
139983809,827
138444299,637.2
139383758,398.2
137264174,538
139902239,737.2
134278766,420
137588165,707
138917456,658
132549878,573
131202026,573
136625348,661.4
138710219,831
132029996,686
139806290,524
132185705,493
139361990,464
139642148,452
135504827,516.7
138398624,609
138956516,516
139474664,463
138373175,633
140133986,517
138584240,499
136169771,646
133481210,525
133392242,531
131443100,1158
127007981,605
133611029,868.00
139896479,411
139151456,525
138200258,531
133791248,598
138569339,396
131567717,668.2
139823054,694.1
132807497,670
136449452,449
139219652,
132245813,768
134967482,630.3
130522697,593
139512209,583
131454047,592
138373214,502
129157421,790
138118049,818
137822909,463
135475175,840
126545678,689
134441468,653
135690815,720
138095786,410.1
137884103,506
138315683,404
86240793,679
134269094,543
121535747,360
135187463,947
137144372,497
86053449,
136664459,509
132198446,700
132912932,648
139628246,579
139010135,518
139117262,610
137337416,735
133279790,457
133009307,737
134458643,695
134776445,458
133117976,345
138502376,447
138124619,522
138161531,439
130500725,667
137606843,748
137570651,758
135531548,825
136779422,642
137798120,409
138373187,677
133626305,4
139658183,742
139961585,
86232627,612
137032646,450
138464444,583.4
139951550,647
138736910,527
134336138,682
137316878,786
139683926,519
136441388,536
139080395,379
137921036,680
139966187,653
139004396,565
129274766,626
129115196,542
120489653,643
139771049,460
133092104,465
138045038,498
134073134,502
138298364,531
139080407,598
138016559,734
140137064,822
138127010,670
134671004,512.4
139564202,514
131137646,502
137635322,607
129183578,611
137821598,479.0
139629905,567
132912941,528
86185728,651
132925262,619
128834135,663.6
139080494,545.3
137867423,787
137861495,502
138101507,676
139410098,941
134317706,762
139576172,599
137511209,
86165775,471
125568302,
138125645,798
134255816,787
130401323,
139266461,505
138569651,682
138315773,643
120155234,
134645963,440.2
132448058,574
122914268,305.3
126524264,
133022213,858
138509120,664
135037901,369
134481908,378
139187045,631
135729083,566
137922833,423
137217218,571
133231073,541
129335306,535
133982927,513
138316724,461
134481095,517
137010842,597
86073984,684
135236621,570
136590425,836
137541863,498
135258488,541
133724426,775
130819937,632
130249961,625
134747492,465
138549407,645
135402266,495
86140305,652
123797372,649.92
138384932,595
139476407,669.5
138392036,850
136630412,768.6
140139518,455.8
139029110,346
134967950,624
136266542,541
86117937,699.22
138817469,649
133780826,567
136725647,640
85323135,632
137457251,781
138950411,521
137486618,
138371759,655
138868238,669
136391159,710
137003174,691
125730926,657
137514953,560
132610874,861
138077738,700
131713055,599
139041476,630
136785353,720
131332613,656
139361981,675
138195302,773
130350152,681
139278998,658
136375223,699
139030574,1101
86165730,736
137942084,616
133266743,714
138155657,557
132912887,617
130562198,662
133914218,726
137195930,454
130436510,507
138317330,611
136355282,752
135943847,697
138484019,567.3
137145038,472
131334320,32
128960546,583
134244203,740.66
136620593,767
139080017,474
139705049,567
133143797,663
137875124,799
138965111,800
136247801,407
139473854,744.9
132381407,366
139470872,383
135718187,109
139866998,530
137372270,645
140164670,581
132373559,528.3
135163631,510
138254252,474
138448325,663
131434385,567
135933794,684
134814917,405.9
135126389,604.9
132402293,684
133015412,561
137516750,
136884233,570
140094308,559.0
137058707,689
136342304,743
134794484,675
140277503,854
136091834,650
129718148,681
85990287,825
132870428,572
139778558,510
134945744,663
139582505,561
137158991,836.0
139105454,600
135341162,849
121450130,710
139050788,
128762756,849
134797466,546
133675697,501
138538424,
138366635,477
138478937,951
136812842,604
136812911,873
121003706,623
134806115,605
137516747,615
138318938,531
140286104,431
129717686,525.2
137654723,842
137459822,610
138775505,813
130245911,
139601321,
139249382,569
134952344,864
136756148,789
129467309,562
134557034,502.7
139950062,585
128412863,
136928876,
86145465,607.4
139963295,451
86313387,691
137823128,745
137295056,711
132912938,447
133846523,555
138942851,398.37
129216968,408
134703896,524.53
139198733,708
129020600,941
140210849,559.7
132912956,457
139255133,772
138039491,404
136899035,436.91
132052154,670.3
134351591,437
139069625,550.0
133846892,536
138419624,693.2
132985985,773
134900315,399
136792997,594
133388672,765
138957938,652
126025535,615.5
137366000,434
135202136,554
133141145,601
128653529,578
131852270,697
136363439,688
134304443,631
137218454,342
139839185,559
137969090,499
136781570,340
138011609,
135621014,828.8
139130189,680
125660333,653
133231418,432
132902354,433
127994453,680
137520860,726
139080374,448
140061536,516
136720115,502
133853783,443.69
137277218,811.28
138001859,539
139895666,503
138221225,827
115018610,530
133378370,486
136283243,826
133625933,596
140232506,602
138586655,599
85468284,447
120796451,525.28
137366711,456
139049672,589
138727694,671
136181714,502
136813094,598
136388315,591
135779534,612
140265059,650
136580567,671
138873212,524
138713933,617
136885721,920
139509293,598
134587301,554.3
135021713,665
139084325,388
132140849,597.4
138044018,536
135735224,574
136951145,497
138373166,474
124471721,758
131919845,504.5
134336210,610
138336611,372
85760718,577.16
139822046,669.95
133847024,422
